,mem_usage
0,476.08203125
1,476.1015625
2,582.40234375
3,670.703125
4,693.71484375
5,724.31640625
6,730.65234375
7,746.7265625
8,760.0625
9,760.82421875
10,761.05078125
11,761.05078125
12,761.375
13,761.375
14,761.375
15,761.625
16,761.625
17,761.86328125
18,761.875
19,761.875
20,762.12109375
21,762.12109375
22,762.12109375
23,762.37109375
24,762.83203125
25,763.92578125
26,763.92578125
27,764.18359375
28,764.18359375
29,764.18359375
30,764.18359375
31,764.18359375
32,764.3125
33,764.45703125
34,764.45703125
35,764.45703125
36,764.45703125
37,764.45703125
38,764.45703125
39,764.45703125
40,764.6875
41,764.6875
42,764.6875
43,764.9375
44,764.9375
45,765.15625
46,765.21484375
47,765.21484375
48,765.21484375
49,765.4609375
50,765.4609375
51,765.4609375
52,765.7109375
53,765.7109375
54,765.7109375
55,765.96875
56,765.96875
57,765.96875
58,766.1953125
59,766.1953125
60,766.1953125
61,766.46875
62,766.46875
63,766.46875
64,766.46875
65,766.7109375
66,766.72265625
67,766.72265625
68,766.9375
69,766.9375
70,767.15234375
71,767.15234375
72,767.15234375
73,767.40625
74,772.81640625
75,772.81640625
76,773.0703125
77,773.0703125
78,773.0703125
79,773.32421875
80,773.32421875
81,773.32421875
82,773.5390625
83,773.609375
84,773.609375
85,773.609375
86,773.859375
87,773.859375
88,774.08203125
89,774.08203125
90,774.08203125
91,774.08203125
92,774.08203125
93,774.359375
94,774.359375
95,774.58203125
96,774.58203125
97,774.58203125
98,774.58203125
99,774.58203125
100,774.859375
101,774.859375
102,774.859375
103,776.859375
104,782.48828125
105,784.76953125
106,784.76953125
107,785.515625
108,785.765625
109,785.765625
110,780.203125
111,780.203125
112,780.203125
113,780.203125
114,780.203125
115,780.203125
116,780.203125
117,780.203125
118,780.203125
119,780.203125
120,780.203125
121,780.203125
122,780.203125
123,780.203125
124,780.203125
125,780.203125
126,780.203125
127,780.203125
128,780.203125
129,788.1640625
130,788.1640625
131,788.1640625
132,788.1640625
133,788.1640625
134,788.1640625
135,788.1640625
136,788.1640625
137,788.1640625
138,788.1640625
139,788.1640625
140,788.1640625
141,788.1640625
142,788.375
143,788.375
144,788.375
145,788.375
146,788.375
147,788.375
148,788.375
149,788.375
150,788.375
151,788.375
152,788.375
153,788.375
154,788.375
155,788.375
156,788.375
157,788.375
158,788.375
159,788.40625
160,788.40625
161,788.40625
162,788.40625
163,788.40625
164,788.40625
165,788.40625
166,788.40625
167,788.40625
168,788.40625
169,788.40625
170,788.40625
171,788.40625
172,788.40625
173,788.40625
174,788.40625
175,788.40625
176,788.40625
177,788.40625
178,788.40625
179,788.40625
180,788.40625
181,788.40625
182,788.40625
183,788.55859375
184,788.55859375
185,788.55859375
186,788.90625
187,788.90625
188,788.90625
189,792.76953125
190,792.76953125
191,792.76953125
192,793.02734375
193,793.02734375
194,793.02734375
195,793.28515625
196,793.28515625
197,794.78515625
198,800.52734375
199,802.7890625
200,802.7890625
201,803.5546875
202,803.79296875
203,798.16015625
204,798.16015625
205,798.16015625
206,798.16015625
207,798.16015625
208,798.16015625
209,798.16015625
210,798.16015625
211,798.16015625
212,798.16015625
213,798.16015625
214,798.16015625
215,798.16015625
216,798.16015625
217,798.16015625
218,798.16015625
219,798.16015625
220,798.16015625
221,798.16015625
222,798.16015625
223,798.16015625
224,798.16015625
225,798.16015625
226,798.16015625
227,798.16015625
228,798.16015625
229,798.16015625
230,798.16015625
231,798.16015625
232,798.16015625
233,798.16015625
234,798.16015625
235,798.16015625
236,798.16015625
237,798.16015625
238,800.109375
239,810.9375
240,811.1953125
241,811.1953125
242,811.1953125
243,811.1953125
244,811.1953125
245,811.1953125
246,811.1953125
247,811.1953125
248,811.1953125
249,811.1953125
250,811.1953125
251,811.1953125
252,811.1953125
253,811.1953125
254,811.1953125
255,811.1953125
256,811.1953125
257,811.1953125
258,811.37109375
259,811.37109375
260,811.37109375
261,811.37109375
262,811.62109375
263,811.62109375
264,811.84375
265,811.87109375
266,811.87109375
267,811.87109375
268,812.125
269,812.125
270,812.125
271,812.125
272,812.125
273,812.328125
274,812.328125
275,812.328125
276,812.328125
277,812.328125
278,812.5859375
279,812.5859375
280,812.5859375
281,812.5859375
282,812.5859375
283,812.5859375
284,812.84375
285,812.84375
286,812.84375
287,813.1015625
288,813.1015625
289,813.1015625
290,813.1015625
291,813.37109375
292,813.37109375
293,813.37109375
294,813.37109375
295,813.625
296,813.625
297,813.625
298,813.625
299,813.625
300,813.8828125
301,818.12109375
302,820.62109375
303,822.875
304,822.875
305,817.1875
306,826.20703125
307,826.20703125
308,826.20703125
309,826.20703125
310,826.20703125
311,826.20703125
312,826.20703125
313,826.20703125
314,826.20703125
315,826.20703125
316,826.20703125
317,826.20703125
318,826.20703125
319,826.20703125
320,826.20703125
321,826.20703125
322,826.20703125
323,826.20703125
324,826.20703125
325,826.20703125
326,826.20703125
327,826.20703125
328,826.20703125
329,826.20703125
330,826.20703125
331,826.20703125
332,826.20703125
333,826.20703125
334,826.20703125
335,826.20703125
336,826.20703125
337,826.20703125
338,826.20703125
339,826.20703125
340,826.20703125
341,826.34375
342,826.34375
343,826.34375
344,826.34375
345,826.34375
346,826.34375
347,826.34375
348,826.34375
349,826.6015625
350,826.6015625
351,826.859375
352,826.859375
353,828.921875
354,828.921875
355,828.921875
356,829.1796875
357,829.1796875
358,829.1796875
359,829.1796875
360,829.41015625
361,829.41015625
362,829.41015625
363,829.41015625
364,829.63671875
365,829.63671875
366,829.63671875
367,829.63671875
368,829.890625
369,829.890625
370,829.890625
371,830.1484375
372,830.1484375
373,830.1484375
374,830.1484375
375,830.38671875
376,830.38671875
377,830.38671875
378,830.640625
379,830.640625
380,830.640625
381,830.8984375
382,830.8984375
383,830.8984375
384,831.15625
385,831.15625
386,831.15625
387,831.38671875
388,831.38671875
389,831.63671875
390,831.63671875
391,831.63671875
392,831.86328125
393,831.86328125
394,831.86328125
395,832.12109375
396,832.12109375
397,832.12109375
398,832.37890625
399,832.37890625
400,832.37890625
401,832.63671875
402,832.63671875
403,832.63671875
404,832.89453125
405,832.89453125
406,832.89453125
407,833.15234375
408,833.15234375
409,833.15234375
410,839.3984375
411,841.640625
412,836.05859375
413,836.05859375
414,836.05859375
415,846.109375
416,846.109375
417,846.109375
418,846.109375
419,846.109375
420,846.109375
421,846.109375
422,846.109375
423,846.109375
424,846.109375
425,846.109375
426,846.109375
427,846.109375
428,846.109375
429,846.109375
430,846.109375
431,846.109375
432,846.109375
433,846.109375
434,846.109375
435,846.109375
436,846.109375
437,846.109375
438,846.109375
439,846.109375
440,846.109375
441,846.109375
442,846.109375
443,846.109375
444,846.109375
445,846.109375
446,846.109375
447,846.109375
448,846.109375
449,846.109375
450,846.109375
451,846.109375
452,846.109375
453,846.109375
454,846.109375
455,846.109375
456,846.109375
457,846.109375
458,846.109375
459,846.109375
460,846.109375
461,846.109375
462,846.109375
463,846.109375
464,846.109375
465,846.109375
466,846.109375
467,846.109375
468,846.109375
469,846.109375
470,846.109375
471,846.109375
472,846.109375
473,846.109375
474,846.2734375
475,846.2734375
476,846.2734375
477,849.62109375
478,849.62109375
479,849.62109375
480,849.62109375
481,849.87890625
482,849.87890625
483,849.87890625
484,849.87890625
485,850.15234375
486,850.15234375
487,850.15234375
488,850.15234375
489,850.15234375
490,850.15234375
491,850.15234375
492,850.15234375
493,850.40625
494,850.40625
495,850.6640625
496,850.6640625
497,850.6640625
498,850.6640625
499,854.65234375
500,857.15234375
501,859.41015625
502,859.41015625
503,860.66015625
504,855.3515625
505,855.3515625
506,855.3515625
507,855.3515625
508,855.3515625
509,855.3515625
510,855.3515625
511,855.3515625
512,855.3515625
513,855.3515625
514,863.0546875
515,864.859375
516,864.859375
517,864.859375
518,864.859375
519,864.859375
520,864.859375
521,864.859375
522,864.859375
523,864.859375
524,864.859375
525,864.859375
526,864.859375
527,864.859375
528,864.859375
529,864.859375
530,864.859375
531,864.859375
532,864.859375
533,864.859375
534,864.859375
535,864.859375
536,864.859375
537,864.859375
538,864.859375
539,876.4609375
540,876.4609375
541,876.4609375
542,876.4609375
543,876.4609375
544,876.4609375
545,876.4609375
546,876.4609375
547,876.4609375
548,876.4609375
549,876.4609375
550,876.4609375
551,876.71875
552,876.71875
553,876.9296875
554,876.9296875
555,877.18359375
556,877.18359375
557,877.18359375
558,877.44140625
559,877.44140625
560,877.44140625
561,877.44140625
562,877.69921875
563,877.69921875
