episode,sim/wall,total steps,steps/sec,score
0,0.060394620490130724,100,0.6039462005531363,"066: -1.7070, 082: -6.5336, 012: 2.4792, 007: -0.4982, 062: -1.6419, 042: 1.8916, 075: -0.5428, 044: 2.2415, 011: 2.3976, 034: 1.8976, 001: 2.4070, 070: -11.4540, 076: 2.5217, 061: 1.1535, 029: 2.3018, 032: -0.6801, 078: -3.7719, 004: 2.4909, 069: 2.4032, 079: -11.7383, 009: -0.5818, 022: -0.6597, 000: -0.3775, 024: 2.3380, 036: 2.2344, 015: 2.3900, 068: 1.8238, 013: -0.1745, 067: 2.3529, 006: -0.1897, 008: 2.4014, 019: 2.3160, 030: 2.3117, 077: 2.3173, 040: 2.2957, 049: 2.4459, 046: 2.3605, 071: 2.3828, 037: 2.1719, 063: 2.3317, 055: 2.3571, 026: 1.1447, 018: 2.5599, 038: 1.6604, 005: -4.2332, 056: 2.2656, 058: -0.1223, 039: -1.9562, 083: 2.4459, 010: 2.4438, 016: -0.5699, 047: 1.0902, 084: 2.4787, 023: -1.0166, 081: -0.3698, 059: -0.6635, 052: 2.1623, 060: 2.2922, 057: 2.4380, 031: 2.3211, 025: -0.4685, 074: 1.9442, 035: 2.5229, 002: -0.9884, 021: 2.2930, 045: 2.4647, 053: -0.4869, 020: 2.3046, 041: -0.1145, 054: 1.1898, 017: -1.8206, 073: -11.7104, 028: 2.3621, 033: -0.3350, 072: 2.3557, 027: 2.3985, 064: 2.4219, 048: 1.7750, 051: -1.0058, 003: -0.1875, 080: 2.3021, 014: 2.4835, 050: 1.7492, 065: -1.3771, 043: -1.1563"
1,0.058449004422430874,100,0.5844900401517784,"066: -0.6736, 082: 2.2241, 012: 1.8378, 007: -4.2400, 062: -5.8787, 042: 2.3836, 075: 2.1907, 044: 2.4054, 011: 2.4774, 034: 2.4330, 001: -5.1689, 070: 2.3835, 076: 2.3829, 061: 2.4156, 029: 2.3090, 032: 2.2174, 078: 2.4241, 004: -2.0774, 069: 2.5002, 079: 2.4306, 009: -0.9772, 024: -5.8709, 022: 0.2110, 000: 0.1806, 036: 2.3057, 015: -3.0527, 068: 2.3705, 013: 2.0473, 067: -0.6842, 006: 2.4507, 019: 0.0803, 030: -0.2458, 008: 2.3767, 077: -0.5891, 040: 2.2290, 049: -0.5579, 046: -0.6481, 071: 2.4205, 037: -12.1749, 063: -6.9517, 055: 2.5021, 026: 2.1316, 018: 2.4587, 038: 2.2832, 005: 2.2085, 056: -0.2310, 058: 2.4374, 039: 2.2551, 083: -0.0018, 010: -0.0503, 016: 2.2762, 047: 2.1816, 084: 2.3917, 023: 2.3999, 081: -6.4473, 059: 2.4523, 052: 2.4761, 060: 2.2744, 057: -4.0704, 031: 0.4642, 025: -3.7483, 074: -0.8808, 035: 2.0097, 002: -0.9870, 021: 1.8076, 045: 2.1941, 053: 1.9762, 020: -0.9506, 041: 2.2894, 054: 2.4440, 017: -1.1069, 073: 2.3894, 028: -0.8315, 033: 2.4854, 072: 1.3032, 027: 2.3981, 064: -0.5534, 048: 1.9928, 051: 2.2611, 003: 0.5881, 080: 2.5054, 014: 2.4964, 050: 2.3924, 065: -2.4413, 043: -0.0397"
2,0.05792625014967167,100,0.5792624982967098,"066: 0.3441, 082: 2.3251, 012: 2.5026, 007: -0.9767, 075: 2.4381, 062: 0.1144, 042: -4.8132, 044: -5.8431, 011: 2.2796, 034: 2.3201, 001: -0.9794, 070: 2.2071, 076: 2.4547, 061: 2.2157, 029: 2.4535, 032: 2.3230, 078: 2.4539, 004: 2.4302, 069: -5.8272, 079: 2.3580, 009: 2.3100, 024: -0.9198, 022: 2.3212, 000: 2.4725, 036: -13.9225, 015: 2.4802, 068: 2.4839, 013: 2.3088, 067: -5.1980, 006: 2.0111, 019: 1.5685, 030: -1.4159, 008: -6.4704, 077: 2.4337, 040: 2.5008, 049: 2.4798, 046: 2.0772, 071: 2.3573, 037: 2.3079, 063: -11.3318, 055: -6.5930, 026: 2.3723, 018: -0.9205, 038: 2.1812, 005: 2.2918, 056: -1.0765, 058: 2.2125, 039: 2.2296, 083: -0.9890, 010: 2.4634, 016: 2.0696, 047: 2.4180, 084: -7.9249, 023: -1.4214, 081: 2.3695, 059: -1.0299, 052: 2.3061, 060: -0.0104, 057: -0.8671, 031: 2.0673, 025: -0.9539, 074: 2.5860, 035: -0.7979, 002: -1.0228, 021: 2.4835, 045: 2.3896, 053: 2.3718, 020: 2.5354, 041: -1.1604, 054: -5.3970, 017: -3.7981, 073: 2.4185, 028: 2.3755, 033: 0.0465, 072: -8.4798, 027: 2.3085, 064: 1.9497, 048: 2.3059, 051: 2.2351, 003: 1.8031, 080: 2.4993, 014: 2.1832, 050: -0.5366, 065: -1.0141, 043: 2.4762"
3,0.06002886747027253,100,0.6002886712661933,"066: -2.2037, 082: -0.8417, 012: 2.4041, 007: 2.3591, 075: -0.8365, 062: 2.3134, 042: 2.3259, 044: -1.0334, 011: -3.1191, 034: -0.5421, 001: 2.4058, 070: 2.4907, 076: 2.4687, 061: -0.1240, 029: 2.4175, 032: 2.3689, 078: -1.3598, 004: -1.9416, 069: 2.4389, 079: -1.2943, 009: 0.0250, 024: 2.3787, 022: 2.2669, 000: -0.8350, 036: 2.5439, 015: -0.7935, 068: -0.8021, 013: 2.3647, 067: 2.2101, 006: 2.1158, 019: 2.0457, 030: -5.2932, 008: 2.4337, 077: 2.2938, 040: -2.0998, 049: -0.2753, 046: 1.9128, 071: 1.0732, 037: -1.4175, 063: -0.3180, 055: 2.2611, 026: 2.4244, 018: 2.3821, 038: 2.3103, 005: -0.2291, 056: -0.9815, 058: 2.3927, 039: 2.5209, 083: 2.5156, 010: 2.3566, 016: -0.0935, 047: -2.7756, 084: 2.5443, 023: -1.2868, 081: -7.5071, 059: 2.2544, 052: 2.1770, 060: -0.4093, 057: 1.8955, 031: -2.2435, 025: 2.3926, 074: 2.3670, 035: 2.3587, 002: -0.8571, 021: 2.3544, 045: 2.2467, 053: 2.0356, 020: 2.1290, 041: 2.3089, 054: 2.0175, 017: 2.4632, 073: 2.3810, 028: 2.4030, 033: 2.2419, 072: -2.7721, 027: 2.4452, 064: 1.8340, 048: 2.4167, 051: 2.3754, 003: -1.0227, 080: -0.8753, 014: -0.3859, 050: 1.8428, 065: 2.3906, 043: 2.3044"
4,0.050166044509274914,100,0.50166044209269,"066: -11.8639, 082: 2.4643, 012: 2.4684, 007: 2.4601, 075: 2.2769, 062: -4.0909, 042: 2.3555, 044: 2.1983, 011: 2.4814, 034: -3.7349, 001: 0.7813, 070: 1.0377, 076: 2.2910, 061: 2.4087, 029: -0.1659, 032: 2.5515, 078: 2.3307, 004: 0.7079, 069: 2.3350, 079: 2.0418, 009: 2.5354, 024: 2.3496, 022: -1.7706, 000: 2.5277, 036: 2.2569, 015: 2.2751, 068: 2.4854, 013: 0.0436, 067: 2.2149, 006: 2.3821, 019: 2.4064, 030: -0.7528, 008: 2.4455, 077: 2.2292, 040: 2.3736, 049: 2.3643, 046: -0.8463, 071: -0.6142, 037: -0.7769, 063: 2.3156, 055: 2.4012, 026: 2.3391, 018: 2.3785, 038: 2.3023, 005: 1.8916, 056: -7.4523, 058: 2.4719, 039: 2.4794, 083: -0.2963, 010: 1.9781, 016: 2.4579, 047: 2.3164, 084: 2.4096, 023: 2.4007, 081: 2.5050, 059: 2.3643, 052: 2.1939, 060: 2.0080, 057: 2.0235, 031: 2.3968, 025: 2.3521, 074: -0.3298, 035: 2.4627, 002: 2.3229, 021: 2.3212, 045: -1.7310, 053: 2.3180, 020: -19.0094, 041: 2.3309, 054: 2.3805, 017: 2.4331, 073: 2.4291, 028: 2.3700, 033: 1.6700, 072: 1.1565, 027: 2.3879, 064: 1.9723, 048: 1.8604, 051: -0.1447, 003: 2.4113, 080: 2.3608, 014: 2.2184, 050: 2.4255, 065: 2.3837, 043: 2.3328"
5,0.05322689983810804,100,0.532268995679223,"066: 2.4050, 082: 0.4566, 012: -3.0430, 007: 2.3959, 075: 2.4355, 062: 2.4086, 042: 2.3168, 044: -7.7761, 011: 2.0754, 034: 2.3165, 001: -0.1265, 070: 2.0676, 076: 2.3142, 061: 1.0835, 029: 2.3305, 032: 2.2146, 078: 2.5924, 004: 0.7556, 069: 2.0954, 079: 2.4833, 009: 0.1638, 024: 1.7733, 022: 0.0429, 000: -7.1457, 036: 2.1234, 015: 2.2847, 068: 2.3538, 013: 2.1468, 067: 2.3558, 006: 2.4237, 019: -9.6981, 030: 2.5447, 008: 2.2725, 077: 0.3939, 040: 0.1453, 049: 2.2899, 046: -37.7775, 071: 2.4877, 037: 0.6774, 063: 2.5398, 055: -0.7118, 026: 0.5936, 018: 2.2837, 038: 2.3554, 005: -0.4205, 056: 2.4148, 058: 2.3048, 039: 2.4266, 083: 2.3882, 010: 2.4784, 016: 0.1203, 047: 2.3931, 084: 0.5778, 023: 2.3182, 081: 2.3747, 059: 0.0674, 052: 0.4142, 060: 2.4324, 057: 2.2498, 031: 2.4328, 025: 2.4688, 074: 0.4708, 035: -0.4866, 002: -4.7233, 021: 2.4908, 045: 2.4342, 053: 2.3217, 020: 1.4000, 041: 2.5189, 054: 2.4415, 017: -0.0341, 073: 2.3677, 028: 2.3969, 033: 2.4031, 072: 1.3830, 027: 2.3505, 064: 2.4591, 048: -0.4176, 051: 0.6470, 003: -0.9110, 080: -1.1974, 014: 0.5137, 050: -0.8524, 065: 0.1152, 043: 2.2659"
6,0.056644944081284926,100,0.5664494369878408,"066: 2.3304, 082: 2.3588, 012: 2.3857, 007: -8.7545, 075: -5.7479, 062: 2.2814, 042: -0.6600, 044: 1.7071, 011: -0.9835, 034: 2.1647, 001: 2.4816, 070: 2.3364, 076: -0.5540, 061: -1.1726, 029: 2.4620, 032: 2.2976, 078: 2.3625, 004: 1.8546, 069: 2.2698, 079: -0.3344, 009: 2.2760, 024: 1.9997, 022: 2.4483, 000: -11.0491, 036: 2.4448, 015: 2.4204, 068: 2.3006, 013: 2.3279, 067: -0.3359, 006: 2.4221, 019: 2.3045, 030: -0.1018, 008: -4.2727, 077: 0.0758, 040: 2.3801, 049: 2.4025, 046: 2.4473, 071: 2.3312, 037: 2.2141, 063: 2.2674, 055: 1.1120, 026: -5.8792, 018: 2.2374, 038: 2.4035, 005: 2.2429, 056: 2.3982, 058: 0.1939, 039: 2.3316, 083: 2.4085, 010: -1.4613, 016: -2.9590, 047: 0.3450, 084: 2.5279, 023: 0.4681, 081: 0.1306, 059: 2.4425, 052: 2.5056, 060: -0.6966, 057: 2.1192, 031: 2.3306, 025: -5.9708, 074: -8.5938, 035: 2.4085, 002: 2.3017, 021: -3.7649, 045: -2.9391, 053: 2.4700, 020: 2.3745, 041: 2.3383, 054: -2.5623, 017: 2.4116, 073: 0.8079, 028: -1.3744, 033: -4.0057, 072: 2.3081, 027: 2.5098, 064: -7.5488, 048: 2.0935, 051: 2.3158, 003: -1.8900, 080: 2.4329, 014: -0.9788, 050: -1.9415, 065: 0.7724, 043: 2.1064"
7,0.05014134351038137,100,0.5014134321067082,"066: 2.4167, 082: 2.4338, 012: 2.4014, 007: 2.4130, 075: 2.3003, 062: 2.2020, 042: -0.3455, 044: 1.2887, 011: 2.3754, 034: 2.3535, 001: 2.4854, 070: 2.4046, 076: 2.4179, 061: 2.4114, 029: 2.2690, 032: 0.7726, 078: 2.3451, 004: 2.3645, 069: 2.3004, 079: 2.4130, 009: 1.9057, 024: 0.2488, 022: 2.2540, 000: 2.4097, 036: 2.4182, 015: 2.5028, 068: -0.8679, 013: 0.4922, 067: 2.4127, 006: 2.1450, 019: 2.4012, 030: -2.2966, 008: 2.3375, 077: 1.6606, 040: 2.2042, 049: -2.5723, 046: 0.6936, 071: -0.7196, 037: 2.3012, 063: 2.3935, 055: 2.3222, 026: 2.3652, 018: 2.2715, 038: 1.2128, 005: 2.2759, 056: -3.1398, 058: 2.3946, 039: 2.5518, 083: 2.4817, 010: -0.2823, 016: 1.2213, 047: -0.7013, 084: 2.0131, 023: 2.5160, 081: 2.3209, 059: 1.1929, 052: 2.4332, 060: -2.5172, 057: 1.7955, 031: 2.3342, 025: -0.8713, 074: 2.0007, 035: -1.3669, 002: -1.7866, 021: 2.3000, 045: 2.5159, 053: 2.3870, 020: 2.3415, 041: 2.0429, 054: -1.8125, 017: 2.3861, 073: 1.8005, 028: 2.4534, 033: 0.7601, 072: 2.4595, 027: -4.3545, 064: 2.3217, 048: 2.3916, 051: 2.4262, 003: 2.3676, 080: 2.3648, 014: 2.3577, 050: 2.3964, 065: 2.4080, 043: 0.5279"
8,0.05665734617311155,100,0.5665734579044319,"066: 2.2682, 082: 0.4829, 012: -0.1708, 007: -1.0252, 075: 2.3065, 062: 2.4020, 042: 2.4136, 044: 2.2921, 011: -5.4380, 034: 2.4183, 001: 2.0186, 070: 1.1409, 076: 2.3800, 061: 2.3287, 029: 0.1895, 032: 2.4444, 078: -0.8476, 004: 0.0462, 069: -5.0421, 079: -41.0853, 009: -1.2460, 024: 1.6280, 022: 2.3430, 000: 2.3238, 036: 2.4184, 015: 0.5832, 068: 2.4253, 013: 2.3327, 067: 2.3803, 006: 2.3067, 019: 0.6653, 030: 2.4098, 008: -4.5728, 077: 2.3214, 040: 2.3386, 049: 1.6315, 046: 2.0499, 071: -5.9879, 037: 0.4293, 063: 2.4071, 055: 2.4712, 026: 2.4073, 018: 2.4238, 038: 2.3897, 005: -2.3939, 056: 0.2366, 058: -1.7140, 039: 2.3996, 083: -0.3813, 010: 1.7407, 016: 0.7497, 047: 2.3740, 084: 1.2016, 023: 2.4371, 081: -9.8493, 059: -1.3558, 052: 2.4798, 060: 1.5827, 057: 0.0976, 031: -1.1910, 025: -1.4797, 074: -3.8180, 035: 2.3122, 002: 2.4967, 021: 2.4562, 045: 2.2998, 053: 0.4810, 020: 0.4090, 041: 0.6091, 054: 0.6767, 017: 2.4011, 073: 2.3748, 028: -0.0631, 033: 1.9609, 072: 2.3801, 027: 0.5327, 064: 2.3682, 048: 2.3576, 051: -1.3889, 003: 2.3269, 080: 2.2966, 014: 0.0631, 050: -7.4503, 065: -0.1030, 043: -0.3118"
9,0.05509250158536755,100,0.5509250115118103,"066: 2.2768, 082: 2.4310, 012: 1.4089, 007: -0.8198, 075: -0.6122, 062: 2.3018, 042: 2.4463, 044: -4.7934, 011: 2.4743, 034: 2.2517, 001: 2.4098, 070: 2.4472, 076: -0.5211, 061: 2.3504, 029: 2.4066, 032: 2.3936, 078: 0.9971, 004: 2.2626, 069: 2.4439, 079: 2.2529, 009: -0.6983, 024: 2.3275, 022: 2.4113, 000: 0.6520, 036: 2.3545, 015: 1.4110, 068: 2.4278, 013: 2.3145, 067: 2.3820, 006: 2.4138, 019: 2.3700, 030: 2.3991, 008: -1.3057, 077: 2.4582, 040: 2.4272, 049: -3.6763, 046: -2.9760, 071: -0.6590, 037: 1.7403, 063: -0.6054, 055: 2.3662, 026: -5.9326, 018: 2.3913, 038: 2.3381, 005: -2.2448, 056: 1.9799, 058: 2.5021, 039: 2.5245, 083: 2.5223, 010: 2.5796, 016: 2.3343, 047: 2.5295, 084: 2.4719, 023: 2.4616, 081: -1.2132, 059: 2.3938, 052: 2.4296, 060: -13.7886, 057: 2.2223, 031: -0.6954, 025: 2.4228, 074: -2.5190, 035: 2.3293, 002: -2.5905, 021: -1.4808, 045: 2.3805, 053: 1.9638, 020: -0.6212, 041: -0.6823, 054: -0.5927, 017: 2.0782, 073: 2.1085, 028: 2.3014, 033: -5.2207, 072: -4.9264, 027: 2.1159, 064: 2.0338, 048: 2.4061, 051: 2.3621, 003: 2.4307, 080: 2.3186, 014: 2.0612, 050: 2.3993, 065: 2.3809, 043: -6.8464"
