episode,sim/wall,total steps,steps/sec,score
0,0.5100574039074133,2212,5.100574022249549,"022: 2.3297, 001: 42.9722, 019: 1.7147, 014: -3.9634, 004: 30.6758, 002: -14.5461, 005: -15.7267, 010: 24.4661, 003: 31.7476, 000: 3.6109, 015: -4.6292, 018: 9.5656, 006: 19.1334, 021: -4.2655, 013: -2.0396, 009: 18.5655, 024: -391.2330, 008: 22.0192, 011: 22.7560, 017: -1.6421, 016: 10.3624, 007: 3.1337, 023: 3.8489, 012: 17.9290, 020: 30.1771"
1,1.1673433939930282,5000,11.673433907441206,"022: 22.3684, 001: -0.7207, 019: -39.5652, 014: 64.7770, 004: 5.2401, 002: 25.7612, 005: 0.9372, 010: 2.1956, 003: -1.0251, 000: 33.0705, 015: -0.7885, 018: 31.0789, 006: 3.2827, 021: 2.4137, 013: -0.1640, 009: -0.7834, 024: 7.5453, 008: 13.0868, 011: 1.3458, 017: 29.8201, 016: 0.7536, 007: 19.1456, 023: -29.3451, 012: 0.6411, 020: 2.0549"
2,0.6763034197466149,1155,6.763034140817112,"022: 0.1975, 001: -3.3374, 019: -210.4635, 014: -11.8018, 004: 9.8853, 002: -6.3302, 005: 12.3741, 010: 5.6827, 003: 0.9938, 000: 9.6242, 015: 28.1699, 018: 9.2597, 006: -4.0110, 021: -1.3211, 013: -3.7661, 009: -0.4766, 024: 3.1872, 008: 0.7249, 011: -5.5917, 017: -3.3004, 016: -6.0701, 007: -0.3159, 023: 0.6867, 012: 18.2120, 020: 3.2649"
3,0.6327074476824386,1364,6.327074441837795,"022: -0.9742, 001: 0.4171, 019: 4.0069, 014: -2.8250, 004: -2.9076, 002: 0.0097, 005: 12.0552, 010: -7.5576, 003: 4.7361, 000: 7.5439, 015: -0.9877, 018: -347.3357, 006: 3.2051, 021: 36.2046, 013: 21.2439, 009: 4.7630, 024: 7.2999, 008: 4.8195, 011: 15.7957, 017: -1.6117, 016: 6.7591, 007: -3.4006, 023: 0.3518, 012: 1.1626, 020: -3.9842"
4,0.9424740359324132,5000,9.424740338146426,"022: 10.8680, 001: 39.2008, 019: 8.3671, 014: 1.5887, 004: 67.0542, 002: 2.5978, 005: 3.8486, 010: 4.5532, 003: 2.3085, 000: 7.9358, 015: 10.7896, 018: 13.4012, 006: 13.3994, 021: 78.3604, 013: -0.6563, 009: 4.8604, 024: 4.6305, 008: 6.2867, 011: -11.3173, 017: 4.6217, 016: 0.7834, 007: 14.0696, 023: 4.0197, 012: 10.5211, 020: 2.7251"
5,0.8475167228834375,5000,8.475167211709135,"022: -172.7850, 001: 16.4278, 019: -11.3037, 014: 18.7569, 004: -0.4176, 002: 2.3853, 005: 6.8137, 010: 1.7187, 003: 0.1709, 000: 8.9807, 015: -6.3396, 018: 2.4437, 006: 1.4944, 021: 19.3346, 013: 46.6510, 009: -89.9010, 024: 2.2574, 008: -0.7923, 011: 2.6967, 017: 6.5558, 016: 7.2446, 007: 2.7467, 023: -6.8951, 012: 6.9822, 020: 1.9195"
6,0.6689023603544951,5000,6.68902359287738,"022: 2.6620, 001: 0.7506, 019: 1.5954, 014: -0.5553, 004: 15.6389, 002: 9.1645, 005: 26.4931, 010: 3.2090, 003: 40.1403, 000: 36.8109, 015: 0.9618, 018: -100.0724, 006: -1.9262, 021: 2.9367, 013: -4.1410, 009: 2.0709, 024: 1.0545, 008: 57.1111, 011: 31.2898, 017: -11.3793, 016: -0.2650, 007: -86.9520, 023: 2.5572, 012: 0.6105, 020: -3.1228"
7,0.6717512272507487,5000,6.7175122639005815,"022: 5.2737, 001: -10.2955, 019: 20.7327, 014: -0.8476, 004: 0.3615, 002: 3.9090, 005: 55.5690, 010: 6.0676, 003: 4.6528, 000: -824.4039, 015: -0.8438, 018: 9.9571, 006: 64.9681, 021: 19.3338, 013: 4.0200, 009: 0.5910, 024: 19.9089, 008: -0.8406, 011: 4.3448, 017: 2.8717, 016: -10.1156, 007: -3.5336, 023: 1.2052, 012: 51.3984, 020: -10.6784"
8,1.124807853246432,4991,11.248078484114018,"022: 1.1557, 001: 4.7754, 019: -272.0722, 014: -0.1636, 004: -0.5875, 002: -5.7545, 005: -0.6367, 010: -3.8622, 003: -0.7566, 000: 10.1355, 015: -2.0950, 018: -1.2734, 006: -0.7711, 021: 1.4542, 013: -213.1728, 009: -114.3830, 024: 0.1877, 008: -1.5400, 011: -167.8964, 017: 6.2065, 016: -4.7747, 007: 62.3303, 023: 5.0876, 012: -9.8371, 020: 4.1509"
9,0.4949561598631371,5000,4.9495615927905545,"022: 62.0118, 001: 0.7447, 019: -357.4895, 014: -9.1404, 004: -0.6412, 002: 10.6487, 005: -15.2355, 010: 15.2584, 003: 40.6653, 000: -0.2051, 015: 7.4059, 018: 11.2932, 006: 14.8204, 021: -1.9162, 013: 8.4145, 009: 43.7656, 024: 0.9827, 008: -0.5363, 011: 11.3057, 017: 10.1769, 016: 27.2668, 007: -0.1395, 023: 7.8926, 012: -88.2297, 020: 6.7620"
