,mem_usage
0,462.5546875
1,462.69140625
2,478.90625
3,493.55859375
4,539.9296875
5,627.4140625
6,682.21484375
7,718.3203125
8,764.9921875
9,787.046875
10,789.36328125
11,793.6484375
12,793.6484375
13,793.6484375
14,793.6484375
15,793.6484375
16,794.40234375
17,794.40234375
18,794.40234375
19,794.40234375
20,794.40234375
21,794.40234375
22,794.40234375
23,794.40234375
24,794.40234375
25,794.40234375
26,794.40234375
27,794.40234375
28,794.40234375
29,794.40234375
30,794.40234375
31,794.40234375
32,794.40234375
33,794.40234375
34,794.40234375
35,794.40234375
36,794.40234375
37,794.40234375
38,794.40234375
39,794.40234375
40,794.40234375
41,794.40234375
42,794.40234375
43,794.40234375
44,794.40234375
45,794.40234375
46,794.40234375
47,794.40234375
48,794.60546875
49,794.60546875
50,794.66796875
51,794.66796875
52,794.66796875
53,794.66796875
54,794.9140625
55,794.9140625
56,794.9140625
57,795.2109375
58,795.2109375
59,795.2109375
60,795.46484375
61,795.46484375
62,795.72265625
63,795.72265625
64,795.90234375
65,795.90234375
66,795.90234375
67,796.15625
68,796.15625
69,796.4140625
70,796.49609375
71,796.49609375
72,796.75
73,796.75
74,797.0078125
75,797.171875
76,797.171875
77,797.42578125
78,797.765625
79,797.765625
80,798.01953125
81,798.40234375
82,798.40234375
83,798.65625
84,798.9140625
85,799.0625
86,799.31640625
87,799.57421875
88,799.7578125
89,800.01171875
90,800.01171875
91,800.26953125
92,800.48046875
93,800.734375
94,800.734375
95,800.9921875
96,817.2890625
97,826.80859375
98,828.87109375
99,831.01171875
100,831.01171875
101,833.84375
102,835.90625
103,836.9375
104,837.96875
105,839.0
106,839.26171875
107,839.26171875
108,839.26171875
109,839.26171875
110,839.26171875
111,839.26171875
112,839.51171875
113,839.51171875
114,839.51171875
115,839.51171875
116,839.51171875
117,839.51171875
118,839.51171875
119,839.76171875
120,839.76171875
121,839.76171875
122,839.76171875
123,839.76171875
124,839.76171875
125,839.76171875
126,840.01171875
127,840.01171875
128,840.01171875
129,840.01171875
130,840.01171875
131,840.01171875
132,840.26171875
133,840.26171875
134,840.26171875
135,840.26171875
136,840.26171875
137,840.26171875
138,840.26171875
139,840.51171875
140,840.51171875
141,840.51171875
142,840.51171875
143,840.51171875
144,840.51171875
145,840.51171875
146,840.76171875
147,840.76171875
148,840.76171875
149,840.76171875
150,840.76171875
151,840.76171875
152,840.76171875
153,841.015625
154,841.015625
155,841.015625
156,841.015625
157,841.015625
158,841.015625
159,841.015625
160,841.26171875
161,841.26171875
162,841.26171875
163,841.26171875
164,841.26171875
165,841.26171875
166,841.26171875
167,841.26171875
168,841.51171875
169,841.51171875
170,841.51171875
171,841.51171875
172,841.51171875
173,841.51171875
174,841.51171875
175,841.76171875
176,841.76171875
177,841.76171875
178,841.76171875
179,841.76171875
180,841.76171875
181,841.76171875
182,842.01171875
183,842.01171875
184,842.01171875
185,842.01171875
186,842.01171875
187,842.01171875
188,842.01171875
189,842.26171875
190,842.26171875
191,842.26171875
192,842.26171875
193,842.26171875
194,842.26171875
195,842.26171875
196,842.51171875
197,842.51171875
198,842.51171875
199,842.51171875
200,842.51171875
201,842.51171875
202,842.51171875
203,843.76171875
204,846.5625
205,846.8203125
206,846.8203125
207,846.8203125
208,846.8203125
209,846.8203125
210,846.8203125
211,847.01171875
212,847.01171875
213,847.01171875
214,847.01171875
215,847.01171875
216,847.01171875
217,847.01171875
218,847.01171875
219,847.01171875
220,847.01171875
221,847.01171875
222,847.01171875
223,847.01171875
224,847.01171875
225,847.01171875
226,847.01171875
227,847.01171875
228,847.01171875
229,847.01171875
230,847.01171875
231,847.01171875
232,847.01171875
233,847.01171875
