ncalls,tottime,percall,cumtime,percall,filename:lineno(function)
1,0.000,0.000,11471.058,11471.058,/usr/local/lib/python3.7/dist-packages/memory_profiler.py:232(memory_usage)
1,4.735,4.735,11471.019,11471.019,marl_scalability/train.py:51(train)
65737,2.500,0.000,9297.107,0.141,/marl/marl_scalability/env/scalability_env.py:110(step)
306411,13.544,0.000,6477.880,0.021,/marl/marl_scalability/utils/common.py:176(ego_social_safety)
2251572,50.038,0.000,6056.782,0.003,/marl/marl_scalability/utils/geometry.py:196(intersects)
4503144,546.120,0.000,5855.432,0.001,/marl/marl_scalability/utils/geometry.py:261(intersectswithlines)
204274,12.941,0.000,4717.974,0.023,/marl/marl_scalability/baselines/adapter.py:153(reward_adapter)
102137,5.236,0.000,4712.709,0.046,/marl/marl_scalability/env/scalability_env.py:64(generate_logs)
362535258/272903033,844.694,0.000,3911.836,0.000,{built-in method numpy.core._multiarray_umath.implement_array_function}
13509432,1274.789,0.000,2564.489,0.000,/marl/marl_scalability/utils/geometry.py:211(_get_line_intersect_with_planes_3d)
65937,0.542,0.000,2289.206,0.035,/src/smarts/core/smarts.py:167(step)
65937,3.385,0.000,2288.663,0.035,/src/smarts/core/smarts.py:193(_step)
4503144,84.386,0.000,1777.959,0.000,/marl/marl_scalability/utils/geometry.py:181(_getnormals)
13509432,18.039,0.000,1693.572,0.000,<__array_function__ internals>:2(cross)
65737,12.614,0.000,1681.660,0.026,marl_scalability/train.py:151(<dictcomp>)
102137,10.606,0.000,1669.046,0.016,/marl/marl_scalability/baselines/sac/sac/policy.py:171(step)
13509432,556.823,0.000,1628.842,0.000,/usr/local/lib/python3.7/dist-packages/numpy/core/numeric.py:1421(cross)
66037,3.489,0.000,1449.853,0.022,/src/smarts/core/agent_manager.py:132(observe)
104637,7.494,0.000,1424.490,0.014,/src/smarts/core/sensors.py:180(observe)
40530796,46.939,0.000,955.737,0.000,<__array_function__ internals>:2(moveaxis)
40530796,263.271,0.000,844.205,0.000,/usr/local/lib/python3.7/dist-packages/numpy/core/numeric.py:1340(moveaxis)
15418,2.030,0.000,629.284,0.041,/marl/marl_scalability/baselines/sac/sac/policy.py:228(update_critic)
22515720,33.018,0.000,617.386,0.000,<__array_function__ internals>:2(stack)
58394287,169.921,0.000,613.321,0.000,/usr/local/lib/python3.7/dist-packages/numpy/core/fromnumeric.py:73(_wrapreduction)
