episode,sim/wall,total steps,steps/sec,score
0,1.7247667667622726,10000,17.247667539957284,"012: -1.4651, 022: -0.8557, 010: -0.5612, 001: -0.9276, 008: -0.7353, 006: -0.9829, 011: -1.6104, 021: -0.9786, 000: -0.9695, 019: -0.9167, 017: -0.7751, 003: -0.9450, 013: -0.9860, 002: -0.9700, 025: -0.5511, 016: -0.9791, 026: -1.7697, 005: -0.9358, 004: -0.6343, 007: -1.1809, 015: -1.9190, 020: -1.1225, 009: -305.2606, 027: -1.2031, 018: -1.2019, 024: -0.7851, 023: -1.0724, 014: -1.0672, 029: -1.3631, 028: -1.4420"
1,0.28565658915470366,394,2.856565812542444,"012: -1.0610, 022: -0.7120, 010: -1.0103, 001: -1.5190, 008: -0.7841, 006: -0.9758, 011: -0.7790, 021: -0.7398, 000: -1.1522, 019: -1.3505, 017: -1.0305, 013: -1.0626, 003: -1.0706, 016: -0.0781, 002: -0.9076, 025: -0.6985, 026: -0.9275, 005: -0.8467, 007: -1.4627, 004: -0.5404, 015: -0.6084, 020: -0.6646, 009: -1.2205, 027: -1.7812, 024: -0.9749, 018: -3.4387, 023: -0.8014, 014: -0.6156, 029: -1.2809, 028: -1.0696"
2,0.0708704626476057,97,0.7087046091927469,"012: -0.5154, 022: -0.5472, 010: -1.0125, 001: -0.9184, 008: -1.0610, 006: -0.8807, 011: -0.9241, 021: -1.2206, 000: -1.5426, 019: -1.3304, 017: -1.2866, 003: -0.7756, 013: -1.5726, 002: -1.5049, 025: -0.9875, 016: -0.5080, 026: -0.9919, 005: -0.7843, 004: -0.9220, 007: -1.2736, 015: -0.7186, 020: -0.7643, 009: -0.6797, 027: -1.4671, 018: -0.8954, 024: -0.9272, 023: -0.9041, 014: -1.5471, 029: -1.7358, 028: -0.3856"
3,1.9143089661921506,10000,19.143089504654846,"012: -0.9193, 022: -0.9204, 010: -1.6224, 001: -0.9861, 008: -1.0754, 006: -0.8407, 011: -1.0942, 021: -1.6856, 000: -0.9778, 019: -1.0345, 017: -0.9792, 013: -0.9844, 003: -1.0484, 016: -1.2412, 002: -1.4929, 025: -0.9531, 026: -1.0704, 005: -1.1258, 007: -0.9566, 004: -0.9018, 015: -0.6353, 020: -0.8829, 009: -0.6682, 027: -0.5571, 024: -304.4390, 018: -1.0716, 023: -0.9443, 014: -1.0713, 029: -1.0570, 028: -1.0393"
4,0.189386755109956,234,1.8938674889737088,"012: -1.4965, 022: -1.1761, 010: -0.8128, 001: -1.0861, 008: -0.9757, 006: -1.1358, 011: -1.4417, 021: -0.8539, 000: -1.0098, 019: -0.9947, 017: -0.7547, 003: -0.7534, 013: -1.0283, 002: -1.1019, 025: -1.9570, 016: -1.7103, 026: -0.5337, 005: -1.0345, 004: -1.3034, 007: -1.1178, 015: -1.3818, 020: -1.1146, 009: -1.3932, 027: -0.0705, 018: -0.5169, 024: -0.7736, 023: -1.0702, 014: -0.7627, 029: -1.5372, 028: -1.3414"
5,0.1300833616035228,109,1.300833556814047,"012: -0.9858, 022: -0.9984, 010: -0.8958, 001: -0.8145, 008: -0.6657, 006: -0.9859, 011: -0.8756, 021: -0.7912, 000: -1.4072, 019: -0.9711, 017: -1.9031, 013: -1.1681, 003: -0.3657, 016: -1.6654, 002: -0.5284, 025: -1.0045, 026: -1.3596, 005: -0.5440, 007: -1.0741, 004: -1.1702, 015: -1.4990, 020: -1.0568, 009: -1.0937, 027: -0.9844, 024: -0.5842, 018: -1.0399, 023: -0.8300, 014: -1.6343, 029: -1.0727, 028: -1.0754"
6,0.08417731668025033,114,0.8417731445736711,"012: -1.1403, 022: -0.8059, 010: -0.7047, 001: -3.4333, 008: -0.8827, 006: -1.1815, 011: -0.7095, 021: -1.4028, 000: -0.8758, 019: -0.8697, 017: -0.5756, 003: -1.0317, 013: -1.4938, 002: -0.9629, 025: -0.7745, 016: -3.4576, 026: -0.8878, 005: -0.9313, 004: -1.7444, 007: -0.9369, 015: -1.3302, 020: -0.8221, 009: -2.2561, 027: -1.0557, 018: -0.8670, 024: -1.0633, 023: -0.7419, 014: -1.3122, 029: -0.6382, 028: -1.5628"
7,0.1678642711950416,132,1.678642620337821,"012: -1.2113, 022: -0.5396, 010: -0.9881, 001: -0.9819, 008: -1.1553, 006: -1.7472, 011: -1.9808, 021: -0.6070, 000: -1.3132, 019: -1.0753, 017: -1.6189, 013: -1.0751, 003: -0.8820, 016: -0.8570, 002: -0.7506, 025: -1.1190, 026: -1.0711, 005: -0.7215, 007: -0.8636, 004: -0.9077, 015: -0.2614, 020: -0.9690, 009: -1.0865, 027: -0.6028, 024: -1.3539, 018: -1.2650, 023: -0.9725, 014: -1.7522, 029: -1.0432, 028: -1.0659"
8,0.3718802269241686,513,3.7188021535502007,"012: -0.8855, 022: -1.0794, 010: -0.8152, 001: -1.2224, 008: -1.0428, 006: -0.7095, 011: -1.1486, 021: -4.8467, 000: -0.5352, 019: -1.2378, 017: -1.0418, 003: -0.9458, 013: -0.9038, 002: -0.6920, 025: -1.0403, 016: -1.5410, 026: -0.9745, 005: -0.8860, 004: -1.5307, 007: -1.4936, 015: -0.5255, 020: -0.5923, 009: -0.3138, 027: -0.8208, 018: -1.1432, 024: -1.1378, 023: -1.3864, 014: -1.1463, 029: -1.0707, 028: -1.4542"
9,0.12372150159236264,152,1.2372149751071246,"012: -0.8529, 022: -1.5429, 010: -1.1019, 001: -0.3343, 008: -1.0945, 006: -0.6169, 011: -0.9793, 021: -0.7714, 000: -1.5273, 019: -0.4743, 017: -0.7896, 013: -1.1141, 003: -0.6621, 016: -0.8240, 002: -0.9739, 025: -0.8359, 026: -1.1350, 005: -0.6034, 007: -0.8989, 004: -0.8387, 015: -1.5904, 020: -0.7407, 009: -1.6189, 027: -1.6523, 024: -0.8584, 018: -1.0201, 023: -1.0833, 014: -1.0131, 029: -0.6945, 028: -0.6781"
