episode,sim/wall,total steps,steps/sec,score
0,0.13993764783647386,149,1.3993764595640301,"017: -1.6450, 020: 4.3809, 000: -0.6918, 027: 4.3344, 026: 4.3141, 015: -15.1656, 035: 3.3030, 041: 0.1363, 013: 1.0133, 039: -1.7632, 030: 4.3575, 001: 3.3986, 009: -0.0222, 003: 1.1278, 021: 4.4279, 022: 1.0679, 040: 2.5245, 032: -0.5473, 010: 2.4462, 024: 4.4046, 037: 3.6539, 036: 4.3323, 007: 4.1419, 028: 4.1348, 011: 4.3018, 002: 1.5199, 014: 4.4604, 031: 1.2954, 042: 4.2261, 043: -1.0211, 019: 4.2872, 044: 4.3315, 012: 4.3494, 033: 4.0020, 004: 4.5358, 005: 0.0819, 006: 4.0337, 008: 4.4155, 016: -0.0099, 023: 3.4614, 018: 4.4535, 034: 2.0778, 038: 4.0554, 029: 4.4230, 025: -0.7077"
1,0.12861829543070724,99,1.2861829304035641,"017: 0.1918, 020: -5.6519, 000: 2.8627, 027: 2.9361, 026: -3.9950, 015: -3.9795, 035: 2.8006, 041: 2.9321, 013: 1.9538, 039: 2.6548, 030: 2.3580, 001: 0.4577, 009: 2.7711, 003: 2.4639, 021: 2.8515, 022: -3.7553, 040: 1.9635, 032: 0.9907, 010: 2.7212, 024: 2.8689, 037: 2.8495, 036: 2.9846, 007: -3.5298, 028: 2.8485, 011: -6.1936, 002: -4.2472, 014: 2.6839, 031: -1.7278, 042: 0.4019, 043: -4.5298, 019: -7.3558, 044: 2.9523, 012: 1.2499, 033: 2.8696, 004: 2.6894, 005: 3.0286, 006: 2.0259, 008: -10.7918, 016: -1.9072, 023: -11.8164, 018: 2.7026, 034: -1.0967, 038: 2.5074, 029: -0.7797, 025: 2.8032"
2,0.1329333465789636,214,1.3293334539770372,"017: -0.7615, 020: 2.2709, 000: -8.3586, 027: -7.1796, 026: -11.2850, 015: 2.3044, 035: 6.1298, 041: 6.2918, 013: -4.1313, 039: 1.9129, 030: 6.3075, 001: 6.5069, 009: -0.8455, 003: 5.9919, 021: -6.9300, 022: 6.2288, 040: 1.1337, 032: 1.8657, 010: -5.0087, 024: 5.8659, 037: 5.5684, 036: 6.2505, 007: 6.2289, 028: 6.0360, 011: 1.9112, 002: 4.9787, 014: 0.5276, 031: -0.8507, 042: 5.9058, 043: 6.3306, 019: 6.2305, 044: 6.3369, 012: 6.1222, 033: 6.3769, 004: -7.1908, 005: 6.4652, 006: 6.2834, 008: -2.8018, 016: 6.4321, 023: 4.6406, 018: 0.9781, 034: 6.0806, 038: 6.1629, 029: 6.2754, 025: 6.4324"
3,0.1255345952518655,200,1.2553459412469867,"017: 5.7914, 020: 5.9361, 000: 1.2632, 027: 5.9548, 026: 6.0231, 015: 5.2688, 035: 6.0529, 041: -0.3320, 013: 6.0062, 039: -1.2464, 030: -1.9556, 001: 5.5207, 009: 5.5852, 003: -0.3383, 021: 0.0102, 022: 5.9875, 040: 5.4420, 032: 5.9261, 010: -2.0409, 024: 6.0450, 037: 2.4837, 036: 5.8477, 007: 5.9843, 028: -0.0932, 011: -0.5644, 002: 5.8174, 014: 1.6295, 031: 5.6185, 042: 3.8582, 043: 5.9178, 019: -7.6804, 044: -3.1239, 012: -3.0430, 033: 5.1276, 004: 5.9107, 005: 0.6379, 006: 5.7425, 008: -6.9606, 016: 0.0139, 023: 5.8699, 018: 6.0305, 034: 3.4693, 038: 6.1156, 029: 5.5123, 025: -0.4395"
4,0.10864826302722319,78,1.0864826050148053,"017: 2.2878, 020: -0.0161, 000: 2.2995, 027: -0.0147, 026: -10.6587, 015: 2.2372, 035: 2.3138, 041: -0.7210, 013: 2.0889, 039: -0.7845, 030: 2.2068, 001: 0.9621, 009: 2.2510, 003: 1.3464, 021: 2.2353, 022: 2.3855, 040: 2.1752, 032: -0.2262, 010: 1.3599, 024: -4.4825, 037: 0.3546, 036: 0.7451, 007: -0.8315, 028: 1.5841, 011: 2.3602, 002: -0.0404, 014: -0.9770, 031: 2.3329, 042: 2.3068, 043: 2.2547, 019: 2.1424, 044: 2.1815, 012: -0.7500, 033: 2.0319, 004: 2.1966, 005: 2.2555, 006: 0.2665, 008: 2.3040, 016: 2.3943, 023: -5.5874, 018: -2.3538, 034: 2.3441, 038: -1.0037, 029: 2.3767, 025: 2.2237"
5,0.10581201638225354,152,1.058120148017008,"017: -3.1954, 020: 4.4827, 000: 4.0703, 027: 4.4944, 026: 4.5962, 015: 4.6443, 035: 1.7341, 041: 2.0956, 013: 4.6235, 039: 4.4899, 030: 1.0699, 001: 1.3578, 009: 4.4385, 003: 3.9553, 021: 4.4407, 022: 4.5711, 040: -0.7743, 032: 3.8865, 010: -0.4771, 024: 4.5448, 037: 4.5507, 036: 0.6076, 007: 4.2879, 028: 4.5903, 011: 4.1168, 002: -1.5262, 014: 3.8238, 031: -0.6874, 042: 0.6876, 043: 0.5985, 019: 4.1588, 044: 0.6312, 012: 4.4044, 033: 0.7730, 004: 2.8783, 005: 4.4536, 006: 0.5237, 008: 4.3092, 016: -0.7070, 023: -1.9002, 018: 4.6095, 034: 1.7938, 038: 0.4528, 029: 4.3985, 025: 4.5017"
6,0.10213519981379454,128,1.0213519825936517,"017: -0.7563, 020: 3.5531, 000: -0.7190, 027: 3.2375, 026: 3.9018, 015: -2.5159, 035: 3.6588, 041: 3.8068, 013: 3.7221, 039: 0.5440, 030: -0.2503, 001: 3.7960, 009: 3.5748, 003: 3.6123, 021: 0.5622, 022: 3.2682, 040: -1.5453, 032: 3.3952, 010: 3.3158, 024: 2.0524, 037: 2.8093, 036: 3.7172, 007: 3.9589, 028: 3.8103, 011: 3.8167, 002: -0.2406, 014: 3.4465, 031: 0.8536, 042: -4.5587, 043: 3.7891, 019: 3.7254, 044: 3.7130, 012: -0.9181, 033: 3.5448, 004: 3.6903, 005: -7.9478, 006: 3.8619, 008: -0.1902, 016: 3.6255, 023: 3.7427, 018: 0.9396, 034: -8.0208, 038: 2.7117, 029: -0.7189, 025: 3.8077"
7,0.105085048450254,113,1.0508504635331397,"017: 3.3801, 020: 3.3006, 000: 0.5640, 027: 2.0138, 026: 3.0517, 015: 3.3707, 035: 3.3119, 041: 0.3572, 013: 3.1437, 039: 3.3572, 030: 0.5083, 001: 3.2164, 009: 3.3190, 003: 2.8443, 021: -0.1307, 022: -0.7787, 040: 3.3913, 032: -1.8178, 010: 3.3639, 024: 3.4454, 037: -0.9728, 036: -0.0836, 007: 3.3999, 028: 3.4358, 011: -0.9824, 002: 0.4263, 014: 3.0255, 031: 1.1848, 042: 1.3467, 043: 3.2470, 019: 3.3857, 044: 2.8218, 012: 3.2622, 033: 0.3795, 004: 3.2265, 005: -10.7976, 006: 3.2466, 008: -1.4207, 016: -3.5031, 023: 0.1008, 018: 3.3051, 034: 3.2984, 038: 2.6603, 029: -1.5235, 025: -5.1530"
8,0.10177758016804621,162,1.0177757849108893,"017: 4.0755, 020: 4.5286, 000: 4.8334, 027: 4.6559, 026: -10.7741, 015: 4.7922, 035: 1.6785, 041: 4.8364, 013: 4.6737, 039: 4.6116, 030: 0.4469, 001: 4.5503, 009: 0.4595, 003: 4.8342, 021: 4.7806, 022: -0.9245, 040: 0.5951, 032: -116.4018, 010: 4.7588, 024: 3.9904, 037: 4.5035, 036: -3.8437, 007: 4.0905, 028: 4.7494, 011: 4.7850, 002: 4.5601, 014: -0.7893, 031: -0.2544, 042: 4.8308, 043: 0.3327, 019: 1.4137, 044: 4.8124, 012: 0.0168, 033: 4.6714, 004: 4.4302, 005: -1.1130, 006: -0.7789, 008: 4.4051, 016: -5.9486, 023: -0.5327, 018: 4.6991, 034: -0.3738, 038: 2.2042, 029: -0.7934, 025: 4.9326"
9,0.10458219241109984,155,1.0458219089695862,"017: 4.6224, 020: 2.7753, 000: 4.6106, 027: 2.6841, 026: 4.2691, 015: 4.5393, 035: -19.3858, 041: 4.6292, 013: 4.5491, 039: 2.1618, 030: 4.5461, 001: -4.6631, 009: 4.6836, 003: 4.5930, 021: 4.2336, 022: 0.3907, 040: -8.7355, 032: 4.1334, 010: -1.3946, 024: 0.2762, 037: 2.3352, 036: 4.6332, 007: 3.5844, 028: 4.7183, 011: -0.6465, 002: 4.4507, 014: 4.1686, 031: 4.5863, 042: 3.6052, 043: -0.3939, 019: -1.4192, 044: 4.3116, 012: -1.8863, 033: -3.2554, 004: -0.3860, 005: 4.5805, 006: -3.9876, 008: 4.3194, 016: 4.5717, 023: -10.4813, 018: -4.9999, 034: 4.2137, 038: -0.4722, 029: -1.6922, 025: 4.5256"
