episode,sim/wall,total steps,steps/sec,score
0,0.13419326744522445,166,1.3419326563475376,"014: 5.0139, 002: 1.5387, 043: -1.0235, 038: 4.1770, 012: 3.4235, 022: 3.5600, 008: 4.7591, 027: 4.6382, 018: 4.8063, 035: 4.9547, 041: 0.0995, 033: 4.3916, 019: 0.6998, 001: 4.7270, 007: 4.4175, 006: 4.6711, 015: -3.4627, 031: 4.7215, 009: 5.0032, 020: 4.9854, 021: -1.2750, 024: 4.7930, 011: 4.8832, 030: 4.4713, 000: -0.2800, 023: 4.4281, 016: 4.4129, 005: -2.7311, 039: -1.7662, 034: 0.5779, 013: -4.7781, 003: 4.7759, 036: 3.4541, 037: 4.6876, 004: 4.9000, 026: 3.7069, 029: 3.1794, 040: 4.7225, 042: 4.7372, 010: 4.9429, 032: -0.5757, 044: 4.7694, 025: -0.2154, 017: -1.6441, 028: 4.3138"
1,0.1266252785691484,107,1.2662527606825502,"014: 2.6342, 002: -10.7052, 043: 1.6167, 038: 2.4845, 012: 1.3296, 022: -3.7567, 008: -10.7324, 027: 3.1069, 018: 1.6768, 035: 3.2304, 041: 2.7938, 033: 3.0678, 019: 3.1280, 001: 3.1200, 007: 3.2503, 006: 2.0376, 015: -4.0364, 031: -1.7502, 009: 3.1711, 020: -5.6187, 021: 1.2958, 024: 3.1173, 011: -6.2323, 030: 2.6011, 000: 3.1875, 023: -11.7461, 016: 3.0915, 005: 3.1856, 039: 3.1131, 034: -4.1909, 013: 3.2700, 003: 2.0100, 036: 3.1441, 037: 3.1051, 004: 2.7435, 026: -3.7614, 029: -1.1698, 040: 1.8625, 042: 3.1609, 010: 3.2013, 032: 1.0141, 044: 3.1444, 025: 1.3628, 017: 0.5042, 028: 0.4805"
2,0.12689438589708088,351,1.2689438513145637,"014: -0.0575, 002: 9.7914, 043: 10.1936, 038: 9.6023, 012: -6.5738, 022: 10.4461, 008: 10.3317, 027: 2.8792, 018: 1.5790, 035: 9.7363, 041: 10.2892, 033: 9.2736, 019: 10.3279, 001: -3.4854, 007: 9.7070, 006: 10.1968, 015: 3.6626, 031: 0.4510, 009: -0.8509, 020: 9.5067, 021: 10.2631, 024: 9.6697, 011: -23.8430, 030: 10.1974, 000: -8.3753, 023: 10.1238, 016: 10.3168, 005: 10.1933, 039: 10.2190, 034: 9.7222, 013: -3.5488, 003: 10.1944, 036: 10.1443, 037: 3.9652, 004: -1.9466, 026: -11.2664, 029: 10.3596, 040: 2.1974, 042: 9.6350, 010: -3.3264, 032: 9.3610, 044: 10.3458, 025: 10.1486, 017: -0.7628, 028: 9.5130"
3,0.09493158521544226,260,0.9493158471960466,"014: -2.5155, 002: 7.7779, 043: 7.8482, 038: 7.8023, 012: -5.5311, 022: 7.6248, 008: -6.9246, 027: 7.7328, 018: 7.8605, 035: 7.8840, 041: 2.0871, 033: 2.8056, 019: -7.1686, 001: 6.5961, 007: 8.0130, 006: 7.3802, 015: 5.9780, 031: 6.2888, 009: 7.4726, 020: 7.5505, 021: 0.9246, 024: 7.5594, 011: -3.2108, 030: 0.3150, 000: 2.3070, 023: 7.5276, 016: 1.4207, 005: 0.3661, 039: -1.1226, 034: 7.6436, 013: 7.6967, 003: 1.2058, 036: -2.8826, 037: -7.0114, 004: 7.6016, 026: 7.4732, 029: 7.1166, 040: 7.3762, 042: 7.3695, 010: -1.9060, 032: 7.7855, 044: -3.0900, 025: 6.6284, 017: 7.3709, 028: 7.5533"
4,0.09063388190447359,114,0.906338807018923,"014: -1.3485, 002: 3.2785, 043: 1.3000, 038: -0.8618, 012: -3.4077, 022: 3.4090, 008: 3.2663, 027: -0.0179, 018: -19.1891, 035: -0.0064, 041: -0.9401, 033: 2.8548, 019: 3.0210, 001: -0.7851, 007: -0.8437, 006: 3.3429, 015: 0.3100, 031: 3.4400, 009: 3.1853, 020: 3.3340, 021: 1.4508, 024: -4.4956, 011: 3.4721, 030: 3.1588, 000: 3.1892, 023: -8.1774, 016: 3.4432, 005: 3.3912, 039: -0.7813, 034: 3.4414, 013: 2.9697, 003: 3.2191, 036: -0.9362, 037: 0.3347, 004: 2.6825, 026: -17.0196, 029: 3.3334, 040: 3.2725, 042: 3.3237, 010: 3.4868, 032: -0.2678, 044: 3.2970, 025: 3.3488, 017: -2.3820, 028: 3.3756"
5,0.08875143112913414,229,0.8875143055507929,"014: 3.1599, 002: -1.5284, 043: 0.5016, 038: 6.1110, 012: 6.7852, 022: 6.7431, 008: 6.0296, 027: 6.7599, 018: 6.7617, 035: 6.7813, 041: 2.3980, 033: 0.8026, 019: 6.1870, 001: 1.4753, 007: 2.2673, 006: 1.7857, 015: 6.7787, 031: -10.4543, 009: 6.9032, 020: 6.5894, 021: 2.6470, 024: 6.5593, 011: 6.1530, 030: -0.5976, 000: 3.8970, 023: -2.0495, 016: -1.4872, 005: 6.7187, 039: 6.6558, 034: 1.5821, 013: 6.6414, 003: 6.3481, 036: 0.5173, 037: 6.7229, 004: 2.9719, 026: 6.9056, 029: 6.6034, 040: -0.7783, 042: 6.5089, 010: -0.5887, 032: 6.4202, 044: 0.6632, 025: 6.5317, 017: 6.1594, 028: 6.7464"
6,0.07797038822433555,173,0.7797038763785796,"014: 4.7544, 002: 4.9899, 043: -0.9409, 038: 4.9745, 012: -0.9107, 022: 3.2803, 008: -3.7668, 027: 4.5057, 018: 4.5904, 035: -3.5039, 041: 5.1584, 033: 5.0082, 019: 2.0872, 001: 3.7112, 007: 4.9139, 006: 4.8751, 015: -2.3460, 031: -7.6384, 009: 1.2594, 020: 1.8299, 021: 4.4956, 024: 2.1567, 011: 4.9664, 030: 4.8875, 000: 4.9499, 023: 4.9168, 016: 4.8950, 005: -14.8363, 039: 1.0674, 034: -8.0346, 013: 5.0636, 003: 5.0553, 036: -0.3869, 037: 5.1783, 004: 5.1200, 026: 5.2227, 029: 5.0871, 040: -4.4717, 042: 0.8820, 010: 2.7958, 032: 4.5099, 044: 5.2294, 025: 0.6536, 017: 0.0976, 028: -7.6393"
7,0.08287249529214599,167,0.8287249470385025,"014: 4.1197, 002: 4.9210, 043: 2.8630, 038: 4.8499, 012: 4.9118, 022: -0.7778, 008: -1.4166, 027: 1.9395, 018: 4.8167, 035: 0.0741, 041: 0.3602, 033: 0.5379, 019: 4.8869, 001: 4.7991, 007: 4.8118, 006: 4.9856, 015: 5.0525, 031: 3.0093, 009: 4.7536, 020: 5.0228, 021: 4.7484, 024: 4.8275, 011: -0.0578, 030: 5.0821, 000: 0.3008, 023: 0.2512, 016: 5.0369, 005: -2.4873, 039: 4.7629, 034: 3.2641, 013: 0.1171, 003: 4.5464, 036: 4.8343, 037: -0.5189, 004: 4.7598, 026: 4.0539, 029: 0.7373, 040: 4.9618, 042: 3.3039, 010: 4.7805, 032: 0.4230, 044: -0.6887, 025: -0.3945, 017: 4.7896, 028: 5.0962"
8,0.09004598553460326,106,0.900459838932372,"014: -0.3393, 002: -1.8026, 043: -4.0369, 038: 2.9197, 012: 0.3032, 022: -0.8443, 008: 2.2353, 027: 3.0321, 018: 3.1629, 035: 2.6429, 041: 3.1280, 033: 3.0905, 019: 2.1307, 001: 2.7909, 007: 3.1128, 006: -0.7771, 015: 3.1752, 031: -0.3001, 009: 3.1148, 020: 2.9636, 021: 0.3738, 024: 3.0197, 011: 1.1599, 030: -0.6779, 000: -0.7093, 023: 3.0828, 016: -1.2013, 005: -1.1392, 039: 2.6762, 034: 0.1807, 013: 3.1142, 003: 0.7674, 036: 2.9147, 037: 2.8796, 004: 2.9840, 026: -10.7828, 029: -0.3501, 040: 3.1093, 042: 3.2149, 010: 3.0008, 032: -0.8325, 044: 3.3537, 025: 1.2697, 017: 2.6426, 028: 3.1711"
9,0.08390493444061878,134,0.8390493368906242,"014: 3.8578, 002: 3.8663, 043: 1.1472, 038: 1.0913, 012: 0.1388, 022: -0.1751, 008: 3.4501, 027: -3.3841, 018: -5.4276, 035: 1.8240, 041: 3.9379, 033: -0.8575, 019: -1.4282, 001: -5.5501, 007: 3.8489, 006: -3.9881, 015: 4.0654, 031: 3.7858, 009: 3.9664, 020: 3.9505, 021: 3.9008, 024: -1.3559, 011: 1.3848, 030: 1.1437, 000: -0.6661, 023: -12.7025, 016: 3.9009, 005: 3.9996, 039: 3.8992, 034: 3.5608, 013: 0.0729, 003: 2.6658, 036: -2.2265, 037: 3.6605, 004: 3.9160, 026: 3.4398, 029: -1.6218, 040: -8.3584, 042: 4.0659, 010: 3.8886, 032: 3.1997, 044: 3.6731, 025: 3.3028, 017: 4.0015, 028: 4.0279"
10,0.09548822177087876,177,0.9548822091114402,"014: 5.3071, 002: 5.0922, 043: -0.0510, 038: 4.9236, 012: -2.8692, 022: 4.9340, 008: 2.1446, 027: 0.0179, 018: -1.3757, 035: 0.0527, 041: 4.5460, 033: -0.3837, 019: 5.2950, 001: 5.1744, 007: 5.2506, 006: -1.0111, 015: 5.2154, 031: -0.9633, 009: 5.1698, 020: 3.1972, 021: 4.8495, 024: 4.8049, 011: 0.2113, 030: 5.0032, 000: 4.8939, 023: 5.3515, 016: 0.8961, 005: 5.2308, 039: -0.6200, 034: 5.4443, 013: -0.2784, 003: 1.2986, 036: 4.9564, 037: 5.2611, 004: -0.4117, 026: 5.3858, 029: 4.7495, 040: 5.1752, 042: 5.0685, 010: -3.0830, 032: 5.2192, 044: 0.1280, 025: -0.3979, 017: -0.3244, 028: 5.1069"
11,0.08571370368870658,104,0.8571370250972963,"014: -2.5883, 002: -0.3857, 043: 3.1287, 038: 3.1922, 012: 2.4986, 022: 3.0745, 008: 0.7783, 027: -0.9284, 018: 1.7847, 035: 3.0002, 041: -5.8694, 033: 3.0383, 019: 2.7642, 001: 3.0655, 007: 3.1232, 006: 2.8977, 015: 3.2218, 031: 3.0267, 009: 0.7582, 020: 2.6372, 021: 3.2085, 024: -3.9988, 011: -9.9828, 030: 1.5215, 000: 0.8732, 023: -8.0288, 016: 2.8659, 005: 3.0763, 039: 3.0962, 034: 1.4347, 013: 3.0357, 003: 1.7301, 036: 3.0044, 037: -3.5342, 004: 3.1238, 026: 2.9494, 029: 2.8355, 040: -0.3797, 042: -4.1010, 010: 2.8077, 032: -2.6968, 044: -1.2312, 025: -2.7931, 017: 0.7400, 028: 2.5390"
MEAN,0.09816879659264938,174.0,0.9816879551299359,n/a
