episode,sim/wall,total steps,steps/sec,score
0,0.08540243499360071,114,0.8540243392584037,"054: -3.3121, 051: 0.6899, 016: -0.0910, 041: 0.1086, 047: 3.3487, 070: -10.8079, 028: 3.1970, 013: -0.1662, 011: 3.3570, 068: 2.9213, 007: 3.0055, 002: -0.8080, 073: -1.9877, 010: 3.4287, 050: 0.4233, 058: 3.1155, 059: -0.0451, 074: 3.0204, 021: 3.3793, 066: -1.5231, 064: 3.5542, 061: -0.8704, 067: 3.3794, 024: 3.2620, 032: -0.5709, 069: 3.2828, 029: 3.2448, 000: -0.2063, 026: -0.3746, 055: 3.1597, 057: 3.5049, 015: -3.0713, 043: -1.0272, 072: 3.3743, 017: -1.6430, 012: 3.4015, 044: 3.3462, 046: 3.2666, 018: 3.3426, 003: -0.1509, 019: 2.1191, 022: 3.2444, 038: 2.9494, 040: 3.3860, 039: -1.7650, 005: 0.4174, 006: 3.1038, 001: 3.3343, 037: 0.6743, 049: 3.3813, 027: 0.6763, 036: -0.0519, 056: -0.0955, 063: -3.0997, 020: 0.9581, 053: -0.2919, 023: -0.9891, 031: 3.3038, 004: 3.3273, 034: 3.3930, 042: 2.8858, 071: 3.4703, 045: 3.3056, 065: -0.6616, 033: 3.3089, 048: 3.1182, 062: 3.2828, 014: 3.2625, 025: -0.1442, 030: 3.3961, 052: 0.8294, 009: 3.4751, 008: 3.2406, 035: 3.4352, 060: 3.3289"
1,0.0818269055059894,157,0.8182690479423406,"054: -11.2788, 051: 4.8518, 016: 4.4181, 041: -10.5531, 047: 0.2721, 070: 4.1040, 028: 4.5691, 013: -0.3128, 011: 2.0253, 068: 1.7479, 007: 1.2940, 002: -0.7530, 073: 0.4003, 010: -2.8711, 050: 4.6469, 058: 4.5423, 059: 4.4995, 074: -3.7532, 021: -1.9220, 066: -0.7479, 064: 4.7124, 061: 4.7283, 067: 4.4891, 024: -4.0163, 032: -2.3125, 069: -0.2151, 029: 3.9395, 000: 1.1777, 026: -0.9695, 055: 2.7308, 057: 4.5510, 015: 4.4674, 043: 2.7951, 072: 4.5022, 017: 4.6129, 012: 4.2320, 044: 4.8083, 046: 3.4335, 018: -1.7465, 003: 4.5984, 019: -0.9811, 022: 4.3852, 038: 0.3267, 040: 0.5785, 039: 4.2295, 005: 4.7407, 006: 4.4062, 001: 4.7263, 037: -0.8450, 049: 4.5753, 027: -3.6284, 036: -0.1689, 056: 4.4640, 063: 4.4054, 020: 4.5263, 053: 4.7763, 023: 4.6330, 031: 4.7523, 004: -3.7841, 034: 4.4399, 042: -1.3592, 071: 4.8671, 045: -0.7245, 065: 4.4381, 033: 2.8190, 048: 4.2088, 062: 4.7759, 014: 4.1388, 025: 4.0330, 030: 4.2161, 052: 4.2035, 009: 4.5209, 008: -3.3408, 035: 4.7187, 060: 4.8329"
2,0.0782278643738428,124,0.7822786366786245,"054: 3.6510, 051: -0.8052, 016: 3.6278, 041: -5.9884, 047: 3.1481, 070: 3.6938, 028: 3.6660, 013: 3.3908, 011: 3.8075, 068: -3.0386, 007: -5.8578, 002: 3.6159, 073: 3.7171, 010: 3.7493, 050: -3.5304, 058: -0.8453, 059: 3.6650, 074: -1.2123, 021: -4.4157, 066: 0.9094, 064: 3.4387, 061: 3.8182, 067: 3.6225, 024: 3.6689, 032: -0.5754, 069: -0.1872, 029: 3.8652, 000: 3.8059, 026: -3.0861, 055: 2.6553, 057: -0.8124, 015: 3.4244, 043: 3.7076, 072: 2.1210, 017: 3.7977, 012: 0.4450, 044: 1.6402, 046: -0.9772, 018: 3.4088, 003: 3.4286, 019: 3.2789, 022: 0.1136, 038: 3.2896, 040: -7.3655, 039: -0.0577, 005: 3.6903, 006: -0.4504, 001: -7.6642, 037: 3.7255, 049: 3.4441, 027: 1.7024, 036: 3.2341, 056: -0.8753, 063: -1.1120, 020: 3.6455, 053: 0.1179, 023: 3.3337, 031: 3.3145, 004: 3.7575, 034: -3.7460, 042: 1.9337, 071: 3.4108, 045: 3.6591, 065: 3.7372, 033: -2.0386, 048: 3.6486, 062: 3.6463, 014: 3.6846, 025: 3.7082, 030: 3.8073, 052: -6.9934, 009: 1.8810, 008: 3.9000, 035: 3.8398, 060: 3.7025"
3,0.07476579380181969,160,0.7476579330204155,"054: -3.0925, 051: 4.6361, 016: 3.1104, 041: -0.2632, 047: -0.3446, 070: 4.7693, 028: -2.0476, 013: 4.6975, 011: -0.5058, 068: 4.7455, 007: 4.6637, 002: 1.5389, 073: -4.8011, 010: 4.5939, 050: 4.6056, 058: 4.7524, 059: 1.5378, 074: -5.8456, 021: -1.5001, 066: -1.0802, 064: 0.1092, 061: 0.0104, 067: 4.7494, 024: 4.1805, 032: 4.9258, 069: 4.8599, 029: 4.6684, 000: -0.0452, 026: 4.7318, 055: 4.6341, 057: 2.7954, 015: -0.5101, 043: 4.7013, 072: 4.5953, 017: 4.4179, 012: 4.6791, 044: 4.6675, 046: 3.2739, 018: 0.6243, 003: -3.1267, 019: 4.1306, 022: 4.4404, 038: 0.9321, 040: 4.8057, 039: -0.0556, 005: 4.1932, 006: 1.4607, 001: 0.5804, 037: 4.3192, 049: 4.5579, 027: 4.8309, 036: 0.4071, 056: 2.2748, 063: 4.2006, 020: 4.5439, 053: 4.7761, 023: 4.6756, 031: 2.6105, 004: 1.5004, 034: 1.5776, 042: 2.6463, 071: 4.5838, 045: -0.7743, 065: 4.7429, 033: 4.6428, 048: 0.8476, 062: 2.7754, 014: 4.7769, 025: 4.7731, 030: 4.7288, 052: 0.3128, 009: 3.0132, 008: 3.3347, 035: 0.6810, 060: 4.5218"
4,0.07066699186673304,127,0.7066699111673597,"054: 3.2464, 051: 3.6752, 016: -5.7578, 041: 3.7913, 047: 1.3637, 070: 3.8338, 028: 3.4119, 068: -0.9736, 013: 0.8719, 011: 2.3872, 008: -0.8019, 007: -1.1657, 002: 3.6520, 073: 3.6371, 058: 2.2794, 050: 3.8099, 059: 3.8784, 010: -0.7818, 074: 3.5798, 021: 3.7979, 066: 3.6749, 064: 0.7119, 067: 3.7623, 061: 3.8166, 024: -5.8910, 032: 3.7584, 069: 2.9053, 029: 3.8584, 000: -2.5253, 026: 3.6888, 055: 3.7446, 072: 0.1200, 057: 3.5483, 015: 0.1852, 043: 3.7918, 017: 3.8580, 046: 3.7452, 012: 3.6356, 044: 0.1755, 018: -5.1814, 019: 3.6840, 003: 3.7088, 022: 2.9149, 038: 3.7656, 040: 2.0241, 039: -3.7358, 005: 3.7455, 006: -2.5261, 001: 3.7310, 049: 3.7203, 037: -5.6906, 027: 0.7545, 036: -0.1554, 056: -6.4714, 063: 0.9516, 020: 3.2552, 053: -0.7800, 031: -0.9698, 023: 3.2194, 004: 3.7223, 042: -1.0061, 034: 3.2985, 071: 3.8695, 045: 3.1478, 065: 3.5292, 033: 0.4016, 048: 3.7980, 062: 3.6354, 014: 2.3457, 052: 3.5472, 025: -0.9504, 030: 1.6722, 009: -6.9604, 035: 3.0363, 060: 1.0961"
5,0.06356094519321454,150,0.6356094474371674,"054: -1.9718, 051: 3.9837, 016: -0.2966, 041: 4.3989, 047: 4.4722, 070: 4.1933, 028: 0.7583, 013: 0.2207, 011: -11.2995, 068: 4.2681, 007: -19.3364, 002: 3.9916, 073: -1.4268, 010: 4.5379, 050: 4.5506, 058: 2.1903, 059: 4.4094, 074: 2.5950, 021: 4.0799, 066: -27.3644, 064: 1.7437, 061: 4.3940, 067: 2.6408, 024: 1.4047, 032: -0.5674, 069: 4.1804, 029: 4.5315, 000: -30.2074, 026: 4.4928, 055: -5.1825, 057: 2.7185, 015: -7.0609, 043: 4.4635, 072: -5.3617, 017: -0.8480, 012: 4.3346, 044: 1.1102, 046: -28.4028, 018: 4.4545, 003: 4.5536, 019: -0.2294, 022: 4.0588, 038: 3.3498, 040: 4.4428, 039: 4.3449, 005: 1.2082, 006: 3.8203, 001: 4.5737, 037: 2.6409, 049: 0.7844, 027: 4.4310, 036: 4.5315, 056: 4.5148, 063: 4.3685, 020: 2.1695, 053: 4.3599, 023: 2.1845, 031: 4.5280, 004: 3.8044, 034: -1.1469, 042: 4.3079, 071: 3.1563, 045: -0.8686, 065: 4.3249, 033: 3.8779, 048: 1.9033, 062: 0.7919, 014: 4.1877, 025: 4.3857, 030: 4.5983, 052: 0.2578, 009: 3.8180, 008: 1.6434, 035: 4.5503, 060: -3.9879"
6,0.06226507206044574,144,0.6226507161111655,"054: 4.1362, 051: 4.2215, 016: 0.2892, 041: 4.2822, 047: -1.5435, 070: 4.3950, 028: 4.3985, 013: 4.2960, 011: 4.3004, 068: 4.1001, 007: -0.8032, 002: 4.3670, 073: 3.8621, 010: 2.8988, 050: -0.8673, 058: 1.3594, 059: 4.4223, 074: 1.1637, 021: 4.2079, 066: 4.2966, 064: 3.9149, 061: -1.1600, 067: 1.3334, 024: 1.4103, 032: 4.5094, 069: 3.9879, 029: 4.1590, 000: 0.5321, 026: 3.8526, 055: 4.1016, 057: 3.8349, 015: 4.1188, 043: 4.2195, 072: -4.7452, 017: 4.1939, 012: 3.7721, 044: 3.9330, 046: 1.2364, 018: 0.8017, 003: -5.2416, 019: 2.6514, 022: -1.7586, 038: 4.2169, 040: 4.2935, 039: -0.5670, 005: 3.6902, 006: 3.4555, 001: -3.2150, 037: -0.7337, 049: -5.5704, 027: 3.4772, 036: 4.3492, 056: 1.3767, 063: -2.7305, 020: 4.3322, 053: 3.9405, 023: 2.6500, 031: -0.5543, 004: 0.9009, 034: -0.5663, 042: 3.8627, 071: 4.2718, 045: -0.4869, 065: 4.0015, 033: 2.1570, 048: 4.0344, 062: 4.2786, 014: 3.7576, 025: 1.1863, 030: 4.1873, 052: 0.9334, 009: -0.5704, 008: 3.5354, 035: 4.0916, 060: 4.1474"
7,0.062425688345471686,97,0.6242568757919603,"054: 0.9426, 051: -0.0235, 016: 2.8065, 041: 2.8239, 047: -8.7497, 070: 2.1543, 028: 1.3168, 013: 0.1755, 011: 3.0572, 068: 0.5019, 007: 2.5463, 002: -0.0111, 073: 3.0309, 010: -0.0804, 050: 2.3376, 058: 2.8922, 059: 1.7964, 074: 2.2498, 021: 2.7745, 066: -0.0198, 064: -1.7671, 061: 2.7842, 067: 0.9289, 024: 2.8647, 032: 1.1287, 069: 2.8463, 029: 0.6833, 000: 2.8465, 026: 2.9374, 055: 2.9391, 057: 2.8098, 015: -0.3843, 043: 2.6422, 072: -0.8128, 017: 2.7151, 012: 0.2072, 044: 2.9876, 046: -0.0126, 018: -2.7169, 003: 2.5505, 019: 2.8137, 022: -2.5965, 038: -0.8206, 040: 2.3954, 039: 2.7866, 005: 2.8130, 006: -3.7636, 001: -1.2371, 037: -6.6385, 049: -1.3208, 027: -2.3733, 036: 0.0224, 056: 2.8262, 063: 2.7410, 020: 2.8302, 053: 1.8717, 023: -1.7680, 031: 0.1481, 004: 2.7956, 034: -1.0198, 042: 0.2216, 071: 2.9818, 045: 2.8536, 065: 1.5262, 033: 2.7857, 048: 2.8268, 062: 2.8029, 014: 2.7958, 025: 2.8915, 030: 2.6493, 052: 2.5932, 009: 2.9088, 008: 2.8708, 035: 2.7399, 060: 2.7539"
8,0.059799081837273255,148,0.5979908126121366,"054: 4.2213, 051: 4.2937, 041: 4.5273, 016: 4.4215, 047: 4.5016, 070: 0.9000, 028: 4.3883, 013: -16.5421, 068: 4.3651, 011: 0.1490, 008: 4.4190, 007: 1.9239, 002: 4.0556, 073: 3.9948, 050: 4.3551, 010: 4.1272, 059: 1.1934, 058: -2.7386, 074: -2.7006, 021: -2.8257, 066: 0.9173, 064: 4.2062, 061: 1.0505, 067: -13.5385, 024: -28.4172, 032: 4.2361, 069: 1.0771, 029: 1.9949, 000: 4.3173, 026: 4.3565, 055: 4.3478, 072: 3.1679, 057: -0.5143, 015: 3.8433, 043: -2.4248, 017: 4.1382, 046: -2.2138, 012: 4.5802, 044: 4.3633, 018: 4.0311, 019: -11.2721, 003: 4.3891, 022: 4.3513, 038: -2.1592, 040: 4.3399, 039: 4.4736, 005: 0.1380, 006: 4.2680, 001: 2.3534, 037: 4.4432, 049: -0.8229, 027: 4.4267, 036: -0.7331, 056: 4.3628, 063: 4.4714, 020: 4.4198, 053: -3.5527, 031: 4.4764, 023: 2.5243, 004: 4.3895, 042: -0.7264, 034: 4.5846, 071: 4.2139, 045: -18.9150, 065: 0.0589, 062: 0.6562, 048: 4.3264, 033: 4.2909, 014: -0.5088, 052: 2.3896, 030: 3.9601, 025: 4.1750, 035: -1.2781, 009: 4.2585, 060: 4.4092"
9,0.05836860712756511,132,0.5836860669681752,"054: -3.3013, 051: 3.7130, 016: 2.9466, 041: 3.7665, 047: 3.2410, 070: 3.5418, 028: 3.4426, 013: -0.2824, 011: -0.8177, 068: 3.9784, 007: 1.6269, 002: 1.3402, 073: -4.7444, 010: 3.6782, 050: 3.7143, 058: 2.7008, 059: 3.8676, 074: -0.6025, 021: 4.0648, 066: 2.6132, 064: 3.3195, 061: -0.3680, 067: 3.9416, 024: 3.9671, 032: 2.9964, 069: -5.5943, 029: -1.4201, 000: -0.2565, 026: 0.6672, 055: -1.2333, 057: 2.1273, 015: -4.4838, 043: 2.2900, 072: -0.5340, 017: 2.5439, 012: 3.7594, 044: 3.7907, 046: 3.5930, 018: 3.8955, 003: 3.9865, 019: 1.0509, 022: 3.8197, 038: 3.9386, 040: -4.4886, 039: 2.8267, 005: -1.5226, 006: 3.8938, 001: 1.3711, 037: 3.5683, 049: 3.7523, 027: 3.9017, 036: 3.9771, 056: 3.9842, 063: 3.8044, 020: 1.2141, 053: -1.6211, 023: 3.9306, 031: 4.0301, 004: 3.7141, 034: 0.5425, 042: 3.9005, 071: 3.9372, 045: -0.8221, 065: 3.8715, 033: 3.8063, 048: 2.4550, 062: 3.3517, 014: 3.4571, 025: 3.7814, 030: 2.5320, 052: 3.8986, 009: 3.8826, 008: -0.3385, 035: -0.7510, 060: 1.9525"
