episode,sim/wall,total steps,steps/sec,score
0,0.1137576784483789,138,1.1375767688335676,"023: 1.9108, 029: 4.0663, 056: 3.9257, 016: -0.4185, 013: -25.5583, 003: 3.9683, 014: 3.9767, 038: 1.6851, 051: -0.9735, 000: -0.7842, 002: -0.9781, 010: 4.2382, 020: 4.0970, 035: -0.6298, 039: -1.7644, 053: -0.2362, 022: -0.8396, 001: -0.5859, 037: 3.7386, 055: -0.8137, 043: -1.0119, 018: 4.0977, 005: -10.4355, 021: 3.9493, 040: 3.8428, 033: 3.7260, 025: -0.7884, 017: -1.6418, 009: -0.4185, 026: 3.9520, 041: -0.0071, 011: 4.0602, 006: 3.4767, 044: 3.9511, 050: 3.6411, 007: 3.8063, 031: 4.0350, 054: 1.2410, 019: 0.1268, 059: -0.8468, 032: -0.5828, 012: 4.0346, 057: 4.2506, 045: 4.0162, 036: 3.8984, 030: 4.0180, 052: 1.4187, 058: 4.0782, 049: -0.8163, 004: 3.7135, 027: 4.1702, 024: 3.8707, 034: 1.4155, 046: 3.9205, 047: 3.8648, 008: 4.0395, 042: 3.7652, 028: 4.0516, 015: -1.8982, 048: 3.8048"
1,0.10156866163807121,147,1.0156866063416423,"023: 4.3722, 029: 0.3718, 056: 0.9798, 016: 4.3977, 013: 4.3915, 003: -11.2725, 014: 4.2228, 038: 3.5987, 051: 0.1329, 000: 0.2090, 002: -3.7677, 010: 3.8213, 020: 1.9096, 035: 0.1239, 039: 4.4442, 053: 3.7551, 022: 4.1705, 001: 3.9046, 037: 4.2062, 055: 4.4078, 043: -0.9784, 018: 3.9638, 005: -3.0013, 021: 1.7674, 040: -0.9657, 033: 4.4563, 025: 4.2411, 017: 4.1729, 009: 3.9387, 026: 0.5668, 041: 4.3235, 011: 4.3159, 006: -3.8786, 044: -0.4715, 050: -1.0015, 007: -4.9785, 031: 4.1281, 054: 3.8819, 019: 4.2255, 059: 4.1986, 032: -2.1072, 012: -1.5325, 057: 4.2005, 045: -1.5039, 036: 1.4676, 030: 0.5731, 052: 4.3835, 058: 4.3404, 049: 1.8669, 004: 4.3739, 027: 4.1949, 024: -0.4032, 034: 4.2739, 046: 4.1435, 047: 4.4141, 008: 4.2906, 042: -0.6412, 028: 4.4753, 015: 4.2254, 048: -3.9553"
2,0.09892512366111098,132,0.9892512242380417,"023: -0.8183, 029: 4.0129, 056: 3.9394, 016: 3.5475, 013: 3.8564, 003: -14.6039, 014: 3.7753, 038: -6.8701, 051: 2.0072, 000: 1.3623, 002: 0.1109, 010: 2.7212, 020: 3.8359, 035: 3.9044, 039: -8.3360, 053: 3.8183, 022: 3.6179, 001: -0.7737, 037: 1.5958, 055: 3.9401, 043: 2.6264, 018: 2.1454, 005: 3.9952, 021: -3.0614, 040: -2.0388, 033: 1.2891, 025: 0.4358, 017: 3.8840, 009: 3.8583, 026: 0.8130, 041: -3.8950, 011: -0.0842, 006: -3.7536, 044: 3.8973, 050: 3.9532, 007: 2.3231, 031: 3.3517, 054: 0.7383, 019: 3.8203, 059: 3.9021, 032: 3.8942, 012: -6.5561, 057: 3.8651, 045: 3.6186, 036: 3.9889, 030: -8.6243, 052: 2.8655, 058: 1.8325, 049: -7.2748, 004: 4.0217, 027: 4.0237, 024: 3.3345, 034: 3.9287, 046: 3.9354, 047: 3.9030, 008: 3.8504, 042: 0.1811, 028: 4.1220, 015: 0.6834, 048: 3.8274"
3,0.10247261345485852,100,1.024726114520211,"023: 2.9151, 029: 2.8069, 056: -5.1528, 016: 2.8936, 013: 3.0316, 003: 2.8011, 014: -0.8469, 038: 2.7737, 051: 2.9684, 000: 3.0419, 002: -0.3161, 010: -0.3895, 020: 2.4804, 035: 2.4935, 039: -0.2983, 053: 2.6682, 022: 2.9098, 001: 3.1148, 037: 2.9700, 055: 2.5402, 043: -0.4310, 018: 2.9585, 005: 2.6363, 021: 2.8534, 040: 2.5925, 033: -9.1316, 025: -2.0747, 017: -0.3477, 009: 3.1042, 026: 1.8335, 041: 2.9334, 011: 2.8512, 006: -3.5322, 044: 0.4023, 050: 2.8388, 007: 3.0061, 031: -4.6066, 054: -0.4169, 019: -5.0507, 059: 2.8261, 032: 3.0317, 012: -0.6750, 057: 2.8286, 045: -1.0025, 036: 2.8583, 030: -4.1530, 052: -11.8810, 058: -7.2882, 049: 2.8711, 004: 3.1345, 027: -0.2268, 024: 0.5227, 034: 2.8495, 046: -0.7841, 047: 2.7770, 008: 0.8781, 042: -0.2337, 028: 2.8740, 015: 2.8918, 048: -0.8194"
4,0.0810295510928806,166,0.8102955043276968,"023: 0.6881, 029: 0.5812, 056: -7.0174, 016: 4.8229, 013: 5.0572, 003: -0.8552, 014: 4.9834, 038: -1.7311, 051: 4.8831, 000: 4.8258, 002: 4.8865, 010: -2.0484, 020: -0.3979, 035: 4.9842, 039: 4.8422, 053: 4.8093, 022: 5.0395, 001: 3.6779, 037: 4.7638, 055: -4.4998, 043: 1.8660, 018: 0.1943, 005: 4.9838, 021: 1.0229, 040: 4.8487, 033: 2.2090, 025: 4.6986, 017: 1.1971, 009: 4.9887, 026: 4.9947, 041: 4.8402, 011: 5.0218, 006: 4.9351, 044: 4.4106, 050: 5.0292, 007: 0.6949, 031: 2.1985, 054: -3.6935, 019: 4.6648, 059: 4.7060, 032: 4.9341, 012: 5.0007, 057: 0.7049, 045: 4.6734, 036: -3.0883, 030: -13.9556, 052: 4.9189, 058: 4.6922, 049: 2.4523, 004: 4.2589, 027: -0.7775, 024: 4.7253, 034: -0.6577, 046: 1.6942, 047: 3.6703, 008: 4.8151, 042: -45.7371, 028: 1.4006, 015: 4.8438, 048: -1.1691"
5,0.07657315704642866,120,0.765731562309549,"023: -4.7572, 029: -5.7170, 056: 3.3727, 016: 0.1678, 013: -0.7936, 003: 3.5583, 014: -6.9740, 038: -2.2393, 051: 3.5033, 000: -4.1087, 002: 3.5347, 010: 3.4505, 020: -0.4490, 035: 2.4472, 039: 3.0299, 053: 3.5286, 022: 3.6897, 001: 3.5611, 037: 3.2485, 055: 3.5914, 043: 3.3546, 018: 3.5489, 005: -4.5674, 021: -13.5590, 040: 3.2305, 033: 2.9433, 025: 3.1310, 017: 3.6068, 009: 0.0539, 026: 3.4672, 041: -9.8831, 011: -13.5027, 006: 0.3335, 044: -0.9834, 050: -0.9818, 007: 3.4178, 031: 3.3321, 054: 3.5786, 019: 1.7227, 059: 3.0414, 032: 3.4985, 012: -1.1597, 057: 3.3269, 045: 3.0201, 036: -1.0074, 030: -0.9883, 052: -4.3900, 058: -0.7784, 049: -0.4681, 004: 1.2198, 027: 3.1984, 024: 3.0012, 034: 3.6620, 046: 3.5706, 047: 3.7065, 008: 3.5261, 042: 0.0347, 028: 2.0454, 015: -0.7754, 048: 3.5522"
6,0.07043407341457593,118,0.70434072512452,"023: -0.3418, 029: 3.4216, 056: 3.5048, 016: -0.3375, 013: -0.8469, 003: 3.4955, 014: 3.5372, 038: 3.4743, 051: 3.3340, 000: -0.2667, 002: 3.4876, 010: 0.1111, 020: 3.3492, 035: 1.9331, 039: -0.4794, 053: 2.2431, 022: -0.7805, 001: -1.7840, 037: 3.5119, 055: 1.5651, 043: 2.0995, 018: 3.4627, 005: 3.5730, 021: -1.1252, 040: 2.1578, 033: 3.3110, 025: 3.3324, 017: 3.4283, 009: 2.9671, 026: 3.4401, 041: -0.2745, 011: 3.6263, 006: -0.8219, 044: 3.6572, 050: -0.0758, 007: 3.5334, 031: 3.6287, 054: 3.4539, 019: 3.5431, 059: 2.1323, 032: -1.6209, 012: 3.4066, 057: 3.5011, 045: -0.6513, 036: 1.3657, 030: -0.6312, 052: 3.4120, 058: 3.6298, 049: 3.4869, 004: 3.4062, 027: -0.2808, 024: 3.1007, 034: 3.3826, 046: 1.5481, 047: -0.3133, 008: 3.4609, 042: -10.8213, 028: 3.2574, 015: 3.3371, 048: 0.2669"
7,0.06375390875636108,135,0.6375390832566471,"023: 0.3666, 029: -0.6318, 056: 0.4024, 016: 0.1198, 013: -1.4232, 003: 3.6912, 014: 3.9620, 038: 3.7376, 051: 4.0925, 000: 1.4312, 002: 3.9465, 010: 3.7657, 020: 3.2976, 035: 3.9358, 039: 3.4289, 053: 3.9105, 022: 3.8417, 001: 3.8781, 037: 1.8363, 055: 1.2363, 043: 4.1021, 018: -8.7447, 005: -1.8104, 021: 2.8779, 040: 2.4974, 033: 3.9666, 025: 3.7653, 017: -3.9065, 009: 3.9799, 026: 3.7051, 041: 3.8480, 011: 4.0903, 006: -0.2917, 044: 3.9222, 050: -2.4257, 007: 2.3825, 031: 2.4123, 054: 3.9249, 019: 2.2551, 059: -4.1939, 032: 1.7910, 012: -5.0367, 057: 3.8788, 045: 4.0880, 036: 4.0597, 030: 4.0497, 052: 4.0286, 058: 1.1586, 049: 3.9495, 004: 3.8386, 027: -2.1984, 024: 0.6845, 034: -9.1187, 046: 3.8077, 047: 0.5944, 008: 3.8472, 042: 3.9240, 028: 3.3415, 015: 3.9837, 048: 3.8699"
8,0.0688580950804267,188,0.6885809447912524,"023: 5.1943, 029: -2.7110, 056: 5.3930, 016: -0.8623, 013: 5.4181, 003: 5.6397, 014: 4.8798, 038: -5.0203, 051: -10.3094, 000: 5.2774, 002: 5.5810, 010: 5.2797, 020: 5.5482, 035: 5.3110, 039: 5.5623, 053: 0.6949, 022: 0.3995, 001: 5.1799, 037: 0.6046, 055: 5.4453, 043: 5.3351, 018: 5.6421, 005: 5.5152, 021: 5.3276, 040: 2.1474, 033: -1.5070, 025: 0.3310, 017: 5.3191, 009: 5.6348, 026: 4.9554, 041: -2.9204, 011: -2.8617, 006: 5.6432, 044: -0.0152, 050: 5.0612, 007: 5.5980, 031: 0.2427, 054: 5.5828, 019: 4.7204, 059: -5.7339, 032: 5.6234, 012: 5.6164, 057: 0.6171, 045: -0.2326, 036: 5.7192, 030: 4.8391, 052: -0.9569, 058: 1.8266, 049: 5.5629, 004: 5.3217, 027: -3.8409, 024: 2.7912, 034: -0.3451, 046: 0.9066, 047: 5.3825, 008: 5.0105, 042: -0.2182, 028: 5.6685, 015: -10.7795, 048: 0.6327"
9,0.06754782476150663,84,0.6754782411398609,"023: 2.4457, 029: 2.4086, 056: 2.5753, 016: 2.5134, 013: -1.7662, 003: -0.1731, 014: 2.3583, 038: 2.5150, 051: 2.4918, 000: 1.9273, 002: -0.1779, 010: 2.4675, 020: 2.3753, 035: 2.4753, 039: -0.7916, 053: 2.3779, 022: 2.5488, 001: 2.5506, 037: -8.3609, 055: 2.4223, 043: -0.6621, 018: 1.2930, 005: -0.3660, 021: 0.2054, 040: 0.7044, 033: 2.5247, 025: 2.3610, 017: -2.2065, 009: 2.2510, 026: 0.1304, 041: 2.4314, 011: 2.5172, 006: 2.4803, 044: 0.0512, 050: 1.2154, 007: 2.3481, 031: 2.5057, 054: -1.7680, 019: 2.3762, 059: 2.5135, 032: 2.3302, 012: 1.1678, 057: 0.9873, 045: -0.8258, 036: 0.1443, 030: 2.0257, 052: 2.3362, 058: -0.2396, 049: -0.6815, 004: 2.4820, 027: -6.6639, 024: -1.0119, 034: 2.5781, 046: 2.5056, 047: 0.3196, 008: -2.8857, 042: 2.4804, 028: 2.4304, 015: 1.4533, 048: 0.3172"
