episode,sim/wall,total steps,steps/sec,score
0,0.1315735238608507,222,1.315735229312549,"007: 6.1255, 044: 6.0571, 021: 6.0731, 031: -0.9188, 016: 0.9917, 036: 2.7998, 006: 6.0644, 012: 6.5172, 022: 2.2095, 024: 0.1490, 003: 6.5288, 043: -1.0188, 001: 6.6574, 010: 2.2922, 014: 6.1667, 002: 1.6706, 018: 6.5140, 037: 6.3377, 027: 6.2195, 040: 2.2995, 042: 6.2639, 013: 0.3357, 011: 6.4995, 000: 6.3840, 008: 6.4640, 026: 3.5758, 035: 6.6688, 029: 6.4482, 019: 2.4718, 023: 4.1507, 009: 5.9345, 015: -4.0521, 038: 5.8160, 034: 0.1786, 025: 6.1530, 017: -1.6422, 020: 6.3609, 032: -0.6110, 033: 5.9145, 041: -3.4923, 005: -2.1725, 039: -1.7663, 030: 6.3037, 004: 6.4913, 028: 5.6583"
1,0.12998110078812536,99,1.2998109753309308,"007: 2.9787, 044: 0.3859, 021: -0.9696, 031: -3.4621, 016: -3.1951, 036: 2.8810, 006: -1.0062, 012: 2.3886, 022: -3.7574, 024: 2.9438, 003: 2.3846, 043: 3.0351, 001: 1.5551, 010: 2.9418, 014: 2.8605, 002: -1.9371, 018: 2.6728, 037: 2.9719, 027: 2.7381, 040: 3.0444, 042: -1.0618, 013: 2.8939, 011: -6.2697, 000: 3.0116, 008: -10.7590, 026: -3.5093, 035: 2.5919, 029: 2.9483, 019: 2.9432, 023: -11.1202, 009: 2.9696, 015: -4.0471, 038: 2.7419, 034: 2.8615, 025: 1.0405, 017: -1.0216, 020: -5.7316, 032: 1.0371, 033: 2.9977, 041: 2.9214, 005: 1.4905, 039: 2.8462, 030: -0.9904, 004: 2.6409, 028: 2.9517"
2,0.12928104066640742,147,1.2928103931102313,"007: 4.3719, 044: 4.2295, 021: 4.3213, 031: 4.2725, 016: 4.3434, 036: 4.4302, 006: 4.2737, 012: 1.2587, 022: 4.3185, 024: 3.9326, 003: 4.3036, 043: 4.3239, 001: 4.2886, 010: -7.7131, 014: 0.6230, 002: 2.6365, 018: 2.3195, 037: 4.0806, 027: 2.5206, 040: 3.1502, 042: 3.8747, 013: -2.8172, 011: 2.8447, 000: -8.0416, 008: -0.1413, 026: -10.8273, 035: 3.9518, 029: 4.3770, 019: 4.3789, 023: 4.1897, 009: -0.8457, 015: 0.5274, 038: 4.3512, 034: 2.7935, 025: 4.4438, 017: -0.7081, 020: 3.0481, 032: 2.4825, 033: 4.3989, 041: 4.4135, 005: 0.5955, 039: 2.4893, 030: 4.1845, 004: -7.9213, 028: 4.3096"
3,0.11305885981083656,210,1.1305885864986926,"007: 2.5940, 044: -3.1206, 021: 2.8116, 031: 5.9555, 016: 1.7236, 036: 6.1354, 006: 6.4493, 012: 0.1580, 022: 6.0733, 024: 6.2114, 003: 0.1827, 043: 6.3825, 001: 5.3793, 010: -2.0463, 014: 5.0263, 002: 6.1676, 018: 6.1275, 037: 1.5459, 027: 1.0799, 040: 6.0005, 042: 3.0609, 013: 6.3568, 011: -1.4144, 000: -3.2574, 008: -6.9598, 026: 6.0305, 035: 6.0925, 029: 3.6736, 019: -7.6741, 023: 6.1996, 009: 6.1276, 015: 5.6692, 038: 6.2746, 034: -7.6643, 025: 3.6255, 017: 3.6977, 020: 6.1274, 032: 5.9588, 033: 5.9657, 041: 0.1576, 005: 0.0941, 039: -0.5907, 030: -0.8324, 004: 6.2536, 028: 6.2453"
4,0.10326148282891696,134,1.0326148150088037,"007: -0.8405, 044: 3.9261, 021: 3.5795, 031: 3.9062, 016: 4.0509, 036: -0.7852, 006: -0.8238, 012: 3.8708, 022: 4.0548, 024: -4.4839, 003: 4.0444, 043: 1.9912, 001: 0.9011, 010: 4.0815, 014: 3.9321, 002: 3.9350, 018: -9.4234, 037: 0.2976, 027: 3.8238, 040: 1.3506, 042: 3.8782, 013: 3.8229, 011: 3.9482, 000: -0.8178, 008: 4.0427, 026: -3.0144, 035: 3.7578, 029: 3.9494, 019: 1.8793, 023: -3.3716, 009: 3.8702, 015: 2.6636, 038: -0.8557, 034: 4.0298, 025: 4.0058, 017: 0.0708, 020: 3.8299, 032: -3.3293, 033: 3.6861, 041: -1.1562, 005: 4.0924, 039: -0.7848, 030: 0.1624, 004: 3.6983, 028: 3.6139"
5,0.09648782965115402,183,0.9648782880210626,"007: 4.2162, 044: 1.7862, 021: 4.1331, 031: 0.3640, 016: -0.7203, 036: 1.1884, 006: 1.9182, 012: 5.2460, 022: -1.8693, 024: 5.2909, 003: 4.8522, 043: 1.0319, 001: -12.3102, 010: -0.4482, 014: 0.5246, 002: -1.5281, 018: 5.2863, 037: 5.3506, 027: 5.5158, 040: -0.7687, 042: 5.0798, 013: 4.9106, 011: 4.7664, 000: 4.9791, 008: 4.9189, 026: 5.4955, 035: 5.4320, 029: 5.3700, 019: 4.9968, 023: -1.9007, 009: 5.4027, 015: 5.4849, 038: 4.8667, 034: 1.8999, 025: 5.1596, 017: 4.6582, 020: -1.1202, 032: 4.9969, 033: -1.3620, 041: -2.6515, 005: -1.9052, 039: 5.5201, 030: 0.0366, 004: 0.5701, 028: 5.4306"
6,0.09330149697421843,165,0.9330149596792797,"007: 4.6673, 044: 5.0360, 021: 4.4451, 031: 4.9089, 016: 4.7480, 036: 4.6780, 006: 4.8780, 012: -0.9259, 022: 4.5557, 024: 1.9957, 003: 4.8217, 043: 4.8498, 001: 3.6779, 010: 4.4199, 014: 4.3515, 002: -0.5088, 018: 4.2183, 037: 4.9399, 027: 4.4243, 040: -3.2315, 042: 4.7006, 013: 5.0222, 011: 4.9229, 000: 0.4220, 008: 0.1661, 026: 4.8727, 035: 2.4109, 029: 0.3935, 019: 2.4139, 023: 4.5844, 009: 2.0664, 015: -2.3460, 038: 2.5396, 034: -7.5937, 025: 4.9095, 017: 0.1546, 020: 1.9742, 032: 4.3349, 033: 4.7609, 041: 4.6110, 005: -2.0997, 039: 4.8334, 030: -0.5143, 004: 4.9605, 028: -10.8965"
7,0.09129113797214605,132,0.9129113691843521,"007: 3.8105, 044: -2.2160, 021: 0.3402, 031: 3.5645, 016: 3.7119, 036: 0.4857, 006: 3.5517, 012: 3.8831, 022: -0.7802, 024: 4.0336, 003: 3.3700, 043: 3.7757, 001: 3.7828, 010: 3.9557, 014: 2.1948, 002: 3.8359, 018: 4.0140, 037: -0.9730, 027: 1.9944, 040: 3.8722, 042: 3.8887, 013: 3.6591, 011: -0.9958, 000: -0.9905, 008: -1.4254, 026: 1.5190, 035: 3.8924, 029: 0.5673, 019: 4.0149, 023: 0.3901, 009: 1.8717, 015: 1.9079, 038: 3.6497, 034: 3.8388, 025: -3.5024, 017: 3.8609, 020: 3.9410, 032: -0.8438, 033: 3.7173, 041: -2.1305, 005: -0.1078, 039: 3.8943, 030: 3.7170, 004: 1.7073, 028: 4.1071"
8,0.09341356957408017,126,0.9341356808803507,"007: 3.4915, 044: 3.7930, 021: 3.7718, 031: -0.3612, 016: -7.2692, 036: 3.5690, 006: -0.7796, 012: 3.4559, 022: -2.0853, 024: 3.3679, 003: 3.7487, 043: -5.9640, 001: 0.2435, 010: 3.5511, 014: 0.3219, 002: -0.2259, 018: 3.8136, 037: 3.5093, 027: 3.4671, 040: 3.6990, 042: 3.7778, 013: 1.6315, 011: 1.1211, 000: -6.7855, 008: 3.3410, 026: -11.2707, 035: 2.1233, 029: 3.6060, 019: 1.4703, 023: 2.4791, 009: 3.6955, 015: 3.7288, 038: 1.8045, 034: 0.2301, 025: 1.1090, 017: 3.2301, 020: 3.2052, 032: -32.1445, 033: 3.8156, 041: 3.8112, 005: -1.0370, 039: 3.1906, 030: 1.5263, 004: 3.5390, 028: 3.3824"
9,0.08733250883414775,108,0.8733250765554827,"007: 3.2310, 044: 3.1477, 021: 3.0826, 031: 3.2294, 016: 3.0343, 036: 3.2518, 006: -4.2844, 012: -0.2895, 022: -2.0773, 024: 0.3718, 003: 3.1361, 043: 1.1913, 001: -3.9856, 010: 2.3173, 014: 3.1135, 002: 2.1931, 018: -5.3648, 037: 0.7878, 027: -6.7786, 040: -8.7533, 042: 3.2685, 013: -0.4004, 011: 1.1446, 000: -0.3595, 008: 2.7434, 026: 2.8662, 035: -0.6923, 029: 2.8721, 019: -1.4189, 023: -5.0508, 009: 3.1380, 015: 3.3253, 038: 1.1892, 034: 2.8139, 025: 3.0055, 017: 3.2011, 020: 3.1380, 032: 2.8834, 033: -8.2275, 041: 3.1432, 005: 3.2642, 039: 3.2146, 030: 1.0437, 004: 3.0929, 028: 3.1734"
