episode,sim/wall,total steps,steps/sec,score
0,0.6885422147498337,642,6.88542205946722,"007: 2.1875, 002: -0.7307, 003: 15.5974, 006: 18.3080, 005: 0.8260, 000: 2.3592, 009: 16.9347, 008: 17.8503, 004: 18.4802, 001: 17.8219"
1,0.5690653585210113,172,5.6906533158785955,"007: 3.5324, 002: -1.6419, 003: 5.1859, 006: 5.2151, 005: -3.2085, 000: 4.8031, 009: 2.6367, 008: 4.4689, 004: 4.8084, 001: 0.4993"
2,0.6069813740264285,254,6.069813532768946,"007: -1.7696, 002: 3.8188, 003: 7.3615, 006: 6.8450, 005: 3.8096, 000: -3.2171, 009: 0.1604, 008: 7.0360, 004: 2.0018, 001: 6.9825"
3,0.4252626132342256,163,4.252625973627198,"007: 4.7175, 002: -1.5447, 003: -0.2781, 006: 4.4797, 005: 4.7719, 000: 4.8846, 009: 3.5041, 008: 4.7305, 004: 1.0159, 001: -1.3157"
4,0.3833799626595983,177,3.8337994682104104,"007: 4.9982, 002: 4.8503, 003: -10.7602, 006: -1.1518, 005: 5.1875, 000: 2.1536, 009: 5.3396, 008: 2.8542, 004: 5.1744, 001: 2.8356"
5,0.40753446085463385,99,4.075344248568265,"007: 2.9605, 002: 2.6617, 003: -3.9964, 006: 1.5243, 005: -4.9787, 000: 3.0448, 009: 2.9070, 008: -6.0470, 004: -0.9317, 001: 2.9822"
6,0.361362914259503,256,3.6136290453029996,"007: 7.5610, 002: 7.5825, 003: 7.6733, 006: -0.7678, 005: -4.2148, 000: 7.3254, 009: -2.0142, 008: 7.5951, 004: -11.4818, 001: 1.5935"
7,0.27966564199334426,110,2.796656284315983,"007: 3.1810, 002: -8.9567, 003: 3.3962, 006: 0.7083, 005: -0.5934, 000: 3.2813, 009: 3.0619, 008: 0.6644, 004: 3.3217, 001: -0.9912"
8,0.3759398641484944,67,3.759398138561368,"007: -4.0154, 002: -0.9799, 003: -3.2629, 006: 2.0013, 005: 1.9245, 000: 2.0128, 009: -0.9928, 008: 2.0374, 004: -2.0837, 001: 1.9304"
9,0.31014330460663536,81,3.101432847878101,"007: 2.3970, 002: 2.3390, 003: -1.8559, 006: 1.8547, 005: -2.6202, 000: 2.4433, 009: 0.4976, 008: -10.7163, 004: -0.8404, 001: 2.3990"
10,0.3059094937258304,257,3.0590948851695305,"007: 7.7009, 002: 6.9983, 003: 7.1989, 006: -1.6402, 005: -10.7571, 000: -1.7857, 009: 5.4759, 008: 6.4539, 004: 7.7334, 001: 5.8308"
11,0.3132571200955985,81,3.1325709698841924,"007: 2.3866, 002: 2.4073, 003: 2.2805, 006: 2.4659, 005: -14.5472, 000: -2.7179, 009: 2.3502, 008: -3.7639, 004: 0.1623, 001: -0.3587"
12,0.3685385603742133,256,3.6853855278464205,"007: 7.4945, 002: -126.3198, 003: 7.8077, 006: 1.3768, 005: 7.4720, 000: 0.6452, 009: -12.5739, 008: -0.7972, 004: 2.3042, 001: 7.2312"
13,0.36989985664293856,153,3.698998438500615,"007: -0.9757, 002: -4.3818, 003: 4.3342, 006: -1.0103, 005: 0.3884, 000: 4.1764, 009: -1.8988, 008: 4.5273, 004: -0.3850, 001: 4.4332"
14,0.30627235690252014,299,3.0627235166672624,"007: -4.7028, 002: 8.7609, 003: 8.1471, 006: 2.1618, 005: 8.9442, 000: 3.3431, 009: 8.2975, 008: 6.1114, 004: 8.6752, 001: 0.1382"
15,0.2750596303565114,195,2.750596238812512,"007: 1.3671, 002: 5.8582, 003: 5.2445, 006: 4.3469, 005: 1.0516, 000: 3.8873, 009: 2.6700, 008: 3.5770, 004: 5.9264, 001: 5.9547"
16,0.36325704460956165,87,3.6325701568019766,"007: -0.8723, 002: 2.7127, 003: 2.2532, 006: 1.0924, 005: 2.3636, 000: 2.6090, 009: 0.2539, 008: -6.0081, 004: 2.5766, 001: -0.8723"
17,0.3865699186380159,176,3.8656990446763366,"007: -0.8429, 002: -0.5605, 003: 4.9254, 006: 4.7904, 005: -0.5638, 000: 4.7721, 009: 3.3737, 008: 5.2968, 004: -112.7119, 001: 1.2634"
18,0.3266201967799832,83,3.2662017839347324,"007: -4.4967, 002: 2.4384, 003: 1.3872, 006: -2.0850, 005: 2.4899, 000: 0.1787, 009: -1.4237, 008: 2.4676, 004: 2.3853, 001: -0.1161"
19,0.35548482482338745,84,3.5548480330279784,"007: 2.2724, 002: -3.8125, 003: 2.4656, 006: -1.6432, 005: 2.3336, 000: -1.3399, 009: 2.4686, 008: 2.4006, 004: -0.7844, 001: 1.1342"
20,0.26416696789730604,151,2.6416696128624126,"007: 3.1137, 002: -25.5790, 003: 4.5960, 006: 3.5283, 005: 4.6685, 000: 2.6564, 009: 3.4087, 008: 2.9309, 004: 4.4779, 001: 4.6058"
