,mem_usage,step,replay_usage
0,100,703373312,0
1,200,703889408,0
2,300,728666112,0
3,400,728907776,0
4,500,729362432,0
5,600,729739264,0
6,700,729952256,0
7,800,730140672,0
8,900,730345472,0
9,1000,742055936,0
10,1100,743649280,0
11,1200,744460288,0
12,1300,745000960,0
13,1400,745717760,0
14,1500,746172416,0
15,1600,746172416,0
16,1700,746434560,0
17,1800,747847680,0
18,1900,748929024,0
19,2000,758685696,0
20,2100,777355264,0
21,2200,777355264,0
22,2300,777355264,0
23,2400,777355264,0
24,2500,765648896,0
25,2600,765648896,0
26,2700,765648896,0
27,2800,765792256,0
28,2900,766054400,0
29,3000,766058496,0
30,3100,766320640,0
31,3200,766320640,0
32,3300,775495680,0
33,3400,775757824,0
34,3500,775983104,0
35,3600,776019968,0
36,3700,776019968,0
37,3800,768020480,0
38,3900,768020480,0
39,4000,768020480,0
40,4100,771260416,0
41,4200,771260416,0
42,4300,771260416,0
43,4400,771260416,0
44,4500,777904128,0
45,4600,777904128,0
46,4700,778895360,0
47,4800,778895360,0
48,4900,778895360,0
49,5000,778895360,0
50,5100,778895360,0
51,5200,778895360,0
52,5300,778952704,0
53,5400,779214848,0
54,5500,777641984,0
55,5600,777641984,0
56,5700,777641984,0
57,5800,777641984,0
58,5900,777641984,0
59,6000,777641984,0
60,6100,779522048,0
61,6200,777838592,0
62,6300,777838592,0
63,6400,777838592,0
64,6500,775073792,0
65,6600,775073792,0
66,6700,775073792,0
67,6800,779280384,0
68,6900,782135296,0
69,7000,782135296,0
70,7100,782135296,0
71,7200,782135296,0
72,7300,774291456,0
73,7400,774291456,0
74,7500,774291456,0
75,7600,777175040,0
76,7700,780058624,0
77,7800,780058624,0
78,7900,780644352,0
79,8000,780644352,0
80,8100,780644352,0
81,8200,778489856,0
82,8300,778489856,0
83,8400,778489856,0
84,8500,779395072,0
85,8600,779665408,0
86,8700,779665408,0
87,8800,781078528,0
88,8900,777568256,0
89,9000,777568256,0
90,9100,777568256,0
91,9200,779419648,0
92,9300,779419648,0
93,9400,779669504,0
94,9500,782745600,0
95,9600,782745600,0
96,9700,783007744,0
97,9800,779202560,0
98,9900,779202560,0
99,10000,779202560,0
