,mem_usage
0,473.4609375
1,473.62890625
2,506.09375
3,562.95703125
4,675.18359375
5,777.80078125
6,779.98046875
7,793.58203125
8,817.18359375
9,821.34375
10,827.11328125
11,830.94921875
12,832.8984375
13,834.328125
14,836.28515625
15,838.22265625
16,839.45703125
17,840.82421875
18,841.98046875
19,843.45703125
20,844.76171875
21,846.1796875
22,847.4921875
23,848.66796875
24,850.15234375
25,851.3984375
26,852.64453125
27,854.140625
28,855.41015625
29,856.72265625
30,857.99609375
31,859.47265625
32,860.74609375
33,861.2265625
34,862.234375
35,865.1796875
36,869.15625
37,871.87890625
38,874.53515625
39,876.57421875
40,878.1484375
41,879.9296875
42,880.90625
43,882.59765625
44,884.453125
45,885.47265625
46,886.83203125
47,888.27734375
48,889.26953125
49,890.83984375
50,891.984375
51,893.625
52,894.85546875
53,896.22265625
54,897.48046875
55,898.71484375
56,900.96484375
57,901.74609375
58,905.58203125
59,907.03125
60,909.45703125
61,911.38671875
62,913.19921875
63,915.23828125
64,916.1640625
65,918.41015625
66,919.609375
67,920.8984375
68,922.2109375
69,923.5234375
70,924.6796875
71,925.86328125
72,927.46484375
73,928.75
74,930.4453125
75,931.609375
76,933.09765625
77,934.34375
78,936.12109375
79,939.09375
80,942.8046875
81,945.20703125
82,945.953125
83,946.71875
84,948.34765625
85,949.6015625
86,951.10546875
87,952.6328125
88,953.69921875
89,955.21484375
90,956.38671875
91,957.65625
92,958.7578125
93,960.125
94,961.46875
95,962.90234375
96,964.046875
97,965.6796875
98,966.82421875
99,968.46484375
100,969.89453125
101,971.046875
102,972.67578125
103,973.83203125
104,975.2578125
105,976.62109375
106,978.2265625
107,979.4140625
108,980.98828125
109,982.18359375
110,983.40625
111,984.8046875
112,986.453125
113,987.4140625
114,988.86328125
115,990.01953125
116,991.0078125
117,992.00390625
118,993.26171875
119,994.4609375
120,996.04296875
121,997.51953125
122,998.69140625
123,1000.1640625
124,1001.43359375
125,1002.94921875
126,1004.4375
127,1005.72265625
128,1006.9296875
129,1008.21484375
130,1011.2890625
131,1016.14453125
132,1018.421875
133,1020.9140625
134,1022.63671875
135,1024.17578125
136,1026.015625
137,1027.5625
138,1028.87890625
139,1030.234375
140,1031.4453125
141,1033.078125
142,1034.15234375
143,1035.6015625
144,1037.01953125
145,1038.21875
146,1040.5
147,1042.2109375
148,1043.3984375
149,1044.9765625
150,1046.171875
151,1047.40234375
152,1048.69140625
153,1050.24609375
154,1051.53515625
155,1052.859375
156,1054.48828125
157,1055.42578125
158,1055.6796875
159,1056.90625
160,1057.93359375
161,1059.22265625
162,1060.421875
163,1061.42578125
164,1062.6875
165,1063.91796875
166,1065.1640625
167,1066.64453125
168,1069.3828125
169,1073.46875
170,1075.625
171,1077.8125
172,1079.57421875
173,1081.453125
174,1083.05078125
175,1084.484375
176,1085.8515625
177,1086.9609375
178,1088.31640625
179,1089.48046875
180,1090.83203125
181,1092.33203125
182,1093.48046875
183,1094.7578125
184,1096.33984375
185,1098.60546875
186,1100.11328125
187,1101.32421875
188,1104.078125
189,1107.98828125
190,1110.5546875
191,1112.8046875
192,1115.19921875
193,1116.64453125
194,1118.65234375
195,1119.41015625
196,1119.66796875
197,1120.6953125
198,1121.98046875
199,1123.19140625
200,1124.38671875
201,1125.59765625
202,1126.8515625
203,1127.859375
204,1129.35546875
205,1131.6015625
206,1134.56640625
207,1137.66015625
208,1139.515625
209,1141.45703125
210,1142.9609375
211,1144.70703125
212,1146.2421875
213,1148.05859375
214,1149.32421875
215,1150.65625
216,1151.609375
217,1153.0
218,1154.12109375
219,1155.5078125
220,1156.83203125
221,1158.25390625
222,1159.640625
223,1160.87109375
224,1162.37109375
225,1163.66015625
226,1165.109375
227,1166.578125
228,1167.82421875
229,1169.32421875
230,1170.59375
231,1172.0390625
232,1173.29296875
233,1174.53515625
234,1175.80078125
235,1177.01171875
236,1180.0234375
237,1183.81640625
238,1183.81640625
239,1185.078125
240,1186.6171875
241,1188.015625
242,1189.16796875
243,1190.6875
244,1191.94140625
245,1193.9453125
246,1195.14453125
247,1197.01171875
248,1198.015625
249,1199.296875
250,1200.671875
251,1202.20703125
252,1203.6171875
253,1204.84375
254,1206.015625
255,1207.33984375
256,1208.94140625
257,1210.14453125
258,1211.54296875
259,1213.0859375
260,1214.35546875
261,1215.6015625
262,1218.8046875
263,1220.0625
264,1221.49609375
265,1222.7421875
266,1224.125
267,1225.53515625
268,1226.98828125
269,1228.47265625
270,1230.05859375
271,1231.34765625
272,1232.98046875
273,1234.40234375
274,1235.625
275,1237.34765625
276,1238.36328125
277,1240.0625
278,1241.546875
279,1242.93359375
280,1244.35546875
281,1245.59375
282,1247.0625
283,1248.23828125
284,1249.69140625
285,1251.1640625
286,1252.375
287,1253.8203125
288,1255.03125
289,1258.0234375
290,1258.28125
291,1261.078125
292,1262.81640625
293,1265.25
294,1267.78515625
295,1270.87109375
296,1273.13671875
297,1274.3125
298,1275.71875
299,1277.09375
300,1278.51171875
301,1280.12890625
302,1281.51953125
303,1282.55078125
304,1283.78125
305,1284.9921875
306,1286.1953125
307,1269.2109375
