episode,sim/wall,total steps,steps/sec,score
0,0.9903418492561126,250,9.903417370151075,"001: -6.0825, 011: -1.3580, 017: -0.7763, 013: -0.9220, 004: -0.8574, 010: -1.2181, 018: -1.1025, 006: -1.2935, 012: -1.3724, 015: -0.9448, 002: -1.0635, 005: -0.7951, 008: -2.0507, 007: -0.5708, 000: -0.8056, 016: -0.9398, 003: -1.1577, 014: -2.1955, 019: -1.1377, 009: -1.5588"
1,0.5570151910833916,106,5.570151003616056,"001: -0.3800, 011: -1.0056, 017: -1.5513, 013: -1.3393, 004: -1.1389, 010: -1.4200, 018: -0.8454, 015: -0.8146, 012: -0.9712, 006: -1.1517, 002: -0.6913, 005: -0.8785, 008: -1.4426, 007: -1.0694, 000: -1.4886, 016: -0.9061, 003: -0.7862, 019: -1.1047, 014: -0.3178, 009: -0.6236"
2,0.5149768516020286,100,5.1497675675872125,"001: -0.5781, 011: -1.0696, 017: -0.9622, 013: -0.2755, 004: -0.9338, 010: -1.2111, 018: -1.8059, 015: -1.1411, 012: -0.6373, 006: -0.4225, 002: -1.3206, 005: -0.5792, 008: -0.9140, 007: -3.3909, 000: -0.6924, 016: -0.8522, 003: -1.3197, 019: -1.2333, 014: -0.7086, 009: -1.0229"
3,0.4996593739261303,245,4.996593423422551,"001: -0.7406, 011: -1.4048, 017: -1.1179, 013: -0.2427, 004: -1.9630, 010: -1.7000, 018: -1.4659, 015: -1.2071, 012: -0.6706, 006: -1.0149, 002: -0.8933, 005: -0.8851, 008: -1.1404, 007: -1.0893, 000: -0.6020, 016: -1.3169, 003: -0.9925, 019: -0.8130, 014: -0.9271, 009: -0.4014"
4,0.7004693693084894,250,7.0046931783649,"001: -1.0163, 011: -1.0947, 017: -1.1989, 013: -0.8330, 004: -1.1620, 010: -3.6983, 018: -0.8310, 015: -0.9016, 012: -0.9858, 006: -1.0729, 002: -0.8883, 005: -2.0153, 008: -1.1157, 007: -1.4009, 000: -0.7212, 016: -1.0964, 003: -1.8097, 019: -2.1412, 014: -1.0857, 009: -0.9153"
5,0.5488665111438601,97,5.488664296932298,"001: -0.3749, 011: -1.1302, 017: -1.0673, 013: -1.4491, 004: -0.9798, 010: -0.8846, 018: -0.8737, 015: -0.3226, 012: -2.0005, 006: -0.1434, 002: -1.4949, 005: -1.2292, 008: -1.0694, 007: -0.9718, 000: -1.0664, 016: -0.9399, 003: -0.8145, 019: -0.7926, 014: -1.4473, 009: -1.2039"
6,0.4055280586357402,57,4.055279623338105,"001: -0.9773, 011: -1.7726, 017: -1.0708, 013: -0.7931, 004: -1.1074, 010: -0.8163, 018: -1.0052, 015: -1.0728, 012: -1.0229, 006: -0.9547, 002: -0.9407, 005: -1.1295, 008: -1.0655, 007: -0.8528, 000: -0.8670, 016: -0.7827, 003: 0.1029, 019: -1.0397, 014: -0.9302, 009: -0.9887"
7,0.8602378481649549,250,8.602376505612371,"001: -1.0200, 011: -0.8517, 017: -1.4796, 013: -0.8981, 004: -0.8392, 010: -0.7191, 018: -1.1537, 015: -0.8485, 012: -1.5598, 006: -1.4574, 002: -1.2339, 005: -0.7203, 008: -0.7739, 007: -0.8619, 000: -2.2825, 016: -0.6730, 003: -1.0944, 019: -0.7097, 014: -1.0017, 009: -1.1925"
8,0.38516128862726484,195,3.8516126686159846,"001: -0.5772, 011: -4.2625, 017: -0.9997, 013: -0.7726, 004: -5.2540, 010: -0.9670, 018: -1.3546, 015: -1.1985, 012: -0.5904, 006: -1.1824, 002: -0.6836, 005: -1.3141, 008: -0.9725, 007: -0.7869, 000: -0.7607, 016: -0.8514, 003: -1.2601, 019: -0.7764, 014: -1.8920, 009: -1.4216"
9,0.18557708540322213,27,1.8557681170819957,"001: -0.5035, 011: -1.6378, 017: -0.8110, 013: -0.6215, 004: -0.8437, 010: -0.8070, 018: -0.5349, 015: -1.2520, 012: -0.6688, 006: -1.0442, 002: -0.7536, 005: -1.0136, 008: -1.2323, 007: -1.3957, 000: -0.9564, 016: -0.7899, 003: -0.7715, 019: -1.0481, 014: -1.0969, 009: -0.8355"
MEAN,0.5647833427151194,157.7,5.647832375472255,n/a
