,mem_usage,step,replay_usage
0,100,5345169408,0
1,200,5346742272,0
2,300,5348515840,0
3,400,5349892096,0
4,500,5349359616,0
5,600,5350146048,0
6,700,5351194624,0
7,800,5351985152,0
8,900,5352771584,0
9,1000,5353558016,0
10,1100,5400649728,0
11,1200,5401485312,0
12,1300,5401210880,0
13,1400,5401210880,0
14,1500,5401473024,0
15,1600,5408366592,0
16,1700,5409153024,0
17,1800,5409734656,0
18,1900,5410541568,0
19,2000,5411332096,0
20,2100,5417365504,0
21,2200,5417889792,0
22,2300,5418680320,0
23,2400,5419212800,0
24,2500,5426479104,0
25,2600,5420818432,0
26,2700,5428101120,0
27,2800,5434372096,0
28,2900,5434929152,0
29,3000,5435453440,0
30,3100,5435310080,0
31,3200,5435310080,0
32,3300,5435310080,0
33,3400,5435445248,0
34,3500,5435445248,0
35,3600,5435707392,0
36,3700,5429608448,0
37,3800,5435944960,0
38,3900,5436149760,0
39,4000,5430132736,0
40,4100,5436452864,0
41,4200,5392596992,0
42,4300,5430968320,0
43,4400,5437726720,0
44,4500,5437894656,0
45,4600,5438156800,0
46,4700,5438156800,0
47,4800,5438418944,0
48,4900,5438681088,0
49,5000,5442207744,0
