episode,sim/wall,total steps,steps/sec,score
0,0.6595360484602709,911,6.595360416298095,"005: 8.5740, 006: 24.8543, 007: 25.0750, 002: 0.6855, 000: -846.3573, 003: -6.8038, 008: 3.7811, 001: 20.7518, 009: 24.5087, 004: 24.9716"
1,0.5006455192498882,154,5.006454959672992,"005: 4.5051, 006: -4.2185, 007: 3.4638, 002: -1.6449, 000: 4.6103, 003: 4.6490, 008: 3.9280, 001: 1.6429, 009: 4.4728, 004: 1.6938"
2,0.4677982212938989,157,4.677981980314414,"005: 4.3839, 006: 4.0906, 007: -1.7847, 002: -1.3634, 000: -0.5589, 003: 4.6653, 008: 2.1569, 001: 3.9193, 009: 0.1738, 004: 3.3161"
3,0.43164881317400844,104,4.316487790029988,"005: 3.0771, 006: 2.9294, 007: -0.6878, 002: 2.9707, 000: -0.7403, 003: -0.2643, 008: -0.8812, 001: 0.3052, 009: 2.8299, 004: 3.0512"
4,0.38256415719765735,217,3.825641475495937,"005: 5.9765, 006: -6.5560, 007: 0.7075, 002: -1.9775, 000: 6.5325, 003: -10.7828, 008: 6.0912, 001: -3.0143, 009: 6.5040, 004: 6.2009"
5,0.3883411029537963,184,3.8834108927502724,"005: 0.3945, 006: 1.6387, 007: 5.1769, 002: 5.0749, 000: 5.5435, 003: -4.0450, 008: -5.5541, 001: 5.2331, 009: -3.4529, 004: 5.3456"
6,0.368193032460023,221,3.681930207599404,"005: -3.9862, 006: 0.5094, 007: -0.6039, 002: 6.2817, 000: 6.5447, 003: 6.5518, 008: 6.6312, 001: 5.3830, 009: 3.4073, 004: 4.1114"
7,0.3299099251038247,125,3.2990990849607433,"005: 2.6128, 006: -0.8488, 007: 3.6118, 002: -1.0095, 000: -1.9241, 003: 3.6634, 008: -1.7901, 001: -5.9971, 009: 3.5945, 004: 3.8311"
8,0.35379779312445225,250,3.5379778238077826,"005: 3.1761, 006: 7.4186, 007: -3.9877, 002: 6.7892, 000: 6.4738, 003: 6.9776, 008: 4.7184, 001: 7.3823, 009: -0.3276, 004: -1.6385"
9,0.30958694238991447,83,3.0958692311798104,"005: -1.3605, 006: 2.1708, 007: 2.4567, 002: 2.5604, 000: 2.2646, 003: -1.3816, 008: -3.9192, 001: 2.4623, 009: -1.5202, 004: -0.8395"
10,0.3409476380310107,298,3.409476296606976,"005: -11.1729, 006: 2.7342, 007: 4.1687, 002: 8.1695, 000: -0.6609, 003: 8.1277, 008: 8.3437, 001: -1.5453, 009: 9.0179, 004: 8.7170"
11,0.2727621739510531,79,2.7276215598836835,"005: -14.6327, 006: 2.3341, 007: 2.2939, 002: 2.4233, 000: 0.1263, 003: 2.1956, 008: -3.7923, 001: -6.6259, 009: 2.2896, 004: -4.7478"
12,0.32069548010467086,173,3.2069546593108784,"005: 5.1568, 006: 0.1407, 007: -0.9351, 002: 4.8986, 000: -40.2565, 003: 5.1784, 008: -0.8182, 001: 3.2966, 009: 4.8657, 004: 4.8616"
13,0.3366912008572286,112,3.3669117672565876,"005: 2.9138, 006: 2.5577, 007: -1.6702, 002: -1.2154, 000: 2.8105, 003: 3.2933, 008: -2.8470, 001: 3.0791, 009: -1.8987, 004: -0.1997"
14,0.29908136358138326,205,2.9908135525886204,"005: 6.2132, 006: 5.9006, 007: 4.7956, 002: 2.9659, 000: 1.7807, 003: 5.5073, 008: -0.0893, 001: 0.1440, 009: 6.2836, 004: -3.1599"
15,0.2896542235717611,116,2.896542097764403,"005: 1.0559, 006: 1.2025, 007: 2.4284, 002: 3.4648, 000: 3.3850, 003: 1.9712, 008: 1.0053, 001: 3.5337, 009: 2.5236, 004: 3.4150"
16,0.30943359404715426,106,3.0943357251095187,"005: 2.7898, 006: 2.6487, 007: 0.7015, 002: 3.2589, 000: 3.1722, 003: 0.9533, 008: -6.0273, 001: 0.7625, 009: 2.6533, 004: 2.0065"
17,0.3439573585615721,165,3.4395734830466083,"005: -0.5133, 006: 4.3983, 007: -0.8452, 002: -0.0846, 000: 4.3037, 003: 4.5354, 008: 4.8670, 001: 1.3430, 009: 2.8450, 004: -97.9835"
18,0.3411900118949128,92,3.411899907773935,"005: 2.8063, 006: -12.2085, 007: -4.5135, 002: 0.4188, 000: 1.9820, 003: 2.5720, 008: 2.7440, 001: -0.1660, 009: -1.4372, 004: 2.7551"
