episode,sim/wall,total steps,steps/sec,score
0,0.13726384808318945,206,1.3726384655673711,"042: 5.9076, 031: 3.7381, 000: -0.1381, 035: 6.2606, 023: 5.1999, 024: 6.1018, 020: 6.2127, 008: -5.8680, 026: 3.5456, 043: -1.0183, 007: 1.2441, 012: 6.1517, 016: 6.0295, 022: 3.5537, 025: 0.1560, 041: -0.1727, 044: 6.0823, 004: 6.1983, 028: 4.9549, 009: 6.1036, 018: 6.0362, 036: 3.7735, 002: 0.4818, 019: -14.5855, 030: -4.5180, 005: 0.9214, 011: 5.7066, 033: 5.8978, 037: 5.6660, 039: -1.7629, 015: -5.4839, 029: 6.1919, 034: 6.0372, 032: -0.5599, 006: 5.7792, 040: 5.9913, 003: 5.6952, 014: 6.0221, 017: -1.6501, 027: -1.3442, 010: 6.1454, 001: 6.0805, 013: -1.1479, 038: 5.4749, 021: 5.7210"
1,0.1375722640556685,115,1.3757226052427167,"042: 3.3873, 031: -1.9538, 000: 3.4582, 035: 2.9439, 023: -11.2787, 024: 3.3791, 020: -5.6104, 008: -10.8854, 026: -6.4881, 043: -5.9296, 007: 3.2707, 012: 3.1202, 016: -2.3076, 022: -3.7562, 025: 0.9253, 041: 3.2994, 044: -3.2340, 004: 3.1942, 028: 3.2138, 009: 3.4571, 018: 0.7563, 036: 3.2423, 002: -1.4950, 019: 3.3854, 030: 3.2945, 005: -0.4786, 011: -6.1842, 033: 3.4434, 037: 3.3458, 039: 3.4139, 015: -3.9899, 029: 0.4698, 034: -1.2396, 032: -5.1827, 006: -0.9835, 040: 3.1517, 003: 3.3282, 014: 3.1950, 017: -1.1842, 027: 3.0587, 010: 3.2247, 001: -0.5159, 013: 3.4761, 038: 2.9756, 021: -1.0028"
2,0.1322736185382794,206,1.3227361671580327,"042: 1.0865, 031: 2.7115, 000: -8.3046, 035: 5.6915, 023: 5.8733, 024: 5.9650, 020: 1.2323, 008: -0.7405, 026: -11.1836, 043: 6.1277, 007: 6.1363, 012: 1.5328, 016: 5.8471, 022: 5.9451, 025: 5.9584, 041: 6.2029, 044: 6.1458, 004: 0.2145, 028: 5.9887, 009: -0.8442, 018: -2.2050, 036: 6.1835, 002: 5.7980, 019: 6.1504, 030: 5.9620, 005: 1.9317, 011: 0.9906, 033: 5.9513, 037: 4.3899, 039: 6.0444, 015: 1.8839, 029: 6.1155, 034: 6.0043, 032: 6.1700, 006: 6.0272, 040: 5.9879, 003: 6.0263, 014: 0.6135, 017: -0.7646, 027: 1.0945, 010: -4.4701, 001: 6.2372, 013: -4.1975, 038: 3.5254, 021: 5.8498"
3,0.10267057662655445,190,1.026705757006279,"042: 5.5333, 031: 2.1181, 000: 2.4692, 035: 5.5368, 023: 5.7126, 024: 5.5801, 020: 5.2540, 008: -6.9685, 026: 5.2992, 043: 4.6718, 007: 5.6491, 012: -3.0948, 016: -1.5097, 022: 5.7026, 025: -0.8513, 041: -6.0815, 044: -3.1243, 004: 5.6290, 028: 5.6623, 009: 5.5216, 018: 5.6460, 036: 5.4747, 002: 5.5680, 019: -7.6674, 030: -2.1063, 005: -4.8038, 011: -0.7140, 033: 1.5395, 037: 5.3924, 039: 0.9620, 015: 2.0362, 029: 5.4500, 034: 1.7132, 032: 5.6686, 006: 5.7085, 040: 5.5053, 003: 4.4535, 014: 5.4140, 017: 5.4401, 027: 5.4581, 010: -2.0384, 001: 5.2366, 013: 5.7211, 038: 5.6628, 021: -2.1759"
4,0.10361987198080448,89,1.0361986910449124,"042: 2.6002, 031: 2.7085, 000: -0.9067, 035: 0.5079, 023: -1.1012, 024: -4.6022, 020: 2.5834, 008: 2.6453, 026: -10.6173, 043: 2.5956, 007: -0.8439, 012: -10.7906, 016: 2.6350, 022: 2.6803, 025: 2.6984, 041: -0.8649, 044: 2.6238, 004: 2.5417, 028: 0.3665, 009: 2.5606, 018: -0.7306, 036: -0.0017, 002: 2.7836, 019: 2.5425, 030: 2.6781, 005: 2.6694, 011: 2.6719, 033: 0.5537, 037: 0.3815, 039: -0.7864, 015: 2.5958, 029: 2.6586, 034: 2.6954, 032: -0.3682, 006: -0.9032, 040: 2.4118, 003: 2.7098, 014: -0.9760, 017: 2.3228, 027: 0.5104, 010: 2.6629, 001: 0.8927, 013: 2.1864, 038: -0.9903, 021: 2.6017"
5,0.0907920583211415,145,0.9079205710128057,"042: -0.2181, 031: -2.1896, 000: 3.6082, 035: 4.1240, 023: -2.0424, 024: 4.0400, 020: 1.5532, 008: 4.3473, 026: 4.2897, 043: -4.5008, 007: 4.2797, 012: 4.3087, 016: -0.6858, 022: 4.3469, 025: 3.9763, 041: -2.8146, 044: 0.8514, 004: 3.0763, 028: 4.3388, 009: 4.1997, 018: 2.8188, 036: 0.0072, 002: -1.5341, 019: 3.8900, 030: 0.6598, 005: 4.1883, 011: 4.0343, 033: 0.7902, 037: 3.8767, 039: 4.2426, 015: 4.3374, 029: -0.8117, 034: 4.2143, 032: 3.7117, 006: 0.7542, 040: -0.7735, 003: 3.7392, 014: 3.8673, 017: -2.0033, 027: 4.3863, 010: -0.6557, 001: 1.5633, 013: 4.2240, 038: 4.2773, 021: 4.1749"
6,0.08892044885806231,123,0.8892044778521896,"042: -1.7477, 031: 3.3855, 000: 0.9761, 035: 3.5919, 023: 3.5533, 024: 3.5397, 020: 1.9569, 008: 3.5855, 026: 3.7285, 043: 0.8710, 007: 3.5934, 012: -0.9231, 016: 3.4213, 022: -0.5544, 025: -1.5789, 041: 3.6723, 044: 3.7180, 004: 3.7221, 028: 0.5711, 009: 3.4401, 018: 3.2856, 036: 3.5940, 002: -0.1330, 019: 3.6499, 030: -0.1228, 005: -2.1545, 011: 3.3231, 033: 3.4513, 037: 3.6377, 039: -2.0026, 015: -2.5147, 029: 0.9643, 034: -7.7228, 032: -0.3053, 006: 0.9830, 040: -2.4030, 003: 3.5754, 014: 3.2366, 017: -3.8276, 027: 3.2456, 010: 3.4633, 001: 3.5639, 013: 3.8362, 038: 3.6091, 021: 0.8845"
7,0.0921081247925976,147,0.9210812382939714,"042: 4.1052, 031: 4.0291, 000: -0.2701, 035: 4.3479, 023: 3.8961, 024: 4.4527, 020: 4.4001, 008: -1.4172, 026: 2.0370, 043: 4.1471, 007: 4.3312, 012: 4.0097, 016: -0.5397, 022: -0.7796, 025: -0.4178, 041: 0.3993, 044: 2.2105, 004: 2.1874, 028: 4.5257, 009: 4.1299, 018: 4.3744, 036: -0.0861, 002: 3.0328, 019: 4.4378, 030: 3.0586, 005: -1.0307, 011: -0.9775, 033: 3.8781, 037: -1.0094, 039: 4.3040, 015: 4.4651, 029: -14.0765, 034: 4.1386, 032: 1.6287, 006: 4.2380, 040: 4.5061, 003: 3.8722, 014: 3.9287, 017: 4.4571, 027: 1.9631, 010: 4.2241, 001: 3.9619, 013: 2.4147, 038: 3.9379, 021: -0.1161"
8,0.08615339709490985,151,0.8615339604015758,"042: 4.5792, 031: -0.5001, 000: -31.1858, 035: 3.1067, 023: -1.8595, 024: 3.9133, 020: 0.8955, 008: 4.0086, 026: -10.8173, 043: -4.5030, 007: 4.0031, 012: -0.0402, 016: -28.8244, 022: -0.3683, 025: 4.5314, 041: 4.5033, 044: 4.6374, 004: 4.1726, 028: 4.1265, 009: 3.3178, 018: 4.5696, 036: 4.4351, 002: 0.1965, 019: -0.9533, 030: 1.1930, 005: -1.4754, 011: 4.5806, 033: 4.5552, 037: 4.1857, 039: 3.6364, 015: 2.3829, 029: 2.8645, 034: -9.0960, 032: -0.8600, 006: -0.7767, 040: -18.2739, 003: 4.4985, 014: 4.3292, 017: 0.8296, 027: 4.4450, 010: 4.2776, 001: 4.5416, 013: 4.3273, 038: 2.1610, 021: 4.6048"
9,0.09471918350631156,129,0.947191823456,"042: 3.9861, 031: 3.8251, 000: 3.7874, 035: -0.2673, 023: -6.8660, 024: -7.3267, 020: 3.5300, 008: 3.5041, 026: 3.3932, 043: 3.7265, 007: -0.2841, 012: 0.3462, 016: 3.8794, 022: 0.3518, 025: 3.7412, 041: 3.6897, 044: 3.7859, 004: 3.4079, 028: 2.2383, 009: 1.2904, 018: -5.0278, 036: 3.7876, 002: 3.7397, 019: -1.5262, 030: -0.4460, 005: 3.8167, 011: -0.7911, 033: -4.5633, 037: 3.5558, 039: 3.8237, 015: 3.8154, 029: 1.2650, 034: 3.4467, 032: 3.3347, 006: -3.9849, 040: -8.3614, 003: 3.7131, 014: 3.4772, 017: 3.8526, 027: 3.6784, 010: 3.8002, 001: -4.3562, 013: -3.5426, 038: -0.7972, 021: 3.7145"
