episode,sim/wall,total steps,steps/sec,score
0,0.10453881079717965,110,1.0453880890225258,"005: -1.1569, 039: -1.7743, 036: -0.2907, 049: -0.6884, 034: 3.2274, 027: 3.1389, 002: -0.7944, 015: -5.1351, 028: 3.2428, 040: 3.3344, 014: 3.2229, 010: 3.4194, 042: 2.9666, 029: 3.2413, 017: -1.6432, 019: 3.2012, 023: 2.7775, 057: 3.4399, 035: 3.1339, 045: 3.0022, 055: -0.6987, 020: 3.1518, 033: 3.3026, 016: 1.1442, 044: 3.0401, 051: -1.0506, 024: 3.2547, 054: 0.1348, 030: 3.2311, 011: 2.3608, 008: 2.9766, 056: 3.1575, 021: 3.2280, 018: 3.4528, 037: 2.7283, 022: 3.1692, 032: -0.5696, 050: 0.4756, 053: -0.1677, 003: 3.1883, 041: 0.0712, 007: 0.3646, 031: 3.2093, 043: -1.0213, 004: 3.1529, 052: 1.4455, 000: 0.5265, 012: 3.2432, 047: 3.3907, 013: -6.5415, 026: 3.1275, 006: 0.0171, 001: 3.2195, 046: 3.0899, 048: 3.1444, 058: 3.1826, 038: 0.3818, 025: -0.2220, 009: 1.1224, 059: -0.1746"
1,0.10271017000231494,222,1.0271016932253982,"005: -60.2592, 039: 6.4837, 036: 6.1095, 049: 5.8463, 034: 0.9700, 027: 6.5376, 002: -3.7550, 015: 6.5103, 028: 6.6278, 040: 6.5568, 014: 6.5491, 010: 4.8485, 042: -7.0935, 029: 0.1009, 017: 2.9240, 019: 6.3054, 023: 5.8774, 057: -0.4476, 035: 5.2096, 045: -1.9160, 055: 6.7646, 020: -0.8838, 033: 6.6504, 016: 6.4377, 044: 5.4903, 051: -2.6126, 024: 5.8786, 054: 6.0146, 030: -39.4781, 011: -6.3565, 008: 4.9254, 056: 6.1561, 021: 6.4886, 018: -3.5622, 037: 6.6587, 022: 6.3188, 032: 0.8917, 050: 6.6365, 053: 0.5826, 003: -11.2196, 041: 6.4565, 007: -1.1739, 031: 0.7239, 043: 6.1084, 004: 6.2646, 052: 6.5248, 000: 5.1725, 012: 1.4671, 047: 6.5234, 013: -31.6041, 026: 0.6142, 006: -5.0295, 001: 6.1470, 046: 0.7699, 048: -4.0308, 058: -0.8762, 038: 6.3498, 025: 6.4448, 009: 0.2897, 059: 6.4636"
2,0.1026554754088899,130,1.0265547405601072,"005: 2.6321, 039: 0.7152, 036: 3.9487, 049: -7.2614, 034: 3.8886, 027: 3.8112, 002: 0.1318, 015: -2.4575, 028: 4.0045, 040: -2.0394, 014: 3.7537, 010: 3.7938, 042: 0.1819, 029: 3.8703, 017: 3.6974, 019: 3.8296, 023: -0.7941, 057: 3.7327, 035: -8.0899, 045: 3.8059, 055: 3.9534, 020: 4.0341, 033: 3.7669, 016: 3.5252, 044: 3.6973, 051: 1.8167, 024: 3.4894, 054: 3.8657, 030: -6.6733, 011: 0.3527, 008: 4.0162, 056: 4.0131, 021: 1.4175, 018: -1.2077, 037: 2.8925, 022: 1.8133, 032: 3.7866, 050: 3.8507, 053: 3.5305, 003: -14.5907, 041: -0.5091, 007: 2.2979, 031: 3.5085, 043: 3.8305, 004: 0.2751, 052: 3.8737, 000: 3.8498, 012: -6.9327, 047: 3.9238, 013: 3.6299, 026: 3.8630, 006: -4.1114, 001: -0.7757, 046: 2.1664, 048: 3.7211, 058: 3.9706, 038: -6.9578, 025: 0.6819, 009: 3.7645, 059: 0.2069"
3,0.10110326379789315,71,1.011032610518834,"005: 1.9005, 039: -0.7286, 036: 2.0860, 049: 1.9748, 034: 0.0465, 027: 0.0668, 002: 1.8719, 015: 2.1242, 028: 1.8772, 040: 1.4720, 014: -0.8404, 010: -0.1839, 042: 2.0823, 029: 2.1132, 017: -0.2122, 019: -0.7895, 023: 2.1863, 057: -0.6438, 035: 1.6812, 045: 1.6160, 055: 1.9646, 020: 1.9910, 033: -1.1370, 016: 2.1038, 044: 0.3447, 051: 2.1726, 024: 0.6013, 054: -0.2598, 030: -0.8136, 011: 2.0426, 008: 0.9314, 056: -5.1479, 021: -0.4335, 018: 2.1428, 037: 2.0935, 022: -0.2750, 032: 2.1517, 050: 2.0048, 053: 1.9386, 003: 2.1975, 041: 1.9871, 007: -0.8365, 031: -4.5830, 043: 1.6704, 004: 2.1561, 052: -10.4667, 000: 1.0550, 012: 1.2634, 047: 1.9403, 013: -0.8408, 026: 2.1228, 006: -3.5199, 001: 2.1406, 046: -0.7839, 048: -12.1505, 058: 2.0822, 038: 2.0992, 025: -0.4795, 009: 2.1103, 059: 1.9875"
4,0.08290590578731884,136,0.8290590494384782,"005: 3.9459, 039: 4.0958, 036: -3.0820, 049: 4.0467, 034: -0.7053, 027: -0.7761, 002: 3.9042, 015: -1.7153, 028: 1.6417, 040: 3.8755, 014: 4.2145, 010: -2.0433, 042: -1.9370, 029: -7.2354, 017: -3.1616, 019: 3.5770, 023: -3.9097, 057: -0.1674, 035: 3.9936, 045: 3.6352, 055: -4.5118, 020: -0.3079, 033: 1.1544, 016: -0.1723, 044: 3.6922, 051: 4.1421, 024: 3.8313, 054: 2.0912, 030: 0.9012, 011: 1.0498, 008: 3.9033, 056: -5.8134, 021: 3.9672, 018: -3.5853, 037: 3.8791, 022: 3.9788, 032: 4.0187, 050: 4.0436, 053: 3.9792, 003: -1.4864, 041: -0.2090, 007: -0.1932, 031: 3.6194, 043: 2.5168, 004: 3.6128, 052: 4.0874, 000: 4.0016, 012: 3.9207, 047: 4.0494, 013: 4.0878, 026: 4.0117, 006: 3.5422, 001: 3.5881, 046: 0.7876, 048: -1.0797, 058: 3.7821, 038: 3.9395, 025: 4.0740, 009: 3.9618, 059: 2.2938"
5,0.07531708574583143,138,0.7531708476578192,"005: -2.8835, 039: 3.5366, 036: -1.9934, 049: 2.2113, 034: 4.1672, 027: 3.8567, 002: 4.1566, 015: -0.7802, 028: 1.9943, 040: 4.1220, 014: -6.9760, 010: 3.9787, 042: 3.2588, 029: -6.0107, 017: 3.9867, 019: 2.1541, 023: -6.5320, 057: 3.5200, 035: 1.6849, 045: -0.3796, 055: 4.0455, 020: 2.1776, 033: 3.5922, 016: -0.9603, 044: -0.7257, 051: 4.0580, 024: -3.0998, 054: 3.7795, 030: 3.6136, 011: 0.7364, 008: 3.9844, 056: 4.0099, 021: -2.9211, 018: 0.9648, 037: 4.0118, 022: 4.0468, 032: 0.9055, 050: -0.4628, 053: 4.0798, 003: 3.9339, 041: -17.8797, 007: 3.8275, 031: 3.8589, 043: 4.1005, 004: 1.1848, 052: 3.9833, 000: -0.1422, 012: -1.1631, 047: 4.3206, 013: -0.8007, 026: 4.0446, 006: 4.1871, 001: 3.8070, 046: 3.9908, 048: 3.9716, 058: -0.7812, 038: 3.7428, 025: 3.8459, 009: 4.1155, 059: 3.3226"
6,0.07283039986576093,130,0.7283039889296414,"005: -0.1420, 039: 2.2157, 036: 0.6603, 049: 3.8663, 034: 3.9672, 027: -0.1236, 002: 2.8038, 015: 3.8838, 028: 3.3259, 040: 0.7515, 014: 3.7577, 010: 3.7647, 042: -11.3412, 029: 3.8473, 017: 3.7685, 019: 3.7654, 023: -0.8408, 057: 3.8240, 035: 3.9051, 045: 3.6495, 055: 0.7968, 020: 3.5634, 033: 3.3563, 016: -3.8468, 044: 3.8339, 051: 3.6852, 024: 3.3183, 054: 3.6424, 030: 3.7944, 011: 3.7402, 008: 3.8498, 056: 2.7667, 021: -1.6383, 018: -6.0393, 037: 3.8874, 022: -0.7788, 032: -2.5450, 050: 0.2577, 053: 0.8501, 003: 3.4152, 041: 3.5990, 007: 3.8913, 031: 3.8571, 043: 3.7550, 004: 3.6951, 052: 3.6474, 000: -0.8499, 012: 3.9607, 047: -4.5346, 013: -0.9039, 026: 3.7686, 006: -0.8878, 001: -0.8626, 046: 1.5645, 048: -0.8493, 058: 3.8846, 038: -12.4271, 025: 3.7637, 009: 3.3902, 059: -0.8323"
7,0.06423647000029488,139,0.6423646943408348,"005: 0.1109, 039: 3.6245, 036: 4.1371, 049: 2.5205, 034: -8.7508, 027: -6.7839, 002: 4.1827, 015: 2.9954, 028: 3.9800, 040: 4.1992, 014: -0.1491, 010: 4.0758, 042: 4.0096, 029: -2.5811, 017: -2.9190, 019: -0.3610, 023: 4.0656, 057: 2.9774, 035: 4.0531, 045: 4.1006, 055: 1.6834, 020: 3.3251, 033: 3.9864, 016: -0.6039, 044: 3.9233, 051: 4.2464, 024: -6.4989, 054: 4.1787, 030: -2.7935, 011: 4.1786, 008: 4.0053, 056: 4.0960, 021: 3.6886, 018: -0.4089, 037: 3.8011, 022: 4.0498, 032: 0.7219, 050: -2.2950, 053: 3.7922, 003: 0.2179, 041: 4.1059, 007: 4.0184, 031: 3.7825, 043: 4.1285, 004: 4.0952, 052: 4.2509, 000: 0.5809, 012: -5.4339, 047: 1.3725, 013: -1.4255, 026: 3.5509, 006: -0.6836, 001: 4.2061, 046: 3.9895, 048: 3.9747, 058: 0.7431, 038: 4.1382, 025: 4.0880, 009: 4.1040, 059: -0.0231"
8,0.06991858887145326,139,0.6991858794908726,"005: 4.0482, 039: 3.9008, 036: 0.0115, 049: 4.2028, 034: -0.9888, 027: -1.5168, 002: 4.1056, 015: -0.0579, 028: 3.8952, 040: 2.5261, 014: 3.8782, 010: 3.9044, 042: 0.0027, 029: -2.7025, 017: 4.1480, 019: 3.7339, 023: 4.0895, 057: 4.0734, 035: 4.0027, 045: 0.0062, 055: 3.7294, 020: 4.1906, 033: 0.8701, 016: -0.9223, 044: -0.2185, 051: -10.3842, 024: 3.9329, 054: 0.0849, 030: 3.6780, 011: -0.6364, 008: 3.9711, 056: 3.2855, 021: 4.0780, 018: 4.0129, 037: 2.6102, 022: 3.9453, 032: 4.1132, 050: -0.1257, 053: 2.6388, 003: -0.0904, 041: -2.9028, 007: 4.0695, 031: 3.4016, 043: 3.9225, 004: 4.1923, 052: 1.1909, 000: -0.9748, 012: 4.0037, 047: 4.2273, 013: 3.7822, 026: 3.9339, 006: 4.1551, 001: 3.7545, 046: 0.8808, 048: 4.0548, 058: 0.3308, 038: -5.0136, 025: 4.0696, 009: -0.1140, 059: 0.8511"
9,0.06743140819051588,122,0.6743140747963847,"005: -0.3735, 039: -1.0935, 036: 3.2862, 049: 2.4745, 034: 3.7217, 027: -6.5908, 002: -0.0328, 015: 3.6121, 028: 3.4905, 040: -0.3985, 014: 3.6548, 010: 3.4924, 042: 0.3878, 029: 3.5295, 017: -2.3575, 019: 3.5901, 023: 3.4816, 057: 0.5709, 035: 3.6852, 045: 3.7634, 055: 1.3472, 020: 3.4947, 033: 3.4764, 016: 3.5962, 044: -0.0893, 051: 3.6072, 024: -1.0193, 054: -1.7670, 030: 3.1344, 011: 3.3220, 008: -2.9043, 056: 3.5597, 021: 0.7123, 018: 1.2900, 037: -8.7370, 022: 3.4312, 032: 3.1550, 050: 3.6534, 053: 2.3276, 003: -0.0560, 041: 3.5246, 007: -0.2742, 031: 3.6408, 043: 3.7103, 004: 0.6610, 052: 2.0593, 000: 3.1158, 012: 3.5454, 047: 0.7326, 013: -1.7670, 026: 3.5242, 006: 3.3726, 001: 3.7090, 046: 3.5339, 048: 0.7280, 058: -3.0167, 038: 3.5405, 025: 2.4647, 009: 3.6943, 059: 3.3477"
