episode,sim/wall,total steps,steps/sec,score
0,0.20951904595630313,154,2.095190411989606,"016: -0.0773, 014: 4.6621, 002: -0.1792, 012: 3.7945, 001: 4.6130, 008: 4.5903, 004: 4.6528, 029: 3.4961, 003: -0.7184, 000: 0.1775, 018: 4.4896, 006: 0.4474, 010: 4.2732, 024: 4.3094, 009: -0.1642, 020: 4.4519, 007: 4.3071, 022: 4.3449, 023: 4.1524, 026: 4.3799, 013: -0.7156, 005: -0.9968, 021: -1.6826, 027: 4.4897, 025: 4.3131, 028: 4.3686, 011: 4.4449, 015: -1.9827, 017: -1.6440, 019: 4.3562"
1,0.21576085923137786,162,2.1576085580574826,"016: 4.8466, 014: 4.7233, 002: 4.4345, 012: 4.5217, 001: -0.8500, 008: 1.2602, 019: 4.6623, 004: 0.7697, 029: -0.6237, 003: 1.3263, 018: -1.5224, 006: 0.8546, 010: 4.4926, 024: -0.6126, 009: 4.9650, 020: 4.2802, 007: 4.6797, 022: -11.2541, 023: 4.8865, 026: 4.4770, 013: 4.1584, 005: -0.3083, 027: 4.5440, 021: -2.7993, 025: -2.2883, 028: -0.6219, 015: 0.8919, 011: 3.4030, 017: 4.6724, 000: 4.6742"
2,0.20272535092999408,134,2.02725345080189,"016: 3.8966, 014: 3.9252, 002: 1.3784, 012: 4.0458, 001: 0.5763, 008: -9.4372, 004: 3.7419, 029: -2.7476, 003: -2.7984, 000: 3.9224, 018: 0.7826, 006: -0.9682, 010: 3.9836, 024: 3.9873, 009: -0.5935, 020: 3.9065, 007: -0.9737, 022: -1.5559, 023: 0.5034, 026: -6.5257, 013: 3.9747, 005: 3.9813, 021: 3.7732, 027: 0.4638, 025: 4.1168, 028: 3.8988, 011: -0.8477, 015: 3.6819, 017: 3.8916, 019: 3.7983"
3,0.1836384581078433,184,1.8363845548603583,"016: 5.0569, 014: 0.5370, 002: 5.5547, 012: -2.4800, 001: -4.6136, 008: -9.3272, 019: 5.4604, 004: -1.7117, 029: 5.0417, 003: 5.4454, 018: 0.0852, 006: 5.4646, 010: -3.0604, 024: 4.7310, 009: -0.8370, 020: 4.7880, 007: 5.4424, 022: 5.4617, 023: 5.4113, 026: -10.8104, 013: -0.5780, 005: 5.2974, 027: -3.9674, 021: 5.4377, 025: 5.5706, 028: 5.2297, 015: 5.1130, 011: 3.7879, 017: -0.7289, 000: 4.0124"
4,0.14045943930213076,399,1.404594385948036,"016: 6.7139, 014: -0.7979, 002: 11.6960, 012: 1.3503, 001: 11.3292, 008: 11.5214, 004: 0.9643, 029: -6.9981, 003: 11.8239, 000: 11.0619, 018: 11.4671, 006: 11.6044, 010: 2.1986, 024: 8.8654, 009: 11.4157, 020: 11.7066, 007: 2.6221, 022: 11.1507, 023: 11.6257, 026: -0.7380, 013: -0.0871, 005: -1.6424, 021: -10.4429, 027: 9.3881, 025: 11.5816, 028: 9.1230, 011: 11.2450, 015: 11.1813, 017: 10.8759, 019: 11.5855"
5,0.12945602471646897,188,1.2945602322873657,"016: -0.7888, 014: 5.5382, 002: 5.6480, 012: 5.7503, 001: 5.4633, 008: -2.0429, 019: 5.5912, 004: -2.5743, 029: 5.4125, 003: 5.1830, 018: -3.1345, 006: 5.6569, 010: 5.4418, 024: 5.5997, 009: 5.6413, 020: 5.4657, 007: 2.2607, 022: 5.4400, 023: -0.8097, 026: 0.6178, 013: 0.6049, 005: 5.6210, 027: 5.5519, 021: 5.4336, 025: -1.9025, 028: 3.8624, 015: 2.1355, 011: 3.2311, 017: 5.5273, 000: 2.3672"
6,0.13098910315734022,139,1.3098910050860753,"016: 3.9825, 014: -2.7819, 002: 4.1658, 012: 4.1653, 001: -1.1441, 008: -1.6798, 004: 4.0459, 029: 3.5740, 003: -0.8361, 000: -13.6828, 018: 4.1167, 006: 4.1366, 010: 4.1119, 024: 3.8065, 009: 3.9625, 020: -4.4965, 007: 4.1633, 022: -1.4191, 023: 3.8712, 026: 4.1582, 013: -1.6753, 005: 3.7698, 021: 1.9500, 027: 4.1718, 025: 3.8304, 028: -0.3150, 011: 0.4992, 015: 1.7252, 017: 0.5716, 019: -8.7945"
7,0.12516086158296663,165,1.2516085999847018,"016: -24.3896, 014: 2.4964, 002: 4.7788, 012: 4.7367, 001: -0.7893, 008: 3.1157, 019: 2.6041, 004: 4.9347, 029: 4.8903, 003: 4.8757, 018: 0.0157, 006: 4.9246, 010: 4.7904, 024: 1.5435, 009: 4.2101, 020: 3.3135, 007: 4.8526, 022: 4.9006, 023: 4.2354, 026: 1.9015, 013: -4.3672, 005: 5.0752, 027: 4.9005, 021: 0.0286, 025: 4.6467, 028: 4.7638, 015: -6.9062, 011: 4.5702, 017: 2.4362, 000: 1.8889"
8,0.12962789977761102,132,1.2962789734958624,"016: -0.7740, 014: 3.8692, 002: 3.9042, 012: -0.2471, 001: 1.4869, 008: 1.3741, 004: 3.8396, 029: -2.3626, 003: 4.0306, 000: 3.8643, 018: 3.7827, 006: 0.0350, 010: 1.6669, 024: 3.8955, 009: -0.2560, 020: 3.7055, 007: -0.1516, 022: 3.8258, 023: -0.7130, 026: 3.7520, 013: 3.7370, 005: 4.0049, 021: 3.9142, 027: 0.9932, 025: -2.8962, 028: 3.7895, 011: 3.8583, 015: 4.0132, 017: 2.4508, 019: -0.2464"
9,0.1256136083211636,210,1.2561360724631963,"016: -2.2857, 014: 0.1203, 002: -4.3999, 012: -2.5204, 001: 6.1923, 008: 6.1808, 019: -0.5427, 004: 5.7724, 029: 5.8699, 003: 5.6148, 018: 3.3791, 006: 5.9731, 010: 6.2720, 024: 5.3922, 009: -0.9213, 020: 5.6831, 007: 5.7065, 022: 6.2764, 023: 3.7618, 026: 6.1404, 013: 5.9699, 005: 5.9462, 027: 6.3162, 021: 2.0869, 025: 0.7027, 028: 0.8801, 015: 5.5275, 011: 5.8124, 017: -26.8273, 000: 2.9662"
10,0.13088108163298864,204,1.3088108063198955,"016: 5.5566, 014: -9.3998, 002: 5.2543, 012: -5.5550, 001: 0.4976, 008: -6.9392, 004: -1.6976, 029: 5.8770, 003: -3.1912, 000: 5.9725, 018: 1.7831, 006: 6.2895, 010: 5.7145, 024: -1.3846, 009: 5.6762, 020: 5.9133, 007: 6.1578, 022: 5.5782, 023: 5.6087, 026: 5.1090, 013: 5.6981, 005: -2.1922, 021: 6.0014, 027: -1.0088, 025: 1.8378, 028: 5.8667, 011: 4.5933, 015: 6.0380, 017: 6.3081, 019: -2.5881"
MEAN,0.15671197570147166,188.27272727272728,1.567119731935861,n/a
