episode,sim/wall,total steps,steps/sec,score
0,0.09783529062294949,197,0.9783528992789924,"001: 5.8360, 006: 5.5389, 007: 5.2863, 002: -0.8511, 000: -0.1562, 009: 5.5479, 039: -1.7653, 023: 4.8761, 055: -0.7880, 030: 5.8121, 043: -1.0124, 048: 5.3640, 033: 5.0317, 046: -0.0760, 031: 1.2280, 049: -0.7855, 012: 5.7952, 034: -20.5935, 005: -2.9258, 020: 5.7145, 024: 0.5651, 054: -11.8940, 050: 5.3564, 057: 5.4128, 028: 5.0162, 059: -0.5182, 014: 5.8491, 022: -0.5043, 032: -0.5531, 041: -2.3159, 016: 2.1096, 019: 5.7138, 045: 5.7321, 015: -27.5169, 026: 4.5632, 040: 4.9394, 003: 5.6429, 017: -1.6425, 058: 5.8404, 038: 5.4825, 011: 5.7314, 025: -0.1073, 051: -0.5428, 008: 5.5672, 056: -2.4778, 010: 5.7157, 036: 3.3599, 004: 5.9480, 042: 5.4597, 052: 1.4482, 018: 5.7656, 021: 5.7127, 035: 5.9087, 027: 5.5004, 037: 5.1924, 044: 5.9117, 047: 5.8261, 029: 5.8779, 053: -0.1952, 013: -1.2830"
1,0.0928939422729687,184,0.9289394160208333,"001: 4.8907, 006: -3.6501, 007: 0.2795, 002: -3.9722, 000: 5.3460, 009: 5.4818, 039: 5.4829, 023: -30.5339, 055: 5.3643, 030: -0.2026, 043: -0.9827, 048: -3.9960, 033: 5.5396, 046: 0.2421, 031: 1.5300, 049: 4.8437, 012: 0.4775, 034: 4.6775, 005: -27.7300, 020: 1.5093, 024: 4.9213, 054: 4.7590, 050: -0.9899, 057: 5.4415, 028: 5.3408, 059: 5.2634, 014: 5.3301, 022: 5.4674, 032: 0.9071, 041: 5.3136, 016: 5.4910, 019: 5.3047, 045: -1.4102, 015: 5.2140, 026: -4.2462, 040: 5.3294, 003: -11.2702, 017: 5.3466, 058: 1.3718, 038: -0.0498, 011: -3.5619, 025: 5.2350, 051: -5.0516, 008: 5.3037, 056: 5.4762, 010: 3.2794, 036: 5.0459, 004: 5.2221, 042: -7.6809, 052: 5.4276, 018: 3.1925, 021: 5.3939, 035: 5.2293, 027: 5.0347, 037: 5.4354, 044: -4.9959, 047: 5.3066, 029: -6.6238, 053: -1.3549, 013: -1.2935"
2,0.08744509384139973,142,0.8744509294268743,"001: -0.7745, 006: -3.7605, 007: 4.0184, 002: -4.6481, 000: 2.6803, 009: 4.3503, 039: 0.7078, 023: -0.8177, 055: 4.1410, 030: -6.4082, 043: 4.3098, 048: 3.9215, 033: 4.1787, 046: -8.5278, 031: 3.6582, 049: -7.6678, 012: -6.5292, 034: 4.2931, 005: 4.2930, 020: 4.1814, 024: 3.8300, 054: 4.2032, 050: 4.2856, 057: 2.6875, 028: 4.2645, 059: 2.1608, 014: 4.1162, 022: -1.8425, 032: 4.2462, 041: -28.6064, 016: 3.9089, 019: 4.0612, 045: 3.6383, 015: 0.1708, 026: 4.0256, 040: -2.0410, 003: -14.6302, 017: 4.2094, 058: 4.2855, 038: -6.9737, 011: 0.0223, 025: 4.1167, 051: -0.1591, 008: 4.1196, 056: 4.1887, 010: 4.1056, 036: 4.2496, 004: 2.2022, 042: -0.1602, 052: 4.2258, 018: -0.9768, 021: -0.0275, 035: -4.9905, 027: 4.1827, 037: 4.0753, 044: 4.1233, 047: 4.1764, 029: 4.0463, 053: 4.2322, 013: 4.2518"
3,0.06966953535739295,152,0.6966953482445043,"001: 4.4900, 006: -3.5338, 007: -0.8396, 002: 2.8602, 000: 4.4962, 009: 4.6476, 039: -6.8353, 023: 4.5257, 055: 1.2293, 030: -4.3293, 043: -0.3100, 048: -0.9059, 033: -1.4765, 046: -0.7785, 031: -4.5190, 049: 4.4226, 012: 3.4102, 034: 2.7004, 005: 4.3527, 020: 4.0965, 024: -1.6835, 054: -0.2973, 050: -0.5661, 057: 4.2595, 028: 0.0586, 059: 1.1659, 014: -0.8487, 022: 4.4471, 032: 4.4435, 041: 4.4586, 016: 4.3729, 019: -6.4701, 045: 4.3937, 015: 4.4184, 026: -1.9067, 040: 3.9384, 003: 3.7729, 017: -0.6944, 058: -9.7437, 038: 4.4819, 011: 4.3265, 025: 4.3958, 051: 4.4434, 008: -3.0326, 056: -4.7957, 010: -0.6715, 036: 4.2624, 004: 4.5589, 042: 4.2759, 052: -11.8998, 018: 4.4090, 021: -2.1673, 035: 3.8541, 027: 4.1770, 037: 4.4983, 044: 0.3099, 047: 4.2768, 029: 4.4422, 053: 3.6235, 013: -0.8473"
4,0.05362479364939248,163,0.5362479331290125,"001: 4.3243, 006: 4.3533, 007: -0.1192, 002: 4.8611, 000: 4.5709, 009: 4.5086, 039: 4.7726, 023: -3.4824, 055: -4.4798, 030: -1.1211, 043: 3.0632, 048: -1.0922, 033: 1.0869, 046: 2.9046, 031: -0.1220, 049: 4.8349, 012: 5.0299, 034: -22.7105, 005: 4.6711, 020: -0.6719, 024: 4.7464, 054: 4.8689, 050: 4.8244, 057: 0.5257, 028: 4.7920, 059: 4.5305, 014: 4.8868, 022: 4.6643, 032: 4.6767, 041: 0.5086, 016: 5.0417, 019: -0.1107, 045: 0.0156, 015: 4.7794, 026: 4.9753, 040: -7.9636, 003: -1.5101, 017: 0.5740, 058: 4.6799, 038: -0.0166, 011: 0.9606, 025: 4.6277, 051: 4.7768, 008: 4.6942, 056: -6.9930, 010: -2.0422, 036: -2.9258, 004: 4.1393, 042: 4.6884, 052: 4.8660, 018: -0.6046, 021: 4.6520, 035: 0.2841, 027: -0.7800, 037: 2.3223, 044: 4.5505, 047: 4.6997, 029: 0.9128, 053: 4.5605, 013: 4.8603"
5,0.04896794519657296,131,0.48967944891087456,"001: 2.2441, 006: 3.9867, 007: 3.8022, 002: 3.9352, 000: -5.4428, 009: 3.8708, 039: 3.2614, 023: -6.2628, 055: 3.7861, 030: 3.1108, 043: 3.8722, 048: 3.6774, 033: 3.6972, 046: 1.9011, 031: 3.7986, 049: -0.5457, 012: -1.1491, 034: 3.9905, 005: -1.1904, 020: -0.5912, 024: 1.8631, 054: 3.7798, 050: 2.3070, 057: 3.6339, 028: 1.7936, 059: 3.5221, 014: -6.9415, 022: 3.8884, 032: -0.1083, 041: -2.9045, 016: 2.9899, 019: 3.6775, 045: -0.7555, 015: -0.7784, 026: 3.6725, 040: 3.7530, 003: 3.7045, 017: 3.6721, 058: -0.7786, 038: 3.4676, 011: 0.7148, 025: 3.4268, 051: 2.0132, 008: 3.8498, 056: 3.9754, 010: 3.4779, 036: -1.5738, 004: -4.4126, 042: 3.7653, 052: 3.7718, 018: -0.0262, 021: -6.8351, 035: 1.1869, 027: 3.2265, 037: 3.7655, 044: -0.7243, 047: 3.8674, 029: -5.6629, 053: 3.8175, 013: -0.8008"
6,0.044944388475838,108,0.4494438816368657,"001: -0.4073, 006: -0.5390, 007: 3.0669, 002: 3.2284, 000: -0.6171, 009: 2.7460, 039: 3.1130, 023: -0.6227, 055: 1.6776, 030: 1.0649, 043: 3.1011, 048: -1.0101, 033: 2.8544, 046: -0.3753, 031: 3.2759, 049: 3.0916, 012: 3.1463, 034: 3.1815, 005: 0.8504, 020: 3.1485, 024: 2.8835, 054: 3.1657, 050: 0.1806, 057: 3.1035, 028: 1.2563, 059: 0.3943, 014: 3.0610, 022: -0.7792, 032: -3.5346, 041: 3.2063, 016: 2.9919, 019: 2.9917, 045: 3.1515, 015: 3.2217, 026: 3.0956, 040: 1.9591, 003: 3.0144, 017: 0.9685, 058: 3.3155, 038: -3.4399, 011: 3.0917, 025: 3.0118, 051: 3.1072, 008: 3.1621, 056: 0.3859, 010: -1.4176, 036: 1.5851, 004: 3.1741, 042: -10.8569, 052: 3.2115, 018: 3.1842, 021: 2.1503, 035: 3.0784, 027: -2.0863, 037: 1.2837, 044: 3.1855, 047: -2.8062, 029: 3.1890, 053: 1.9999, 013: -0.5625"
7,0.04353617357897648,142,0.4353617335620976,"001: 4.1544, 006: 0.5254, 007: -0.5860, 002: 4.2246, 000: -4.1883, 009: 4.1506, 039: 3.6789, 023: 2.0211, 055: -0.0998, 030: 0.9504, 043: 1.8248, 048: 4.1919, 033: 4.0797, 046: 2.8506, 031: 3.6738, 049: 3.9511, 012: -5.0105, 034: -8.7490, 005: 1.0079, 020: 3.6047, 024: -0.6917, 054: 4.0345, 050: -2.0197, 057: 4.2453, 028: 3.7974, 059: -0.3194, 014: 3.9366, 022: 4.3470, 032: 1.0504, 041: 3.8553, 016: -4.6424, 019: 4.1203, 045: 1.9390, 015: 4.2223, 026: 3.8907, 040: 1.7266, 003: 4.0131, 017: -15.2773, 058: 1.8064, 038: 4.1410, 011: 4.0938, 025: 4.2261, 051: 4.2353, 008: 4.0046, 056: 4.1915, 010: 4.0659, 036: 4.2768, 004: -1.1979, 042: 4.2086, 052: 4.3065, 018: -1.4834, 021: 3.6607, 035: 4.0581, 027: -1.5320, 037: 4.2793, 044: 4.2234, 047: 1.7835, 029: 1.1517, 053: 3.9350, 013: -1.4233"
8,0.04748119686077466,166,0.4748119660173557,"001: 4.2513, 006: 5.0888, 007: 0.7782, 002: 4.8959, 000: -0.4291, 009: 5.0128, 039: 4.8198, 023: 4.6451, 055: 4.8079, 030: 4.6939, 043: 4.7512, 048: -2.9447, 033: 3.0461, 046: 4.8578, 031: 2.8899, 049: 4.8065, 012: 2.8774, 034: -0.6726, 005: 4.9442, 020: 4.6732, 024: 2.8657, 054: -0.4189, 050: 0.7747, 057: 4.6580, 028: 5.0322, 059: 0.5454, 014: 4.6349, 022: 4.9256, 032: 4.8607, 041: -2.9201, 016: 0.1274, 019: 2.4835, 045: -0.2789, 015: -0.4454, 026: 4.4726, 040: -1.6403, 003: 0.9268, 017: 4.7289, 058: -0.2575, 038: -4.7479, 011: -0.5674, 025: 4.8300, 051: -10.8889, 008: 4.8342, 056: 2.7576, 010: 4.9600, 036: 4.8501, 004: 4.7860, 042: -0.1581, 052: 0.0712, 018: 4.9650, 021: 4.6315, 035: 4.6683, 027: -13.9347, 037: 4.9817, 044: -13.5029, 047: 5.1043, 029: -2.6985, 053: 4.9882, 013: 4.7335"
9,0.04561845926133661,157,0.45618459008516477,"001: 4.7960, 006: 4.4311, 007: -6.4997, 002: -0.3442, 000: 3.9729, 009: 4.5965, 039: -0.6154, 023: -0.6117, 055: -1.8255, 030: 4.0235, 043: 1.5454, 048: 4.5929, 033: 4.5451, 046: 4.5161, 031: 3.4947, 049: 1.6496, 012: 4.6722, 034: 4.7882, 005: -0.4610, 020: 0.8132, 024: -1.0993, 054: -1.7726, 050: 4.6719, 057: -2.1535, 028: 4.5208, 059: 1.4164, 014: 4.6239, 022: 4.6832, 032: 3.7442, 041: 4.3972, 016: 4.5859, 019: 4.4713, 045: 4.5700, 015: 4.4911, 026: 3.2398, 040: -12.9956, 003: -0.3509, 017: -2.3536, 058: 0.0546, 038: 4.5851, 011: 0.9646, 025: 4.4373, 051: 4.6909, 008: -2.8934, 056: 4.6160, 010: 4.4630, 036: 4.5106, 004: 4.6938, 042: 4.5834, 052: 2.0179, 018: 0.3313, 021: -8.7370, 035: 4.6848, 027: -6.9601, 037: -8.7252, 044: 0.4911, 047: 4.6575, 029: 4.5898, 053: 4.4807, 013: -1.7667"
10,0.045735119661411236,174,0.4573511946078463,"001: 4.9336, 006: 4.9662, 007: 4.9267, 002: 2.9931, 000: 5.1612, 009: 5.2015, 039: 5.0880, 023: 5.1381, 055: -0.7173, 030: 5.2758, 043: 4.7180, 048: 0.6244, 033: 5.1977, 046: 2.6501, 031: -2.1602, 049: -0.7180, 012: 0.8049, 034: -18.9817, 005: 1.4987, 020: -12.7523, 024: 5.0296, 054: 5.1655, 050: 5.1695, 057: 5.1849, 028: 4.8243, 059: 0.1857, 014: 5.2430, 022: 4.9387, 032: -30.9994, 041: -0.7591, 016: 5.2052, 019: 2.0469, 045: 5.2063, 015: 5.0051, 026: 0.3938, 040: 2.6777, 003: -0.7625, 017: 5.1417, 058: -6.3317, 038: 4.9799, 011: 4.0833, 025: 5.1850, 051: -2.1880, 008: 4.3040, 056: -0.9825, 010: -6.3950, 036: 5.0717, 004: 5.0986, 042: 1.7568, 052: 5.1052, 018: 3.1036, 021: 5.2497, 035: 0.2535, 027: -3.3869, 037: -3.3134, 044: 5.1214, 047: 5.4198, 029: 4.9561, 053: 5.2218, 013: 2.1180"
11,0.04572436448715972,193,0.45724364332196227,"001: 5.6924, 006: 5.2093, 007: 5.5367, 002: -11.3152, 000: 5.6229, 009: 3.6402, 039: 5.7843, 023: 1.1603, 055: 1.2257, 030: -1.0167, 043: 5.3311, 048: 0.2883, 033: 5.2753, 046: 0.3654, 031: 5.6379, 049: 4.9572, 012: 5.6546, 034: 5.5002, 005: -1.1611, 020: 5.6843, 024: 0.0786, 054: 0.7800, 050: -4.4714, 057: 5.7820, 028: 0.1304, 059: 5.5228, 014: -9.1386, 022: 5.7158, 032: 5.6384, 041: 5.1640, 016: -1.6602, 019: -5.5535, 045: 4.8109, 015: 5.6938, 026: 5.6142, 040: -0.1625, 003: -1.4312, 017: -2.0348, 058: -4.5860, 038: 5.5462, 011: 5.6670, 025: 0.2464, 051: 5.4614, 008: 5.4833, 056: 5.7405, 010: 5.6507, 036: 5.0216, 004: -0.7371, 042: -1.0831, 052: 1.8842, 018: -8.5478, 021: 5.7225, 035: -3.6514, 027: 5.5898, 037: -11.0801, 044: -3.9891, 047: 5.5952, 029: 5.2893, 053: 5.6664, 013: 5.5569"
12,0.04749973008744451,129,0.4749972979554678,"001: 3.7220, 006: -2.6803, 007: 3.2792, 002: 3.9425, 000: -7.8085, 009: 3.5685, 039: 3.8356, 023: 3.7971, 055: 3.5187, 030: 3.5460, 043: 3.9232, 048: 3.7469, 033: -3.0775, 046: 3.9074, 031: -4.2209, 049: -5.3628, 012: -1.3719, 034: 3.8412, 005: 3.7940, 020: 3.7526, 024: 3.6529, 054: 3.0773, 050: -2.5116, 057: -9.6188, 028: -8.7517, 059: -0.6810, 014: 3.9685, 022: -2.3415, 032: 3.7691, 041: 0.8919, 016: -4.7022, 019: 2.4966, 045: 2.7961, 015: -0.3824, 026: -0.7806, 040: 2.3154, 003: 3.6148, 017: 3.3682, 058: 3.8544, 038: -2.3507, 011: 3.8620, 025: -0.7811, 051: 1.3334, 008: 3.8728, 056: -1.6707, 010: -0.2487, 036: 4.0167, 004: 3.8147, 042: -0.6797, 052: 3.9933, 018: -6.5685, 021: -3.5093, 035: 3.6866, 027: 3.7614, 037: -0.8715, 044: 2.1143, 047: 3.7463, 029: 3.7440, 053: 3.9890, 013: 3.5967"
MEAN,0.05930584871950902,156.76923076923077,0.5930584832459885,n/a
