,mem_usage
0,477.31640625
1,477.4609375
2,559.03125
3,683.80078125
4,752.0703125
5,760.4375
6,764.35546875
7,766.06640625
8,813.2578125
9,815.6015625
10,821.98046875
11,821.98046875
12,821.98046875
13,821.98046875
14,821.98046875
15,822.10546875
16,822.10546875
17,822.10546875
18,822.10546875
19,822.10546875
20,822.10546875
21,822.10546875
22,822.10546875
23,822.10546875
24,822.10546875
25,822.10546875
26,822.10546875
27,822.10546875
28,822.10546875
29,822.28125
30,822.28515625
31,822.79296875
32,823.05078125
33,823.2890625
34,825.96875
35,825.96875
36,825.96875
37,825.20703125
38,825.20703125
39,825.20703125
40,825.20703125
41,825.20703125
42,825.20703125
43,825.20703125
44,825.20703125
45,825.20703125
46,825.20703125
47,825.20703125
48,825.20703125
49,825.20703125
50,825.20703125
51,825.20703125
52,825.20703125
53,825.20703125
54,825.20703125
55,825.20703125
56,825.20703125
57,825.20703125
58,825.20703125
59,825.20703125
60,826.78125
61,827.76953125
62,827.76953125
63,827.76953125
64,827.76953125
65,827.76953125
66,827.76953125
67,827.76953125
68,827.76953125
69,827.76953125
70,827.76953125
71,827.76953125
72,827.76953125
73,827.76953125
74,827.76953125
75,829.46875
76,829.46875
77,829.46875
78,829.46875
79,829.46875
80,829.46875
81,829.46875
82,829.46875
83,829.46875
84,829.46875
85,829.46875
86,829.46875
87,829.46875
88,829.46875
89,829.46875
90,829.46875
91,829.46875
92,829.46875
93,829.46875
94,829.46875
95,829.46875
96,829.46875
97,829.46875
98,829.46875
99,829.46875
100,829.46875
101,829.46875
102,829.46875
103,829.46875
104,832.08984375
105,832.08984375
106,832.34765625
107,832.34765625
108,832.34765625
109,832.34765625
110,832.34765625
111,832.34765625
112,832.34765625
113,832.34765625
114,832.34765625
115,832.34765625
116,832.34765625
117,832.34765625
118,832.34765625
119,832.34765625
120,832.34765625
121,832.34765625
122,832.34765625
123,832.34765625
124,832.34765625
125,832.34765625
126,832.34765625
127,832.34765625
128,832.34765625
129,832.34765625
130,832.34765625
131,832.34765625
132,832.34765625
133,832.34765625
134,832.34765625
135,832.34765625
136,832.34765625
137,832.34765625
138,832.34765625
139,832.34765625
140,832.34765625
141,832.34765625
142,832.34765625
143,832.34765625
144,832.34765625
145,832.34765625
146,832.34765625
147,832.34765625
148,832.34765625
149,832.34765625
150,832.34765625
151,832.34765625
152,832.34765625
153,832.34765625
154,832.34765625
155,832.34765625
156,832.34765625
157,832.34765625
158,832.34765625
159,832.34765625
160,832.34765625
161,832.34765625
162,832.34765625
163,832.34765625
164,832.34765625
165,832.34765625
166,832.34765625
167,832.34765625
168,832.34765625
169,832.34765625
170,832.34765625
171,832.34765625
172,832.34765625
173,832.55078125
174,832.59375
175,832.59375
176,832.59375
177,832.84375
178,832.84375
179,833.09375
180,833.09375
181,833.34375
182,833.34375
183,833.34375
184,833.59375
185,833.59375
186,833.84375
187,833.84375
188,834.09375
189,834.09375
190,834.34375
191,834.34375
192,834.34375
193,834.59375
194,834.59375
195,834.84375
196,834.84375
197,835.09375
198,835.09375
199,835.09375
200,835.34375
201,835.34375
202,835.59375
203,835.59375
204,835.84765625
205,835.84765625
206,836.09375
207,836.09375
208,836.09375
209,836.34375
210,836.34375
211,836.59375
212,836.59375
213,836.84375
214,836.84375
215,837.09375
216,837.09375
217,837.09375
218,837.34375
219,837.34375
220,837.59375
221,837.59375
222,837.59375
223,837.59375
224,837.59375
225,837.59375
226,837.59375
227,838.84375
228,838.84375
229,840.3515625
230,841.3515625
231,841.3515625
232,843.10546875
233,844.11328125
234,844.11328125
235,844.11328125
236,844.11328125
237,844.11328125
238,844.11328125
239,844.11328125
240,844.11328125
241,844.11328125
242,867.7890625
243,868.26171875
244,868.26171875
245,868.26171875
246,868.26171875
247,868.26171875
248,868.26171875
249,868.26171875
250,868.26171875
251,868.26171875
252,868.26171875
253,868.26171875
254,868.26171875
255,868.26171875
256,868.51953125
257,870.43359375
258,870.43359375
259,870.29296875
260,870.29296875
261,870.29296875
262,870.29296875
263,870.29296875
264,870.29296875
265,870.29296875
266,870.29296875
267,870.29296875
268,870.29296875
269,870.29296875
270,870.29296875
271,870.29296875
272,870.29296875
273,870.29296875
274,870.29296875
275,870.29296875
276,870.29296875
277,870.29296875
278,870.29296875
279,870.29296875
280,870.29296875
281,870.29296875
282,870.29296875
283,870.1171875
284,870.1171875
285,870.1171875
286,870.1171875
287,870.1171875
288,870.1171875
289,870.1171875
290,870.1171875
291,870.1171875
292,870.1171875
293,870.1171875
294,870.1171875
295,870.1171875
296,870.1171875
297,870.1171875
298,870.1171875
299,870.1171875
300,870.1171875
301,870.1171875
302,870.1171875
303,870.1171875
304,870.1171875
305,870.1171875
306,870.1171875
307,870.1171875
308,870.1171875
309,870.1171875
310,870.1171875
311,870.1171875
312,870.1171875
313,870.1171875
314,870.1171875
315,870.1171875
316,870.1171875
317,870.1171875
318,870.1171875
319,870.1171875
320,870.1171875
321,870.1171875
322,870.171875
323,870.171875
324,870.171875
325,870.171875
326,870.171875
327,870.171875
328,870.171875
329,870.171875
330,870.171875
331,870.171875
332,870.171875
333,870.171875
334,870.171875
335,870.171875
336,870.171875
337,870.171875
338,870.171875
339,870.421875
340,870.421875
341,870.67578125
342,870.67578125
343,870.93359375
344,870.93359375
345,871.171875
346,871.171875
347,871.421875
348,871.421875
349,871.67578125
350,871.67578125
351,871.921875
352,871.921875
353,872.171875
354,872.171875
355,872.421875
356,872.421875
357,872.421875
358,872.671875
359,872.671875
360,872.921875
361,872.921875
362,873.17578125
363,873.17578125
364,873.17578125
365,873.43359375
366,873.43359375
367,873.69140625
368,873.69140625
369,873.921875
370,873.921875
371,874.171875
372,874.171875
373,874.171875
374,874.421875
375,874.421875
376,874.671875
377,874.671875
378,874.921875
379,874.921875
380,874.921875
381,875.171875
382,876.921875
383,876.921875
384,878.28125
385,879.51953125
386,879.51953125
387,881.01953125
388,882.01953125
389,882.01953125
390,919.9140625
391,921.71875
392,921.71875
393,921.71875
394,921.71875
395,921.71875
396,921.71875
397,921.71875
398,921.71875
399,921.71875
400,921.71875
401,921.71875
402,921.71875
403,921.71875
404,921.71875
405,921.71875
406,921.71875
407,921.71875
408,921.71875
409,921.93359375
410,921.93359375
411,921.93359375
412,921.93359375
413,923.6875
414,923.6875
415,923.4921875
416,923.4921875
417,923.4921875
418,923.4921875
419,923.4921875
420,923.4921875
421,923.4921875
422,923.4921875
423,923.4921875
424,923.4921875
425,923.4921875
426,923.4921875
427,923.4921875
428,923.4921875
429,923.4921875
430,923.4921875
431,923.4921875
432,923.4921875
433,923.4921875
434,923.4921875
435,923.4921875
436,923.4921875
437,923.4921875
438,923.4921875
439,924.73046875
440,925.734375
441,925.734375
442,925.734375
443,925.734375
444,925.734375
445,925.734375
446,925.734375
447,925.734375
448,925.734375
449,925.734375
450,925.734375
451,925.734375
452,925.734375
453,925.734375
454,925.734375
455,925.734375
456,925.734375
457,925.734375
458,925.734375
459,925.734375
460,925.734375
461,925.734375
462,925.734375
463,925.734375
464,925.734375
465,927.03125
466,927.03125
467,927.03125
468,927.03125
469,927.03125
470,927.03125
471,927.03125
472,927.03125
473,927.03125
474,927.03125
475,927.03125
476,927.03125
477,927.03125
478,927.03125
479,927.03125
480,927.03125
481,927.03125
482,927.03125
483,927.03125
484,927.03125
485,927.03125
486,927.03125
487,927.03125
488,928.02734375
489,928.02734375
490,928.02734375
491,928.02734375
492,928.02734375
493,928.02734375
494,928.02734375
495,928.02734375
496,928.02734375
497,928.02734375
498,928.02734375
499,928.02734375
500,928.02734375
501,928.02734375
502,928.02734375
503,928.02734375
504,928.02734375
505,928.02734375
506,928.02734375
507,928.02734375
508,928.02734375
509,928.02734375
510,928.02734375
511,928.02734375
512,928.02734375
513,928.02734375
514,928.02734375
515,928.02734375
516,928.02734375
517,928.02734375
518,928.02734375
519,928.02734375
520,928.02734375
521,928.02734375
522,928.02734375
523,928.02734375
524,928.02734375
525,928.02734375
526,928.02734375
527,928.02734375
528,928.02734375
529,928.02734375
530,928.02734375
531,928.02734375
532,928.02734375
533,928.02734375
534,928.02734375
535,928.02734375
536,928.02734375
537,928.02734375
538,928.02734375
539,928.02734375
540,928.02734375
541,928.02734375
542,928.02734375
543,928.02734375
544,928.02734375
545,928.02734375
546,928.02734375
547,928.02734375
548,928.02734375
549,928.02734375
550,928.02734375
551,928.27734375
552,928.27734375
553,928.27734375
554,928.52734375
555,928.52734375
556,928.77734375
557,928.77734375
558,929.02734375
559,929.02734375
560,929.27734375
561,929.27734375
562,929.53125
563,929.53125
564,929.77734375
565,929.77734375
566,930.03125
567,930.03125
568,930.27734375
569,930.27734375
570,930.27734375
571,930.52734375
572,930.52734375
573,930.78125
574,930.78125
575,931.0390625
576,931.0390625
577,931.27734375
578,931.27734375
579,931.27734375
580,931.53125
581,931.53125
582,931.77734375
583,931.77734375
584,932.03125
585,932.03125
586,932.27734375
587,932.27734375
588,932.27734375
589,932.53125
590,932.53125
591,932.7890625
592,932.7890625
593,933.046875
594,933.046875
595,933.046875
596,933.3046875
597,933.3046875
598,933.5625
599,933.5625
600,933.8203125
601,933.8203125
602,934.02734375
603,934.02734375
604,934.27734375
605,934.27734375
606,934.27734375
607,934.52734375
608,934.52734375
609,937.6171875
610,937.6171875
611,937.875
612,937.875
613,937.875
614,938.15625
615,938.15625
616,938.41015625
617,938.41015625
618,938.65625
619,938.65625
620,938.65625
621,939.68359375
622,939.68359375
623,940.45703125
624,942.26171875
625,942.41015625
626,942.41015625
627,942.66015625
628,942.66015625
629,942.66015625
630,942.91015625
631,942.91015625
632,943.1640625
633,944.453125
634,944.7109375
635,945.2265625
636,945.484375
637,945.484375
638,945.7421875
639,945.91015625
640,947.453125
641,947.7890625
642,947.7890625
643,947.7890625
644,948.0390625
645,948.0390625
646,948.29296875
647,948.29296875
648,948.55078125
649,951.38671875
650,951.38671875
651,951.64453125
652,951.64453125
