episode,sim/wall,total steps,steps/sec,score
0,5.631716102274395,27,56.316824947522896,000: -0.4248
1,5.981538876406826,11,59.81469083592407,000: -0.7195
2,6.376351137567521,16,63.76290553219791,000: -0.6503
3,6.107416494175789,53,61.07401392653198,000: -0.0920
4,6.342649527276606,19,63.42593998666087,000: -0.4964
5,5.998562271843401,28,59.985224412408876,000: -0.3394
6,6.584878171313741,9,65.84740334498566,000: -0.7899
7,6.60526816208821,8,66.05112134281615,000: -0.8029
8,6.3827688734682795,13,63.82701629565118,000: -0.7203
9,6.740707289046743,12,67.40617014779856,000: -0.7039
10,5.894215356077179,54,58.942015509685945,000: 0.0658
11,6.10426569050285,61,61.04252583038244,000: -0.0136
12,6.567835196374285,14,65.67769082182879,000: -0.6508
13,6.337692636630538,10,63.375968740414585,000: -0.7540
14,6.707304699290579,8,67.07170627472381,000: -0.8116
15,6.160103346333219,24,61.6006188009752,000: -0.4668
16,6.173813974711866,14,61.73736082344159,000: -0.7236
17,6.370128766617401,19,63.70082939525128,000: -0.6259
18,6.233564882932209,20,62.33523193817459,000: -0.5266
19,5.962694054765213,44,59.626767161775675,000: -0.0076
20,5.987489851162277,24,59.874613602500546,000: -0.5334
21,5.4466882665749,24,54.4665879580081,000: -0.4070
22,6.155359087035921,16,61.55302629370399,000: -0.6493
23,5.785203371510685,11,57.851235773030545,000: -0.7453
24,6.182622323043933,19,61.82579154101754,000: -0.5044
25,6.240481196661543,22,62.40430552277435,000: -0.4368
26,6.259916973309225,20,62.59860916986739,000: -0.5097
27,6.156160897671701,16,61.56104425296688,000: -0.5840
28,6.674855529849871,8,66.74749307250545,000: -0.8022
29,5.7422234887368795,54,57.42208930612779,000: 0.0459
30,6.078573863017369,29,60.78540448453889,000: -0.2671
31,5.84426110935883,22,58.44220393247219,000: -0.5519
32,6.057434586542177,12,60.57347106035606,000: -0.7023
33,6.0847593697569105,23,60.84724828421834,000: -0.4673
34,6.186408100707338,23,61.86364461283035,000: -0.5071
35,5.667368010734307,33,56.67340164395901,000: -0.2827
36,6.111153364473664,22,61.111088446637304,000: -0.4372
37,6.1093052666212,17,61.09258156525434,000: -0.6100
38,6.079230077977796,13,60.791622999290915,000: -0.7823
39,3.9688106130075065,22,39.68793542898384,000: -0.4432
40,6.049547067712042,17,60.49495742209605,000: -0.6023
41,6.066265205980888,22,60.66229313775827,000: -0.4234
42,6.066311585837836,27,60.66279090322287,000: -0.3010
43,6.024515732412533,20,60.244724659621866,000: -0.6291
