,mem_usage
0,478.12890625
1,478.26953125
2,557.94140625
3,797.64453125
4,821.96875
5,828.97265625
6,835.81640625
7,837.30078125
8,839.984375
9,842.69921875
10,843.73046875
11,845.2734375
12,845.53125
13,846.80859375
14,847.3203125
15,848.609375
16,849.48828125
17,849.48828125
18,849.48828125
19,849.48828125
20,849.48828125
21,849.48828125
22,849.48828125
23,849.48828125
24,849.48828125
25,849.48828125
26,849.48828125
27,849.48828125
28,849.48828125
29,849.48828125
30,849.48828125
31,849.48828125
32,849.48828125
33,849.48828125
34,849.48828125
35,849.48828125
36,849.48828125
37,849.48828125
38,849.48828125
39,849.48828125
40,849.48828125
41,849.48828125
42,849.48828125
43,849.48828125
44,849.48828125
45,849.48828125
46,850.234375
47,850.75
48,851.265625
49,851.77734375
50,852.29296875
51,852.29296875
52,852.29296875
53,852.29296875
54,852.29296875
55,852.29296875
56,852.29296875
57,852.29296875
58,852.29296875
59,852.29296875
60,852.29296875
61,852.29296875
62,852.29296875
63,852.29296875
64,852.29296875
65,867.59765625
66,867.59765625
67,868.88671875
68,868.88671875
69,868.88671875
70,868.88671875
71,868.88671875
72,868.88671875
73,868.88671875
74,868.88671875
75,868.88671875
76,868.88671875
77,868.88671875
78,868.88671875
79,868.88671875
80,868.88671875
81,868.88671875
82,868.88671875
83,868.88671875
84,868.88671875
85,868.88671875
86,868.88671875
87,868.88671875
88,868.88671875
89,868.88671875
90,868.88671875
91,868.88671875
92,868.88671875
93,868.88671875
94,868.88671875
95,868.88671875
96,868.88671875
97,868.88671875
98,868.88671875
99,868.88671875
100,868.88671875
101,868.88671875
102,868.88671875
103,868.88671875
104,868.88671875
105,868.88671875
106,868.88671875
107,868.88671875
108,868.88671875
109,868.88671875
110,868.88671875
111,868.88671875
112,868.88671875
113,868.88671875
114,868.88671875
115,868.88671875
116,868.88671875
117,868.88671875
118,868.88671875
119,868.88671875
120,868.88671875
121,868.88671875
122,868.88671875
123,868.88671875
124,868.88671875
125,868.88671875
126,868.88671875
127,868.88671875
128,868.88671875
129,868.88671875
130,868.88671875
131,868.88671875
132,868.88671875
133,868.88671875
134,869.17578125
135,869.17578125
136,870.86328125
137,870.86328125
138,870.4375
139,870.6171875
140,870.8671875
141,870.8671875
142,870.8671875
143,871.89453125
144,872.13671875
145,873.421875
146,873.9375
147,873.9375
148,873.9375
149,873.9375
150,873.9375
151,873.9375
152,873.9375
153,873.9375
154,873.9375
155,874.1953125
156,874.1953125
157,874.1953125
158,874.1953125
159,874.1953125
160,874.1953125
161,874.1953125
162,874.1953125
163,874.1953125
164,874.1953125
165,874.1953125
166,874.1953125
167,874.1953125
168,874.1953125
169,874.4453125
170,874.4453125
171,874.4453125
172,874.4453125
173,874.4453125
174,874.4453125
175,874.4453125
176,874.4453125
177,874.4453125
178,874.4453125
179,874.4453125
180,874.4453125
181,874.4453125
182,874.4453125
183,874.9609375
184,875.4765625
185,875.9921875
186,876.5078125
187,876.765625
188,877.28125
189,877.796875
190,878.0546875
191,878.828125
192,879.34375
193,880.1171875
194,880.6328125
195,881.4140625
196,881.4140625
197,883.51171875
198,884.76171875
199,884.76171875
200,884.76171875
201,884.76171875
202,885.01953125
203,886.30859375
204,886.56640625
205,887.08203125
206,887.85546875
207,887.85546875
208,888.37109375
209,888.62890625
210,888.88671875
211,888.88671875
212,888.88671875
213,889.14453125
214,889.14453125
215,889.14453125
216,889.14453125
217,889.40234375
218,889.91796875
219,889.91796875
220,893.21875
221,893.734375
222,893.734375
223,895.4375
224,896.69921875
225,896.3046875
226,896.3046875
227,896.3046875
228,896.3046875
229,896.3046875
230,896.3046875
231,896.3046875
232,896.3046875
233,896.3046875
234,896.3046875
235,896.3046875
236,896.3046875
237,896.55859375
238,896.81640625
239,896.81640625
240,896.81640625
241,896.81640625
242,896.81640625
243,896.81640625
244,896.81640625
245,896.81640625
246,896.81640625
247,896.81640625
248,896.81640625
249,896.81640625
250,896.81640625
251,896.81640625
252,896.81640625
253,897.07421875
254,897.84765625
255,898.36328125
256,899.13671875
257,899.91015625
258,900.16796875
259,900.16796875
260,900.16796875
261,900.16796875
262,900.16796875
263,900.16796875
264,900.16796875
265,900.16796875
266,900.16796875
267,900.16796875
268,900.16796875
269,900.16796875
270,900.16796875
271,900.16796875
272,900.16796875
273,908.453125
274,908.453125
275,908.453125
276,908.453125
277,908.453125
278,908.453125
279,908.453125
280,908.453125
281,908.453125
282,908.453125
283,908.453125
284,908.453125
285,908.453125
286,908.453125
287,908.453125
288,908.453125
289,908.453125
290,908.453125
291,908.453125
292,908.453125
293,908.453125
294,908.453125
295,908.453125
296,908.453125
297,908.453125
298,908.453125
299,908.453125
300,908.453125
301,908.453125
302,908.453125
303,908.453125
304,908.453125
305,908.453125
306,908.453125
307,908.453125
308,908.453125
309,908.453125
310,908.453125
311,908.453125
