episode,sim/wall,total steps,steps/sec,score
0,2.7924074072268588,478,27.924070960840982,"004: -0.6759, 018: -0.7110, 012: -0.8962, 003: -1.0052, 007: 0.0652, 002: -0.4710, 019: -0.5931, 006: -0.7231, 001: -0.9747, 000: -1.5460, 005: -0.6666, 010: -0.9894, 014: -0.5728, 016: -0.5429, 015: -0.9081, 008: -0.0602, 011: -0.9541, 017: -0.6331, 009: -0.2804, 013: -0.7000"
1,3.363069770332136,432,33.63069083705416,"004: -0.8195, 018: -0.8593, 012: -0.5164, 003: -0.6261, 007: -0.7915, 002: -0.5622, 019: -0.7808, 006: -0.0126, 005: -0.5904, 001: -1.6782, 000: -0.6374, 010: -0.7483, 014: -0.4553, 016: -0.7866, 015: -0.6503, 008: -0.8319, 011: -0.6195, 017: 0.0015, 009: -0.8100, 013: -0.7923"
2,1.1844596889464654,85,11.844592954311903,"004: -0.6464, 018: -0.5735, 012: -0.8309, 003: -0.9843, 007: -0.5458, 002: -0.2212, 019: -0.4013, 006: -0.7685, 005: -0.9774, 001: -0.5751, 000: -0.1279, 010: 0.0974, 014: -0.7230, 016: -0.7586, 015: -1.0027, 008: -0.6487, 011: -0.9827, 017: -0.0797, 009: -0.5360, 013: -0.5774"
3,1.760110489935537,202,17.60110124283078,"004: -0.6155, 018: -0.3847, 012: -0.0527, 003: -0.6335, 007: -1.1992, 002: -0.5936, 019: -0.8503, 006: -0.1550, 005: -0.4735, 001: -0.5952, 000: -0.6768, 014: -0.5867, 010: -0.8252, 016: -0.8713, 015: -0.2091, 008: -0.5554, 011: -0.7343, 017: -0.6707, 009: -0.4732, 013: -0.4399"
4,1.0130180310683334,110,10.130178086443234,"004: -0.4307, 018: -1.5937, 012: -0.6632, 003: -0.5106, 007: -0.6279, 002: 0.0866, 019: -0.8590, 006: -0.4941, 005: -0.4555, 001: -0.4082, 000: -0.8008, 014: -0.8261, 010: -0.1095, 016: -0.6832, 015: -0.2354, 008: -0.7113, 011: -0.3469, 017: -0.6734, 009: -0.6282, 013: -0.2168"
5,1.5759790915293106,161,15.75978723726519,"004: -0.4801, 018: -0.7229, 012: -0.5753, 003: -0.5631, 007: -0.3630, 002: -0.3129, 019: -0.6134, 006: -0.8432, 005: -0.2961, 001: -0.3187, 000: -1.4768, 014: -0.4690, 010: -0.8820, 016: -0.8106, 015: -0.5003, 008: -0.4864, 011: -0.9018, 017: -0.3292, 009: -0.6325, 013: -0.4647"
6,2.35242500017824,295,23.524244634792243,"004: 0.0141, 018: -0.6981, 012: -0.7728, 003: -0.2243, 007: -0.7452, 002: -0.7853, 019: -0.3930, 006: -0.7410, 005: -0.8417, 001: -0.4675, 000: -0.6936, 014: -0.5306, 010: -0.5292, 016: -0.7270, 015: -1.0172, 008: -0.3701, 011: -0.0519, 017: -0.6883, 009: -0.7253, 013: -0.5393"
7,0.7023674166978127,52,7.0236721313059185,"004: -0.3642, 018: -0.6680, 012: -0.8362, 003: -0.2395, 007: -0.5164, 002: -0.7172, 019: -0.3129, 006: -0.2010, 005: -1.1277, 001: -0.2597, 000: -0.6072, 014: -0.7135, 010: -0.7040, 016: -0.1756, 015: -0.7814, 008: -0.4542, 011: -0.6859, 017: -0.7120, 009: -0.6455, 013: -0.7230"
8,2.389071076726386,299,23.89070530581093,"004: -0.7461, 018: -0.6566, 012: -0.1100, 003: -0.5970, 007: -0.8150, 002: -0.2229, 019: -1.1174, 006: -0.7109, 005: -0.9890, 001: -0.5909, 000: -0.7373, 014: -0.6336, 010: -0.7861, 016: -0.4958, 015: -0.6463, 008: -0.2598, 011: -0.5096, 017: 0.0345, 009: -0.7276, 013: -0.3694"
9,2.043492698967476,515,20.43492486314391,"004: -0.4384, 018: -0.6186, 012: -1.4003, 003: -0.6737, 007: -0.6992, 002: -0.8556, 019: -0.5283, 006: -0.6785, 005: -0.5862, 001: -0.7250, 000: -1.9035, 014: -0.7316, 010: -0.6121, 016: -0.5718, 015: -0.5750, 008: -0.5516, 011: -0.8091, 017: -0.7711, 009: -0.7393, 013: -0.6273"
