,mem_usage
0,478.328125
1,478.46875
2,559.41796875
3,858.26171875
4,1041.09765625
5,1067.65234375
6,1074.27734375
7,1085.0546875
8,1085.5078125
9,1088.5546875
10,1090.8359375
11,1090.89453125
12,1092.12890625
13,1093.41796875
14,1093.67578125
15,1094.96484375
16,1095.60546875
17,1095.60546875
18,1095.60546875
19,1095.8515625
20,1095.8515625
21,1095.8515625
22,1095.8515625
23,1095.8515625
24,1095.8515625
25,1095.8515625
26,1095.8515625
27,1095.8515625
28,1095.8515625
29,1095.8515625
30,1095.8515625
31,1095.8515625
32,1095.8515625
33,1095.8515625
34,1096.140625
35,1099.765625
36,1100.421875
37,1100.6796875
38,1100.921875
39,1103.421875
40,1103.421875
41,1103.421875
42,1102.671875
43,1102.671875
44,1102.671875
45,1103.3359375
46,1103.8515625
47,1103.8515625
48,1103.8515625
49,1103.8515625
50,1103.8515625
51,1103.8515625
52,1103.8515625
53,1103.8515625
54,1103.8515625
55,1103.8515625
56,1103.8515625
57,1103.8515625
58,1103.8515625
59,1103.8515625
60,1103.8515625
61,1103.8515625
62,1103.8515625
63,1103.8515625
64,1103.8515625
65,1103.8515625
66,1103.8515625
67,1103.8515625
68,1103.8515625
69,1104.06640625
70,1104.06640625
71,1105.1171875
72,1105.36328125
73,1105.36328125
74,1106.1328125
75,1106.91015625
76,1107.16796875
77,1107.94140625
78,1109.03125
79,1109.03125
80,1109.2890625
81,1109.546875
82,1109.546875
83,1109.546875
84,1109.546875
85,1109.8046875
86,1110.0625
87,1110.0625
88,1110.3203125
89,1110.578125
90,1110.578125
91,1110.8359375
92,1111.09375
93,1111.609375
94,1112.125
95,1112.3828125
96,1112.3828125
97,1112.3828125
98,1112.3828125
99,1112.3828125
100,1112.3828125
101,1112.3828125
102,1112.3828125
103,1112.8828125
104,1114.26953125
105,1114.26953125
106,1114.26953125
107,1114.26953125
108,1114.26953125
109,1114.51953125
110,1114.51953125
111,1114.51953125
112,1114.51953125
113,1114.7734375
114,1115.2890625
115,1115.2890625
116,1115.8046875
117,1116.3203125
118,1116.578125
119,1117.09375
120,1117.3515625
121,1117.8671875
122,1118.3828125
123,1118.8984375
124,1118.8984375
125,1118.8984375
126,1118.8984375
127,1118.8984375
128,1118.8984375
129,1118.8984375
130,1118.8984375
131,1118.8984375
132,1118.8984375
133,1119.2109375
134,1122.98046875
135,1125.0703125
136,1125.328125
137,1125.84375
138,1125.84375
139,1125.84375
140,1125.84375
141,1125.84375
142,1125.84375
143,1125.84375
144,1125.84375
145,1125.84375
146,1126.359375
147,1126.359375
148,1126.359375
149,1126.359375
150,1126.359375
151,1126.359375
152,1126.359375
153,1126.359375
154,1126.359375
155,1126.359375
156,1126.359375
157,1126.359375
158,1126.359375
159,1126.359375
160,1126.61328125
161,1128.921875
162,1129.890625
163,1129.890625
164,1130.3984375
165,1132.8984375
166,1133.1484375
167,1133.1484375
168,1133.1484375
169,1133.1484375
170,1133.1484375
171,1133.1484375
172,1133.1484375
173,1133.66015625
174,1133.66015625
175,1134.43359375
176,1134.43359375
177,1134.43359375
178,1134.43359375
179,1134.43359375
180,1134.43359375
181,1134.43359375
182,1134.43359375
183,1134.43359375
184,1134.43359375
185,1134.43359375
186,1134.43359375
187,1134.43359375
188,1134.43359375
189,1134.43359375
190,1134.43359375
191,1134.43359375
192,1134.43359375
193,1134.43359375
194,1134.43359375
195,1134.43359375
196,1134.43359375
197,1134.43359375
198,1134.43359375
199,1134.43359375
200,1134.43359375
201,1134.43359375
202,1134.43359375
203,1134.94921875
204,1135.20703125
205,1135.20703125
206,1135.20703125
207,1135.20703125
208,1135.20703125
209,1135.20703125
210,1135.20703125
211,1135.20703125
212,1155.2265625
213,1156.0234375
214,1165.046875
215,1165.046875
216,1165.046875
217,1165.046875
218,1165.046875
219,1165.046875
220,1166.078125
221,1166.078125
222,1166.078125
223,1166.078125
224,1166.078125
225,1166.078125
226,1166.078125
227,1166.078125
228,1166.078125
229,1166.078125
230,1166.078125
231,1166.078125
232,1166.078125
233,1166.078125
234,1166.078125
235,1166.078125
236,1166.078125
237,1166.078125
238,1166.3359375
239,1166.3359375
240,1166.3359375
241,1166.3359375
242,1166.3359375
243,1166.41796875
244,1166.41796875
245,1166.41796875
246,1166.41796875
247,1166.66796875
248,1166.66796875
249,1166.66796875
250,1166.91796875
251,1166.91796875
252,1166.91796875
253,1166.91796875
254,1167.16796875
255,1167.16796875
256,1167.16796875
257,1167.16796875
258,1167.41796875
259,1167.41796875
260,1167.41796875
261,1167.41796875
262,1167.66796875
263,1167.66796875
264,1167.66796875
265,1167.66796875
266,1167.91796875
267,1167.91796875
268,1167.91796875
269,1167.91796875
270,1168.16796875
271,1168.16796875
272,1168.16796875
273,1168.16796875
274,1168.41796875
275,1168.41796875
276,1168.41796875
277,1168.41796875
278,1168.66796875
279,1168.66796875
280,1168.66796875
281,1168.66796875
282,1168.91796875
283,1168.91796875
284,1173.0390625
285,1174.0703125
286,1175.1015625
287,1175.1015625
288,1175.1015625
289,1175.1015625
290,1175.1015625
291,1175.1015625
292,1175.1015625
293,1175.1015625
294,1175.1015625
295,1175.1015625
296,1175.1015625
297,1175.1015625
298,1175.1015625
299,1175.1015625
300,1175.1015625
301,1175.1015625
302,1175.1015625
303,1175.1015625
304,1175.1015625
305,1175.16796875
306,1175.16796875
307,1175.16796875
308,1175.16796875
309,1175.41796875
310,1175.41796875
311,1175.41796875
312,1175.66796875
313,1175.66796875
314,1175.66796875
315,1175.66796875
316,1175.921875
317,1175.921875
318,1175.921875
319,1176.16796875
320,1176.16796875
321,1177.671875
322,1177.91796875
323,1179.67578125
324,1180.42578125
325,1180.42578125
326,1185.17578125
327,1187.4609375
328,1187.4609375
329,1187.4609375
330,1187.4609375
331,1188.4921875
332,1188.4921875
333,1188.4921875
334,1189.5234375
335,1189.5234375
336,1189.5234375
337,1189.5234375
338,1190.0390625
339,1192.1015625
340,1193.1328125
341,1193.1328125
342,1193.1328125
343,1193.1328125
344,1193.1328125
345,1193.1328125
346,1193.1328125
347,1193.1328125
348,1193.1328125
349,1193.1328125
350,1193.1328125
351,1193.1328125
352,1193.1328125
353,1193.1328125
354,1193.1328125
355,1193.1328125
356,1193.1328125
357,1193.1328125
358,1194.03125
359,1195.3203125
360,1195.359375
361,1195.359375
362,1195.359375
363,1195.609375
364,1195.34765625
365,1196.1171875
366,1196.1171875
367,1196.1171875
368,1196.1171875
369,1196.1171875
370,1196.1171875
371,1196.1171875
372,1196.1171875
373,1196.1171875
374,1196.1171875
375,1196.1171875
376,1196.1171875
377,1196.1171875
378,1196.1171875
379,1196.1171875
380,1196.1171875
381,1196.1171875
382,1196.1171875
383,1196.1171875
384,1196.1171875
385,1196.1171875
386,1196.1171875
387,1196.1171875
388,1196.1171875
389,1196.1171875
390,1196.1171875
391,1196.375
392,1196.375
393,1197.734375
394,1197.984375
395,1204.68359375
396,1206.75390625
397,1209.30859375
398,1209.30859375
399,1209.30859375
400,1209.30859375
401,1209.30859375
402,1209.30859375
403,1209.30859375
404,1209.30859375
405,1209.30859375
406,1209.30859375
407,1209.30859375
408,1209.30859375
409,1209.30859375
410,1209.30859375
411,1209.30859375
412,1209.30859375
413,1209.30859375
414,1209.30859375
415,1209.30859375
416,1209.30859375
417,1209.30859375
418,1209.30859375
419,1209.30859375
420,1209.30859375
421,1209.30859375
422,1209.30859375
423,1209.30859375
424,1209.30859375
425,1209.30859375
426,1209.30859375
427,1209.30859375
428,1209.30859375
429,1209.30859375
430,1209.30859375
431,1209.30859375
432,1209.30859375
433,1209.30859375
434,1209.30859375
435,1209.30859375
436,1209.30859375
437,1209.30859375
438,1209.30859375
439,1209.7578125
440,1209.7578125
441,1214.4921875
442,1217.01953125
443,1217.01953125
444,1217.01953125
445,1217.01953125
446,1217.24609375
447,1217.24609375
448,1217.24609375
449,1217.24609375
450,1219.046875
451,1219.046875
452,1221.109375
453,1221.109375
454,1221.109375
455,1221.109375
456,1221.109375
457,1221.109375
458,1221.109375
459,1221.109375
460,1221.109375
461,1221.109375
462,1221.109375
463,1221.109375
464,1221.109375
465,1221.109375
466,1221.109375
467,1221.109375
468,1221.109375
469,1221.109375
470,1221.109375
471,1221.109375
472,1221.109375
473,1221.3671875
474,1221.3671875
475,1221.75390625
476,1224.00390625
477,1226.0625
478,1226.0625
479,1226.0625
480,1226.0625
481,1226.0625
482,1226.0625
483,1226.0625
484,1226.0625
485,1226.0625
486,1226.0625
487,1228.8984375
488,1228.8984375
489,1228.8984375
490,1228.8984375
491,1228.8984375
492,1228.8984375
493,1228.8984375
494,1228.8984375
495,1228.8984375
496,1228.8984375
497,1228.8984375
498,1228.8984375
499,1228.8984375
500,1228.8984375
501,1228.8984375
502,1228.8984375
503,1228.8984375
504,1228.8984375
505,1228.8984375
506,1229.265625
507,1231.52734375
508,1231.52734375
509,1232.55859375
510,1232.55859375
511,1232.55859375
512,1235.13671875
513,1235.13671875
514,1235.13671875
515,1235.13671875
516,1235.13671875
517,1235.13671875
518,1235.13671875
519,1235.13671875
520,1235.13671875
521,1235.13671875
522,1235.13671875
523,1235.13671875
524,1235.13671875
525,1235.13671875
526,1235.13671875
527,1235.13671875
528,1235.13671875
529,1235.13671875
530,1235.13671875
531,1235.13671875
532,1235.13671875
533,1235.13671875
534,1235.13671875
535,1235.13671875
536,1235.13671875
537,1235.13671875
538,1235.13671875
539,1235.13671875
540,1235.13671875
541,1235.39453125
542,1235.39453125
543,1236.1640625
544,1236.1640625
545,1240.26171875
546,1242.7890625
547,1242.7890625
548,1243.8203125
549,1243.8203125
550,1243.8203125
551,1243.8203125
552,1243.8203125
553,1243.8203125
554,1243.8203125
555,1243.8203125
556,1244.8515625
557,1244.8515625
558,1244.8515625
559,1245.625
560,1245.625
561,1245.625
562,1245.625
563,1245.625
564,1245.625
