,mem_usage
0,478.4140625
1,478.5625
2,625.640625
3,697.234375
4,706.64453125
5,710.625
6,710.8515625
7,710.89453125
8,710.89453125
9,712.38671875
10,712.39453125
11,712.39453125
12,712.39453125
13,712.39453125
14,712.39453125
15,712.39453125
16,713.39453125
17,713.609375
18,713.6484375
19,713.6484375
20,713.8984375
21,713.8984375
22,713.8984375
23,713.8984375
24,715.1484375
25,715.38671875
26,715.38671875
27,715.38671875
28,715.38671875
29,716.65234375
30,717.1953125
31,717.21484375
32,717.21484375
33,717.3515625
34,717.3515625
35,717.3515625
36,717.3515625
37,718.60546875
38,718.85546875
39,718.85546875
40,718.85546875
41,718.85546875
42,718.85546875
43,719.35546875
44,720.35546875
45,720.6328125
46,717.34765625
47,717.34765625
48,717.34765625
49,717.34765625
50,717.34765625
51,717.34765625
52,718.609375
53,718.609375
54,718.609375
55,718.609375
56,718.609375
57,718.609375
58,718.609375
59,718.609375
60,718.609375
61,718.609375
62,718.609375
63,718.609375
64,718.609375
65,718.609375
66,718.796875
67,718.796875
68,718.796875
69,718.796875
70,719.296875
71,720.296875
72,720.55078125
73,720.55078125
74,720.55078125
75,720.55078125
76,720.55078125
77,720.55078125
78,722.05078125
79,722.05078125
80,722.30078125
81,722.30078125
82,722.30078125
83,723.1796875
84,723.4375
85,723.4375
86,723.4375
87,723.4375
88,723.4375
89,723.4375
90,723.4375
91,723.4375
92,723.4375
93,723.4375
94,723.4375
95,723.4375
96,723.4375
97,723.4375
98,723.4375
99,723.4375
100,723.4375
101,723.4375
102,723.4375
103,723.4375
104,723.6796875
105,723.6796875
106,723.6796875
107,723.6796875
108,723.6796875
109,723.6796875
110,723.6796875
111,723.6796875
112,723.8125
113,724.06640625
114,724.06640625
115,724.06640625
116,724.06640625
117,724.06640625
118,724.06640625
119,724.06640625
120,724.06640625
121,724.06640625
122,724.06640625
123,724.8125
124,724.44140625
125,724.44140625
126,724.44140625
127,724.44140625
128,724.44140625
129,724.44140625
130,724.44140625
131,724.44140625
132,724.44140625
133,724.44140625
134,727.21484375
135,730.82421875
136,732.37109375
137,732.37109375
138,732.37109375
139,732.37109375
140,732.37109375
141,732.37109375
142,732.37109375
143,732.37109375
144,732.37109375
145,732.37109375
146,732.37109375
147,732.37109375
148,732.37109375
149,732.953125
150,732.953125
151,732.953125
152,732.953125
153,733.203125
154,734.703125
155,734.95703125
156,734.95703125
157,734.95703125
158,734.95703125
159,734.95703125
160,736.45703125
161,736.2265625
162,735.4765625
163,735.4765625
164,735.4765625
165,735.4765625
166,735.4765625
167,735.4765625
168,735.4765625
169,735.4765625
170,735.4765625
171,735.4765625
172,735.4765625
173,735.4765625
174,735.4765625
175,735.4765625
176,735.4765625
177,735.4765625
178,735.4765625
179,735.4765625
180,735.4765625
181,735.4765625
182,735.4765625
183,735.4765625
184,735.4765625
185,735.4765625
186,735.4765625
187,735.4765625
188,735.4765625
189,735.4765625
190,735.4765625
191,735.4765625
192,735.4765625
193,735.4765625
194,735.4765625
195,736.21484375
196,736.21875
197,736.46875
198,736.46875
199,736.46875
200,736.46875
201,736.46875
202,736.19921875
203,736.19921875
204,736.19921875
205,736.19921875
206,736.19921875
207,736.19921875
208,736.19921875
209,736.19921875
210,736.19921875
211,736.19921875
212,736.19921875
213,736.19921875
214,736.19921875
215,736.19921875
216,736.19921875
217,736.19921875
218,736.19921875
219,736.19921875
220,736.19921875
221,736.19921875
222,736.19921875
223,736.19921875
224,736.19921875
225,736.19921875
226,736.19921875
227,736.19921875
228,736.7578125
229,737.25390625
230,737.25390625
231,737.25390625
232,737.25390625
233,737.25390625
234,737.25390625
235,737.25390625
236,738.45703125
237,738.45703125
238,738.45703125
239,738.45703125
240,738.45703125
241,738.45703125
242,738.45703125
243,738.45703125
244,738.45703125
245,738.45703125
246,738.45703125
247,738.45703125
248,738.45703125
249,738.45703125
250,738.45703125
251,738.45703125
252,738.45703125
253,738.45703125
254,738.45703125
255,738.45703125
256,738.45703125
257,738.45703125
258,740.7734375
259,740.7734375
260,740.7734375
261,740.7734375
262,740.7734375
263,740.7734375
264,740.7734375
265,740.7734375
266,740.7734375
267,740.7734375
268,740.7734375
269,740.7734375
270,740.7734375
271,740.7734375
272,743.33984375
273,744.62890625
274,744.62890625
275,744.62890625
276,744.62890625
277,745.2109375
278,745.72265625
279,745.72265625
280,745.50390625
281,745.50390625
282,745.50390625
283,745.50390625
284,745.50390625
285,745.50390625
286,745.50390625
287,745.50390625
288,745.50390625
289,745.50390625
290,745.50390625
291,745.50390625
292,745.50390625
293,745.50390625
294,745.50390625
295,745.50390625
296,745.50390625
297,745.50390625
298,745.50390625
299,745.50390625
300,745.50390625
301,745.50390625
302,745.50390625
303,745.50390625
304,745.50390625
305,745.50390625
306,745.50390625
307,745.50390625
308,745.50390625
309,745.50390625
310,745.50390625
