episode,sim/wall,total steps,steps/sec,score
0,4.683483490742581,10000,46.83483433215709,"031: -0.5909, 000: -0.9287, 027: -0.8127, 008: -0.9783, 011: -0.9547, 026: -1.2061, 020: -0.6669, 004: -0.5442, 018: -0.9095, 030: -0.8449, 023: -53.9170, 012: -0.6981, 022: -0.7542, 016: -0.9799, 013: -1.0386, 021: -0.7131, 010: -0.6716, 002: -2.3272, 017: -0.9762, 003: -1.1918, 019: -0.8553, 029: -0.9796, 001: -1.3678, 033: -0.8320, 005: -0.8518, 014: -1.7398, 006: -1.1019, 015: -0.9936, 007: -0.0508, 025: -0.8478, 009: -0.9949, 034: -0.9799, 032: -1.3605, 028: -0.9422, 024: -0.8331"
1,0.07841181932307714,42,0.7841181548382592,"031: -0.8250, 000: -0.8812, 027: -0.7616, 008: -0.9998, 011: -0.2656, 026: -0.9019, 020: -0.9324, 004: -0.8447, 018: -0.8877, 030: -0.7968, 023: -0.5086, 012: -0.8888, 022: -0.7924, 016: -0.8545, 013: -0.8972, 021: -0.9842, 010: -0.9288, 002: -0.8211, 017: -1.1094, 003: -0.7343, 019: -0.8835, 029: -0.8801, 001: -0.9051, 033: -0.9134, 005: -0.9358, 014: -0.8354, 006: -1.1067, 015: 0.0228, 007: -0.7345, 025: -0.9207, 009: -0.7648, 034: -1.1482, 032: -2.2743, 028: -0.9317, 024: -0.8456"
2,0.08465754693345026,47,0.8465754329787133,"031: -0.9952, 000: -1.0037, 027: -0.8817, 008: -0.5384, 011: -0.6600, 026: -0.7814, 020: -0.8348, 004: -0.9793, 018: -0.6827, 030: -0.9400, 023: -0.7087, 012: -0.9685, 022: -0.8045, 016: 0.1031, 013: -0.7202, 021: -1.5300, 010: -0.9088, 002: -0.9769, 017: -0.8213, 003: -0.6207, 019: -0.8483, 029: -0.9871, 001: -0.8316, 033: -1.0259, 005: -0.2315, 014: -0.8580, 006: -0.3087, 015: -0.7986, 007: -0.7047, 025: -4.0947, 009: -1.0116, 034: -0.7953, 032: -1.1047, 028: -0.8917, 024: -2.0771"
3,1.9685714273819768,10000,19.68571418142605,"031: -55.4287, 000: -0.7820, 027: -0.6081, 008: -0.9006, 011: -1.0004, 026: -0.8768, 020: -0.9973, 004: -0.7913, 018: -1.0526, 030: -0.9161, 023: -1.0846, 012: -0.9120, 022: -0.2311, 016: -1.0125, 013: -0.8172, 021: -0.8472, 010: -1.4990, 002: -0.8217, 017: -0.9011, 003: -1.0004, 019: -0.6885, 029: -1.0836, 001: -0.6230, 033: -0.9823, 005: -1.0739, 014: -69.1097, 006: -1.0262, 015: -0.8963, 007: -0.8674, 025: -0.6589, 009: -0.4947, 034: -1.0138, 032: -0.9858, 028: -0.9057, 024: -0.9797"
4,0.09966247185661968,51,0.9966246674891367,"031: -0.8042, 000: -0.7959, 008: -0.8843, 011: -0.8766, 027: -0.8136, 026: -0.8975, 020: -0.7375, 004: -0.5768, 018: -0.8952, 030: -0.9772, 023: 0.0911, 012: -0.6920, 022: -0.9773, 016: -0.7900, 013: -0.9853, 021: -1.0060, 010: -0.6047, 002: -0.6814, 003: -0.9804, 017: -0.7995, 019: -0.8512, 029: -0.9460, 001: -0.7030, 033: -0.7312, 005: -0.8097, 014: -0.7471, 006: -0.9839, 015: -0.3036, 007: 0.3375, 025: -1.1522, 009: -0.8472, 034: -0.9624, 032: -0.9869, 028: -0.7207, 024: -0.8787"
5,3.493534165170653,10000,34.93534136072188,"031: -49.8798, 000: -1.0780, 027: -0.9818, 008: -0.9632, 011: -0.9445, 026: -0.7975, 020: -0.8226, 004: -0.8197, 018: -0.5742, 030: -0.7867, 023: -0.4777, 012: -0.8712, 028: -0.8115, 022: 0.0508, 016: -0.7331, 013: -0.9134, 021: -1.2189, 010: -0.9700, 002: -0.9606, 017: -0.8162, 019: -0.8582, 029: -0.4005, 033: -0.9583, 001: -0.9490, 005: -1.0248, 014: -1.0916, 006: -0.9035, 015: -1.2397, 007: -0.9877, 025: -0.9219, 009: -0.8225, 034: -0.7474, 032: -0.5004, 003: -1.8955, 024: -0.7761"
6,0.07411352031188241,48,0.7411351758357232,"031: -0.7541, 000: -0.9155, 027: -0.6566, 008: -1.8791, 011: -0.6148, 026: -0.9936, 020: -0.9272, 004: -0.8876, 018: -0.9199, 030: -0.7036, 023: -0.9972, 012: -0.8941, 022: -0.9107, 016: -1.0323, 013: -0.2542, 021: -0.8319, 010: -0.4044, 002: -0.7744, 017: -0.9716, 003: -0.7604, 019: -0.6409, 029: -0.8372, 001: -0.7560, 033: -0.8227, 005: -0.8025, 014: -0.9762, 006: -0.8002, 015: -0.8898, 007: -0.9866, 025: -0.6808, 009: -0.7039, 034: -2.1189, 032: -0.7424, 028: -0.8441, 024: -1.1191"
7,0.09543429633898,49,0.954342914643054,"031: -0.8596, 000: -0.8161, 008: -0.9372, 011: -0.7966, 027: -0.7936, 026: -0.9768, 020: -0.8600, 004: -0.9836, 018: -0.9998, 030: -0.9552, 023: -0.9337, 012: -0.7161, 022: -0.7466, 016: -1.0420, 013: -0.9851, 021: -0.9968, 010: -0.9870, 002: -0.7315, 003: -0.9564, 017: -0.8316, 019: -0.5434, 029: -0.6467, 001: -0.8782, 033: -0.6391, 005: -0.7153, 014: -1.0348, 006: -0.9599, 015: -1.1332, 007: -0.1726, 025: -1.0292, 009: -1.1949, 034: -1.3135, 032: -1.0071, 028: -0.9843, 024: -0.2889"
8,0.07096341392168673,43,0.7096341057109228,"031: -0.8906, 000: -1.0502, 008: -0.7807, 027: -0.9064, 011: -0.8586, 026: -0.8065, 020: -0.3265, 004: -0.9970, 018: -1.2518, 030: -1.1574, 023: -0.9540, 012: -0.7453, 022: -0.7220, 016: -0.7781, 013: -0.9801, 021: -0.8763, 010: -1.8964, 002: -0.6771, 017: -0.6535, 003: -0.6109, 029: -0.4750, 019: -0.9328, 001: -0.9298, 033: -0.1221, 005: -0.6735, 014: -0.9787, 006: -0.9787, 007: -0.8895, 025: -0.8360, 009: -0.8651, 024: -1.3215, 034: -1.6409, 032: -0.8044, 028: -0.8358, 015: -0.8496"
9,0.09262834034540814,69,0.9262833678778452,"031: -0.8732, 000: -0.5924, 008: -0.8645, 011: -0.7462, 027: -0.8894, 026: -0.7544, 020: -0.8406, 004: -0.8785, 018: -0.7734, 030: -1.2584, 023: -0.8278, 012: -0.8784, 022: -1.2818, 016: -0.9796, 013: -0.8241, 021: -0.7788, 010: -0.9223, 002: -0.9525, 003: -0.9165, 017: -0.5792, 019: -1.0006, 029: -1.4049, 001: -0.7091, 033: -0.7038, 005: -0.8594, 014: -0.8350, 006: -0.9988, 015: -1.1571, 007: -0.9912, 025: -0.8368, 009: -0.5024, 034: -0.2832, 032: -0.8378, 028: -0.8485, 024: -0.4924"
