ncalls,tottime,percall,cumtime,percall,filename:lineno(function)
1,0.000,0.000,5345.314,5345.314,/usr/local/lib/python3.7/dist-packages/memory_profiler.py:232(memory_usage)
1,3.441,3.441,5345.289,5345.289,marl_scalability/train.py:51(train)
112126,1.911,0.000,5014.984,0.045,/marl/marl_scalability/env/scalability_env.py:110(step)
426840,7.838,0.000,3076.950,0.007,/marl/marl_scalability/utils/common.py:176(ego_social_safety)
2356290,30.043,0.000,2858.721,0.001,/marl/marl_scalability/utils/geometry.py:196(intersects)
4712580,275.782,0.000,2747.330,0.001,/marl/marl_scalability/utils/geometry.py:261(intersectswithlines)
284560,7.808,0.000,2282.134,0.008,/marl/marl_scalability/baselines/adapter.py:153(reward_adapter)
142280,3.220,0.000,2280.431,0.016,/marl/marl_scalability/env/scalability_env.py:64(generate_logs)
420929930/308706820,401.224,0.000,1959.268,0.000,{built-in method numpy.core._multiarray_umath.implement_array_function}
112226,0.279,0.000,1497.564,0.013,/src/smarts/core/smarts.py:167(step)
112226,2.793,0.000,1497.285,0.013,/src/smarts/core/smarts.py:193(_step)
14137740,559.224,0.000,1167.472,0.000,/marl/marl_scalability/utils/geometry.py:211(_get_line_intersect_with_planes_3d)
112276,2.732,0.000,941.116,0.008,/src/smarts/core/agent_manager.py:132(observe)
144280,5.445,0.000,920.526,0.006,/src/smarts/core/sensors.py:180(observe)
4712580,39.998,0.000,841.607,0.000,/marl/marl_scalability/utils/geometry.py:181(_getnormals)
14137740,9.695,0.000,801.609,0.000,<__array_function__ internals>:2(cross)
14137740,269.410,0.000,766.910,0.000,/usr/local/lib/python3.7/dist-packages/numpy/core/numeric.py:1421(cross)
42415220,23.058,0.000,443.529,0.000,<__array_function__ internals>:2(moveaxis)
23951194,22.347,0.000,430.266,0.000,{built-in method builtins.min}
112226,1.648,0.000,397.071,0.004,/src/smarts/core/smarts.py:695(_step_providers)
42415220,124.804,0.000,390.886,0.000,/usr/local/lib/python3.7/dist-packages/numpy/core/numeric.py:1340(moveaxis)
144280,0.605,0.000,390.022,0.003,/src/smarts/core/sensors.py:995(__call__)
144280,0.338,0.000,382.543,0.003,/src/smarts/core/mission_planner.py:153(waypoint_paths_at)
37694064,66.296,0.000,382.007,0.000,/src/smarts/core/waypoints.py:64(dist_to)
146208,1.268,0.000,339.492,0.002,/src/smarts/core/waypoints.py:232(waypoint_paths_at)
23562900,17.163,0.000,314.008,0.000,<__array_function__ internals>:2(stack)
438840,9.295,0.000,309.346,0.001,/src/smarts/core/waypoints.py:218(waypoint_paths_on_lane_at)
144280,1.551,0.000,300.393,0.002,/src/smarts/core/sensors.py:330(_is_done_with_events)
40112398,20.780,0.000,290.242,0.000,<__array_function__ internals>:2(norm)
61669512,78.844,0.000,283.475,0.000,/usr/local/lib/python3.7/dist-packages/numpy/core/fromnumeric.py:73(_wrapreduction)
112226,189.020,0.002,256.210,0.002,/src/smarts/core/smarts.py:618(_pybullet_provider_step)
623345,4.321,0.000,251.967,0.000,/src/smarts/core/waypoints.py:274(_closest_linked_wp_in_kd_tree_with_pose_batched)
438531,13.192,0.000,248.742,0.001,/src/smarts/core/waypoints.py:334(_waypoints_starting_at_waypoint)
23562900,73.867,0.000,246.843,0.000,/usr/local/lib/python3.7/dist-packages/numpy/core/shape_base.py:357(stack)
40112398,127.466,0.000,242.881,0.000,/usr/local/lib/python3.7/dist-packages/numpy/linalg/linalg.py:2316(norm)
258184529/258184527,235.779,0.000,235.780,0.000,{built-in method numpy.array}
290560,1.038,0.000,219.536,0.001,/src/smarts/core/sumo_road_network.py:365(nearest_lanes)
290560,2.903,0.000,217.981,0.001,/usr/share/sumo/tools/sumolib/net/__init__.py:301(getNeighboringLanes)
438531,1.893,0.000,209.129,0.000,/src/smarts/core/waypoints.py:360(<listcomp>)
84830640,141.148,0.000,208.613,0.000,/usr/local/lib/python3.7/dist-packages/numpy/core/numeric.py:1277(normalize_axis_tuple)
126716621,58.326,0.000,208.153,0.000,<__array_function__ internals>:2(inner)
438531,67.504,0.000,207.237,0.000,/src/smarts/core/waypoints.py:362(_equally_spaced_path)
3209970,26.095,0.000,200.521,0.000,/marl/marl_scalability/utils/common.py:150(get_box)
1015501,20.964,0.000,198.827,0.000,/usr/share/sumo/tools/sumolib/geomhelper.py:126(distancePointToPolygon)
112126,0.498,0.000,196.538,0.002,marl_scalability/train.py:151(<dictcomp>)
142280,1.831,0.000,196.040,0.001,/marl/marl_scalability/baselines/dqn/dqn/policy.py:288(step)
284560,0.635,0.000,196.014,0.001,/marl/marl_scalability/baselines/adapter.py:172(<listcomp>)
17927280,6.343,0.000,187.982,0.000,/marl/marl_scalability/baselines/adapter.py:172(<lambda>)
144280,1.589,0.000,178.457,0.001,/src/smarts/core/sensors.py:419(_vehicle_is_off_route_and_wrong_way)
