ncalls,tottime,percall,cumtime,percall,filename:lineno(function)
1,0.000,0.000,1685.964,1685.964,/usr/local/lib/python3.7/dist-packages/memory_profiler.py:232(memory_usage)
1,1.136,1.136,1685.939,1685.939,marl_scalability/train.py:51(train)
50791,0.778,0.000,1409.893,0.028,/marl/marl_scalability/env/scalability_env.py:110(step)
50891,0.126,0.000,615.723,0.012,/src/smarts/core/smarts.py:167(step)
50891,1.317,0.000,615.597,0.012,/src/smarts/core/smarts.py:193(_step)
182727,2.055,0.000,602.503,0.003,/marl/marl_scalability/utils/common.py:176(ego_social_safety)
448416,5.676,0.000,545.377,0.001,/marl/marl_scalability/utils/geometry.py:196(intersects)
896832,52.759,0.000,524.318,0.001,/marl/marl_scalability/utils/geometry.py:261(intersectswithlines)
121818,2.991,0.000,501.105,0.004,/marl/marl_scalability/baselines/adapter.py:153(reward_adapter)
60909,1.179,0.000,500.322,0.008,/marl/marl_scalability/env/scalability_env.py:64(generate_logs)
106138355/73953102,98.896,0.000,464.904,0.000,{built-in method numpy.core._multiarray_umath.implement_array_function}
50941,1.112,0.000,375.822,0.007,/src/smarts/core/agent_manager.py:132(observe)
61659,2.274,0.000,367.075,0.006,/src/smarts/core/sensors.py:180(observe)
2690496,108.058,0.000,224.409,0.000,/marl/marl_scalability/utils/geometry.py:211(_get_line_intersect_with_planes_3d)
50791,0.151,0.000,193.394,0.004,marl_scalability/train.py:151(<dictcomp>)
60909,2.156,0.000,193.243,0.003,/marl/marl_scalability/baselines/ppo/ppo/policy.py:174(step)
21,0.129,0.006,190.204,9.057,/marl/marl_scalability/baselines/ppo/ppo/policy.py:353(learn)
21,1.585,0.075,188.498,8.976,/marl/marl_scalability/baselines/ppo/ppo/policy.py:270(update)
6763667,8.627,0.000,184.510,0.000,{built-in method builtins.min}
50891,0.724,0.000,170.351,0.003,/src/smarts/core/smarts.py:695(_step_providers)
16130228,28.254,0.000,165.381,0.000,/src/smarts/core/waypoints.py:64(dist_to)
61659,0.244,0.000,165.010,0.003,/src/smarts/core/sensors.py:995(__call__)
61659,0.144,0.000,161.813,0.003,/src/smarts/core/mission_planner.py:153(waypoint_paths_at)
896832,7.458,0.000,158.697,0.000,/marl/marl_scalability/utils/geometry.py:181(_getnormals)
2690496,1.833,0.000,151.239,0.000,<__array_function__ internals>:2(cross)
2690496,50.746,0.000,144.661,0.000,/usr/local/lib/python3.7/dist-packages/numpy/core/numeric.py:1421(cross)
62033,0.526,0.000,142.340,0.002,/src/smarts/core/waypoints.py:232(waypoint_paths_at)
187227,4.092,0.000,130.255,0.001,/src/smarts/core/waypoints.py:218(waypoint_paths_on_lane_at)
61659,0.644,0.000,128.136,0.002,/src/smarts/core/sensors.py:330(_is_done_with_events)
17262847,9.124,0.000,127.058,0.000,<__array_function__ internals>:2(norm)
50891,79.061,0.002,107.525,0.002,/src/smarts/core/smarts.py:618(_pybullet_provider_step)
17262847,55.902,0.000,106.297,0.000,/usr/local/lib/python3.7/dist-packages/numpy/linalg/linalg.py:2316(norm)
187155,5.706,0.000,104.414,0.001,/src/smarts/core/waypoints.py:334(_waypoints_starting_at_waypoint)
124068,0.458,0.000,92.796,0.001,/src/smarts/core/sumo_road_network.py:365(nearest_lanes)
124068,1.209,0.000,92.120,0.001,/usr/share/sumo/tools/sumolib/net/__init__.py:301(getNeighboringLanes)
1200672/75042,3.411,0.000,89.409,0.001,/usr/local/lib/python3.7/dist-packages/torch/nn/modules/module.py:522(__call__)
75042,1.548,0.000,88.873,0.001,/marl/marl_scalability/baselines/ppo/ppo/network.py:155(forward)
13440,0.042,0.000,87.820,0.007,/usr/local/lib/python3.7/dist-packages/torch/tensor.py:167(backward)
13440,0.067,0.000,87.778,0.007,/usr/local/lib/python3.7/dist-packages/torch/autograd/__init__.py:44(backward)
13440,87.539,0.007,87.539,0.007,{method 'run_backward' of 'torch._C._EngineBase' objects}
187155,0.776,0.000,87.347,0.000,/src/smarts/core/waypoints.py:360(<listcomp>)
260760,1.939,0.000,86.931,0.000,/src/smarts/core/waypoints.py:274(_closest_linked_wp_in_kd_tree_with_pose_batched)
187155,29.000,0.000,86.572,0.000,/src/smarts/core/waypoints.py:362(_equally_spaced_path)
121818,0.236,0.000,84.736,0.001,/marl/marl_scalability/baselines/adapter.py:172(<listcomp>)
402976,9.003,0.000,84.023,0.000,/usr/share/sumo/tools/sumolib/geomhelper.py:126(distancePointToPolygon)
8072238,4.408,0.000,83.820,0.000,<__array_function__ internals>:2(moveaxis)
7674534,2.710,0.000,81.362,0.000,/marl/marl_scalability/baselines/adapter.py:172(<lambda>)
61659,0.681,0.000,76.484,0.001,/src/smarts/core/sensors.py:419(_vehicle_is_off_route_and_wrong_way)
17520218,18.837,0.000,74.975,0.000,/usr/share/sumo/tools/sumolib/geomhelper.py:111(distancePointToLine)
8072238,23.682,0.000,73.964,0.000,/usr/local/lib/python3.7/dist-packages/numpy/core/numeric.py:1340(moveaxis)
77701439/77701437,68.174,0.000,68.174,0.000,{built-in method numpy.array}
150084,0.887,0.000,68.125,0.000,/usr/local/lib/python3.7/dist-packages/torch/nn/modules/container.py:98(forward)
450252,0.914,0.000,60.210,0.000,/usr/local/lib/python3.7/dist-packages/torch/nn/modules/linear.py:86(forward)
