,mem_usage
0,478.4140625
1,478.5546875
2,614.625
3,732.08203125
4,737.390625
5,737.390625
6,738.03515625
7,738.21484375
8,738.21484375
9,738.21484375
10,738.21484375
11,738.21484375
12,738.21484375
13,738.21484375
14,738.28515625
15,738.28515625
16,738.28515625
17,738.28515625
18,738.28515625
19,738.28515625
20,738.28515625
21,738.28515625
22,738.28515625
23,738.28515625
24,738.28515625
25,738.28515625
26,738.390625
27,738.64453125
28,738.64453125
29,738.90234375
30,739.16015625
31,742.60546875
32,743.12109375
33,743.12109375
34,743.12109375
35,743.63671875
36,743.63671875
37,743.63671875
38,743.63671875
39,743.63671875
40,743.89453125
41,743.89453125
42,743.89453125
43,743.89453125
44,743.89453125
45,743.89453125
46,743.89453125
47,743.89453125
48,743.89453125
49,743.89453125
50,743.89453125
51,743.89453125
52,743.89453125
53,744.953125
54,746.7578125
55,746.7578125
56,746.7578125
57,747.52734375
58,747.78515625
59,747.78515625
60,747.78515625
61,747.78515625
62,747.78515625
63,747.78515625
64,747.78515625
65,747.78515625
66,747.78515625
67,747.78515625
68,747.78515625
69,747.78515625
70,747.78515625
71,747.78515625
72,747.78515625
73,747.78515625
74,746.921875
75,746.921875
76,746.921875
77,746.921875
78,747.34375
79,747.34375
80,747.34375
81,747.6015625
82,747.6015625
83,747.6015625
84,747.6015625
85,747.6015625
86,747.6015625
87,747.6015625
88,747.859375
89,747.859375
90,747.859375
91,747.859375
92,747.859375
93,747.859375
94,747.859375
95,747.859375
96,747.859375
97,747.859375
98,747.859375
99,747.859375
100,747.859375
101,747.859375
102,747.859375
103,747.859375
104,747.859375
105,747.859375
106,747.859375
107,747.859375
108,747.859375
109,747.859375
110,747.859375
111,749.08203125
112,751.34375
113,751.34375
114,751.34375
115,751.859375
116,751.859375
117,751.859375
118,751.859375
119,751.859375
120,751.859375
121,751.859375
122,751.859375
123,751.859375
124,751.859375
125,751.859375
126,752.2109375
127,752.69140625
128,752.69140625
129,752.69140625
130,752.69140625
131,752.69140625
132,752.69140625
133,752.69140625
134,752.69140625
135,752.69140625
136,752.69140625
137,752.69140625
138,752.69140625
139,752.69140625
140,752.69140625
141,752.69140625
142,752.69140625
143,752.69140625
144,752.51953125
145,752.51953125
146,752.51953125
147,752.51953125
148,752.51953125
149,752.51953125
150,752.7734375
151,753.03125
152,753.2890625
153,753.546875
154,753.8046875
155,754.0625
156,754.3203125
157,754.578125
158,754.8359375
159,756.8984375
160,757.15625
161,757.15625
162,757.57421875
163,757.83203125
164,757.83203125
165,758.08984375
166,758.08984375
167,758.08984375
168,758.08984375
169,758.08984375
170,758.08984375
171,758.30078125
172,758.30078125
173,758.30078125
174,758.30078125
175,758.30078125
176,758.5546875
177,758.5546875
178,758.5546875
179,758.5546875
180,758.5546875
181,758.5546875
182,758.5546875
183,758.5546875
184,758.5546875
185,758.5546875
186,758.5546875
187,758.5546875
188,758.5546875
189,758.5546875
190,758.5546875
191,758.5546875
192,758.5546875
193,758.8125
194,759.328125
195,760.01953125
196,760.01953125
