episode,sim/wall,total steps,steps/sec,score
0,3.317862555060884,110,33.17859691904539,"003: -0.7891, 001: -0.8157, 000: -0.7903, 004: -0.6663, 002: -0.3359"
1,1.0382624734234793,29,10.382614985490266,"003: -0.2013, 001: -0.5925, 000: -0.6829, 004: -0.4314, 002: -0.6456"
2,0.8419075793388694,20,8.419066498779284,"003: -0.6601, 001: -0.8119, 000: -0.5243, 004: -0.7338, 002: -0.7081"
3,0.9494922624479459,18,9.494913071474565,"003: -0.5697, 001: -0.8494, 000: -0.8298, 004: -0.8220, 002: -0.7005"
4,1.07473244222481,19,10.747311377695315,"003: -0.8151, 001: -0.7696, 000: -0.5523, 004: -0.6914, 002: -0.8742"
5,1.2982845158271379,23,12.982827685916991,"003: -0.8089, 001: -0.7528, 000: -0.7846, 004: -0.9091, 002: -0.4784"
6,2.8392432279666173,32,28.392378224526123,"003: -0.7520, 001: -0.3053, 000: -0.9766, 004: -0.8485, 002: -1.0417"
7,2.40537417002676,68,24.053721414282485,"003: -0.7152, 001: -0.8384, 000: -0.0200, 004: -0.6312, 002: -0.7208"
8,1.0782040591928999,30,10.782030429136896,"003: -0.6802, 001: -0.7506, 000: -0.2343, 004: -0.5921, 002: -0.8317"
9,3.063518900572642,89,30.63516889253815,"003: -0.8081, 001: -0.7770, 000: -0.7994, 004: -0.1484, 002: -0.8663"
10,0.9684733170826915,19,9.6847225781958,"003: -0.5352, 001: -0.5746, 000: -0.5761, 004: -0.8740, 002: -0.7380"
11,0.942931927420251,21,9.429310189230915,"003: -0.7659, 001: -0.7642, 000: -0.7518, 004: -0.5302, 002: -0.8409"
12,3.6118916338817577,154,36.11889816144583,"003: -0.8581, 001: -0.5362, 000: -0.5793, 004: -0.6226, 002: -0.8643"
13,0.7759163589067926,14,7.759155386848104,"003: -0.8323, 001: -0.7067, 000: -0.6741, 004: -0.7309, 002: -1.0206"
14,1.158169209124961,42,11.581685238307125,"003: -0.0661, 001: -0.6764, 000: -0.7498, 004: -0.0184, 002: -0.7947"
15,1.1746881415295658,21,11.746867315657807,"003: -0.8351, 001: -0.8152, 000: -0.4622, 004: -0.7001, 002: -0.8764"
16,1.065417701294219,24,10.654166864233993,"003: -0.7771, 001: -0.7975, 000: -0.7563, 004: -0.5910, 002: -0.3417"
17,1.7330688880074048,23,17.330660858939307,"003: -0.9335, 001: -0.9078, 000: -0.6015, 004: -0.8354, 002: -0.4338"
18,1.1208223399991093,21,11.208210563794202,"003: -0.8167, 001: -0.7458, 000: -0.7566, 004: -0.5737, 002: -0.6053"
19,1.780906069453026,29,17.80903461957994,"003: -0.8956, 001: -0.2901, 000: -0.8311, 004: -0.8773, 002: -0.8043"
20,5.623692251111343,719,56.23691307274916,"003: -0.5988, 001: -0.7797, 000: -2.4292, 004: -0.8686, 002: -0.6799"
21,1.8691534882394372,45,18.691518222983664,"003: -0.8566, 001: -0.6254, 000: -0.0178, 004: -0.8238, 002: -0.6017"
22,2.685426000743751,85,26.854243825248332,"003: -0.7078, 001: 0.1599, 000: -0.7827, 004: -0.6598, 002: -0.8659"
23,1.9390978455758037,17,19.390925721912758,"003: -0.9797, 001: -0.7365, 000: -1.0101, 004: -0.6836, 002: -0.8947"
24,2.0446867468175314,254,20.446863151468662,"003: -0.4688, 001: 0.0466, 000: 0.0318, 004: -0.6088, 002: -0.5624"
25,1.1141190904574327,26,11.1411783840598,"003: -0.5507, 001: -0.7224, 000: -0.6992, 004: -0.6249, 002: -0.8619"
26,1.435657790985066,41,14.356564725753671,"003: -0.7003, 001: -0.0915, 000: -0.8444, 004: -0.7730, 002: -0.3271"
27,1.0071090591872416,26,10.07108129109285,"003: -0.5501, 001: -0.4397, 000: -0.6052, 004: -0.8672, 002: -0.8825"
28,3.5263510763494055,249,35.26350123812714,"003: -0.4210, 001: -2.0987, 000: -0.8052, 004: -1.3766, 002: -0.2237"
29,1.107264964692098,24,11.072637467363958,"003: -0.7544, 001: -0.7697, 000: -0.4271, 004: -0.7538, 002: -0.7272"
30,0.7241432094859511,16,7.2414008393088585,"003: -0.8259, 001: -0.7839, 000: -0.6734, 004: -0.7045, 002: -0.6091"
31,1.2028519622514753,46,12.028513623272543,"003: -0.7752, 001: -0.7030, 000: -0.2378, 004: -0.5658, 002: 0.0331"
32,1.279816595293313,24,12.798149681576035,"003: -0.7287, 001: -0.5001, 000: -0.8490, 004: -0.7610, 002: -0.8056"
33,3.635556161439753,323,36.35555185823172,"003: -0.3471, 001: -1.4270, 000: -0.0786, 004: -0.7574, 002: -0.2618"
34,1.7776807772278123,38,17.776787944978622,"003: -0.7476, 001: -0.2865, 000: -0.7881, 004: -0.7063, 002: -0.7973"
35,3.07953481144079,169,30.795334735414553,"003: -0.7991, 001: -0.7680, 000: -0.8149, 004: -0.1562, 002: -0.7256"
36,2.483649631652792,105,24.836483710631185,"003: -0.8058, 001: -0.6703, 000: -0.2111, 004: -0.6634, 002: -0.7753"
37,0.7037253971926513,10,7.037242164756509,"003: -0.8320, 001: -0.8118, 000: -0.8094, 004: -0.8658, 002: -0.8475"
38,4.212550618188314,329,42.12549203609982,"003: -0.6192, 001: -0.0131, 000: -1.0795, 004: -0.7836, 002: -0.9081"
39,1.604223690561024,32,16.042219648740918,"003: -0.4013, 001: -1.1038, 000: -0.8610, 004: -0.8697, 002: -0.8076"
40,1.3487917547653696,12,13.487881402715175,"003: -0.8626, 001: -0.9601, 000: -0.7098, 004: -0.7697, 002: -0.9422"
41,2.0147658012075658,54,20.14764367418862,"003: -0.7902, 001: -0.6709, 000: -0.7198, 004: -0.8332, 002: 0.1060"
42,1.239620958833765,32,12.39619699443935,"003: -0.8430, 001: -0.8016, 000: -0.1882, 004: -0.8105, 002: -0.4354"
43,0.9281006618141271,28,9.281000750521796,"003: -0.4813, 001: -0.4473, 000: -0.6522, 004: -0.6963, 002: -0.7587"
44,1.7690335343108783,269,17.690332292036075,"003: -0.8385, 001: -0.5898, 000: -0.6850, 004: -0.8186, 002: -0.6361"
45,1.9203637686843844,42,19.20361884601972,"003: -0.8428, 001: -0.8224, 000: -0.2150, 004: -0.7981, 002: -0.7672"
46,1.3201262228985007,51,13.20125326722673,"003: -0.6593, 001: -0.4486, 000: -0.3475, 004: -0.0011, 002: -0.7256"
47,3.1370296534947,202,31.37028724280512,"003: -0.2547, 001: -0.6392, 000: -0.4796, 004: -0.0730, 002: -0.8320"
48,1.801710043881624,22,18.017058223753192,"003: -0.9650, 001: -0.5035, 000: -0.7603, 004: -1.0129, 002: -0.6431"
49,1.289971754530781,28,12.899700542402364,"003: -0.8980, 001: -0.7846, 000: -0.2597, 004: -0.8347, 002: -0.4307"
MEAN,1.8412994619219305,82.48,18.412978357099952,n/a
