,mem_usage
0,478.18359375
1,478.32421875
2,585.19921875
3,849.609375
4,875.16796875
5,884.3515625
6,884.3515625
7,884.3515625
8,884.3515625
9,884.3515625
10,884.3515625
11,885.09765625
12,885.34765625
13,885.34765625
14,885.34765625
15,885.34765625
16,885.34765625
17,885.34765625
18,885.34765625
19,885.34765625
20,885.34765625
21,885.34765625
22,885.34765625
23,885.34765625
24,885.34765625
25,885.34765625
26,885.34765625
27,885.34765625
28,885.34765625
29,885.34765625
30,885.34765625
31,885.34765625
32,885.34765625
33,885.34765625
34,885.34765625
35,885.34765625
36,885.34765625
37,885.34765625
38,885.34765625
39,885.34765625
40,885.34765625
41,885.34765625
42,885.34765625
43,885.34765625
44,885.34765625
45,885.34765625
46,885.34765625
47,885.5234375
48,885.60546875
49,885.859375
50,887.80859375
51,891.53125
52,891.53125
53,891.53125
54,891.53125
55,891.53125
56,891.53125
57,891.53125
58,892.5390625
59,892.5390625
60,892.5390625
61,892.5390625
62,892.5390625
63,892.5390625
64,892.5390625
65,892.5390625
66,892.5390625
67,892.71484375
68,892.71484375
69,892.71484375
70,892.71484375
71,892.71484375
72,892.71484375
73,892.71484375
74,892.71484375
75,892.71484375
76,892.71484375
77,892.71484375
78,892.71484375
79,892.71484375
80,892.71484375
81,892.71484375
82,892.71484375
83,892.71484375
84,892.71484375
85,892.71484375
86,892.71484375
87,892.71484375
88,892.71484375
89,892.71484375
90,892.71484375
91,892.71484375
92,892.71484375
93,892.71484375
94,892.71484375
95,893.4921875
96,894.0
97,894.0
98,894.0
99,894.0
100,894.0
101,894.0
102,894.2578125
103,894.2578125
104,894.2578125
105,894.2734375
106,894.2734375
107,894.2734375
108,894.2734375
109,894.2734375
110,894.2734375
111,894.2734375
112,894.2734375
113,894.2734375
114,894.2734375
115,894.2734375
116,894.2734375
117,894.2734375
118,894.2734375
119,894.2734375
120,894.2734375
121,894.2734375
122,894.2734375
123,894.2734375
124,894.2734375
125,894.2734375
126,894.2734375
127,894.2734375
128,894.2734375
129,894.2734375
130,893.87109375
131,894.359375
132,894.8671875
133,894.8671875
134,894.8671875
135,894.8671875
136,894.8671875
137,894.8671875
138,895.125
139,895.125
140,895.125
141,895.125
142,895.125
143,895.125
144,895.125
145,895.125
146,895.125
147,895.125
148,895.125
149,895.125
150,895.125
151,895.125
152,895.125
153,895.125
154,895.125
155,895.125
156,895.125
157,895.125
158,895.125
159,895.125
160,895.125
161,895.125
162,896.41015625
163,899.1953125
164,899.453125
165,899.453125
166,899.453125
167,899.453125
168,899.453125
169,899.5390625
170,900.68359375
171,900.68359375
172,900.68359375
173,900.68359375
174,900.94140625
175,900.94140625
176,900.94140625
177,900.94140625
178,900.94140625
179,900.94140625
180,900.94140625
181,900.94140625
182,900.94140625
183,900.94140625
184,900.94140625
185,900.94140625
186,900.94140625
187,900.94140625
188,900.94140625
189,900.94140625
190,900.94140625
191,900.94140625
192,900.94140625
193,900.94140625
194,900.94140625
195,900.94140625
196,900.94140625
197,900.94140625
198,900.94140625
199,900.94140625
200,900.94140625
201,900.94140625
202,900.94140625
203,900.94140625
204,900.94140625
205,900.94140625
206,900.94140625
207,900.94140625
208,900.94140625
209,900.94140625
210,900.94140625
211,900.94140625
212,900.94140625
213,900.94140625
214,901.69921875
215,902.2109375
216,902.2109375
217,902.2109375
218,902.2109375
219,902.2109375
220,902.2109375
221,902.2109375
222,902.2109375
223,902.2109375
224,902.2109375
225,902.2109375
226,902.2109375
227,902.2109375
228,902.2109375
229,902.2109375
230,902.2109375
231,902.2109375
232,902.2109375
233,902.2109375
234,902.2109375
235,902.2109375
236,902.2109375
237,902.2109375
238,902.2109375
239,902.2109375
240,902.2109375
241,902.2109375
242,902.2109375
243,902.2109375
244,902.2109375
245,902.2109375
246,902.2109375
247,902.2109375
248,902.2109375
249,902.46875
250,902.7265625
251,902.984375
252,903.2421875
253,903.74609375
254,904.2265625
255,932.11328125
256,934.1640625
257,934.1640625
258,934.421875
259,934.421875
260,934.578125
261,934.578125
262,934.25390625
263,935.28125
264,936.3125
265,937.34375
266,937.34375
267,937.34375
268,937.34375
269,937.34375
270,937.34375
271,937.34375
272,937.34375
273,937.34375
274,937.34375
275,937.34375
276,937.34375
277,937.34375
278,937.34375
279,937.34375
280,937.34375
281,937.34375
282,937.34375
283,937.34375
284,937.34375
285,937.34375
286,937.34375
287,937.34375
288,937.34375
289,937.34375
290,939.40625
291,941.46875
292,941.46875
293,941.46875
294,941.75
295,941.75
296,941.75
297,941.75
298,942.00390625
299,942.00390625
300,942.00390625
301,942.26171875
302,942.26171875
303,942.26171875
304,942.5
305,942.5
306,942.5
307,942.75
308,942.75
309,942.75
310,942.75
311,943.00390625
312,943.00390625
313,943.00390625
314,943.25
315,943.25
316,943.25
317,945.30859375
318,948.5
319,948.5
320,948.5
321,948.5
322,948.75
323,948.75
324,948.75
325,949.0
326,949.0
327,949.0
328,949.0
329,949.25
330,949.25
331,949.25
332,949.25
333,949.5
334,949.5
335,949.5
336,949.75
337,949.75
338,949.75
339,949.75
340,950.00390625
341,950.00390625
342,950.00390625
343,950.00390625
344,950.25
345,950.25
346,950.25
347,950.5
348,951.52734375
349,951.52734375
350,951.52734375
351,951.75
352,951.75
353,951.75
354,951.75
355,952.0
356,952.0
357,952.0
358,954.05859375
359,954.25
360,954.25
361,954.25
362,954.5
363,954.5
364,954.5
365,954.5
366,954.75
367,954.75
368,954.75
369,954.75
370,957.0
371,958.02734375
372,960.08984375
373,961.25
374,962.27734375
375,963.30859375
376,965.37109375
377,965.5
378,967.55859375
379,968.58984375
380,968.58984375
381,970.78125
382,972.84375
383,973.875
384,973.875
385,973.875
386,974.6484375
387,975.6796875
388,977.7421875
389,978.7734375
390,979.8046875
391,981.03125
392,987.9921875
393,989.0234375
394,989.25390625
395,989.25390625
396,989.25390625
397,989.50390625
398,989.50390625
399,989.50390625
400,989.50390625
401,989.75390625
402,989.75390625
403,989.75390625
404,990.00390625
405,990.00390625
406,990.00390625
407,990.2578125
408,990.2578125
409,990.2578125
410,990.50390625
411,990.50390625
412,990.50390625
413,990.50390625
414,990.7578125
415,990.7578125
416,990.7578125
417,991.015625
418,991.015625
419,991.015625
420,991.25390625
421,991.25390625
422,991.25390625
423,991.25390625
424,991.50390625
425,991.50390625
426,991.50390625
427,991.75390625
428,991.75390625
429,991.75390625
430,992.0078125
431,992.0078125
432,992.0078125
433,992.0078125
434,992.265625
435,992.265625
436,992.265625
437,992.50390625
438,992.50390625
439,992.50390625
440,992.50390625
441,992.75390625
442,992.75390625
443,992.75390625
444,992.75390625
445,993.00390625
446,993.00390625
447,993.00390625
448,993.25390625
449,993.25390625
450,993.25390625
451,993.25390625
452,993.50390625
453,993.50390625
454,993.50390625
455,993.50390625
456,993.75390625
457,993.75390625
458,993.75390625
459,993.75390625
460,994.00390625
461,994.00390625
462,994.00390625
463,994.25390625
464,994.25390625
465,994.25390625
466,994.25390625
467,994.50390625
468,994.50390625
469,994.50390625
470,994.50390625
471,994.75390625
472,994.75390625
473,994.75390625
474,994.75390625
475,995.00390625
476,995.00390625
477,995.00390625
478,995.25390625
479,995.25390625
480,995.25390625
481,995.25390625
482,995.50390625
483,995.50390625
484,995.50390625
485,995.50390625
486,997.0078125
487,997.7578125
488,997.7578125
489,997.7578125
490,997.7578125
491,997.7578125
492,997.7578125
493,998.78125
494,998.78125
495,998.78125
496,998.78125
497,998.78125
498,998.78125
499,999.8125
500,999.8125
501,999.8125
502,999.8125
503,999.8125
504,999.8125
505,1000.84375
506,1000.84375
507,1000.84375
508,1000.84375
509,1000.84375
510,1002.90625
511,1002.90625
512,1002.90625
513,1002.90625
514,1002.90625
515,1002.90625
