ncalls,tottime,percall,cumtime,percall,filename:lineno(function)
1,0.000,0.000,3440.406,3440.406,/usr/local/lib/python3.7/dist-packages/memory_profiler.py:232(memory_usage)
1,2.202,2.202,3440.381,3440.381,marl_scalability/train.py:51(train)
67701,1.158,0.000,3216.407,0.048,/marl/marl_scalability/env/scalability_env.py:110(step)
278214,5.115,0.000,1965.065,0.007,/marl/marl_scalability/utils/common.py:176(ego_social_safety)
1496574,19.088,0.000,1825.656,0.001,/marl/marl_scalability/utils/geometry.py:196(intersects)
2993148,176.173,0.000,1754.376,0.001,/marl/marl_scalability/utils/geometry.py:261(intersectswithlines)
185476,5.069,0.000,1462.205,0.008,/marl/marl_scalability/baselines/adapter.py:153(reward_adapter)
92738,2.109,0.000,1460.833,0.016,/marl/marl_scalability/env/scalability_env.py:64(generate_logs)
269218178/197061670,260.573,0.000,1258.538,0.000,{built-in method numpy.core._multiarray_umath.implement_array_function}
67801,0.181,0.000,965.202,0.014,/src/smarts/core/smarts.py:167(step)
67801,1.608,0.000,965.020,0.014,/src/smarts/core/smarts.py:193(_step)
8979444,357.572,0.000,750.340,0.000,/marl/marl_scalability/utils/geometry.py:211(_get_line_intersect_with_planes_3d)
67851,1.763,0.000,606.365,0.009,/src/smarts/core/agent_manager.py:132(observe)
94238,3.589,0.000,593.155,0.006,/src/smarts/core/sensors.py:180(observe)
2993148,25.156,0.000,530.077,0.000,/marl/marl_scalability/utils/geometry.py:181(_getnormals)
8979444,6.204,0.000,504.921,0.000,<__array_function__ internals>:2(cross)
8979444,169.752,0.000,483.093,0.000,/usr/local/lib/python3.7/dist-packages/numpy/core/numeric.py:1421(cross)
15359993,14.278,0.000,284.927,0.000,{built-in method builtins.min}
26939832,14.671,0.000,279.695,0.000,<__array_function__ internals>:2(moveaxis)
67801,1.022,0.000,255.186,0.004,/src/smarts/core/smarts.py:695(_step_providers)
94238,0.362,0.000,254.602,0.003,/src/smarts/core/sensors.py:995(__call__)
24581924,43.109,0.000,252.295,0.000,/src/smarts/core/waypoints.py:64(dist_to)
94238,0.208,0.000,249.792,0.003,/src/smarts/core/mission_planner.py:153(waypoint_paths_at)
