,mem_usage
0,478.4375
1,478.5859375
2,654.25
3,698.390625
4,701.859375
5,702.6484375
6,704.42578125
7,704.42578125
8,704.42578125
9,704.94921875
10,704.94921875
11,704.94921875
12,705.703125
13,705.703125
14,707.23046875
15,707.29296875
16,708.546875
17,708.79296875
18,710.046875
19,710.29296875
20,710.29296875
21,710.29296875
22,710.29296875
23,710.546875
24,710.546875
25,710.796875
26,711.05078125
27,711.44921875
28,712.74609375
29,712.74609375
30,712.99609375
31,713.24609375
32,713.24609375
33,713.49609375
34,713.49609375
35,713.74609375
36,713.74609375
37,713.99609375
38,713.99609375
39,714.24609375
40,714.24609375
41,714.8125
42,714.8125
43,715.0625
44,716.08984375
45,716.3125
46,716.3125
47,716.5625
48,717.58984375
49,717.6875
50,715.5
51,715.5
52,715.5
53,715.5
54,715.5
55,715.5
56,715.5
57,715.5
58,715.5
59,716.26953125
60,716.52734375
61,717.55859375
62,717.55859375
63,717.55859375
64,717.55859375
65,717.55859375
66,717.55859375
67,717.81640625
68,718.58984375
69,718.58984375
70,718.58984375
71,719.87890625
72,719.87890625
73,719.87890625
74,719.87890625
75,719.87890625
76,719.87890625
77,720.39453125
78,720.65234375
79,720.91015625
80,721.16796875
81,721.68359375
82,721.68359375
83,722.3203125
84,725.40625
85,725.5703125
86,726.8203125
87,726.8203125
88,726.8203125
89,728.32421875
90,729.19921875
91,731.453125
92,733.2578125
93,733.2578125
94,734.70703125
95,733.37109375
96,733.37109375
97,733.37109375
98,733.37109375
99,733.37109375
100,733.37109375
101,733.37109375
102,733.37109375
103,733.37109375
104,733.37109375
105,734.46484375
106,734.46484375
107,735.9609375
108,735.9609375
109,735.9609375
110,737.4609375
111,737.46484375
112,738.71875
113,738.71875
114,738.96484375
115,740.46484375
116,737.78125
117,737.78125
118,739.578125
119,739.578125
120,739.578125
121,739.578125
122,739.578125
123,739.578125
124,739.578125
125,739.578125
126,739.578125
127,739.8125
128,739.8125
129,739.8125
130,739.8125
131,740.59765625
132,740.59765625
133,740.59765625
134,741.85546875
135,741.85546875
136,742.109375
137,741.140625
138,741.140625
139,741.140625
140,741.140625
141,741.140625
142,741.140625
143,741.140625
144,741.140625
145,741.140625
146,742.890625
147,742.890625
148,742.890625
149,742.890625
150,742.890625
151,742.890625
152,743.91015625
153,743.91015625
154,744.48828125
155,744.4921875
156,744.4921875
157,745.9921875
158,745.9921875
159,745.9921875
160,745.8359375
161,745.8359375
162,745.8359375
163,745.8359375
164,745.8359375
165,745.8359375
166,745.8359375
167,745.8359375
168,745.8359375
169,745.8359375
170,748.90234375
171,749.41796875
172,749.41796875
173,749.41796875
174,750.28125
175,750.28125
176,750.28125
177,751.78125
178,751.78125
179,751.02734375
180,751.02734375
181,751.02734375
182,751.02734375
183,751.02734375
184,751.02734375
185,751.02734375
186,751.02734375
187,751.02734375
188,751.02734375
189,751.02734375
190,751.02734375
191,751.02734375
192,751.02734375
193,733.2578125
