episode,sim/wall,total steps,steps/sec,score
0,4.36221055307658,10000,43.622105031713545,"001: -1.0021, 021: -0.8793, 011: -1.1704, 009: -3.2666, 000: -0.8740, 015: -0.9830, 003: -0.8989, 006: -1.1025, 012: -0.7050, 005: -0.7707, 017: -207.7414, 016: -1.0537, 023: -0.9850, 024: -0.8698, 013: -1.0233, 002: -0.7026, 019: -0.8788, 020: -0.7318, 004: -0.8089, 008: -1.0227, 018: -0.8062, 022: -0.7875, 010: -0.6268, 014: -2.3970, 007: -0.1015"
1,0.3608506704257943,93,3.608506370438106,"001: -0.7301, 021: -0.7817, 011: -0.7886, 009: -0.9107, 000: -0.7834, 015: -0.9740, 003: -0.7344, 006: -0.7402, 012: -0.9903, 005: -0.9797, 017: -0.7242, 016: -0.7906, 023: 0.0404, 024: -2.7430, 013: -0.7865, 019: -0.0842, 002: -0.9768, 020: -0.8670, 018: -0.7824, 008: -1.0080, 004: -1.0071, 022: -0.9381, 010: -0.8179, 014: -0.9867, 007: -0.7673"
2,0.7381685627747229,306,7.381685245651443,"001: -0.5857, 021: -0.0182, 011: -0.6950, 009: -0.7151, 000: -0.8363, 015: -0.8731, 003: -0.8467, 006: -1.0033, 012: -1.0985, 005: -0.9785, 017: -0.8337, 016: -0.8326, 023: 0.0119, 024: -0.7139, 013: -0.9789, 019: -0.7704, 002: -0.2485, 020: -0.1506, 018: -0.9955, 008: -0.9863, 004: -0.8275, 022: -0.2517, 010: -0.6828, 014: -0.6358, 007: -0.9777"
3,0.5852038871212101,191,5.852038443726883,"001: -0.5873, 021: -0.7754, 011: -0.6900, 009: -0.7739, 000: -0.8267, 015: 0.0293, 003: -0.9844, 006: -1.4092, 012: -0.0537, 005: -0.5158, 017: -0.4434, 016: -0.5813, 023: -0.9905, 024: -0.9744, 013: -0.8116, 019: -0.9790, 002: -0.9829, 020: -0.6969, 018: -0.9791, 008: -1.0188, 022: -0.7772, 004: -0.8838, 010: -0.5200, 014: -0.8814, 007: 0.1573"
4,0.8433227974230068,323,8.433227449271259,"001: -7.6953, 021: -0.7052, 011: -0.9736, 009: -0.8408, 000: -0.8519, 015: -0.7922, 003: -0.8908, 006: -0.7554, 012: -0.9175, 005: -0.5507, 017: -0.7712, 016: -0.6264, 023: -0.6406, 024: -0.5692, 013: -0.9229, 019: -0.6247, 002: -0.8047, 020: -1.2428, 018: -0.7655, 008: -0.9795, 022: -0.3103, 004: -0.8994, 010: -0.2575, 014: -0.8124, 007: -0.7579"
5,0.2824544658120108,107,2.824544480352273,"001: -0.7946, 021: -0.4322, 011: -0.7868, 009: -0.9028, 000: -0.7273, 015: -0.7641, 003: -0.8349, 006: -0.6294, 012: -0.8479, 005: -0.8499, 017: -0.8115, 016: -0.6022, 023: -1.4049, 024: -0.7940, 013: -0.8282, 019: -0.8490, 002: -0.8135, 020: -0.8937, 018: -1.1697, 008: -0.7143, 022: -0.8166, 004: -0.2006, 010: -0.8041, 014: -1.1887, 007: -0.6221"
6,0.5911572958603633,291,5.9115727009147365,"001: -0.1725, 021: -2.1693, 011: -0.7661, 009: -0.9781, 000: -0.7827, 015: -1.0038, 003: -0.6919, 006: -0.9106, 012: -0.6760, 005: -0.6998, 017: -0.6885, 016: -2.5479, 023: -0.6866, 024: -1.0957, 013: -0.8877, 019: -0.9666, 002: -0.8721, 020: -0.7496, 018: -1.0276, 008: -0.8985, 022: -0.6293, 004: -0.2848, 010: -0.2388, 014: -2.3499, 007: -0.5168"
7,0.1535386137196809,41,1.5353860138198832,"001: -0.8458, 021: -0.6310, 011: -0.9792, 009: -0.8480, 000: -0.8673, 015: -0.9794, 003: -0.9757, 006: -0.5887, 012: -0.8069, 005: -0.6316, 017: -0.8090, 016: -1.0973, 023: -0.9635, 024: -0.4585, 013: -0.8857, 019: -0.8660, 002: -0.1107, 020: -0.7900, 018: -0.7382, 008: -1.0180, 022: -1.0480, 004: -0.7925, 010: -0.6914, 014: -0.8359, 007: -0.7230"
8,0.10587900572982392,41,1.0587899986279223,"001: -0.7724, 021: -0.7406, 011: -0.8161, 009: -0.8373, 000: -0.8773, 015: -0.6649, 003: -0.7526, 006: -0.6083, 012: -0.7504, 005: -0.5356, 017: -0.7691, 016: -0.7072, 023: -0.7228, 024: -0.8154, 013: -0.7702, 019: -0.7196, 002: -0.8560, 020: -0.7330, 018: -0.8098, 008: -0.0852, 022: -0.7820, 004: -0.8141, 010: -1.1662, 014: -0.7842, 007: -0.7143"
9,0.9751208621248261,432,9.751208043995652,"001: -0.4041, 021: -0.8642, 011: -0.9793, 009: -0.9588, 000: -0.9087, 015: -10.0690, 003: -0.8187, 006: -0.7254, 012: -0.2806, 005: -0.8995, 017: -0.9781, 016: -1.2229, 023: -0.9889, 024: -0.6428, 013: -0.7792, 019: -0.1542, 002: -0.9734, 020: -1.1349, 018: -0.8196, 008: -0.5301, 022: -0.5860, 004: -0.4327, 010: -0.9427, 014: -0.8066, 007: 0.2055"
10,0.18706798379396855,63,1.8706797187493729,"001: -0.2755, 021: -0.6788, 011: -0.6676, 009: -0.8952, 000: -0.6598, 015: -0.4340, 003: -0.8173, 006: -0.9779, 012: -0.6352, 005: -1.1677, 017: -0.9789, 016: -0.2437, 023: -0.9787, 024: -0.3783, 013: -1.0173, 019: -0.6070, 002: -0.9730, 020: -0.3785, 018: -0.9359, 008: -1.0511, 022: -0.9423, 004: -1.3600, 010: -0.9358, 014: -0.3465, 007: -0.9828"
11,0.13125529450300663,42,1.3125528374536393,"001: -0.7888, 021: -0.9092, 011: -1.0044, 009: -0.5784, 000: -0.7590, 015: -0.8609, 003: -0.6767, 006: -0.8241, 012: -0.5254, 005: -1.0223, 017: -0.9894, 016: -0.7537, 023: -0.7753, 024: -0.0542, 013: -0.7442, 019: -0.8485, 002: -0.8054, 020: -1.2897, 018: -0.5241, 008: -0.6767, 022: -0.8334, 004: -0.6081, 010: -0.3582, 014: -0.8457, 007: -0.5739"
12,4.944242750372619,10000,49.442426920899194,"001: -0.5660, 021: -0.9809, 011: -0.8830, 009: -0.7429, 000: -0.9742, 015: -56.7155, 003: -0.8262, 006: -0.6786, 012: -0.7674, 005: -0.7901, 017: -0.8980, 016: -0.9739, 023: -1.4488, 024: -1.0092, 013: -0.9907, 019: -0.6051, 002: -0.6827, 020: -0.8061, 018: -0.3797, 008: -1.0047, 022: -0.8365, 004: -0.5233, 010: -1.2340, 014: -0.9455, 007: -0.9827"
13,1.444330238818679,584,14.443301536538593,"001: -0.4304, 021: -0.7434, 011: -0.9572, 009: -0.7554, 000: -0.9075, 015: -0.8415, 003: -0.7998, 006: -1.4467, 012: -0.4008, 005: -0.9712, 017: -0.8052, 016: 0.1342, 023: -0.9829, 024: -0.1702, 013: -0.2309, 019: -3.4729, 002: -0.9766, 020: -0.8249, 018: -1.0055, 008: -0.0752, 022: -0.8011, 004: -0.7720, 010: -0.3919, 014: -0.6774, 007: -1.0109"
14,0.5808175704936887,240,5.808175369810734,"001: -1.0831, 021: -0.4556, 011: -0.2902, 009: -1.2103, 000: -1.9336, 015: -0.5301, 003: -0.9812, 006: -0.1034, 012: -4.4357, 005: -0.9463, 017: -1.0779, 016: -0.8168, 023: -0.7413, 024: -0.7626, 013: -0.9916, 019: -0.8458, 002: -0.8313, 020: -0.9754, 018: -0.2830, 008: -0.3401, 022: -0.6856, 004: -0.4199, 010: -0.9053, 014: -0.9869, 007: -0.8683"
