,mem_usage
0,478.41015625
1,478.55859375
2,558.1640625
3,775.03125
4,802.10546875
5,805.19921875
6,809.5390625
7,809.796875
8,809.796875
9,809.796875
10,809.796875
11,809.796875
12,809.796875
13,809.796875
14,809.796875
15,809.796875
16,809.796875
17,809.796875
18,809.796875
19,809.796875
20,809.796875
21,809.796875
22,809.796875
23,811.14453125
24,811.64453125
25,811.64453125
26,811.64453125
27,811.64453125
28,811.64453125
29,811.64453125
30,811.64453125
31,811.64453125
32,811.64453125
33,811.64453125
34,811.64453125
35,811.64453125
36,811.64453125
37,811.64453125
38,811.64453125
39,811.64453125
40,811.64453125
41,811.64453125
42,811.64453125
43,811.64453125
44,811.64453125
45,811.64453125
46,811.64453125
47,811.64453125
48,811.64453125
49,811.64453125
50,811.64453125
51,811.64453125
52,811.64453125
53,811.64453125
54,811.64453125
55,811.64453125
56,811.64453125
57,811.64453125
58,811.64453125
59,811.64453125
60,811.64453125
61,811.64453125
62,811.64453125
63,811.64453125
64,811.64453125
65,811.64453125
66,811.64453125
67,811.64453125
68,811.64453125
69,811.64453125
70,811.64453125
71,811.64453125
72,811.64453125
73,811.64453125
74,811.64453125
75,811.64453125
76,811.64453125
77,811.64453125
78,811.64453125
79,811.64453125
80,811.64453125
81,811.64453125
82,811.64453125
83,811.64453125
84,811.64453125
85,811.64453125
86,811.64453125
87,811.64453125
88,811.64453125
89,811.64453125
90,811.64453125
91,811.64453125
92,811.64453125
93,811.64453125
94,811.64453125
95,811.64453125
96,811.64453125
97,811.64453125
98,811.64453125
99,811.64453125
100,811.64453125
101,811.64453125
102,811.64453125
103,811.64453125
104,811.64453125
105,811.64453125
106,811.64453125
107,811.81640625
108,811.81640625
109,812.07421875
110,812.07421875
111,812.33203125
112,812.33203125
113,812.58984375
114,812.84765625
115,813.10546875
116,813.36328125
117,813.62109375
118,813.87890625
119,814.13671875
120,814.39453125
121,814.65234375
122,814.91015625
123,815.16796875
124,815.42578125
125,815.68359375
126,815.94140625
127,816.19921875
128,816.45703125
129,816.71484375
130,816.97265625
131,817.23046875
132,817.74609375
133,818.00390625
134,818.2421875
135,818.75390625
136,819.01171875
137,819.453125
138,819.70703125
139,819.96484375
140,840.39453125
141,840.65234375
142,840.65234375
143,841.16796875
144,841.16796875
145,841.16796875
146,841.16796875
147,841.16796875
148,841.42578125
149,841.42578125
150,841.42578125
151,841.42578125
152,841.42578125
153,841.42578125
154,841.42578125
155,841.42578125
156,841.42578125
157,841.42578125
158,841.42578125
159,841.42578125
160,841.42578125
161,841.42578125
162,841.42578125
163,841.42578125
164,841.42578125
165,841.42578125
166,841.42578125
167,841.42578125
168,841.42578125
169,841.42578125
170,841.42578125
171,841.42578125
172,841.42578125
173,841.42578125
174,841.42578125
175,841.42578125
176,841.42578125
177,841.42578125
178,841.42578125
179,841.42578125
180,841.91015625
181,841.91015625
182,841.91015625
183,841.91015625
184,841.91015625
185,841.91015625
186,841.91015625
187,841.91015625
188,841.91015625
189,841.91015625
190,841.91015625
191,841.91015625
192,841.91015625
193,841.91015625
194,841.91015625
195,841.91015625
196,841.91015625
197,841.91015625
198,841.91015625
199,841.91015625
200,841.91015625
201,841.91015625
202,841.91015625
203,841.91015625
204,841.91015625
205,841.91015625
206,841.91015625
207,841.91015625
208,841.91015625
209,841.91015625
210,841.91015625
211,841.91015625
212,841.91015625
213,841.91015625
214,841.91015625
215,841.91015625
216,841.91015625
217,841.91015625
218,841.91015625
219,841.91015625
220,841.91015625
221,841.91015625
222,841.91015625
223,841.91015625
224,841.91015625
225,841.91015625
226,841.91015625
227,841.91015625
228,841.91015625
229,841.91015625
230,841.91015625
231,841.91015625
232,841.91015625
233,841.91015625
234,841.91015625
235,841.91015625
236,841.91015625
237,841.91015625
238,841.91015625
239,841.91015625
240,841.91015625
241,841.91015625
242,841.91015625
243,841.91015625
244,841.91015625
245,841.91015625
246,841.91015625
247,841.91015625
248,841.91015625
249,841.91015625
250,841.91015625
251,841.91015625
252,841.91015625
253,841.91015625
254,841.91015625
255,841.91015625
256,841.91015625
257,841.91015625
258,841.91015625
259,841.91015625
260,841.91015625
261,841.91015625
262,841.91015625
263,841.91015625
264,841.91015625
265,841.91015625
266,841.91015625
267,841.91015625
268,841.91015625
269,842.16796875
270,842.16796875
271,842.16796875
272,842.16796875
273,842.16796875
274,842.16796875
275,842.16796875
276,842.16796875
277,842.16796875
278,842.16796875
279,842.16796875
280,842.16796875
281,842.16796875
