ncalls,tottime,percall,cumtime,percall,filename:lineno(function)
1,0.000,0.000,3458.766,3458.766,/usr/local/lib/python3.7/dist-packages/memory_profiler.py:232(memory_usage)
1,2.386,2.386,3458.740,3458.740,marl_scalability/train.py:51(train)
61765,1.267,0.000,2699.052,0.044,/marl/marl_scalability/env/scalability_env.py:110(step)
239832,4.196,0.000,1564.107,0.007,/marl/marl_scalability/utils/common.py:176(ego_social_safety)
1192020,15.135,0.000,1449.547,0.001,/marl/marl_scalability/utils/geometry.py:196(intersects)
2384040,140.030,0.000,1393.232,0.001,/marl/marl_scalability/utils/geometry.py:261(intersectswithlines)
159888,4.505,0.000,1173.604,0.007,/marl/marl_scalability/baselines/adapter.py:153(reward_adapter)
79944,1.795,0.000,1171.700,0.015,/marl/marl_scalability/env/scalability_env.py:64(generate_logs)
219216970/159774195,209.965,0.000,1015.104,0.000,{built-in method numpy.core._multiarray_umath.implement_array_function}
61865,0.209,0.000,886.031,0.014,/src/smarts/core/smarts.py:167(step)
61865,2.277,0.000,885.821,0.014,/src/smarts/core/smarts.py:193(_step)
61765,5.743,0.000,599.454,0.010,marl_scalability/train.py:151(<dictcomp>)
7152120,286.914,0.000,597.330,0.000,/marl/marl_scalability/utils/geometry.py:211(_get_line_intersect_with_planes_3d)
79944,3.619,0.000,593.711,0.007,/marl/marl_scalability/baselines/sac/sac/policy.py:171(step)
61915,1.577,0.000,520.410,0.008,/src/smarts/core/agent_manager.py:132(observe)
81194,3.575,0.000,508.684,0.006,/src/smarts/core/sensors.py:180(observe)
2384040,19.939,0.000,419.907,0.000,/marl/marl_scalability/utils/geometry.py:181(_getnormals)
7152120,4.780,0.000,399.968,0.000,<__array_function__ internals>:2(cross)
7152120,134.968,0.000,382.634,0.000,/usr/local/lib/python3.7/dist-packages/numpy/core/numeric.py:1421(cross)
61865,1.169,0.000,260.287,0.004,/src/smarts/core/smarts.py:695(_step_providers)
2238872/126676,7.495,0.000,247.640,0.002,/usr/local/lib/python3.7/dist-packages/torch/nn/modules/module.py:522(__call__)
14030937,12.861,0.000,244.375,0.000,{built-in method builtins.min}
11386,0.771,0.000,233.137,0.020,/marl/marl_scalability/baselines/sac/sac/policy.py:228(update_critic)
81194,0.435,0.000,224.695,0.003,/src/smarts/core/sensors.py:995(__call__)
21457610,11.728,0.000,220.964,0.000,<__array_function__ internals>:2(moveaxis)
81194,0.224,0.000,220.317,0.003,/src/smarts/core/mission_planner.py:153(waypoint_paths_at)
21188094,37.112,0.000,216.166,0.000,/src/smarts/core/waypoints.py:64(dist_to)
21457610,62.414,0.000,194.721,0.000,/usr/local/lib/python3.7/dist-packages/numpy/core/numeric.py:1340(moveaxis)
82255,0.773,0.000,192.165,0.002,/src/smarts/core/waypoints.py:232(waypoint_paths_at)
56957,1.885,0.000,179.146,0.003,/marl/marl_scalability/baselines/common/replay_buffer.py:167(sample)
247332,6.268,0.000,175.294,0.001,/src/smarts/core/waypoints.py:218(waypoint_paths_on_lane_at)
61865,128.332,0.002,171.349,0.003,/src/smarts/core/smarts.py:618(_pybullet_provider_step)
22621387,11.867,0.000,165.640,0.000,<__array_function__ internals>:2(norm)
81194,1.094,0.000,159.262,0.002,/src/smarts/core/sensors.py:330(_is_done_with_events)
11920200,8.995,0.000,158.092,0.000,<__array_function__ internals>:2(stack)
1879581,1.382,0.000,152.552,0.000,/usr/local/lib/python3.7/dist-packages/torch/utils/data/dataloader.py:344(__next__)
1879581,1.849,0.000,151.169,0.000,/usr/local/lib/python3.7/dist-packages/torch/utils/data/dataloader.py:383(_next_data)
478244,1.751,0.000,151.025,0.000,/usr/local/lib/python3.7/dist-packages/torch/nn/modules/container.py:98(forward)
31354919,40.273,0.000,145.844,0.000,/usr/local/lib/python3.7/dist-packages/numpy/core/fromnumeric.py:73(_wrapreduction)
247194,7.630,0.000,139.917,0.001,/src/smarts/core/waypoints.py:334(_waypoints_starting_at_waypoint)
349128,2.519,0.000,139.673,0.000,/src/smarts/core/waypoints.py:274(_closest_linked_wp_in_kd_tree_with_pose_batched)
22621387,73.327,0.000,138.794,0.000,/usr/local/lib/python3.7/dist-packages/numpy/linalg/linalg.py:2316(norm)
943652,1.895,0.000,135.957,0.000,/usr/local/lib/python3.7/dist-packages/torch/nn/modules/linear.py:86(forward)
943652,1.451,0.000,133.297,0.000,/usr/local/lib/python3.7/dist-packages/torch/nn/functional.py:1355(linear)
98216,0.408,0.000,131.784,0.001,/marl/marl_scalability/baselines/sac/sac/network.py:95(sample)
98216,4.136,0.000,130.024,0.001,/marl/marl_scalability/baselines/sac/sac/network.py:209(forward)
943652,126.770,0.000,126.770,0.000,{built-in method addmm}
1822624,1.899,0.000,125.909,0.000,/usr/local/lib/python3.7/dist-packages/torch/utils/data/_utils/fetch.py:42(fetch)
137422185/137422183,125.320,0.000,125.320,0.000,{built-in method numpy.array}
11920200,37.719,0.000,124.004,0.000,/usr/local/lib/python3.7/dist-packages/numpy/core/shape_base.py:357(stack)
22762,0.071,0.000,118.656,0.005,/usr/local/lib/python3.7/dist-packages/torch/tensor.py:167(backward)
22762,0.125,0.000,118.585,0.005,/usr/local/lib/python3.7/dist-packages/torch/autograd/__init__.py:44(backward)
22762,118.126,0.005,118.126,0.005,{method 'run_backward' of 'torch._C._EngineBase' objects}
20048864/1822624,27.750,0.000,117.637,0.000,/usr/local/lib/python3.7/dist-packages/torch/utils/data/_utils/collate.py:42(default_collate)
247194,1.029,0.000,117.236,0.000,/src/smarts/core/waypoints.py:360(<listcomp>)
28460,0.515,0.000,116.230,0.004,/marl/marl_scalability/baselines/sac/sac/network.py:144(forward)
247194,36.965,0.000,116.207,0.000,/src/smarts/core/waypoints.py:362(_equally_spaced_path)
126676,1.909,0.000,114.341,0.001,/marl/marl_scalability/baselines/common/social_vehicles_encoders/precog_encoder.py:53(forward)
163638,0.610,0.000,112.827,0.001,/src/smarts/core/sumo_road_network.py:365(nearest_lanes)
163638,1.653,0.000,111.929,0.001,/usr/share/sumo/tools/sumolib/net/__init__.py:301(getNeighboringLanes)
159888,0.337,0.000,110.946,0.001,/marl/marl_scalability/baselines/adapter.py:172(<listcomp>)
64170776,30.170,0.000,107.761,0.000,<__array_function__ internals>:2(inner)
10072944,3.615,0.000,106.417,0.000,/marl/marl_scalability/baselines/adapter.py:172(<lambda>)
1822624,4.236,0.000,105.771,0.000,/usr/local/lib/python3.7/dist-packages/torch/utils/data/_utils/collate.py:79(<listcomp>)
1671684,13.955,0.000,105.032,0.000,/marl/marl_scalability/utils/common.py:150(get_box)
42915420,70.149,0.000,103.939,0.000,/usr/local/lib/python3.7/dist-packages/numpy/core/numeric.py:1277(normalize_axis_tuple)
5688,0.755,0.000,100.803,0.018,/marl/marl_scalability/baselines/sac/sac/policy.py:253(update_actor_temp)
511837,10.854,0.000,99.609,0.000,/usr/share/sumo/tools/sumolib/geomhelper.py:126(distancePointToPolygon)
81194,1.047,0.000,95.742,0.001,/src/smarts/core/sensors.py:419(_vehicle_is_off_route_and_wrong_way)
1671684,6.686,0.000,91.078,0.000,/marl/marl_scalability/utils/geometry.py:28(__init__)
21035306,22.047,0.000,88.702,0.000,/usr/share/sumo/tools/sumolib/geomhelper.py:111(distancePointToLine)
31907895,88.575,0.000,88.575,0.000,{method 'reduce' of 'numpy.ufunc' objects}
186740,0.403,0.000,88.192,0.000,/src/smarts/core/waypoints.py:170(closest_waypoint_batched)
61765,2.102,0.000,87.886,0.001,marl_scalability/train.py:143(<dictcomp>)
81142,1.470,0.000,85.784,0.001,/marl/marl_scalability/baselines/sac/sac/policy.py:149(act)
22889304,13.809,0.000,84.378,0.000,{built-in method builtins.sorted}
81194,0.710,0.000,83.511,0.001,/marl/marl_scalability/baselines/adapter.py:134(observation_adapter)
81194,0.322,0.000,82.357,0.001,/marl/marl_scalability/baselines/common/state_preprocessor.py:47(__call__)
81194,1.317,0.000,82.035,0.001,/marl/marl_scalability/baselines/common/baseline_state_preprocessor.py:78(_preprocess_state)
9536160,6.584,0.000,74.837,0.000,<__array_function__ internals>:2(amin)
598088,2.508,0.000,71.527,0.000,/src/smarts/core/waypoints.py:326(_closest_linked_wp_in_kd_tree_batched)
56957,51.812,0.001,65.997,0.001,/marl/marl_scalability/baselines/sac/sac/policy.py:288(target_soft_update)
1644671,14.514,0.000,64.730,0.000,/src/smarts/core/chassis.py:366(pose)
9536160,6.576,0.000,63.962,0.000,<__array_function__ internals>:2(amax)
81194,1.029,0.000,63.532,0.001,/marl/marl_scalability/baselines/common/baseline_state_preprocessor.py:140(_adapt_observation_for_baseline)
9536160,10.768,0.000,62.069,0.000,/usr/local/lib/python3.7/dist-packages/numpy/core/fromnumeric.py:2676(amin)
598088,16.915,0.000,61.456,0.000,{method 'query' of 'sklearn.neighbors._kd_tree.BinaryTree' objects}
81194,0.261,0.000,60.666,0.001,/src/smarts/core/sensors.py:387(_vehicle_is_off_road)
12758368,59.180,0.000,59.180,0.000,{built-in method stack}
4820610,29.985,0.000,58.881,0.000,/marl/marl_scalability/utils/geometry.py:168(_unrotated_containspoints)
81194,0.321,0.000,57.285,0.001,/src/smarts/core/sumo_road_network.py:504(point_is_within_road)
81194,0.168,0.000,56.516,0.001,/marl/marl_scalability/baselines/common/baseline_state_preprocessor.py:151(<listcomp>)
