,mem_usage
0,479.32421875
1,479.46484375
2,560.16796875
3,870.13671875
4,908.02734375
5,917.859375
6,918.171875
7,918.171875
8,918.171875
9,918.171875
10,918.171875
11,918.171875
12,918.171875
13,918.171875
14,919.5546875
15,919.5546875
16,919.5546875
17,919.5546875
18,919.5546875
19,919.5546875
20,919.5546875
21,919.5546875
22,919.5546875
23,919.5546875
24,919.5546875
25,919.5546875
26,919.5546875
27,919.5546875
28,919.5546875
29,919.5546875
30,919.5546875
31,919.5546875
32,919.5546875
33,919.5546875
34,919.5546875
35,919.5546875
36,919.5546875
37,919.5546875
38,919.5546875
39,919.5546875
40,919.5546875
41,919.5546875
42,919.5546875
43,919.5546875
44,919.5546875
45,919.5546875
46,919.5546875
47,919.5546875
48,919.5546875
49,919.5546875
50,919.5546875
51,919.5546875
52,919.5546875
53,919.5546875
54,919.5546875
55,919.6953125
56,919.6953125
57,919.6953125
58,919.6953125
59,919.6953125
60,919.6953125
61,919.6953125
62,919.6953125
63,919.6953125
64,919.6953125
65,919.86328125
66,920.375
67,920.6328125
68,921.1484375
69,921.5
70,921.7578125
71,922.24609375
72,922.70703125
73,922.9609375
74,923.4375
75,949.66796875
76,949.87109375
77,949.87109375
78,949.87109375
79,949.87109375
80,950.12109375
81,951.1484375
82,951.1484375
83,951.37109375
84,951.37109375
85,951.5390625
86,951.5390625
87,951.5390625
88,951.5390625
89,951.5390625
90,954.42578125
91,955.45703125
92,955.45703125
93,955.45703125
94,955.45703125
95,955.45703125
96,955.45703125
97,955.45703125
98,955.45703125
99,955.45703125
100,955.45703125
101,955.45703125
102,955.45703125
103,955.45703125
104,955.45703125
105,955.45703125
106,955.62109375
107,955.62109375
108,955.62109375
109,955.87109375
110,957.9296875
111,957.9296875
112,958.12109375
113,958.12109375
114,958.12109375
115,958.12109375
116,958.37109375
117,958.37109375
118,958.37109375
119,958.62109375
120,958.62109375
121,958.62109375
122,958.62109375
123,958.87109375
124,958.87109375
125,959.8984375
126,960.12109375
127,963.2109375
128,964.2421875
129,966.37109375
130,968.4296875
131,970.4921875
132,970.4921875
133,970.62109375
134,970.62109375
135,970.62109375
136,970.87109375
137,970.87109375
138,970.87109375
139,970.87109375
140,971.12109375
141,971.12109375
142,971.12109375
143,971.12109375
144,971.37109375
145,971.37109375
146,971.37109375
147,971.62109375
148,971.62109375
149,971.62109375
150,971.62109375
151,971.87109375
152,971.87109375
153,971.87109375
154,971.87109375
155,972.12109375
156,972.12109375
157,972.12109375
158,972.12109375
159,972.37109375
160,972.37109375
161,972.37109375
162,972.37109375
163,972.62109375
164,972.62109375
165,972.62109375
166,972.62109375
167,972.87109375
168,972.87109375
169,972.87109375
170,972.87109375
171,973.12109375
172,973.12109375
173,973.12109375
174,973.37109375
175,973.37109375
176,973.37109375
177,973.37109375
178,973.62109375
179,973.62109375
180,973.62109375
181,973.62109375
182,973.87109375
183,973.87109375
184,973.87109375
185,973.87109375
186,974.12109375
187,974.12109375
188,974.12109375
189,974.37109375
190,974.37109375
191,974.37109375
192,974.37109375
193,974.62109375
194,974.62109375
195,974.62109375
196,974.62109375
197,974.87109375
198,974.87109375
199,974.87109375
200,974.87109375
201,975.12109375
202,976.1484375
203,976.1484375
204,976.1484375
205,980.2734375
206,983.109375
207,983.109375
208,983.109375
209,983.109375
210,983.109375
211,983.37109375
212,983.37109375
213,983.37109375
214,983.62109375
215,983.62109375
216,983.62109375
217,983.62109375
218,983.87109375
219,983.87109375
220,983.87109375
221,984.12109375
222,984.12109375
223,984.12109375
224,984.37109375
225,984.37109375
226,984.37109375
227,984.37109375
228,984.62109375
229,984.62109375
230,984.62109375
231,984.87109375
232,984.87109375
233,984.87109375
234,985.12109375
235,985.12109375
236,985.12109375
237,985.12109375
238,985.37109375
239,985.37109375
240,985.37109375
241,985.62109375
242,985.62109375
243,985.62109375
244,985.87109375
245,985.87109375
246,985.87109375
247,985.87109375
248,986.12109375
249,986.12109375
250,986.12109375
251,986.37109375
252,986.37109375
253,986.37109375
254,986.62109375
255,986.62109375
256,986.62109375
257,987.6484375
258,987.87109375
259,987.87109375
260,987.87109375
261,988.8984375
262,990.12109375
263,990.12109375
264,992.1796875
265,992.37109375
266,994.37109375
267,996.37109375
268,998.4296875
269,1000.625
270,1003.625
271,1005.65234375
272,1008.74609375
273,1008.875
274,1009.875
275,1010.90234375
276,1013.99609375
277,1015.125
278,1018.125
279,1020.15234375
280,1021.18359375
281,1022.375
282,1024.375
283,1025.375
284,1026.40234375
285,1028.625
286,1030.625
287,1033.71484375
288,1035.875
289,1039.875
290,1043.875
291,1047.96484375
292,1049.125
293,1051.125
294,1053.125
295,1056.21484375
296,1058.375
297,1060.375
298,1062.375
299,1063.40234375
300,1064.625
301,1066.62890625
302,1068.62890625
303,1068.62890625
304,1069.87890625
305,1070.87890625
