episode,sim/wall,total steps,steps/sec,score
0,0.3430575173861265,187,3.430575023812526,"006: -0.9729, 019: -0.7765, 022: -0.7156, 021: -0.9914, 001: -0.9504, 000: -3.9670, 014: -0.9719, 020: -0.9795, 034: -0.9697, 007: -0.5116, 017: -1.2297, 035: -0.9741, 030: -0.8578, 018: -0.8325, 029: -0.9616, 027: -0.8138, 015: -0.9778, 037: -0.7192, 032: -1.6871, 005: -0.9853, 038: -0.8388, 010: -0.8588, 024: -0.8554, 013: -0.9899, 026: -1.0201, 023: -1.2526, 025: -0.6518, 009: -0.9661, 039: -1.0098, 036: -0.6749, 004: -0.5810, 033: -0.8368, 016: -0.9774, 002: -1.0366, 003: -0.9801, 008: -0.9802, 011: -1.2780, 031: -0.9937, 028: -1.3080, 012: -0.8399"
1,0.07104686248525924,49,0.7104686002922844,"006: -0.8026, 019: -0.9227, 022: -0.7487, 021: -0.9761, 000: -0.8102, 001: -0.8591, 014: -0.4626, 020: -0.7804, 034: -0.7063, 007: -0.7269, 017: -0.7184, 035: -1.0292, 030: -0.8709, 018: -0.9756, 029: -0.4908, 027: 0.1015, 015: -0.1550, 037: -0.6952, 032: -0.6682, 005: -0.7311, 038: -0.8797, 010: -0.8334, 024: -0.6947, 013: -0.6926, 026: -0.9834, 023: -0.9965, 025: -1.1694, 009: -0.7727, 039: -0.7335, 036: -0.6462, 004: -1.0438, 033: -0.7049, 016: -0.8475, 002: -0.8364, 003: -0.8104, 008: -0.9785, 011: -0.8187, 031: -1.0000, 028: -0.8761, 012: -1.5248"
2,0.3789653204305893,272,3.789653103598789,"006: -0.3405, 019: -0.7590, 022: -0.8116, 021: 0.1071, 001: -0.8827, 000: -0.7298, 014: -0.9818, 020: -0.7683, 034: -0.8765, 007: -0.9775, 017: -0.4992, 035: -0.9763, 030: -0.5239, 018: -0.9818, 029: -0.6721, 027: -0.9858, 015: -0.9900, 037: -0.6995, 032: -1.2072, 005: -0.8619, 038: -0.9795, 010: -0.9929, 024: -0.8305, 013: -1.0311, 026: -1.0225, 023: -0.8334, 025: -0.9715, 009: -0.9766, 039: -0.2654, 036: -0.6237, 004: -1.4722, 033: -0.7634, 016: -1.0227, 002: -0.5912, 003: -0.9777, 008: -1.0079, 011: -1.0009, 031: -0.8436, 028: -1.2532, 012: -1.3090"
3,3.0861325582840924,10000,30.86132537847346,"006: -0.8922, 019: -0.8950, 022: -0.9334, 021: -0.9231, 000: -0.6867, 001: -0.6924, 034: -0.5034, 014: -0.9438, 020: -0.8578, 007: -1.1708, 017: -0.7097, 035: -0.5462, 030: -0.2822, 018: -0.5533, 029: -0.8856, 027: -0.7706, 015: -0.4867, 037: -1.0045, 032: -1.3610, 005: -0.7047, 038: -0.6676, 010: -0.8523, 024: -0.6758, 013: -0.6730, 026: -0.8166, 023: -0.9774, 025: -0.2758, 009: -0.8734, 039: -0.8510, 036: -1.0558, 004: -0.3303, 033: -2.0145, 016: -0.6747, 002: -0.9830, 003: -0.6948, 008: -202.6070, 011: -0.5839, 031: -0.6633, 028: -0.9942, 012: -0.8695"
4,0.06921787287196271,37,0.6921786947596387,"006: -1.1130, 019: -0.8250, 022: -1.0554, 021: -0.9052, 020: -0.9975, 014: -0.8048, 034: -0.9780, 001: -0.8730, 000: -0.6495, 017: -0.9769, 007: -0.9501, 035: -0.9848, 030: -0.8402, 018: -0.9490, 029: -2.0575, 027: -0.6886, 015: -0.5484, 037: -0.5361, 032: -0.9762, 005: -1.1168, 038: -0.8486, 010: -0.9901, 024: -0.8827, 013: -0.8671, 026: -1.2926, 023: -0.9143, 025: -1.5511, 009: -1.0152, 039: -0.7531, 036: -0.8889, 004: -0.7577, 033: -0.7347, 016: -0.7163, 002: -0.9675, 003: -1.0105, 011: -1.1248, 008: -0.9783, 031: -1.0146, 028: -0.8097, 012: -4.0359"
5,0.1750767974871001,121,1.7507679084348315,"006: -0.3577, 019: -0.6773, 022: -0.8679, 021: -0.9594, 020: -0.7277, 014: -0.7802, 034: -0.7970, 001: -0.9772, 000: -1.3405, 017: -0.9837, 007: -0.7530, 035: -0.9693, 030: -0.1226, 018: -0.8708, 029: -0.5611, 027: -0.8324, 015: -0.8303, 037: -0.4283, 032: -0.9929, 005: -0.7374, 038: -1.0401, 010: -1.2533, 024: -1.1715, 013: -0.8147, 026: -0.8020, 023: -0.7430, 025: -0.9718, 009: -0.6582, 039: -0.3879, 036: -0.1330, 004: -0.9774, 033: -0.9738, 016: -0.9986, 002: -0.8084, 003: -0.9704, 011: -0.9720, 008: -0.2873, 031: -0.8840, 028: -0.3945, 012: -0.7598"
6,3.2705069467449115,10000,32.70506923793323,"006: -0.7718, 019: -0.9882, 022: -63.0591, 021: -1.0359, 020: -0.8139, 014: -0.6568, 034: -0.9871, 001: -0.9883, 000: -1.7954, 017: -1.3467, 007: -0.6739, 035: -0.9513, 030: -1.0946, 018: -0.7502, 029: -0.3766, 027: -0.9713, 015: -0.8420, 037: -0.9898, 032: -0.8962, 005: -0.8752, 038: -0.7613, 010: -0.5105, 024: -0.7633, 013: -0.9783, 026: -0.8855, 023: -0.9908, 025: -1.0933, 009: -0.8608, 039: -0.9037, 036: -0.7059, 004: -0.6585, 033: -0.9628, 016: -0.8799, 002: -0.8498, 003: -0.8091, 011: -0.5733, 008: -1.8383, 031: -0.8803, 028: -0.4362, 012: -0.6711"
7,0.07682443225930578,52,0.7682442982386279,"006: -1.4795, 019: -1.5175, 022: -0.8645, 021: -0.7745, 020: -1.0142, 014: -0.9876, 034: -0.7750, 001: -0.7794, 000: -0.7980, 017: -0.6275, 007: -0.8620, 035: -0.8737, 030: -0.7961, 018: -0.3078, 029: -0.9327, 027: -0.4218, 015: -0.9753, 037: -0.7189, 032: -0.9209, 005: -0.9728, 038: -0.5784, 010: -0.9737, 024: -0.5806, 013: -0.7231, 026: -0.2024, 023: -0.5987, 025: -1.0098, 009: -0.7095, 039: -0.9854, 036: -0.7807, 004: -0.8057, 033: -0.8679, 016: -0.6634, 002: -0.9170, 003: -0.9416, 011: -1.1063, 008: -0.8711, 031: -0.7209, 028: -1.1280, 012: -0.4479"
8,0.23718311946932139,244,2.371831150718016,"006: -1.0554, 019: -0.4117, 022: -0.7953, 021: -0.9464, 020: 0.0221, 014: -0.8170, 034: -0.8527, 001: -0.7644, 000: -0.3855, 017: -0.8857, 007: -0.4865, 035: -0.7828, 030: -1.2018, 018: -0.6908, 029: -0.9754, 027: -0.4507, 015: -0.9945, 037: -0.8298, 032: -0.8064, 005: -0.8545, 038: -0.7687, 010: -0.8032, 024: -0.8794, 013: -0.2250, 026: -0.7964, 023: -1.4538, 025: -0.6254, 009: -0.8080, 039: -0.8897, 036: -0.8630, 004: -0.8668, 033: -4.4316, 016: -1.1100, 002: -0.8616, 003: -0.2644, 011: -0.8652, 008: -0.8682, 031: -0.8988, 028: -1.9554, 012: -1.8230"
9,0.3371228029127556,310,3.371227941718858,"006: -0.9783, 019: -2.0803, 022: -1.0810, 021: -0.7194, 020: -0.7610, 014: -1.0046, 034: -0.5776, 001: -0.8500, 000: -0.7685, 017: -0.7629, 007: -0.2915, 035: -0.8918, 030: -0.6131, 018: -1.1333, 029: -0.9859, 027: -0.9859, 015: -0.8714, 037: -1.1690, 032: -0.5693, 005: -0.9689, 038: -0.9355, 010: -0.8531, 024: -1.0792, 013: -1.5489, 026: -0.7843, 023: -0.4076, 025: -1.0955, 009: -0.9316, 039: -0.3775, 036: -0.7307, 004: -0.9124, 033: -0.8882, 016: -0.6570, 002: -0.6459, 003: -0.9672, 011: -0.9947, 008: -1.7648, 031: -1.1212, 028: -0.9171, 012: -0.9512"
