,mem_usage,step
0,100,5121269760
1,200,5124759552
2,300,5315297280
3,400,5316153344
4,500,5316460544
5,600,5316792320
6,700,5317066752
7,800,5323046912
8,900,5323055104
9,1000,5325000704
10,1100,5328510976
11,1200,5331750912
12,1300,5334990848
13,1400,5338505216
14,1500,5342007296
15,1600,5345226752
16,1700,5348462592
17,1800,5351976960
18,1900,5355216896
19,2000,5358727168
20,2100,5383643136
21,2200,5386334208
22,2300,5390647296
23,2400,5393608704
24,2500,5397651456
25,2600,5400895488
26,2700,5407113216
27,2800,5408464896
28,2900,5413060608
29,3000,5414682624
30,3100,5419196416
31,3200,5423177728
32,3300,5427347456
33,3400,5431218176
34,3500,5437116416
35,3600,5438877696
36,3700,5442449408
37,3800,5447061504
38,3900,5451468800
39,4000,5455384576
40,4100,5459156992
41,4200,5462573056
42,4300,5467230208
43,4400,5470658560
44,4500,5473312768
45,4600,5478236160
46,4700,5481926656
47,4800,5485572096
48,4900,5490741248
49,5000,5493780480
50,5100,5497851904
51,5200,5501849600
