,mem_usage,step
0,100,5375561728
1,200,5454360576
2,300,5533315072
3,400,5612204032
4,500,5691170816
5,600,5769916416
6,700,5848723456
7,800,5927608320
8,900,6006542336
9,1000,6085967872
10,1100,6164967424
11,1200,6244339712
12,1300,6323630080
13,1400,6402764800
14,1500,6481993728
15,1600,6561181696
16,1700,6640349184
17,1800,6719823872
18,1900,6799052800
19,2000,6878023680
20,2100,6927486976
21,2200,6927486976
22,2300,6927486976
23,2400,6927486976
24,2500,6927486976
25,2600,6927486976
26,2700,6927486976
27,2800,6927486976
28,2900,6927486976
29,3000,6927486976
30,3100,6927486976
31,3200,6927486976
32,3300,6927548416
33,3400,6927548416
34,3500,6927810560
35,3600,6928072704
36,3700,6928072704
37,3800,6928334848
38,3900,6928596992
39,4000,6928596992
40,4100,6936969216
41,4200,6936969216
42,4300,6936969216
43,4400,6936969216
44,4500,6936969216
45,4600,6936969216
46,4700,6936969216
47,4800,6936969216
48,4900,6936969216
