,mem_usage,step
0,100,5335216128
1,200,5374611456
2,300,5415149568
3,400,5454639104
4,500,5494325248
5,600,5533904896
6,700,5573480448
7,800,5612859392
8,900,5652717568
9,1000,5692329984
10,1100,5790543872
11,1200,5834874880
12,1300,5877145600
13,1400,5910929408
14,1500,5955424256
15,1600,5995876352
16,1700,5980450816
17,1800,6074978304
18,1900,6110109696
19,2000,6149906432
20,2100,6188806144
21,2200,6233686016
22,2300,6272483328
23,2400,6310834176
24,2500,6351060992
25,2600,6394388480
26,2700,6430097408
27,2800,6472253440
28,2900,6503895040
29,3000,6547832832
30,3100,6589136896
31,3200,6629683200
32,3300,6668914688
33,3400,6710886400
34,3500,6745059328
35,3600,6792089600
36,3700,6829518848
37,3800,6869696512
38,3900,6911283200
39,4000,6950653952
40,4100,6985961472
41,4200,7028314112
42,4300,7071674368
43,4400,7107944448
44,4500,7143800832
45,4600,7187038208
46,4700,7223504896
47,4800,7267295232
48,4900,7309479936
