         72185222 function calls (70457580 primitive calls) in 50.626 seconds

   Ordered by: cumulative time

   ncalls  tottime  percall  cumtime  percall filename:lineno(function)
        1    0.000    0.000   50.626   50.626 /home/harry/individual_project/.venv/lib/python3.8/site-packages/rl_agents/trainer/evaluation.py:105(train)
        1    0.000    0.000   50.619   50.619 /home/harry/individual_project/.venv/lib/python3.8/site-packages/rl_agents/trainer/evaluation.py:129(run_episodes)
       60    0.001    0.000   50.292    0.838 /home/harry/individual_project/.venv/lib/python3.8/site-packages/rl_agents/trainer/evaluation.py:152(step)
       60    0.000    0.000   50.172    0.836 /home/harry/individual_project/.venv/lib/python3.8/site-packages/gym/wrappers/monitor.py:29(step)
       60    0.000    0.000   50.171    0.836 /home/harry/individual_project/.venv/lib/python3.8/site-packages/highway_env/envs/common/abstract.py:197(step)
       60    0.003    0.000   49.342    0.822 /home/harry/individual_project/.venv/lib/python3.8/site-packages/highway_env/envs/common/abstract.py:220(_simulate)
      900    0.020    0.000   32.955    0.037 /home/harry/individual_project/.venv/lib/python3.8/site-packages/highway_env/road/road.py:288(act)
    45000    0.252    0.000   32.798    0.001 /home/harry/individual_project/.venv/lib/python3.8/site-packages/highway_env/vehicle/behavior.py:77(act)
    53721    2.551    0.000   22.441    0.000 /home/harry/individual_project/.venv/lib/python3.8/site-packages/highway_env/road/road.py:307(neighbour_vehicles)
9585971/7874748    8.636    0.000   20.163    0.000 {built-in method numpy.core._multiarray_umath.implement_array_function}
      900    0.451    0.001   16.370    0.018 /home/harry/individual_project/.venv/lib/python3.8/site-packages/highway_env/road/road.py:293(step)
  3162293    5.497    0.000   15.106    0.000 /home/harry/individual_project/.venv/lib/python3.8/site-packages/highway_env/road/lane.py:164(local_coordinates)
  1147500    0.691    0.000   12.647    0.000 /home/harry/individual_project/.venv/lib/python3.8/site-packages/highway_env/vehicle/kinematics.py:163(check_collision)
  7542907    3.223    0.000   11.615    0.000 <__array_function__ internals>:2(dot)
  1147500    2.069    0.000   11.116    0.000 /home/harry/individual_project/.venv/lib/python3.8/site-packages/highway_env/vehicle/kinematics.py:195(_is_colliding)
  1155510    0.551    0.000    7.944    0.000 <__array_function__ internals>:2(norm)
  1155510    3.268    0.000    6.679    0.000 /home/harry/individual_project/.venv/lib/python3.8/site-packages/numpy/linalg/linalg.py:2362(norm)
   274682    0.151    0.000    6.333    0.000 <__array_function__ internals>:2(clip)
   321199    0.222    0.000    5.933    0.000 /home/harry/individual_project/.venv/lib/python3.8/site-packages/numpy/core/fromnumeric.py:52(_wrapfunc)
   274682    0.242    0.000    5.909    0.000 /home/harry/individual_project/.venv/lib/python3.8/site-packages/numpy/core/fromnumeric.py:2044(clip)
  2686110    4.591    0.000    4.927    0.000 /home/harry/individual_project/.venv/lib/python3.8/site-packages/highway_env/road/lane.py:61(on_lane)
    45871    0.459    0.000    4.737    0.000 /home/harry/individual_project/.venv/lib/python3.8/site-packages/highway_env/vehicle/controller.py:113(steering_control)
