ncalls,tottime,percall,cumtime,percall,filename:lineno(function)
1,0.000,0.000,1391.547,1391.547,/home/harry/individual_project/.venv/lib/python3.8/site-packages/rl_agents/trainer/evaluation.py:105(train)
1,0.007,0.007,1391.512,1391.512,/home/harry/individual_project/.venv/lib/python3.8/site-packages/rl_agents/trainer/evaluation.py:129(run_episodes)
1639,0.069,0.000,1385.205,0.845,/home/harry/individual_project/.venv/lib/python3.8/site-packages/rl_agents/trainer/evaluation.py:152(step)
1639,0.005,0.000,1374.669,0.839,/home/harry/individual_project/.venv/lib/python3.8/site-packages/gym/wrappers/monitor.py:29(step)
1639,0.013,0.000,1374.631,0.839,/home/harry/individual_project/.venv/lib/python3.8/site-packages/highway_env/envs/common/abstract.py:197(step)
1639,0.079,0.000,1352.195,0.825,/home/harry/individual_project/.venv/lib/python3.8/site-packages/highway_env/envs/common/abstract.py:220(_simulate)
24585,0.538,0.000,899.763,0.037,/home/harry/individual_project/.venv/lib/python3.8/site-packages/highway_env/road/road.py:288(act)
1229250,6.888,0.000,895.510,0.001,/home/harry/individual_project/.venv/lib/python3.8/site-packages/highway_env/vehicle/behavior.py:77(act)
1461923,70.764,0.000,615.053,0.000,/home/harry/individual_project/.venv/lib/python3.8/site-packages/highway_env/road/road.py:307(neighbour_vehicles)
261111874/214299508,248.354,0.000,561.133,0.000,{built-in method numpy.core._multiarray_umath.implement_array_function}
24585,11.850,0.000,451.943,0.018,/home/harry/individual_project/.venv/lib/python3.8/site-packages/highway_env/road/road.py:293(step)
85966054,144.933,0.000,417.327,0.000,/home/harry/individual_project/.venv/lib/python3.8/site-packages/highway_env/road/lane.py:164(local_coordinates)
31345875,18.082,0.000,350.705,0.000,/home/harry/individual_project/.venv/lib/python3.8/site-packages/highway_env/vehicle/kinematics.py:163(check_collision)
205217980,87.207,0.000,329.506,0.000,<__array_function__ internals>:2(dot)
31345875,57.404,0.000,309.058,0.000,/home/harry/individual_project/.venv/lib/python3.8/site-packages/highway_env/vehicle/kinematics.py:195(_is_colliding)
31584415,15.252,0.000,219.008,0.000,<__array_function__ internals>:2(norm)
31584415,89.011,0.000,184.692,0.000,/home/harry/individual_project/.venv/lib/python3.8/site-packages/numpy/linalg/linalg.py:2362(norm)
7509873,4.150,0.000,170.103,0.000,<__array_function__ internals>:2(clip)
8776881,6.230,0.000,159.375,0.000,/home/harry/individual_project/.venv/lib/python3.8/site-packages/numpy/core/fromnumeric.py:52(_wrapfunc)
7509873,6.382,0.000,158.520,0.000,/home/harry/individual_project/.venv/lib/python3.8/site-packages/numpy/core/fromnumeric.py:2044(clip)
73097789,122.479,0.000,131.575,0.000,/home/harry/individual_project/.venv/lib/python3.8/site-packages/highway_env/road/lane.py:61(on_lane)
1254138,12.818,0.000,128.192,0.000,/home/harry/individual_project/.venv/lib/python3.8/site-packages/highway_env/vehicle/controller.py:113(steering_control)
7502517,13.612,0.000,124.735,0.000,/home/harry/individual_project/.venv/lib/python3.8/site-packages/numpy/core/_methods.py:124(_clip)
1227914,1.818,0.000,102.454,0.000,/home/harry/individual_project/.venv/lib/python3.8/site-packages/highway_env/vehicle/behavior.py:198(change_lane_policy)
114412,0.488,0.000,96.580,0.001,/home/harry/individual_project/.venv/lib/python3.8/site-packages/highway_env/vehicle/behavior.py:237(mobil)
4991684,5.517,0.000,88.693,0.000,{method 'clip' of 'numpy.generic' objects}
1253835,16.897,0.000,88.105,0.000,/home/harry/individual_project/.venv/lib/python3.8/site-packages/highway_env/vehicle/kinematics.py:121(step)
1229250,1.284,0.000,87.393,0.000,/home/harry/individual_project/.venv/lib/python3.8/site-packages/highway_env/vehicle/behavior.py:112(step)
131366555,36.823,0.000,83.050,0.000,{built-in method builtins.isinstance}
15005034,37.871,0.000,81.350,0.000,/home/harry/individual_project/.venv/lib/python3.8/site-packages/numpy/core/_methods.py:90(_clip_dep_is_scalar_nan)
1785303,14.622,0.000,74.722,0.000,/home/harry/individual_project/.venv/lib/python3.8/site-packages/highway_env/vehicle/behavior.py:123(acceleration)
1253835,1.880,0.000,69.019,0.000,/home/harry/individual_project/.venv/lib/python3.8/site-packages/highway_env/vehicle/kinematics.py:156(on_state_update)
1264035,5.934,0.000,67.376,0.000,/home/harry/individual_project/.venv/lib/python3.8/site-packages/highway_env/road/road.py:49(get_closest_lane_index)
3775802,5.469,0.000,56.006,0.000,/home/harry/individual_project/.venv/lib/python3.8/site-packages/numpy/core/fromnumeric.py:39(_wrapit)
5056140,16.721,0.000,50.828,0.000,/home/harry/individual_project/.venv/lib/python3.8/site-packages/highway_env/road/lane.py:102(distance_with_heading)
108118028,21.569,0.000,45.328,0.000,/usr/lib/python3.8/abc.py:96(__instancecheck__)
15005434,6.809,0.000,43.520,0.000,<__array_function__ internals>:2(ndim)
2510833,1.561,0.000,43.119,0.000,{method 'clip' of 'numpy.ndarray' objects}
1701457,7.940,0.000,39.743,0.000,/home/harry/individual_project/.venv/lib/python3.8/site-packages/highway_env/vehicle/behavior.py:153(desired_gap)
50618394,12.860,0.000,37.325,0.000,/home/harry/individual_project/.venv/lib/python3.8/site-packages/numpy/core/_asarray.py:23(asarray)
57915174,31.656,0.000,31.656,0.000,{built-in method numpy.array}
15005434,13.337,0.000,29.764,0.000,/home/harry/individual_project/.venv/lib/python3.8/site-packages/numpy/core/fromnumeric.py:3106(ndim)
1839,0.065,0.000,25.018,0.014,/home/harry/individual_project/.venv/lib/python3.8/site-packages/highway_env/envs/common/observation.py:187(observe)
5261657,18.744,0.000,23.895,0.000,/home/harry/individual_project/.venv/lib/python3.8/site-packages/highway_env/vehicle/objects.py:71(direction)
108118028,23.759,0.000,23.759,0.000,{built-in method _abc._abc_instancecheck}
31335475,23.403,0.000,23.403,0.000,{built-in method numpy.zeros}
7502517,23.001,0.000,23.001,0.000,/home/harry/individual_project/.venv/lib/python3.8/site-packages/numpy/core/_methods.py:105(_clip_dep_invoke_with_casting)
3527098,5.715,0.000,22.630,0.000,/home/harry/individual_project/.venv/lib/python3.8/site-packages/highway_env/vehicle/kinematics.py:202(velocity)
205217980,21.652,0.000,21.652,0.000,/home/harry/individual_project/.venv/lib/python3.8/site-packages/numpy/core/multiarray.py:716(dot)
1735954,1.926,0.000,18.721,0.000,/home/harry/individual_project/.venv/lib/python3.8/site-packages/highway_env/vehicle/objects.py:94(lane_distance_to)
1839,0.051,0.000,13.687,0.007,/home/harry/individual_project/.venv/lib/python3.8/site-packages/highway_env/envs/common/observation.py:165(normalize_obs)
31621395,13.525,0.000,13.525,0.000,{method 'ravel' of 'numpy.ndarray' objects}
1254138,1.311,0.000,10.532,0.000,/home/harry/individual_project/.venv/lib/python3.8/site-packages/highway_env/vehicle/controller.py:105(follow_road)
1264035,0.709,0.000,9.641,0.000,<__array_function__ internals>:2(argmin)
31584415,6.598,0.000,9.401,0.000,/home/harry/individual_project/.venv/lib/python3.8/site-packages/numpy/linalg/linalg.py:112(isComplexType)
73212807,9.100,0.000,9.100,0.000,/home/harry/individual_project/.venv/lib/python3.8/site-packages/highway_env/road/lane.py:161(width_at)
1639,0.016,0.000,8.941,0.005,/home/harry/individual_project/.venv/lib/python3.8/site-packages/rl_agents/agents/deep_q_network/abstract.py:37(record)
1254138,1.440,0.000,8.695,0.000,/home/harry/individual_project/.venv/lib/python3.8/site-packages/highway_env/road/lane.py:92(after_end)
1264035,0.879,0.000,8.097,0.000,/home/harry/individual_project/.venv/lib/python3.8/site-packages/numpy/core/fromnumeric.py:1200(argmin)
7356,0.053,0.000,6.834,0.001,/home/harry/individual_project/.venv/lib/python3.8/site-packages/pandas/core/generic.py:7600(clip)
15005034,4.917,0.000,6.772,0.000,/home/harry/individual_project/.venv/lib/python3.8/site-packages/numpy/core/_methods.py:100(_clip_dep_is_byte_swapped)
45541,1.502,0.000,6.612,0.000,/home/harry/individual_project/.venv/lib/python3.8/site-packages/highway_env/utils.py:142(are_polygons_intersecting)
65323012,6.601,0.000,6.601,0.000,{built-in method builtins.issubclass}
7356,0.120,0.000,6.475,0.001,/home/harry/individual_project/.venv/lib/python3.8/site-packages/pandas/core/generic.py:7550(_clip_with_scalar)
200,0.001,0.000,5.846,0.029,/home/harry/individual_project/.venv/lib/python3.8/site-packages/rl_agents/trainer/evaluation.py:361(reset)
200,0.001,0.000,5.845,0.029,/home/harry/individual_project/.venv/lib/python3.8/site-packages/gym/wrappers/monitor.py:36(reset)
14712,0.036,0.000,5.842,0.000,/home/harry/individual_project/.venv/lib/python3.8/site-packages/pandas/core/generic.py:9147(where)
200,0.001,0.000,5.837,0.029,/home/harry/individual_project/.venv/lib/python3.8/site-packages/highway_env/envs/common/abstract.py:175(reset)
14712,0.206,0.000,5.798,0.000,/home/harry/individual_project/.venv/lib/python3.8/site-packages/pandas/core/generic.py:9001(_where)
20229,0.093,0.000,4.854,0.000,/home/harry/individual_project/.venv/lib/python3.8/site-packages/pandas/core/frame.py:2987(__getitem__)
6310278,4.838,0.000,4.838,0.000,/home/harry/individual_project/.venv/lib/python3.8/site-packages/highway_env/utils.py:39(wrap_to_pi)
10634,0.049,0.000,4.731,0.000,/home/harry/individual_project/.venv/lib/python3.8/site-packages/highway_env/utils.py:15(lmap)
29424,0.049,0.000,4.682,0.000,/home/harry/individual_project/.venv/lib/python3.8/site-packages/pandas/core/ops/common.py:50(new_method)
1608,0.047,0.000,4.668,0.003,/home/harry/individual_project/.venv/lib/python3.8/site-packages/rl_agents/agents/deep_q_network/pytorch.py:32(step_optimizer)
29424,0.089,0.000,4.539,0.000,/home/harry/individual_project/.venv/lib/python3.8/site-packages/pandas/core/series.py:4992(_arith_method)
117696,0.392,0.000,4.465,0.000,/home/harry/individual_project/.venv/lib/python3.8/site-packages/pandas/core/series.py:238(__init__)
11907305,4.233,0.000,4.233,0.000,{built-in method builtins.max}
3678,0.023,0.000,4.168,0.001,/home/harry/individual_project/.venv/lib/python3.8/site-packages/pandas/core/frame.py:1724(from_records)
1608,0.341,0.000,4.123,0.003,/home/harry/individual_project/.venv/lib/python3.8/site-packages/rl_agents/agents/deep_q_network/pytorch.py:40(compute_bellman_residual)
26224,0.039,0.000,4.108,0.000,/home/harry/individual_project/.venv/lib/python3.8/site-packages/highway_env/vehicle/controller.py:220(act)
31584415,4.004,0.000,4.004,0.000,/home/harry/individual_project/.venv/lib/python3.8/site-packages/numpy/linalg/linalg.py:2358(_norm_dispatcher)
26224,0.104,0.000,3.988,0.000,/home/harry/individual_project/.venv/lib/python3.8/site-packages/highway_env/vehicle/controller.py:75(act)
91082,1.345,0.000,3.929,0.000,/home/harry/individual_project/.venv/lib/python3.8/site-packages/highway_env/vehicle/objects.py:79(polygon)
77592/6466,0.335,0.000,3.828,0.001,/home/harry/individual_project/.venv/lib/python3.8/site-packages/torch/nn/modules/module.py:866(_call_impl)
6466,0.227,0.000,3.763,0.001,/home/harry/individual_project/.venv/lib/python3.8/site-packages/rl_agents/agents/common/models.py:100(forward)
19398,0.199,0.000,3.258,0.000,/home/harry/individual_project/.venv/lib/python3.8/site-packages/rl_agents/agents/common/models.py:69(forward)
19439536/19439520,3.105,0.000,3.145,0.000,{built-in method builtins.getattr}
200,0.000,0.000,3.087,0.015,/home/harry/individual_project/.venv/lib/python3.8/site-packages/highway_env/envs/highway_env.py:53(_reset)
200,0.018,0.000,3.041,0.015,/home/harry/individual_project/.venv/lib/python3.8/site-packages/highway_env/envs/highway_env.py:62(_create_vehicles)
