ncalls,tottime,percall,cumtime,percall,filename:lineno(function)
1,0.000,0.000,328.127,328.127,/home/harry/individual_project/.venv/lib/python3.8/site-packages/rl_agents/trainer/evaluation.py:105(train)
1,0.001,0.001,327.740,327.740,/home/harry/individual_project/.venv/lib/python3.8/site-packages/rl_agents/trainer/evaluation.py:129(run_episodes)
390,0.019,0.000,326.137,0.836,/home/harry/individual_project/.venv/lib/python3.8/site-packages/rl_agents/trainer/evaluation.py:152(step)
390,0.001,0.000,322.801,0.828,/home/harry/individual_project/.venv/lib/python3.8/site-packages/gym/wrappers/monitor.py:29(step)
390,0.003,0.000,322.792,0.828,/home/harry/individual_project/.venv/lib/python3.8/site-packages/highway_env/envs/common/abstract.py:197(step)
390,0.020,0.000,317.400,0.814,/home/harry/individual_project/.venv/lib/python3.8/site-packages/highway_env/envs/common/abstract.py:220(_simulate)
5850,0.124,0.000,211.367,0.036,/home/harry/individual_project/.venv/lib/python3.8/site-packages/highway_env/road/road.py:288(act)
292500,1.616,0.000,210.355,0.001,/home/harry/individual_project/.venv/lib/python3.8/site-packages/highway_env/vehicle/behavior.py:77(act)
346941,16.377,0.000,143.768,0.000,/home/harry/individual_project/.venv/lib/python3.8/site-packages/highway_env/road/road.py:307(neighbour_vehicles)
62051978/50905105,55.983,0.000,130.359,0.000,{built-in method numpy.core._multiarray_umath.implement_array_function}
5850,2.724,0.000,105.916,0.018,/home/harry/individual_project/.venv/lib/python3.8/site-packages/highway_env/road/road.py:293(step)
20408505,34.687,0.000,96.975,0.000,/home/harry/individual_project/.venv/lib/python3.8/site-packages/highway_env/road/lane.py:164(local_coordinates)
7458750,4.268,0.000,82.179,0.000,/home/harry/individual_project/.venv/lib/python3.8/site-packages/highway_env/vehicle/kinematics.py:163(check_collision)
48738930,20.611,0.000,75.440,0.000,<__array_function__ internals>:2(dot)
7458750,13.439,0.000,72.526,0.000,/home/harry/individual_project/.venv/lib/python3.8/site-packages/highway_env/vehicle/kinematics.py:195(_is_colliding)
7518970,3.581,0.000,51.348,0.000,<__array_function__ internals>:2(norm)
7518970,21.117,0.000,43.315,0.000,/home/harry/individual_project/.venv/lib/python3.8/site-packages/numpy/linalg/linalg.py:2362(norm)
1786969,1.000,0.000,40.795,0.000,<__array_function__ internals>:2(clip)
2088580,1.499,0.000,38.207,0.000,/home/harry/individual_project/.venv/lib/python3.8/site-packages/numpy/core/fromnumeric.py:52(_wrapfunc)
1786969,1.504,0.000,37.989,0.000,/home/harry/individual_project/.venv/lib/python3.8/site-packages/numpy/core/fromnumeric.py:2044(clip)
17347440,29.134,0.000,31.250,0.000,/home/harry/individual_project/.venv/lib/python3.8/site-packages/highway_env/road/lane.py:61(on_lane)
298421,3.048,0.000,30.659,0.000,/home/harry/individual_project/.venv/lib/python3.8/site-packages/highway_env/vehicle/controller.py:113(steering_control)
1785209,3.264,0.000,29.907,0.000,/home/harry/individual_project/.venv/lib/python3.8/site-packages/numpy/core/_methods.py:124(_clip)
292181,0.419,0.000,23.975,0.000,/home/harry/individual_project/.venv/lib/python3.8/site-packages/highway_env/vehicle/behavior.py:198(change_lane_policy)
27253,0.117,0.000,22.657,0.001,/home/harry/individual_project/.venv/lib/python3.8/site-packages/highway_env/vehicle/behavior.py:237(mobil)
1187761,1.336,0.000,21.281,0.000,{method 'clip' of 'numpy.generic' objects}
298350,3.973,0.000,20.725,0.000,/home/harry/individual_project/.venv/lib/python3.8/site-packages/highway_env/vehicle/kinematics.py:121(step)
292500,0.288,0.000,20.538,0.000,/home/harry/individual_project/.venv/lib/python3.8/site-packages/highway_env/vehicle/behavior.py:112(step)
3570418,9.138,0.000,19.620,0.000,/home/harry/individual_project/.venv/lib/python3.8/site-packages/numpy/core/_methods.py:90(_clip_dep_is_scalar_nan)
31219718,8.533,0.000,19.376,0.000,{built-in method builtins.isinstance}
423682,3.502,0.000,17.537,0.000,/home/harry/individual_project/.venv/lib/python3.8/site-packages/highway_env/vehicle/behavior.py:123(acceleration)
298350,0.449,0.000,16.261,0.000,/home/harry/individual_project/.venv/lib/python3.8/site-packages/highway_env/vehicle/kinematics.py:156(on_state_update)
300900,1.456,0.000,15.882,0.000,/home/harry/individual_project/.venv/lib/python3.8/site-packages/highway_env/road/road.py:49(get_closest_lane_index)
898569,1.321,0.000,13.396,0.000,/home/harry/individual_project/.venv/lib/python3.8/site-packages/numpy/core/fromnumeric.py:39(_wrapit)
1203600,3.981,0.000,11.911,0.000,/home/harry/individual_project/.venv/lib/python3.8/site-packages/highway_env/road/lane.py:102(distance_with_heading)
25650296,5.200,0.000,10.627,0.000,/usr/lib/python3.8/abc.py:96(__instancecheck__)
3570518,1.641,0.000,10.492,0.000,<__array_function__ internals>:2(ndim)
597448,0.361,0.000,10.324,0.000,{method 'clip' of 'numpy.ndarray' objects}
402950,1.875,0.000,9.280,0.000,/home/harry/individual_project/.venv/lib/python3.8/site-packages/highway_env/vehicle/behavior.py:153(desired_gap)
12048537,3.088,0.000,8.789,0.000,/home/harry/individual_project/.venv/lib/python3.8/site-packages/numpy/core/_asarray.py:23(asarray)
13798116,7.401,0.000,7.401,0.000,{built-in method numpy.array}
3570518,3.222,0.000,7.172,0.000,/home/harry/individual_project/.venv/lib/python3.8/site-packages/numpy/core/fromnumeric.py:3106(ndim)
440,0.016,0.000,6.051,0.014,/home/harry/individual_project/.venv/lib/python3.8/site-packages/highway_env/envs/common/observation.py:187(observe)
