ncalls,tottime,percall,cumtime,percall,filename:lineno(function)
1,0.000,0.000,612.766,612.766,/home/harry/individual_project/.venv/lib/python3.8/site-packages/rl_agents/trainer/evaluation.py:105(train)
1,0.003,0.003,612.748,612.748,/home/harry/individual_project/.venv/lib/python3.8/site-packages/rl_agents/trainer/evaluation.py:129(run_episodes)
731,0.026,0.000,609.635,0.834,/home/harry/individual_project/.venv/lib/python3.8/site-packages/rl_agents/trainer/evaluation.py:152(step)
731,0.002,0.000,605.785,0.829,/home/harry/individual_project/.venv/lib/python3.8/site-packages/gym/wrappers/monitor.py:29(step)
731,0.005,0.000,605.770,0.829,/home/harry/individual_project/.venv/lib/python3.8/site-packages/highway_env/envs/common/abstract.py:197(step)
731,0.035,0.000,595.700,0.815,/home/harry/individual_project/.venv/lib/python3.8/site-packages/highway_env/envs/common/abstract.py:220(_simulate)
10965,0.251,0.000,396.308,0.036,/home/harry/individual_project/.venv/lib/python3.8/site-packages/highway_env/road/road.py:288(act)
548250,3.175,0.000,394.403,0.001,/home/harry/individual_project/.venv/lib/python3.8/site-packages/highway_env/vehicle/behavior.py:77(act)
654409,31.080,0.000,268.844,0.000,/home/harry/individual_project/.venv/lib/python3.8/site-packages/highway_env/road/road.py:307(neighbour_vehicles)
116773262/95895523,100.629,0.000,240.225,0.000,{built-in method numpy.core._multiarray_umath.implement_array_function}
10965,5.486,0.001,199.176,0.018,/home/harry/individual_project/.venv/lib/python3.8/site-packages/highway_env/road/road.py:293(step)
38494251,66.251,0.000,179.141,0.000,/home/harry/individual_project/.venv/lib/python3.8/site-packages/highway_env/road/lane.py:164(local_coordinates)
13980375,8.472,0.000,154.377,0.000,/home/harry/individual_project/.venv/lib/python3.8/site-packages/highway_env/vehicle/kinematics.py:163(check_collision)
91842294,38.793,0.000,136.433,0.000,<__array_function__ internals>:2(dot)
13980375,25.326,0.000,135.447,0.000,/home/harry/individual_project/.venv/lib/python3.8/site-packages/highway_env/vehicle/kinematics.py:195(_is_colliding)
14087472,6.807,0.000,95.911,0.000,<__array_function__ internals>:2(norm)
14087472,39.472,0.000,80.407,0.000,/home/harry/individual_project/.venv/lib/python3.8/site-packages/numpy/linalg/linalg.py:2362(norm)
3348760,1.882,0.000,76.607,0.000,<__array_function__ internals>:2(clip)
3914414,2.704,0.000,71.773,0.000,/home/harry/individual_project/.venv/lib/python3.8/site-packages/numpy/core/fromnumeric.py:52(_wrapfunc)
3348760,2.727,0.000,71.380,0.000,/home/harry/individual_project/.venv/lib/python3.8/site-packages/numpy/core/fromnumeric.py:2044(clip)
32721181,55.346,0.000,59.651,0.000,/home/harry/individual_project/.venv/lib/python3.8/site-packages/highway_env/road/lane.py:61(on_lane)
559235,5.705,0.000,57.531,0.000,/home/harry/individual_project/.venv/lib/python3.8/site-packages/highway_env/vehicle/controller.py:113(steering_control)
3345436,6.154,0.000,56.291,0.000,/home/harry/individual_project/.venv/lib/python3.8/site-packages/numpy/core/_methods.py:124(_clip)
547539,0.848,0.000,45.307,0.000,/home/harry/individual_project/.venv/lib/python3.8/site-packages/highway_env/vehicle/behavior.py:198(change_lane_policy)
51222,0.222,0.000,42.490,0.001,/home/harry/individual_project/.venv/lib/python3.8/site-packages/highway_env/vehicle/behavior.py:237(mobil)
2225836,2.599,0.000,40.188,0.000,{method 'clip' of 'numpy.generic' objects}
559215,7.506,0.000,38.707,0.000,/home/harry/individual_project/.venv/lib/python3.8/site-packages/highway_env/vehicle/kinematics.py:121(step)
548250,0.607,0.000,38.430,0.000,/home/harry/individual_project/.venv/lib/python3.8/site-packages/highway_env/vehicle/behavior.py:112(step)
58837372,16.369,0.000,37.011,0.000,{built-in method builtins.isinstance}
6690872,16.964,0.000,36.663,0.000,/home/harry/individual_project/.venv/lib/python3.8/site-packages/numpy/core/_methods.py:90(_clip_dep_is_scalar_nan)
799465,6.622,0.000,33.074,0.000,/home/harry/individual_project/.venv/lib/python3.8/site-packages/highway_env/vehicle/behavior.py:123(acceleration)
559215,0.864,0.000,30.218,0.000,/home/harry/individual_project/.venv/lib/python3.8/site-packages/highway_env/vehicle/kinematics.py:156(on_state_update)
564315,2.709,0.000,29.493,0.000,/home/harry/individual_project/.venv/lib/python3.8/site-packages/highway_env/road/road.py:49(get_closest_lane_index)
1684323,2.519,0.000,25.130,0.000,/home/harry/individual_project/.venv/lib/python3.8/site-packages/numpy/core/fromnumeric.py:39(_wrapit)
2257260,7.511,0.000,22.167,0.000,/home/harry/individual_project/.venv/lib/python3.8/site-packages/highway_env/road/lane.py:102(distance_with_heading)
48414951,9.875,0.000,20.231,0.000,/usr/lib/python3.8/abc.py:96(__instancecheck__)
6691072,3.059,0.000,19.717,0.000,<__array_function__ internals>:2(ndim)
1119600,0.697,0.000,19.398,0.000,{method 'clip' of 'numpy.ndarray' objects}
766320,3.566,0.000,17.632,0.000,/home/harry/individual_project/.venv/lib/python3.8/site-packages/highway_env/vehicle/behavior.py:153(desired_gap)
22577114,5.833,0.000,16.695,0.000,/home/harry/individual_project/.venv/lib/python3.8/site-packages/numpy/core/_asarray.py:23(asarray)
25854590,14.082,0.000,14.082,0.000,{built-in method numpy.array}
6691072,6.085,0.000,13.458,0.000,/home/harry/individual_project/.venv/lib/python3.8/site-packages/numpy/core/fromnumeric.py:3106(ndim)
831,0.029,0.000,11.367,0.014,/home/harry/individual_project/.venv/lib/python3.8/site-packages/highway_env/envs/common/observation.py:187(observe)
2369344,8.283,0.000,10.601,0.000,/home/harry/individual_project/.venv/lib/python3.8/site-packages/highway_env/vehicle/objects.py:71(direction)
3345436,10.423,0.000,10.423,0.000,/home/harry/individual_project/.venv/lib/python3.8/site-packages/numpy/core/_methods.py:105(_clip_dep_invoke_with_casting)
48414951,10.356,0.000,10.356,0.000,{built-in method _abc._abc_instancecheck}
13976030,10.169,0.000,10.169,0.000,{built-in method numpy.zeros}
1588066,2.607,0.000,10.105,0.000,/home/harry/individual_project/.venv/lib/python3.8/site-packages/highway_env/vehicle/kinematics.py:202(velocity)
91842294,9.649,0.000,9.649,0.000,/home/harry/individual_project/.venv/lib/python3.8/site-packages/numpy/core/multiarray.py:716(dot)
781967,0.995,0.000,8.188,0.000,/home/harry/individual_project/.venv/lib/python3.8/site-packages/highway_env/vehicle/objects.py:94(lane_distance_to)
831,0.023,0.000,6.219,0.007,/home/harry/individual_project/.venv/lib/python3.8/site-packages/highway_env/envs/common/observation.py:165(normalize_obs)
14104192,5.992,0.000,5.992,0.000,{method 'ravel' of 'numpy.ndarray' objects}
559235,0.613,0.000,4.606,0.000,/home/harry/individual_project/.venv/lib/python3.8/site-packages/highway_env/vehicle/controller.py:105(follow_road)
32772678,4.307,0.000,4.307,0.000,/home/harry/individual_project/.venv/lib/python3.8/site-packages/highway_env/road/lane.py:161(width_at)
14087472,2.934,0.000,4.280,0.000,/home/harry/individual_project/.venv/lib/python3.8/site-packages/numpy/linalg/linalg.py:112(isComplexType)
564315,0.313,0.000,4.153,0.000,<__array_function__ internals>:2(argmin)
559235,0.652,0.000,3.769,0.000,/home/harry/individual_project/.venv/lib/python3.8/site-packages/highway_env/road/lane.py:92(after_end)
564315,0.366,0.000,3.477,0.000,/home/harry/individual_project/.venv/lib/python3.8/site-packages/numpy/core/fromnumeric.py:1200(argmin)
731,0.006,0.000,3.248,0.004,/home/harry/individual_project/.venv/lib/python3.8/site-packages/rl_agents/agents/deep_q_network/abstract.py:37(record)
3324,0.023,0.000,3.100,0.001,/home/harry/individual_project/.venv/lib/python3.8/site-packages/pandas/core/generic.py:7600(clip)
6690872,2.205,0.000,3.051,0.000,/home/harry/individual_project/.venv/lib/python3.8/site-packages/numpy/core/_methods.py:100(_clip_dep_is_byte_swapped)
29147162,3.044,0.000,3.044,0.000,{built-in method builtins.issubclass}
3324,0.055,0.000,2.937,0.001,/home/harry/individual_project/.venv/lib/python3.8/site-packages/pandas/core/generic.py:7550(_clip_with_scalar)
100,0.000,0.000,2.895,0.029,/home/harry/individual_project/.venv/lib/python3.8/site-packages/rl_agents/trainer/evaluation.py:361(reset)
100,0.000,0.000,2.894,0.029,/home/harry/individual_project/.venv/lib/python3.8/site-packages/gym/wrappers/monitor.py:36(reset)
20234,0.678,0.000,2.893,0.000,/home/harry/individual_project/.venv/lib/python3.8/site-packages/highway_env/utils.py:142(are_polygons_intersecting)
100,0.001,0.000,2.891,0.029,/home/harry/individual_project/.venv/lib/python3.8/site-packages/highway_env/envs/common/abstract.py:175(reset)
6648,0.016,0.000,2.647,0.000,/home/harry/individual_project/.venv/lib/python3.8/site-packages/pandas/core/generic.py:9147(where)
6648,0.093,0.000,2.627,0.000,/home/harry/individual_project/.venv/lib/python3.8/site-packages/pandas/core/generic.py:9001(_where)
9141,0.042,0.000,2.198,0.000,/home/harry/individual_project/.venv/lib/python3.8/site-packages/pandas/core/frame.py:2987(__getitem__)
2816495,2.185,0.000,2.185,0.000,/home/harry/individual_project/.venv/lib/python3.8/site-packages/highway_env/utils.py:39(wrap_to_pi)
4786,0.023,0.000,2.157,0.000,/home/harry/individual_project/.venv/lib/python3.8/site-packages/highway_env/utils.py:15(lmap)
13296,0.022,0.000,2.133,0.000,/home/harry/individual_project/.venv/lib/python3.8/site-packages/pandas/core/ops/common.py:50(new_method)
13296,0.041,0.000,2.069,0.000,/home/harry/individual_project/.venv/lib/python3.8/site-packages/pandas/core/series.py:4992(_arith_method)
53184,0.184,0.000,2.034,0.000,/home/harry/individual_project/.venv/lib/python3.8/site-packages/pandas/core/series.py:238(__init__)
5318319,1.895,0.000,1.895,0.000,{built-in method builtins.max}
1662,0.011,0.000,1.882,0.001,/home/harry/individual_project/.venv/lib/python3.8/site-packages/pandas/core/frame.py:1724(from_records)
11696,0.017,0.000,1.828,0.000,/home/harry/individual_project/.venv/lib/python3.8/site-packages/highway_env/vehicle/controller.py:220(act)
14087472,1.805,0.000,1.805,0.000,/home/harry/individual_project/.venv/lib/python3.8/site-packages/numpy/linalg/linalg.py:2358(_norm_dispatcher)
11696,0.046,0.000,1.780,0.000,/home/harry/individual_project/.venv/lib/python3.8/site-packages/highway_env/vehicle/controller.py:75(act)
40468,0.586,0.000,1.727,0.000,/home/harry/individual_project/.venv/lib/python3.8/site-packages/highway_env/vehicle/objects.py:79(polygon)
700,0.017,0.000,1.650,0.002,/home/harry/individual_project/.venv/lib/python3.8/site-packages/rl_agents/agents/deep_q_network/pytorch.py:32(step_optimizer)
