ncalls,tottime,percall,cumtime,percall,filename:lineno(function)
1,0.000,0.000,700.034,700.034,/home/harry/individual_project/.venv/lib/python3.8/site-packages/rl_agents/trainer/evaluation.py:105(train)
1,0.003,0.003,700.010,700.010,/home/harry/individual_project/.venv/lib/python3.8/site-packages/rl_agents/trainer/evaluation.py:129(run_episodes)
833,0.021,0.000,696.798,0.836,/home/harry/individual_project/.venv/lib/python3.8/site-packages/rl_agents/trainer/evaluation.py:152(step)
833,0.003,0.000,691.928,0.831,/home/harry/individual_project/.venv/lib/python3.8/site-packages/gym/wrappers/monitor.py:29(step)
833,0.006,0.000,691.910,0.831,/home/harry/individual_project/.venv/lib/python3.8/site-packages/highway_env/envs/common/abstract.py:197(step)
833,0.041,0.000,680.398,0.817,/home/harry/individual_project/.venv/lib/python3.8/site-packages/highway_env/envs/common/abstract.py:220(_simulate)
12495,0.290,0.000,452.360,0.036,/home/harry/individual_project/.venv/lib/python3.8/site-packages/highway_env/road/road.py:288(act)
624750,3.621,0.000,450.181,0.001,/home/harry/individual_project/.venv/lib/python3.8/site-packages/highway_env/vehicle/behavior.py:77(act)
741545,35.424,0.000,307.461,0.000,/home/harry/individual_project/.venv/lib/python3.8/site-packages/highway_env/road/road.py:307(neighbour_vehicles)
132562448/108754532,118.210,0.000,277.042,0.000,{built-in method numpy.core._multiarray_umath.implement_array_function}
12495,6.233,0.000,227.801,0.018,/home/harry/individual_project/.venv/lib/python3.8/site-packages/highway_env/road/road.py:293(step)
43605127,74.991,0.000,206.166,0.000,/home/harry/individual_project/.venv/lib/python3.8/site-packages/highway_env/road/lane.py:164(local_coordinates)
15931125,9.613,0.000,176.535,0.000,/home/harry/individual_project/.venv/lib/python3.8/site-packages/highway_env/vehicle/kinematics.py:163(check_collision)
104130410,43.897,0.000,158.780,0.000,<__array_function__ internals>:2(dot)
15931125,28.657,0.000,154.973,0.000,/home/harry/individual_project/.venv/lib/python3.8/site-packages/highway_env/vehicle/kinematics.py:195(_is_colliding)
16059983,7.701,0.000,109.572,0.000,<__array_function__ internals>:2(norm)
16059983,44.835,0.000,92.089,0.000,/home/harry/individual_project/.venv/lib/python3.8/site-packages/numpy/linalg/linalg.py:2362(norm)
3816215,2.114,0.000,87.206,0.000,<__array_function__ internals>:2(clip)
4460019,3.123,0.000,81.780,0.000,/home/harry/individual_project/.venv/lib/python3.8/site-packages/numpy/core/fromnumeric.py:52(_wrapfunc)
3816215,3.136,0.000,81.290,0.000,/home/harry/individual_project/.venv/lib/python3.8/site-packages/numpy/core/fromnumeric.py:2044(clip)
37078083,62.486,0.000,67.359,0.000,/home/harry/individual_project/.venv/lib/python3.8/site-packages/highway_env/road/lane.py:61(on_lane)
637315,6.518,0.000,65.532,0.000,/home/harry/individual_project/.venv/lib/python3.8/site-packages/highway_env/vehicle/controller.py:113(steering_control)
3812483,7.014,0.000,64.043,0.000,/home/harry/individual_project/.venv/lib/python3.8/site-packages/numpy/core/_methods.py:124(_clip)
623987,0.929,0.000,51.378,0.000,/home/harry/individual_project/.venv/lib/python3.8/site-packages/highway_env/vehicle/behavior.py:198(change_lane_policy)
58205,0.248,0.000,48.530,0.001,/home/harry/individual_project/.venv/lib/python3.8/site-packages/highway_env/vehicle/behavior.py:237(mobil)
2536595,2.965,0.000,45.745,0.000,{method 'clip' of 'numpy.generic' objects}
637245,8.529,0.000,44.340,0.000,/home/harry/individual_project/.venv/lib/python3.8/site-packages/highway_env/vehicle/kinematics.py:121(step)
624750,0.693,0.000,44.022,0.000,/home/harry/individual_project/.venv/lib/python3.8/site-packages/highway_env/vehicle/behavior.py:112(step)
66660197,18.586,0.000,41.998,0.000,{built-in method builtins.isinstance}
7624966,19.324,0.000,41.706,0.000,/home/harry/individual_project/.venv/lib/python3.8/site-packages/numpy/core/_methods.py:90(_clip_dep_is_scalar_nan)
905536,7.521,0.000,37.651,0.000,/home/harry/individual_project/.venv/lib/python3.8/site-packages/highway_env/vehicle/behavior.py:123(acceleration)
