ncalls,tottime,percall,cumtime,percall,filename:lineno(function)
1,0.000,0.000,683.006,683.006,/home/harry/individual_project/.venv/lib/python3.8/site-packages/rl_agents/trainer/evaluation.py:105(train)
1,0.003,0.003,682.904,682.904,/home/harry/individual_project/.venv/lib/python3.8/site-packages/rl_agents/trainer/evaluation.py:129(run_episodes)
807,0.020,0.000,679.580,0.842,/home/harry/individual_project/.venv/lib/python3.8/site-packages/rl_agents/trainer/evaluation.py:152(step)
807,0.003,0.000,674.053,0.835,/home/harry/individual_project/.venv/lib/python3.8/site-packages/gym/wrappers/monitor.py:29(step)
807,0.006,0.000,674.035,0.835,/home/harry/individual_project/.venv/lib/python3.8/site-packages/highway_env/envs/common/abstract.py:197(step)
807,0.041,0.000,663.020,0.822,/home/harry/individual_project/.venv/lib/python3.8/site-packages/highway_env/envs/common/abstract.py:220(_simulate)
12105,0.272,0.000,443.204,0.037,/home/harry/individual_project/.venv/lib/python3.8/site-packages/highway_env/road/road.py:288(act)
605250,3.448,0.000,441.097,0.001,/home/harry/individual_project/.venv/lib/python3.8/site-packages/highway_env/vehicle/behavior.py:77(act)
720630,34.244,0.000,301.499,0.000,/home/harry/individual_project/.venv/lib/python3.8/site-packages/highway_env/road/road.py:307(neighbour_vehicles)
128663106/105620735,116.239,0.000,269.999,0.000,{built-in method numpy.core._multiarray_umath.implement_array_function}
12105,5.835,0.000,219.586,0.018,/home/harry/individual_project/.venv/lib/python3.8/site-packages/highway_env/road/road.py:293(step)
42380966,73.881,0.000,203.354,0.000,/home/harry/individual_project/.venv/lib/python3.8/site-packages/highway_env/road/lane.py:164(local_coordinates)
15433875,8.971,0.000,169.379,0.000,/home/harry/individual_project/.venv/lib/python3.8/site-packages/highway_env/vehicle/kinematics.py:163(check_collision)
101152662,43.378,0.000,156.776,0.000,<__array_function__ internals>:2(dot)
15433875,28.018,0.000,149.151,0.000,/home/harry/individual_project/.venv/lib/python3.8/site-packages/highway_env/vehicle/kinematics.py:195(_is_colliding)
15548371,7.430,0.000,105.785,0.000,<__array_function__ internals>:2(norm)
15548371,43.094,0.000,89.153,0.000,/home/harry/individual_project/.venv/lib/python3.8/site-packages/numpy/linalg/linalg.py:2362(norm)
3697765,2.070,0.000,84.762,0.000,<__array_function__ internals>:2(clip)
4321646,2.996,0.000,79.433,0.000,/home/harry/individual_project/.venv/lib/python3.8/site-packages/numpy/core/fromnumeric.py:52(_wrapfunc)
3697765,3.103,0.000,78.958,0.000,/home/harry/individual_project/.venv/lib/python3.8/site-packages/numpy/core/fromnumeric.py:2044(clip)
36032307,61.903,0.000,66.359,0.000,/home/harry/individual_project/.venv/lib/python3.8/site-packages/highway_env/road/lane.py:61(on_lane)
617534,6.232,0.000,63.775,0.000,/home/harry/individual_project/.venv/lib/python3.8/site-packages/highway_env/vehicle/controller.py:113(steering_control)
3694137,6.764,0.000,62.376,0.000,/home/harry/individual_project/.venv/lib/python3.8/site-packages/numpy/core/_methods.py:124(_clip)
604622,0.918,0.000,50.656,0.000,/home/harry/individual_project/.venv/lib/python3.8/site-packages/highway_env/vehicle/behavior.py:198(change_lane_policy)
56539,0.239,0.000,47.632,0.001,/home/harry/individual_project/.venv/lib/python3.8/site-packages/highway_env/vehicle/behavior.py:237(mobil)
2457848,2.717,0.000,44.346,0.000,{method 'clip' of 'numpy.generic' objects}
617355,8.462,0.000,43.731,0.000,/home/harry/individual_project/.venv/lib/python3.8/site-packages/highway_env/vehicle/kinematics.py:121(step)
605250,0.642,0.000,43.370,0.000,/home/harry/individual_project/.venv/lib/python3.8/site-packages/highway_env/vehicle/behavior.py:112(step)
7388274,19.068,0.000,40.963,0.000,/home/harry/individual_project/.venv/lib/python3.8/site-packages/numpy/core/_methods.py:90(_clip_dep_is_scalar_nan)
64753668,17.776,0.000,40.150,0.000,{built-in method builtins.isinstance}
880123,7.514,0.000,37.190,0.000,/home/harry/individual_project/.venv/lib/python3.8/site-packages/highway_env/vehicle/behavior.py:123(acceleration)
617355,0.945,0.000,34.213,0.000,/home/harry/individual_project/.venv/lib/python3.8/site-packages/highway_env/vehicle/kinematics.py:156(on_state_update)
