ncalls,tottime,percall,cumtime,percall,filename:lineno(function)
1,0.000,0.000,79.801,79.801,/home/harry/individual_project/.venv/lib/python3.8/site-packages/rl_agents/trainer/evaluation.py:105(train)
1,0.000,0.000,79.773,79.773,/home/harry/individual_project/.venv/lib/python3.8/site-packages/rl_agents/trainer/evaluation.py:129(run_episodes)
96,0.003,0.000,79.460,0.828,/home/harry/individual_project/.venv/lib/python3.8/site-packages/rl_agents/trainer/evaluation.py:152(step)
96,0.000,0.000,78.996,0.823,/home/harry/individual_project/.venv/lib/python3.8/site-packages/gym/wrappers/monitor.py:29(step)
96,0.001,0.000,78.994,0.823,/home/harry/individual_project/.venv/lib/python3.8/site-packages/highway_env/envs/common/abstract.py:197(step)
96,0.005,0.000,77.679,0.809,/home/harry/individual_project/.venv/lib/python3.8/site-packages/highway_env/envs/common/abstract.py:220(_simulate)
1440,0.033,0.000,51.630,0.036,/home/harry/individual_project/.venv/lib/python3.8/site-packages/highway_env/road/road.py:288(act)
72000,0.403,0.000,51.379,0.001,/home/harry/individual_project/.venv/lib/python3.8/site-packages/highway_env/vehicle/behavior.py:77(act)
85670,3.988,0.000,35.005,0.000,/home/harry/individual_project/.venv/lib/python3.8/site-packages/highway_env/road/road.py:307(neighbour_vehicles)
15299765/12555248,13.477,0.000,31.701,0.000,{built-in method numpy.core._multiarray_umath.implement_array_function}
1440,0.694,0.000,26.022,0.018,/home/harry/individual_project/.venv/lib/python3.8/site-packages/highway_env/road/road.py:293(step)
5035653,8.563,0.000,23.566,0.000,/home/harry/individual_project/.venv/lib/python3.8/site-packages/highway_env/road/lane.py:164(local_coordinates)
1836000,1.052,0.000,20.146,0.000,/home/harry/individual_project/.venv/lib/python3.8/site-packages/highway_env/vehicle/kinematics.py:163(check_collision)
12022355,5.017,0.000,18.180,0.000,<__array_function__ internals>:2(dot)
1836000,3.325,0.000,17.755,0.000,/home/harry/individual_project/.venv/lib/python3.8/site-packages/highway_env/vehicle/kinematics.py:195(_is_colliding)
1850980,0.877,0.000,12.511,0.000,<__array_function__ internals>:2(norm)
1850980,5.129,0.000,10.559,0.000,/home/harry/individual_project/.venv/lib/python3.8/site-packages/numpy/linalg/linalg.py:2362(norm)
439931,0.246,0.000,10.005,0.000,<__array_function__ internals>:2(clip)
514046,0.364,0.000,9.377,0.000,/home/harry/individual_project/.venv/lib/python3.8/site-packages/numpy/core/fromnumeric.py:52(_wrapfunc)
439931,0.368,0.000,9.327,0.000,/home/harry/individual_project/.venv/lib/python3.8/site-packages/numpy/core/fromnumeric.py:2044(clip)
4283596,7.149,0.000,7.676,0.000,/home/harry/individual_project/.venv/lib/python3.8/site-packages/highway_env/road/lane.py:61(on_lane)
73469,0.741,0.000,7.527,0.000,/home/harry/individual_project/.venv/lib/python3.8/site-packages/highway_env/vehicle/controller.py:113(steering_control)
439507,0.811,0.000,7.351,0.000,/home/harry/individual_project/.venv/lib/python3.8/site-packages/numpy/core/_methods.py:124(_clip)
