ncalls,tottime,percall,cumtime,percall,filename:lineno(function)
1,0.000,0.000,47.817,47.817,/home/harry/individual_project/.venv/lib/python3.8/site-packages/rl_agents/trainer/evaluation.py:105(train)
1,0.000,0.000,47.803,47.803,/home/harry/individual_project/.venv/lib/python3.8/site-packages/rl_agents/trainer/evaluation.py:129(run_episodes)
57,0.001,0.000,47.484,0.833,/home/harry/individual_project/.venv/lib/python3.8/site-packages/rl_agents/trainer/evaluation.py:152(step)
57,0.000,0.000,47.295,0.830,/home/harry/individual_project/.venv/lib/python3.8/site-packages/gym/wrappers/monitor.py:29(step)
57,0.000,0.000,47.294,0.830,/home/harry/individual_project/.venv/lib/python3.8/site-packages/highway_env/envs/common/abstract.py:197(step)
57,0.003,0.000,46.512,0.816,/home/harry/individual_project/.venv/lib/python3.8/site-packages/highway_env/envs/common/abstract.py:220(_simulate)
855,0.020,0.000,31.114,0.036,/home/harry/individual_project/.venv/lib/python3.8/site-packages/highway_env/road/road.py:288(act)
42750,0.243,0.000,30.966,0.001,/home/harry/individual_project/.venv/lib/python3.8/site-packages/highway_env/vehicle/behavior.py:77(act)
51068,2.381,0.000,21.171,0.000,/home/harry/individual_project/.venv/lib/python3.8/site-packages/highway_env/road/road.py:307(neighbour_vehicles)
9109143/7485184,8.384,0.000,19.233,0.000,{built-in method numpy.core._multiarray_umath.implement_array_function}
855,0.403,0.000,15.382,0.018,/home/harry/individual_project/.venv/lib/python3.8/site-packages/highway_env/road/road.py:293(step)
3007047,5.152,0.000,14.392,0.000,/home/harry/individual_project/.venv/lib/python3.8/site-packages/highway_env/road/lane.py:164(local_coordinates)
1090125,0.621,0.000,11.873,0.000,/home/harry/individual_project/.venv/lib/python3.8/site-packages/highway_env/vehicle/kinematics.py:163(check_collision)
7170768,3.012,0.000,11.221,0.000,<__array_function__ internals>:2(dot)
1090125,1.964,0.000,10.462,0.000,/home/harry/individual_project/.venv/lib/python3.8/site-packages/highway_env/vehicle/kinematics.py:195(_is_colliding)
1096842,0.520,0.000,7.526,0.000,<__array_function__ internals>:2(norm)
1096842,3.050,0.000,6.366,0.000,/home/harry/individual_project/.venv/lib/python3.8/site-packages/numpy/linalg/linalg.py:2362(norm)
261139,0.145,0.000,5.973,0.000,<__array_function__ internals>:2(clip)
305359,0.215,0.000,5.604,0.000,/home/harry/individual_project/.venv/lib/python3.8/site-packages/numpy/core/fromnumeric.py:52(_wrapfunc)
261139,0.219,0.000,5.570,0.000,/home/harry/individual_project/.venv/lib/python3.8/site-packages/numpy/core/fromnumeric.py:2044(clip)
2553457,4.281,0.000,4.596,0.000,/home/harry/individual_project/.venv/lib/python3.8/site-packages/highway_env/road/lane.py:61(on_lane)
43610,0.440,0.000,4.481,0.000,/home/harry/individual_project/.venv/lib/python3.8/site-packages/highway_env/vehicle/controller.py:113(steering_control)
260871,0.484,0.000,4.378,0.000,/home/harry/individual_project/.venv/lib/python3.8/site-packages/numpy/core/_methods.py:124(_clip)
42698,0.067,0.000,3.540,0.000,/home/harry/individual_project/.venv/lib/python3.8/site-packages/highway_env/vehicle/behavior.py:198(change_lane_policy)
3966,0.017,0.000,3.317,0.001,/home/harry/individual_project/.venv/lib/python3.8/site-packages/highway_env/vehicle/behavior.py:237(mobil)
173568,0.197,0.000,3.118,0.000,{method 'clip' of 'numpy.generic' objects}
43605,0.588,0.000,3.060,0.000,/home/harry/individual_project/.venv/lib/python3.8/site-packages/highway_env/vehicle/kinematics.py:121(step)
42750,0.046,0.000,3.036,0.000,/home/harry/individual_project/.venv/lib/python3.8/site-packages/highway_env/vehicle/behavior.py:112(step)
521742,1.329,0.000,2.865,0.000,/home/harry/individual_project/.venv/lib/python3.8/site-packages/numpy/core/_methods.py:90(_clip_dep_is_scalar_nan)
4614304,1.257,0.000,2.826,0.000,{built-in method builtins.isinstance}
62309,0.516,0.000,2.587,0.000,/home/harry/individual_project/.venv/lib/python3.8/site-packages/highway_env/vehicle/behavior.py:123(acceleration)
43605,0.066,0.000,2.397,0.000,/home/harry/individual_project/.venv/lib/python3.8/site-packages/highway_env/vehicle/kinematics.py:156(on_state_update)
44115,0.210,0.000,2.348,0.000,/home/harry/individual_project/.venv/lib/python3.8/site-packages/highway_env/road/road.py:49(get_closest_lane_index)
131446,0.194,0.000,1.962,0.000,/home/harry/individual_project/.venv/lib/python3.8/site-packages/numpy/core/fromnumeric.py:39(_wrapit)
176460,0.591,0.000,1.771,0.000,/home/harry/individual_project/.venv/lib/python3.8/site-packages/highway_env/road/lane.py:102(distance_with_heading)
521762,0.242,0.000,1.539,0.000,<__array_function__ internals>:2(ndim)
3779801,0.760,0.000,1.536,0.000,/usr/lib/python3.8/abc.py:96(__instancecheck__)
87303,0.054,0.000,1.511,0.000,{method 'clip' of 'numpy.ndarray' objects}
59832,0.279,0.000,1.377,0.000,/home/harry/individual_project/.venv/lib/python3.8/site-packages/highway_env/vehicle/behavior.py:153(desired_gap)
1759269,0.456,0.000,1.286,0.000,/home/harry/individual_project/.venv/lib/python3.8/site-packages/numpy/core/_asarray.py:23(asarray)
2005121,1.062,0.000,1.062,0.000,{built-in method numpy.array}
521762,0.479,0.000,1.052,0.000,/home/harry/individual_project/.venv/lib/python3.8/site-packages/numpy/core/fromnumeric.py:3106(ndim)
67,0.002,0.000,0.915,0.014,/home/harry/individual_project/.venv/lib/python3.8/site-packages/highway_env/envs/common/observation.py:187(observe)
183848,0.641,0.000,0.814,0.000,/home/harry/individual_project/.venv/lib/python3.8/site-packages/highway_env/vehicle/objects.py:71(direction)
260871,0.795,0.000,0.795,0.000,/home/harry/individual_project/.venv/lib/python3.8/site-packages/numpy/core/_methods.py:105(_clip_dep_invoke_with_casting)
1090438,0.780,0.000,0.780,0.000,{built-in method numpy.zeros}
122810,0.202,0.000,0.778,0.000,/home/harry/individual_project/.venv/lib/python3.8/site-packages/highway_env/vehicle/kinematics.py:202(velocity)
3779801,0.776,0.000,0.776,0.000,{built-in method _abc._abc_instancecheck}
7170768,0.764,0.000,0.764,0.000,/home/harry/individual_project/.venv/lib/python3.8/site-packages/numpy/core/multiarray.py:716(dot)
61053,0.068,0.000,0.652,0.000,/home/harry/individual_project/.venv/lib/python3.8/site-packages/highway_env/vehicle/objects.py:94(lane_distance_to)
67,0.002,0.000,0.502,0.007,/home/harry/individual_project/.venv/lib/python3.8/site-packages/highway_env/envs/common/observation.py:165(normalize_obs)
1098192,0.477,0.000,0.477,0.000,{method 'ravel' of 'numpy.ndarray' objects}
43610,0.046,0.000,0.362,0.000,/home/harry/individual_project/.venv/lib/python3.8/site-packages/highway_env/vehicle/controller.py:105(follow_road)
44115,0.025,0.000,0.334,0.000,<__array_function__ internals>:2(argmin)
1096842,0.226,0.000,0.326,0.000,/home/harry/individual_project/.venv/lib/python3.8/site-packages/numpy/linalg/linalg.py:112(isComplexType)
2557443,0.315,0.000,0.315,0.000,/home/harry/individual_project/.venv/lib/python3.8/site-packages/highway_env/road/lane.py:161(width_at)
43610,0.050,0.000,0.299,0.000,/home/harry/individual_project/.venv/lib/python3.8/site-packages/highway_env/road/lane.py:92(after_end)
10,0.000,0.000,0.291,0.029,/home/harry/individual_project/.venv/lib/python3.8/site-packages/rl_agents/trainer/evaluation.py:361(reset)
10,0.000,0.000,0.291,0.029,/home/harry/individual_project/.venv/lib/python3.8/site-packages/gym/wrappers/monitor.py:36(reset)
10,0.000,0.000,0.290,0.029,/home/harry/individual_project/.venv/lib/python3.8/site-packages/highway_env/envs/common/abstract.py:175(reset)
44115,0.028,0.000,0.281,0.000,/home/harry/individual_project/.venv/lib/python3.8/site-packages/numpy/core/fromnumeric.py:1200(argmin)
268,0.002,0.000,0.252,0.001,/home/harry/individual_project/.venv/lib/python3.8/site-packages/pandas/core/generic.py:7600(clip)
268,0.004,0.000,0.238,0.001,/home/harry/individual_project/.venv/lib/python3.8/site-packages/pandas/core/generic.py:7550(_clip_with_scalar)
521742,0.174,0.000,0.234,0.000,/home/harry/individual_project/.venv/lib/python3.8/site-packages/numpy/core/_methods.py:100(_clip_dep_is_byte_swapped)
2269554,0.231,0.000,0.231,0.000,{built-in method builtins.issubclass}
536,0.001,0.000,0.215,0.000,/home/harry/individual_project/.venv/lib/python3.8/site-packages/pandas/core/generic.py:9147(where)
536,0.008,0.000,0.213,0.000,/home/harry/individual_project/.venv/lib/python3.8/site-packages/pandas/core/generic.py:9001(_where)
737,0.003,0.000,0.178,0.000,/home/harry/individual_project/.venv/lib/python3.8/site-packages/pandas/core/frame.py:2987(__getitem__)
382,0.002,0.000,0.174,0.000,/home/harry/individual_project/.venv/lib/python3.8/site-packages/highway_env/utils.py:15(lmap)
1072,0.002,0.000,0.172,0.000,/home/harry/individual_project/.venv/lib/python3.8/site-packages/pandas/core/ops/common.py:50(new_method)
220070,0.170,0.000,0.170,0.000,/home/harry/individual_project/.venv/lib/python3.8/site-packages/highway_env/utils.py:39(wrap_to_pi)
1072,0.003,0.000,0.167,0.000,/home/harry/individual_project/.venv/lib/python3.8/site-packages/pandas/core/series.py:4992(_arith_method)
4288,0.015,0.000,0.163,0.000,/home/harry/individual_project/.venv/lib/python3.8/site-packages/pandas/core/series.py:238(__init__)
