ncalls,tottime,percall,cumtime,percall,filename:lineno(function)
1,0.000,0.000,782.426,782.426,/home/harry/individual_project/.venv/lib/python3.8/site-packages/rl_agents/trainer/evaluation.py:105(train)
1,0.003,0.003,782.408,782.408,/home/harry/individual_project/.venv/lib/python3.8/site-packages/rl_agents/trainer/evaluation.py:129(run_episodes)
701,0.022,0.000,779.200,1.112,/home/harry/individual_project/.venv/lib/python3.8/site-packages/rl_agents/trainer/evaluation.py:152(step)
701,0.003,0.000,775.361,1.106,/home/harry/individual_project/.venv/lib/python3.8/site-packages/gym/wrappers/monitor.py:29(step)
701,0.006,0.000,775.344,1.106,/home/harry/individual_project/.venv/lib/python3.8/site-packages/highway_env/envs/common/abstract.py:197(step)
701,0.036,0.000,765.372,1.092,/home/harry/individual_project/.venv/lib/python3.8/site-packages/highway_env/envs/common/abstract.py:220(_simulate)
10515,0.265,0.000,567.922,0.054,/home/harry/individual_project/.venv/lib/python3.8/site-packages/highway_env/road/road.py:288(act)
525750,0.722,0.000,566.008,0.001,/home/harry/individual_project/.venv/lib/python3.8/site-packages/highway_env/vehicle/behavior.py:329(act)
1134279,53.874,0.000,476.815,0.000,/home/harry/individual_project/.venv/lib/python3.8/site-packages/highway_env/road/road.py:307(neighbour_vehicles)
525750,2.939,0.000,317.254,0.001,/home/harry/individual_project/.venv/lib/python3.8/site-packages/highway_env/vehicle/behavior.py:77(act)
64667071,112.449,0.000,310.186,0.000,/home/harry/individual_project/.venv/lib/python3.8/site-packages/highway_env/road/lane.py:164(local_coordinates)
162779880/146950798,158.448,0.000,259.042,0.000,{built-in method numpy.core._multiarray_umath.implement_array_function}
525750,0.328,0.000,248.032,0.000,/home/harry/individual_project/.venv/lib/python3.8/site-packages/highway_env/vehicle/behavior.py:464(collect_data)
525750,2.265,0.000,247.704,0.000,/home/harry/individual_project/.venv/lib/python3.8/site-packages/highway_env/vehicle/behavior.py:468(add_features)
145157993,60.537,0.000,225.705,0.000,<__array_function__ internals>:2(dot)
10515,5.309,0.001,197.241,0.019,/home/harry/individual_project/.venv/lib/python3.8/site-packages/highway_env/road/road.py:293(step)
13406625,8.400,0.000,152.430,0.000,/home/harry/individual_project/.venv/lib/python3.8/site-packages/highway_env/vehicle/kinematics.py:163(check_collision)
13406625,25.719,0.000,133.445,0.000,/home/harry/individual_project/.venv/lib/python3.8/site-packages/highway_env/vehicle/kinematics.py:195(_is_colliding)
56714651,97.387,0.000,104.368,0.000,/home/harry/individual_project/.venv/lib/python3.8/site-packages/highway_env/road/lane.py:61(on_lane)
13513131,6.468,0.000,93.692,0.000,<__array_function__ internals>:2(norm)
13513131,38.877,0.000,79.148,0.000,/home/harry/individual_project/.venv/lib/python3.8/site-packages/numpy/linalg/linalg.py:2362(norm)
76416851,22.823,0.000,53.917,0.000,{built-in method builtins.isinstance}
536265,7.632,0.000,38.927,0.000,/home/harry/individual_project/.venv/lib/python3.8/site-packages/highway_env/vehicle/kinematics.py:121(step)
525750,0.575,0.000,38.617,0.000,/home/harry/individual_project/.venv/lib/python3.8/site-packages/highway_env/vehicle/behavior.py:112(step)
525094,0.664,0.000,35.559,0.000,/home/harry/individual_project/.venv/lib/python3.8/site-packages/highway_env/vehicle/behavior.py:198(change_lane_policy)
