ncalls,tottime,percall,cumtime,percall,filename:lineno(function)
1,0.000,0.000,343.244,343.244,/home/harry/.local/lib/python3.6/site-packages/rl_agents/trainer/evaluation.py:105(train)
1,0.005,0.005,343.212,343.212,/home/harry/.local/lib/python3.6/site-packages/rl_agents/trainer/evaluation.py:129(run_episodes)
651,0.028,0.000,339.237,0.521,/home/harry/.local/lib/python3.6/site-packages/rl_agents/trainer/evaluation.py:152(step)
651,0.003,0.000,333.980,0.513,/home/harry/.local/lib/python3.6/site-packages/gym/wrappers/monitor.py:29(step)
651,0.010,0.000,333.956,0.513,/home/harry/.local/lib/python3.6/site-packages/highway_env/envs/common/abstract.py:197(step)
651,0.047,0.000,318.146,0.489,/home/harry/.local/lib/python3.6/site-packages/highway_env/envs/common/abstract.py:220(_simulate)
9765,0.159,0.000,232.816,0.024,/home/harry/.local/lib/python3.6/site-packages/highway_env/road/road.py:288(act)
195300,0.397,0.000,229.694,0.001,/home/harry/.local/lib/python3.6/site-packages/highway_env/vehicle/behavior.py:329(act)
420710,21.115,0.000,168.399,0.000,/home/harry/.local/lib/python3.6/site-packages/highway_env/road/road.py:307(neighbour_vehicles)
195300,1.813,0.000,131.985,0.001,/home/harry/.local/lib/python3.6/site-packages/highway_env/vehicle/behavior.py:77(act)
11279017,44.734,0.000,109.125,0.000,/home/harry/.local/lib/python3.6/site-packages/highway_env/road/lane.py:164(local_coordinates)
29261559/26230014,51.815,0.000,101.696,0.000,{built-in method numpy.core._multiarray_umath.implement_array_function}
195300,0.217,0.000,97.311,0.000,/home/harry/.local/lib/python3.6/site-packages/highway_env/vehicle/behavior.py:464(collect_data)
195300,1.474,0.000,97.094,0.000,/home/harry/.local/lib/python3.6/site-packages/highway_env/vehicle/behavior.py:468(add_features)
9765,2.195,0.000,84.971,0.009,/home/harry/.local/lib/python3.6/site-packages/highway_env/road/road.py:293(step)
25508941,22.480,0.000,74.704,0.000,<__array_function__ internals>:2(dot)
2050650,2.543,0.000,51.335,0.000,/home/harry/.local/lib/python3.6/site-packages/highway_env/vehicle/kinematics.py:163(check_collision)
2050650,8.533,0.000,44.013,0.000,/home/harry/.local/lib/python3.6/site-packages/highway_env/vehicle/kinematics.py:195(_is_colliding)
14883934,11.758,0.000,37.530,0.000,{built-in method builtins.isinstance}
8414851,30.531,0.000,32.419,0.000,/home/harry/.local/lib/python3.6/site-packages/highway_env/road/lane.py:61(on_lane)
205065,5.875,0.000,31.041,0.000,/home/harry/.local/lib/python3.6/site-packages/highway_env/vehicle/kinematics.py:121(step)
195300,0.400,0.000,29.900,0.000,/home/harry/.local/lib/python3.6/site-packages/highway_env/vehicle/behavior.py:112(step)
2095902,2.007,0.000,29.261,0.000,<__array_function__ internals>:2(norm)
654170,1.212,0.000,28.384,0.000,/home/harry/.local/lib/python3.6/site-packages/numpy/core/fromnumeric.py:52(_wrapfunc)
445762,0.495,0.000,27.316,0.000,<__array_function__ internals>:2(clip)
445762,0.665,0.000,26.243,0.000,/home/harry/.local/lib/python3.6/site-packages/numpy/core/fromnumeric.py:2033(clip)
2095902,12.873,0.000,24.578,0.000,/home/harry/.local/lib/python3.6/site-packages/numpy/linalg/linalg.py:2363(norm)
10607023,15.249,0.000,24.445,0.000,/usr/lib/python3.6/abc.py:180(__instancecheck__)
205065,0.651,0.000,24.115,0.000,/home/harry/.local/lib/python3.6/site-packages/highway_env/vehicle/kinematics.py:156(on_state_update)
207165,2.086,0.000,23.673,0.000,/home/harry/.local/lib/python3.6/site-packages/highway_env/road/road.py:49(get_closest_lane_index)
618523,1.850,0.000,20.651,0.000,/home/harry/.local/lib/python3.6/site-packages/numpy/core/fromnumeric.py:39(_wrapit)
751,0.056,0.000,18.153,0.024,/home/harry/.local/lib/python3.6/site-packages/highway_env/envs/common/observation.py:187(observe)
828660,6.483,0.000,17.840,0.000,/home/harry/.local/lib/python3.6/site-packages/highway_env/road/lane.py:102(distance_with_heading)
442758,1.671,0.000,16.754,0.000,/home/harry/.local/lib/python3.6/site-packages/numpy/core/_methods.py:106(_clip)
410966,0.436,0.000,15.998,0.000,{method 'clip' of 'numpy.ndarray' objects}
194552,0.364,0.000,13.977,0.000,/home/harry/.local/lib/python3.6/site-packages/highway_env/vehicle/behavior.py:198(change_lane_policy)
585152,4.132,0.000,13.847,0.000,/home/harry/.local/lib/python3.6/site-packages/highway_env/vehicle/behavior.py:387(steering_features)
464022,3.341,0.000,13.495,0.000,/home/harry/.local/lib/python3.6/site-packages/highway_env/vehicle/behavior.py:363(acceleration_features)
18361,0.096,0.000,13.059,0.001,/home/harry/.local/lib/python3.6/site-packages/highway_env/vehicle/behavior.py:237(mobil)
885516,4.473,0.000,11.890,0.000,/home/harry/.local/lib/python3.6/site-packages/numpy/core/_methods.py:72(_clip_dep_is_scalar_nan)
268722,0.724,0.000,9.924,0.000,/home/harry/.local/lib/python3.6/site-packages/highway_env/vehicle/behavior.py:341(acceleration)
5362017,9.546,0.000,9.546,0.000,{built-in method numpy.array}
751,0.037,0.000,9.222,0.012,/home/harry/.local/lib/python3.6/site-packages/highway_env/envs/common/observation.py:165(normalize_obs)
19035572,9.196,0.000,9.196,0.000,/usr/lib/python3.6/_weakrefset.py:70(__contains__)
387330,0.988,0.000,8.227,0.000,/home/harry/.local/lib/python3.6/site-packages/highway_env/vehicle/objects.py:94(lane_distance_to)
194552,0.576,0.000,6.235,0.000,/home/harry/.local/lib/python3.6/site-packages/highway_env/vehicle/behavior.py:376(steering_control)
3686155,1.670,0.000,6.214,0.000,/home/harry/.local/lib/python3.6/site-packages/numpy/core/_asarray.py:14(asarray)
885716,0.813,0.000,5.792,0.000,<__array_function__ internals>:2(ndim)
3004,0.034,0.000,4.618,0.002,/home/harry/.local/lib/python3.6/site-packages/pandas/core/generic.py:7248(clip)
651,0.008,0.000,4.581,0.007,/home/harry/.local/lib/python3.6/site-packages/rl_agents/agents/deep_q_network/abstract.py:37(record)
3004,0.074,0.000,4.369,0.001,/home/harry/.local/lib/python3.6/site-packages/pandas/core/generic.py:7200(_clip_with_scalar)
25508941,4.225,0.000,4.225,0.000,/home/harry/.local/lib/python3.6/site-packages/numpy/core/multiarray.py:706(dot)
885716,2.048,0.000,4.159,0.000,/home/harry/.local/lib/python3.6/site-packages/numpy/core/fromnumeric.py:3075(ndim)
6008,0.023,0.000,3.882,0.001,/home/harry/.local/lib/python3.6/site-packages/pandas/core/generic.py:8878(where)
6008,0.138,0.000,3.854,0.001,/home/harry/.local/lib/python3.6/site-packages/pandas/core/generic.py:8731(_where)
1502,0.016,0.000,3.589,0.002,/home/harry/.local/lib/python3.6/site-packages/pandas/core/frame.py:1660(from_records)
100,0.001,0.000,3.532,0.035,/home/harry/.local/lib/python3.6/site-packages/rl_agents/trainer/evaluation.py:361(reset)
100,0.001,0.000,3.532,0.035,/home/harry/.local/lib/python3.6/site-packages/gym/wrappers/monitor.py:36(reset)
8261,0.065,0.000,3.531,0.000,/home/harry/.local/lib/python3.6/site-packages/pandas/core/frame.py:2869(__getitem__)
100,0.001,0.000,3.525,0.035,/home/harry/.local/lib/python3.6/site-packages/highway_env/envs/common/abstract.py:175(reset)
207165,0.218,0.000,3.472,0.000,<__array_function__ internals>:2(argmin)
4306,0.034,0.000,3.274,0.001,/home/harry/.local/lib/python3.6/site-packages/highway_env/utils.py:15(lmap)
10416,0.020,0.000,3.267,0.000,/home/harry/.local/lib/python3.6/site-packages/highway_env/vehicle/controller.py:220(act)
12016,0.033,0.000,3.240,0.000,/home/harry/.local/lib/python3.6/site-packages/pandas/core/ops/common.py:50(new_method)
10416,0.067,0.000,3.205,0.000,/home/harry/.local/lib/python3.6/site-packages/highway_env/vehicle/controller.py:75(act)
12016,0.055,0.000,3.147,0.000,/home/harry/.local/lib/python3.6/site-packages/pandas/core/ops/__init__.py:335(wrapper)
2056678,3.046,0.000,3.046,0.000,{built-in method numpy.zeros}
207165,0.233,0.000,3.024,0.000,/home/harry/.local/lib/python3.6/site-packages/numpy/core/fromnumeric.py:1195(argmin)
48064,0.261,0.000,3.015,0.000,/home/harry/.local/lib/python3.6/site-packages/pandas/core/series.py:201(__init__)
204968,0.346,0.000,2.968,0.000,/home/harry/.local/lib/python3.6/site-packages/highway_env/vehicle/controller.py:105(follow_road)
204968,0.431,0.000,2.513,0.000,/home/harry/.local/lib/python3.6/site-packages/highway_env/road/lane.py:92(after_end)
10416,0.219,0.000,2.402,0.000,/home/harry/.local/lib/python3.6/site-packages/highway_env/vehicle/controller.py:113(steering_control)
442758,2.389,0.000,2.389,0.000,/home/harry/.local/lib/python3.6/site-packages/numpy/core/_methods.py:87(_clip_dep_invoke_with_casting)
8341,0.626,0.000,2.354,0.000,/home/harry/.local/lib/python3.6/site-packages/highway_env/utils.py:142(are_polygons_intersecting)
1502,0.008,0.000,2.270,0.002,/home/harry/.local/lib/python3.6/site-packages/pandas/core/internals/construction.py:60(arrays_to_mgr)
620,0.094,0.000,2.243,0.004,/home/harry/.local/lib/python3.6/site-packages/rl_agents/agents/deep_q_network/pytorch.py:40(compute_bellman_residual)
620,0.028,0.000,2.236,0.004,/home/harry/.local/lib/python3.6/site-packages/rl_agents/agents/deep_q_network/pytorch.py:32(step_optimizer)
1424228,2.221,0.000,2.221,0.000,/home/harry/.local/lib/python3.6/site-packages/highway_env/utils.py:39(wrap_to_pi)
3490481/3490465,2.157,0.000,2.183,0.000,{built-in method builtins.getattr}
2111022,2.151,0.000,2.151,0.000,{method 'ravel' of 'numpy.ndarray' objects}
43558,0.236,0.000,2.041,0.000,/home/harry/.local/lib/python3.6/site-packages/pandas/core/internals/blocks.py:2677(get_block_type)
12016,0.059,0.000,1.941,0.000,/home/harry/.local/lib/python3.6/site-packages/pandas/core/series.py:2741(_construct_result)
