ncalls,tottime,percall,cumtime,percall,filename:lineno(function)
1,0.000,0.000,2852.523,2852.523,/home/harry/individual_project/.venv/lib/python3.8/site-packages/rl_agents/trainer/evaluation.py:105(train)
1,0.003,0.003,2852.505,2852.505,/home/harry/individual_project/.venv/lib/python3.8/site-packages/rl_agents/trainer/evaluation.py:129(run_episodes)
733,0.029,0.000,2846.446,3.883,/home/harry/individual_project/.venv/lib/python3.8/site-packages/rl_agents/trainer/evaluation.py:152(step)
733,0.003,0.000,2842.250,3.878,/home/harry/individual_project/.venv/lib/python3.8/site-packages/gym/wrappers/monitor.py:29(step)
733,0.006,0.000,2842.231,3.878,/home/harry/individual_project/.venv/lib/python3.8/site-packages/highway_env/envs/common/abstract.py:197(step)
733,0.039,0.000,2831.562,3.863,/home/harry/individual_project/.venv/lib/python3.8/site-packages/highway_env/envs/common/abstract.py:220(_simulate)
10995,0.533,0.000,2118.010,0.193,/home/harry/individual_project/.venv/lib/python3.8/site-packages/highway_env/road/road.py:288(act)
1099500,1.470,0.000,2115.751,0.002,/home/harry/individual_project/.venv/lib/python3.8/site-packages/highway_env/vehicle/behavior.py:329(act)
2372831,217.780,0.000,1926.937,0.001,/home/harry/individual_project/.venv/lib/python3.8/site-packages/highway_env/road/road.py:307(neighbour_vehicles)
254295696,437.491,0.000,1176.665,0.000,/home/harry/individual_project/.venv/lib/python3.8/site-packages/highway_env/road/lane.py:164(local_coordinates)
1099500,6.233,0.000,1165.449,0.001,/home/harry/individual_project/.venv/lib/python3.8/site-packages/highway_env/vehicle/behavior.py:77(act)
1099500,0.694,0.000,948.832,0.001,/home/harry/individual_project/.venv/lib/python3.8/site-packages/highway_env/vehicle/behavior.py:464(collect_data)
1099500,4.810,0.000,948.138,0.001,/home/harry/individual_project/.venv/lib/python3.8/site-packages/highway_env/vehicle/behavior.py:468(add_features)
633280948/572827219,572.491,0.000,909.553,0.000,{built-in method numpy.core._multiarray_umath.implement_array_function}
569186130,235.407,0.000,837.686,0.000,<__array_function__ internals>:2(dot)
10995,20.741,0.002,713.333,0.065,/home/harry/individual_project/.venv/lib/python3.8/site-packages/highway_env/road/road.py:293(step)
55524750,34.222,0.000,612.582,0.000,/home/harry/individual_project/.venv/lib/python3.8/site-packages/highway_env/vehicle/kinematics.py:163(check_collision)
55524750,105.503,0.000,535.174,0.000,/home/harry/individual_project/.venv/lib/python3.8/site-packages/highway_env/vehicle/kinematics.py:195(_is_colliding)
