ncalls,tottime,percall,cumtime,percall,filename:lineno(function)
1,0.000,0.000,26.725,26.725,/home/harry/individual_project/.venv/lib/python3.8/site-packages/rl_agents/trainer/evaluation.py:105(train)
1,0.000,0.000,26.719,26.719,/home/harry/individual_project/.venv/lib/python3.8/site-packages/rl_agents/trainer/evaluation.py:129(run_episodes)
33,0.000,0.000,26.649,0.808,/home/harry/individual_project/.venv/lib/python3.8/site-packages/rl_agents/trainer/evaluation.py:152(step)
33,0.000,0.000,26.621,0.807,/home/harry/individual_project/.venv/lib/python3.8/site-packages/gym/wrappers/monitor.py:29(step)
33,0.000,0.000,26.620,0.807,/home/harry/individual_project/.venv/lib/python3.8/site-packages/highway_env/envs/common/abstract.py:197(step)
33,0.002,0.000,26.166,0.793,/home/harry/individual_project/.venv/lib/python3.8/site-packages/highway_env/envs/common/abstract.py:220(_simulate)
495,0.013,0.000,17.222,0.035,/home/harry/individual_project/.venv/lib/python3.8/site-packages/highway_env/road/road.py:288(act)
24750,0.140,0.000,17.135,0.001,/home/harry/individual_project/.venv/lib/python3.8/site-packages/highway_env/vehicle/behavior.py:77(act)
29026,1.371,0.000,11.625,0.000,/home/harry/individual_project/.venv/lib/python3.8/site-packages/highway_env/road/road.py:307(neighbour_vehicles)
5211508/4264787,4.356,0.000,10.596,0.000,{built-in method numpy.core._multiarray_umath.implement_array_function}
495,0.244,0.000,8.935,0.018,/home/harry/individual_project/.venv/lib/python3.8/site-packages/highway_env/road/road.py:293(step)
1704755,2.830,0.000,7.694,0.000,/home/harry/individual_project/.venv/lib/python3.8/site-packages/highway_env/road/lane.py:164(local_coordinates)
631125,0.369,0.000,6.949,0.000,/home/harry/individual_project/.venv/lib/python3.8/site-packages/highway_env/vehicle/kinematics.py:163(check_collision)
631125,1.115,0.000,6.122,0.000,/home/harry/individual_project/.venv/lib/python3.8/site-packages/highway_env/vehicle/kinematics.py:195(_is_colliding)
4080136,1.701,0.000,5.933,0.000,<__array_function__ internals>:2(dot)
637534,0.300,0.000,4.261,0.000,<__array_function__ internals>:2(norm)
637534,1.740,0.000,3.585,0.000,/home/harry/individual_project/.venv/lib/python3.8/site-packages/numpy/linalg/linalg.py:2362(norm)
151310,0.084,0.000,3.414,0.000,<__array_function__ internals>:2(clip)
176710,0.131,0.000,3.197,0.000,/home/harry/individual_project/.venv/lib/python3.8/site-packages/numpy/core/fromnumeric.py:52(_wrapfunc)
151310,0.128,0.000,3.182,0.000,/home/harry/individual_project/.venv/lib/python3.8/site-packages/numpy/core/fromnumeric.py:2044(clip)
1451333,2.392,0.000,2.577,0.000,/home/harry/individual_project/.venv/lib/python3.8/site-packages/highway_env/road/lane.py:61(on_lane)
25270,0.252,0.000,2.568,0.000,/home/harry/individual_project/.venv/lib/python3.8/site-packages/highway_env/vehicle/controller.py:113(steering_control)
151170,0.281,0.000,2.500,0.000,/home/harry/individual_project/.venv/lib/python3.8/site-packages/numpy/core/_methods.py:124(_clip)
24742,0.032,0.000,1.920,0.000,/home/harry/individual_project/.venv/lib/python3.8/site-packages/highway_env/vehicle/behavior.py:198(change_lane_policy)
2323,0.010,0.000,1.834,0.001,/home/harry/individual_project/.venv/lib/python3.8/site-packages/highway_env/vehicle/behavior.py:237(mobil)
100581,0.115,0.000,1.781,0.000,{method 'clip' of 'numpy.generic' objects}
25245,0.328,0.000,1.716,0.000,/home/harry/individual_project/.venv/lib/python3.8/site-packages/highway_env/vehicle/kinematics.py:121(step)
24750,0.026,0.000,1.703,0.000,/home/harry/individual_project/.venv/lib/python3.8/site-packages/highway_env/vehicle/behavior.py:112(step)
302340,0.759,0.000,1.632,0.000,/home/harry/individual_project/.venv/lib/python3.8/site-packages/numpy/core/_methods.py:90(_clip_dep_is_scalar_nan)
2612172,0.718,0.000,1.613,0.000,{built-in method builtins.isinstance}
35375,0.288,0.000,1.424,0.000,/home/harry/individual_project/.venv/lib/python3.8/site-packages/highway_env/vehicle/behavior.py:123(acceleration)
25245,0.039,0.000,1.346,0.000,/home/harry/individual_project/.venv/lib/python3.8/site-packages/highway_env/vehicle/kinematics.py:156(on_state_update)
25347,0.121,0.000,1.306,0.000,/home/harry/individual_project/.venv/lib/python3.8/site-packages/highway_env/road/road.py:49(get_closest_lane_index)
75952,0.114,0.000,1.123,0.000,/home/harry/individual_project/.venv/lib/python3.8/site-packages/numpy/core/fromnumeric.py:39(_wrapit)
101388,0.332,0.000,0.974,0.000,/home/harry/individual_project/.venv/lib/python3.8/site-packages/highway_env/road/lane.py:102(distance_with_heading)
2142573,0.433,0.000,0.878,0.000,/usr/lib/python3.8/abc.py:96(__instancecheck__)
302344,0.138,0.000,0.873,0.000,<__array_function__ internals>:2(ndim)
50589,0.032,0.000,0.865,0.000,{method 'clip' of 'numpy.ndarray' objects}
33092,0.152,0.000,0.746,0.000,/home/harry/individual_project/.venv/lib/python3.8/site-packages/highway_env/vehicle/behavior.py:153(desired_gap)
1020633,0.264,0.000,0.740,0.000,/home/harry/individual_project/.venv/lib/python3.8/site-packages/numpy/core/_asarray.py:23(asarray)
1173871,0.623,0.000,0.623,0.000,{built-in method numpy.array}
302344,0.275,0.000,0.597,0.000,/home/harry/individual_project/.venv/lib/python3.8/site-packages/numpy/core/fromnumeric.py:3106(ndim)
35,0.001,0.000,0.479,0.014,/home/harry/individual_project/.venv/lib/python3.8/site-packages/highway_env/envs/common/observation.py:187(observe)
103578,0.353,0.000,0.451,0.000,/home/harry/individual_project/.venv/lib/python3.8/site-packages/highway_env/vehicle/objects.py:71(direction)
151170,0.451,0.000,0.451,0.000,/home/harry/individual_project/.venv/lib/python3.8/site-packages/numpy/core/_methods.py:105(_clip_dep_invoke_with_casting)
2142573,0.445,0.000,0.445,0.000,{built-in method _abc._abc_instancecheck}
630271,0.443,0.000,0.443,0.000,{built-in method numpy.zeros}
69856,0.112,0.000,0.434,0.000,/home/harry/individual_project/.venv/lib/python3.8/site-packages/highway_env/vehicle/kinematics.py:202(velocity)
4080136,0.427,0.000,0.427,0.000,/home/harry/individual_project/.venv/lib/python3.8/site-packages/numpy/core/multiarray.py:716(dot)
33790,0.037,0.000,0.340,0.000,/home/harry/individual_project/.venv/lib/python3.8/site-packages/highway_env/vehicle/objects.py:94(lane_distance_to)
35,0.001,0.000,0.264,0.008,/home/harry/individual_project/.venv/lib/python3.8/site-packages/highway_env/envs/common/observation.py:165(normalize_obs)
638236,0.263,0.000,0.263,0.000,{method 'ravel' of 'numpy.ndarray' objects}
1521,0.049,0.000,0.208,0.000,/home/harry/individual_project/.venv/lib/python3.8/site-packages/highway_env/utils.py:142(are_polygons_intersecting)
25270,0.027,0.000,0.202,0.000,/home/harry/individual_project/.venv/lib/python3.8/site-packages/highway_env/vehicle/controller.py:105(follow_road)
637534,0.133,0.000,0.192,0.000,/home/harry/individual_project/.venv/lib/python3.8/site-packages/numpy/linalg/linalg.py:112(isComplexType)
25347,0.015,0.000,0.192,0.000,<__array_function__ internals>:2(argmin)
