ncalls,tottime,percall,cumtime,percall,filename:lineno(function)
1,0.000,0.000,10.026,10.026,/home/harry/individual_project/.venv/lib/python3.8/site-packages/rl_agents/trainer/evaluation.py:105(train)
1,0.000,0.000,10.024,10.024,/home/harry/individual_project/.venv/lib/python3.8/site-packages/rl_agents/trainer/evaluation.py:129(run_episodes)
12,0.000,0.000,9.961,0.830,/home/harry/individual_project/.venv/lib/python3.8/site-packages/rl_agents/trainer/evaluation.py:152(step)
12,0.000,0.000,9.960,0.830,/home/harry/individual_project/.venv/lib/python3.8/site-packages/gym/wrappers/monitor.py:29(step)
12,0.000,0.000,9.960,0.830,/home/harry/individual_project/.venv/lib/python3.8/site-packages/highway_env/envs/common/abstract.py:197(step)
12,0.001,0.000,9.791,0.816,/home/harry/individual_project/.venv/lib/python3.8/site-packages/highway_env/envs/common/abstract.py:220(_simulate)
180,0.005,0.000,6.572,0.037,/home/harry/individual_project/.venv/lib/python3.8/site-packages/highway_env/road/road.py:288(act)
9000,0.052,0.000,6.540,0.001,/home/harry/individual_project/.venv/lib/python3.8/site-packages/highway_env/vehicle/behavior.py:77(act)
10935,0.531,0.000,4.448,0.000,/home/harry/individual_project/.venv/lib/python3.8/site-packages/highway_env/road/road.py:307(neighbour_vehicles)
1939245/1597503,1.578,0.000,3.885,0.000,{built-in method numpy.core._multiarray_umath.implement_array_function}
180,0.093,0.001,3.216,0.018,/home/harry/individual_project/.venv/lib/python3.8/site-packages/highway_env/road/road.py:293(step)
643641,1.105,0.000,2.922,0.000,/home/harry/individual_project/.venv/lib/python3.8/site-packages/highway_env/road/lane.py:164(local_coordinates)
229500,0.137,0.000,2.484,0.000,/home/harry/individual_project/.venv/lib/python3.8/site-packages/highway_env/vehicle/kinematics.py:163(check_collision)
1531435,0.656,0.000,2.198,0.000,<__array_function__ internals>:2(dot)
229500,0.411,0.000,2.179,0.000,/home/harry/individual_project/.venv/lib/python3.8/site-packages/highway_env/vehicle/kinematics.py:195(_is_colliding)
230861,0.113,0.000,1.566,0.000,<__array_function__ internals>:2(norm)
230861,0.645,0.000,1.314,0.000,/home/harry/individual_project/.venv/lib/python3.8/site-packages/numpy/linalg/linalg.py:2362(norm)
54941,0.031,0.000,1.268,0.000,<__array_function__ internals>:2(clip)
64232,0.047,0.000,1.189,0.000,/home/harry/individual_project/.venv/lib/python3.8/site-packages/numpy/core/fromnumeric.py:52(_wrapfunc)
54941,0.047,0.000,1.183,0.000,/home/harry/individual_project/.venv/lib/python3.8/site-packages/numpy/core/fromnumeric.py:2044(clip)
546762,0.923,0.000,0.993,0.000,/home/harry/individual_project/.venv/lib/python3.8/site-packages/highway_env/road/lane.py:61(on_lane)
9175,0.094,0.000,0.949,0.000,/home/harry/individual_project/.venv/lib/python3.8/site-packages/highway_env/vehicle/controller.py:113(steering_control)
54885,0.108,0.000,0.928,0.000,/home/harry/individual_project/.venv/lib/python3.8/site-packages/numpy/core/_methods.py:124(_clip)
8983,0.017,0.000,0.763,0.000,/home/harry/individual_project/.venv/lib/python3.8/site-packages/highway_env/vehicle/behavior.py:198(change_lane_policy)
831,0.004,0.000,0.695,0.001,/home/harry/individual_project/.venv/lib/python3.8/site-packages/highway_env/vehicle/behavior.py:237(mobil)
36518,0.043,0.000,0.661,0.000,{method 'clip' of 'numpy.generic' objects}
9180,0.121,0.000,0.630,0.000,/home/harry/individual_project/.venv/lib/python3.8/site-packages/highway_env/vehicle/kinematics.py:121(step)
983346,0.281,0.000,0.629,0.000,{built-in method builtins.isinstance}
9000,0.009,0.000,0.625,0.000,/home/harry/individual_project/.venv/lib/python3.8/site-packages/highway_env/vehicle/behavior.py:112(step)
109770,0.279,0.000,0.603,0.000,/home/harry/individual_project/.venv/lib/python3.8/site-packages/numpy/core/_methods.py:90(_clip_dep_is_scalar_nan)
13353,0.110,0.000,0.543,0.000,/home/harry/individual_project/.venv/lib/python3.8/site-packages/highway_env/vehicle/behavior.py:123(acceleration)
9180,0.014,0.000,0.493,0.000,/home/harry/individual_project/.venv/lib/python3.8/site-packages/highway_env/vehicle/kinematics.py:156(on_state_update)
9282,0.045,0.000,0.482,0.000,/home/harry/individual_project/.venv/lib/python3.8/site-packages/highway_env/road/road.py:49(get_closest_lane_index)
27654,0.041,0.000,0.416,0.000,/home/harry/individual_project/.venv/lib/python3.8/site-packages/numpy/core/fromnumeric.py:39(_wrapit)
37128,0.124,0.000,0.360,0.000,/home/harry/individual_project/.venv/lib/python3.8/site-packages/highway_env/road/lane.py:102(distance_with_heading)
811088,0.168,0.000,0.341,0.000,/usr/lib/python3.8/abc.py:96(__instancecheck__)
109774,0.051,0.000,0.324,0.000,<__array_function__ internals>:2(ndim)
18367,0.011,0.000,0.321,0.000,{method 'clip' of 'numpy.ndarray' objects}
13292,0.062,0.000,0.301,0.000,/home/harry/individual_project/.venv/lib/python3.8/site-packages/highway_env/vehicle/behavior.py:153(desired_gap)
370217,0.099,0.000,0.276,0.000,/home/harry/individual_project/.venv/lib/python3.8/site-packages/numpy/core/_asarray.py:23(asarray)
423926,0.228,0.000,0.228,0.000,{built-in method numpy.array}
109774,0.102,0.000,0.221,0.000,/home/harry/individual_project/.venv/lib/python3.8/site-packages/numpy/core/fromnumeric.py:3106(ndim)
