ncalls,tottime,percall,cumtime,percall,filename:lineno(function)
1,0.000,0.000,10.633,10.633,/home/harry/.local/lib/python3.6/site-packages/rl_agents/trainer/evaluation.py:105(train)
1,0.000,0.000,10.622,10.622,/home/harry/.local/lib/python3.6/site-packages/rl_agents/trainer/evaluation.py:129(run_episodes)
6,0.000,0.000,10.507,1.751,/home/harry/.local/lib/python3.6/site-packages/rl_agents/trainer/evaluation.py:152(step)
6,0.000,0.000,10.502,1.750,/home/harry/.local/lib/python3.6/site-packages/gym/wrappers/monitor.py:29(step)
6,0.000,0.000,10.501,1.750,/home/harry/.local/lib/python3.6/site-packages/highway_env/envs/common/abstract.py:197(step)
6,0.001,0.000,10.365,1.727,/home/harry/.local/lib/python3.6/site-packages/highway_env/envs/common/abstract.py:220(_simulate)
90,0.003,0.000,7.150,0.079,/home/harry/.local/lib/python3.6/site-packages/highway_env/road/road.py:288(act)
4500,0.041,0.000,7.120,0.002,/home/harry/.local/lib/python3.6/site-packages/highway_env/vehicle/behavior.py:77(act)
5532,0.632,0.000,5.055,0.001,/home/harry/.local/lib/python3.6/site-packages/highway_env/road/road.py:307(neighbour_vehicles)
978829/808334,1.509,0.000,3.770,0.000,{built-in method numpy.core._multiarray_umath.implement_array_function}
90,0.103,0.001,3.211,0.036,/home/harry/.local/lib/python3.6/site-packages/highway_env/road/road.py:293(step)
326731,1.200,0.000,2.923,0.000,/home/harry/.local/lib/python3.6/site-packages/highway_env/road/lane.py:164(local_coordinates)
114750,0.136,0.000,2.474,0.000,/home/harry/.local/lib/python3.6/site-packages/highway_env/vehicle/kinematics.py:163(check_collision)
114750,0.431,0.000,2.095,0.000,/home/harry/.local/lib/python3.6/site-packages/highway_env/vehicle/kinematics.py:195(_is_colliding)
775502,0.633,0.000,2.057,0.000,<__array_function__ internals>:2(dot)
115332,0.104,0.000,1.499,0.000,<__array_function__ internals>:2(norm)
115332,0.664,0.000,1.259,0.000,/home/harry/.local/lib/python3.6/site-packages/numpy/linalg/linalg.py:2363(norm)
27442,0.030,0.000,1.252,0.000,<__array_function__ internals>:2(clip)
509989/509773,0.392,0.000,1.233,0.000,{built-in method builtins.isinstance}
32147,0.038,0.000,1.192,0.000,/home/harry/.local/lib/python3.6/site-packages/numpy/core/fromnumeric.py:52(_wrapfunc)
27442,0.036,0.000,1.172,0.000,/home/harry/.local/lib/python3.6/site-packages/numpy/core/fromnumeric.py:2033(clip)
276606,0.945,0.000,1.003,0.000,/home/harry/.local/lib/python3.6/site-packages/highway_env/road/lane.py:61(on_lane)
27410,0.092,0.000,0.951,0.000,/home/harry/.local/lib/python3.6/site-packages/numpy/core/_methods.py:106(_clip)
4582,0.085,0.000,0.943,0.000,/home/harry/.local/lib/python3.6/site-packages/highway_env/vehicle/controller.py:113(steering_control)
4486,0.017,0.000,0.836,0.000,/home/harry/.local/lib/python3.6/site-packages/highway_env/vehicle/behavior.py:198(change_lane_policy)
411587,0.522,0.000,0.828,0.000,/usr/lib/python3.6/abc.py:180(__instancecheck__)
415,0.003,0.000,0.757,0.002,/home/harry/.local/lib/python3.6/site-packages/highway_env/vehicle/behavior.py:237(mobil)
54820,0.251,0.000,0.676,0.000,/home/harry/.local/lib/python3.6/site-packages/numpy/core/_methods.py:72(_clip_dep_is_scalar_nan)
18237,0.037,0.000,0.670,0.000,{method 'clip' of 'numpy.generic' objects}
4590,0.117,0.000,0.626,0.000,/home/harry/.local/lib/python3.6/site-packages/highway_env/vehicle/kinematics.py:121(step)
4500,0.008,0.000,0.621,0.000,/home/harry/.local/lib/python3.6/site-packages/highway_env/vehicle/behavior.py:112(step)
6700,0.097,0.000,0.550,0.000,/home/harry/.local/lib/python3.6/site-packages/highway_env/vehicle/behavior.py:123(acceleration)
4590,0.013,0.000,0.488,0.000,/home/harry/.local/lib/python3.6/site-packages/highway_env/vehicle/kinematics.py:156(on_state_update)
4692,0.044,0.000,0.486,0.000,/home/harry/.local/lib/python3.6/site-packages/highway_env/road/road.py:49(get_closest_lane_index)
13868,0.037,0.000,0.419,0.000,/home/harry/.local/lib/python3.6/site-packages/numpy/core/fromnumeric.py:39(_wrapit)
18768,0.133,0.000,0.366,0.000,/home/harry/.local/lib/python3.6/site-packages/highway_env/road/lane.py:102(distance_with_heading)
54824,0.048,0.000,0.333,0.000,<__array_function__ internals>:2(ndim)
9173,0.009,0.000,0.327,0.000,{method 'clip' of 'numpy.ndarray' objects}
6708,0.059,0.000,0.318,0.000,/home/harry/.local/lib/python3.6/site-packages/highway_env/vehicle/behavior.py:153(desired_gap)
688497,0.304,0.000,0.304,0.000,/usr/lib/python3.6/_weakrefset.py:70(__contains__)
184944,0.071,0.000,0.253,0.000,/home/harry/.local/lib/python3.6/site-packages/numpy/core/_asarray.py:14(asarray)
211343,0.253,0.000,0.253,0.000,{built-in method numpy.array}
54824,0.117,0.000,0.238,0.000,/home/harry/.local/lib/python3.6/site-packages/numpy/core/fromnumeric.py:3075(ndim)
1,0.000,0.000,0.210,0.210,/home/harry/.local/lib/python3.6/site-packages/rl_agents/trainer/evaluation.py:33(__init__)
20492,0.148,0.000,0.203,0.000,/home/harry/.local/lib/python3.6/site-packages/highway_env/vehicle/objects.py:71(direction)
1,0.000,0.000,0.199,0.199,/home/harry/.local/lib/python3.6/site-packages/rl_agents/agents/deep_q_network/pytorch.py:98(set_writer)
1,0.000,0.000,0.199,0.199,/home/harry/.local/lib/python3.6/site-packages/tensorboardX/writer.py:886(add_graph)
8,0.001,0.000,0.183,0.023,/home/harry/.local/lib/python3.6/site-packages/highway_env/envs/common/observation.py:187(observe)
13640,0.041,0.000,0.180,0.000,/home/harry/.local/lib/python3.6/site-packages/highway_env/vehicle/kinematics.py:202(velocity)
114864,0.154,0.000,0.154,0.000,{built-in method numpy.zeros}
56878/56390,0.029,0.000,0.153,0.000,<frozen importlib._bootstrap>:997(_handle_fromlist)
6846,0.017,0.000,0.142,0.000,/home/harry/.local/lib/python3.6/site-packages/highway_env/vehicle/objects.py:94(lane_distance_to)
27410,0.138,0.000,0.138,0.000,/home/harry/.local/lib/python3.6/site-packages/numpy/core/_methods.py:87(_clip_dep_invoke_with_casting)
1,0.000,0.000,0.134,0.134,/home/harry/.local/lib/python3.6/site-packages/torch/utils/tensorboard/_pytorch_graph.py:273(graph)
1,0.000,0.000,0.127,0.127,/home/harry/.local/lib/python3.6/site-packages/torch/jit/_trace.py:570(trace)
2/1,0.002,0.001,0.127,0.127,/home/harry/.local/lib/python3.6/site-packages/torch/jit/_trace.py:813(trace_module)
775502,0.119,0.000,0.119,0.000,/home/harry/.local/lib/python3.6/site-packages/numpy/core/multiarray.py:706(dot)
115494,0.108,0.000,0.108,0.000,{method 'ravel' of 'numpy.ndarray' objects}
2,0.000,0.000,0.107,0.053,/home/harry/.local/lib/python3.6/site-packages/rl_agents/trainer/evaluation.py:361(reset)
2,0.000,0.000,0.107,0.053,/home/harry/.local/lib/python3.6/site-packages/gym/wrappers/monitor.py:36(reset)
2,0.000,0.000,0.107,0.053,/home/harry/.local/lib/python3.6/site-packages/highway_env/envs/common/abstract.py:175(reset)
1,0.000,0.000,0.103,0.103,/home/harry/.local/lib/python3.6/site-packages/torch/autograd/grad_mode.py:24(decorate_context)
1,0.000,0.000,0.103,0.103,/home/harry/.local/lib/python3.6/site-packages/torch/jit/_trace.py:307(_check_trace)
8,0.000,0.000,0.091,0.011,/home/harry/.local/lib/python3.6/site-packages/highway_env/envs/common/observation.py:165(normalize_obs)
3,0.085,0.028,0.086,0.029,/home/harry/.local/lib/python3.6/site-packages/torch/jit/_trace.py:439(run_mod_and_filter_tensor_outputs)
4692,0.004,0.000,0.071,0.000,<__array_function__ internals>:2(argmin)
64792,0.070,0.000,0.071,0.000,{built-in method builtins.hasattr}
131/7,0.001,0.000,0.068,0.010,<frozen importlib._bootstrap>:966(_find_and_load)
129/5,0.001,0.000,0.067,0.013,<frozen importlib._bootstrap>:936(_find_and_load_unlocked)
125/5,0.001,0.000,0.067,0.013,<frozen importlib._bootstrap>:651(_load_unlocked)
125/5,0.000,0.000,0.067,0.013,<frozen importlib._bootstrap_external>:672(exec_module)
4582,0.007,0.000,0.066,0.000,/home/harry/.local/lib/python3.6/site-packages/highway_env/vehicle/controller.py:105(follow_road)
216/5,0.000,0.000,0.065,0.013,<frozen importlib._bootstrap>:211(_call_with_frames_removed)
94/5,0.000,0.000,0.065,0.013,{built-in method builtins.__import__}
127/5,0.001,0.000,0.064,0.013,{built-in method builtins.exec}
115332,0.042,0.000,0.064,0.000,/home/harry/.local/lib/python3.6/site-packages/numpy/linalg/linalg.py:112(isComplexType)
1,0.000,0.000,0.063,0.063,/home/harry/.local/lib/python3.6/site-packages/torch/utils/tensorboard/__init__.py:1(<module>)
4692,0.005,0.000,0.062,0.000,/home/harry/.local/lib/python3.6/site-packages/numpy/core/fromnumeric.py:1195(argmin)
1,0.000,0.000,0.061,0.061,/home/harry/.local/lib/python3.6/site-packages/torch/utils/tensorboard/writer.py:2(<module>)
2,0.000,0.000,0.059,0.029,/home/harry/.local/lib/python3.6/site-packages/highway_env/envs/highway_env.py:53(_reset)
277025,0.058,0.000,0.058,0.000,/home/harry/.local/lib/python3.6/site-packages/highway_env/road/lane.py:161(width_at)
2,0.000,0.000,0.057,0.028,/home/harry/.local/lib/python3.6/site-packages/highway_env/envs/highway_env.py:62(_create_vehicles)
4582,0.010,0.000,0.056,0.000,/home/harry/.local/lib/python3.6/site-packages/highway_env/road/lane.py:92(after_end)
102,0.002,0.000,0.056,0.001,/home/harry/.local/lib/python3.6/site-packages/highway_env/vehicle/kinematics.py:60(create_random)
239912/239579,0.046,0.000,0.048,0.000,{built-in method builtins.issubclass}
32,0.000,0.000,0.046,0.001,/home/harry/.local/lib/python3.6/site-packages/pandas/core/generic.py:7248(clip)
54820,0.033,0.000,0.045,0.000,/home/harry/.local/lib/python3.6/site-packages/numpy/core/_methods.py:82(_clip_dep_is_byte_swapped)
