ncalls,tottime,percall,cumtime,percall,filename:lineno(function)
1,0.000,0.000,67.880,67.880,/home/harry/.local/lib/python3.6/site-packages/rl_agents/trainer/evaluation.py:105(train)
1,0.000,0.000,67.862,67.862,/home/harry/.local/lib/python3.6/site-packages/rl_agents/trainer/evaluation.py:129(run_episodes)
38,0.001,0.000,67.539,1.777,/home/harry/.local/lib/python3.6/site-packages/rl_agents/trainer/evaluation.py:152(step)
38,0.000,0.000,67.426,1.774,/home/harry/.local/lib/python3.6/site-packages/gym/wrappers/monitor.py:29(step)
38,0.001,0.000,67.425,1.774,/home/harry/.local/lib/python3.6/site-packages/highway_env/envs/common/abstract.py:197(step)
38,0.003,0.000,66.525,1.751,/home/harry/.local/lib/python3.6/site-packages/highway_env/envs/common/abstract.py:220(_simulate)
570,0.022,0.000,45.082,0.079,/home/harry/.local/lib/python3.6/site-packages/highway_env/road/road.py:288(act)
28500,0.266,0.000,44.887,0.002,/home/harry/.local/lib/python3.6/site-packages/highway_env/vehicle/behavior.py:77(act)
33870,3.984,0.000,31.675,0.001,/home/harry/.local/lib/python3.6/site-packages/highway_env/road/road.py:307(neighbour_vehicles)
6051081/4966125,9.605,0.000,24.355,0.000,{built-in method numpy.core._multiarray_umath.implement_array_function}
570,0.677,0.001,21.424,0.038,/home/harry/.local/lib/python3.6/site-packages/highway_env/road/road.py:293(step)
1992439,7.618,0.000,18.354,0.000,/home/harry/.local/lib/python3.6/site-packages/highway_env/road/lane.py:164(local_coordinates)
726750,0.892,0.000,16.505,0.000,/home/harry/.local/lib/python3.6/site-packages/highway_env/vehicle/kinematics.py:163(check_collision)
726750,2.867,0.000,14.026,0.000,/home/harry/.local/lib/python3.6/site-packages/highway_env/vehicle/kinematics.py:195(_is_colliding)
4756446,3.922,0.000,12.940,0.000,<__array_function__ internals>:2(dot)
732094,0.647,0.000,9.777,0.000,<__array_function__ internals>:2(norm)
732094,4.318,0.000,8.256,0.000,/home/harry/.local/lib/python3.6/site-packages/numpy/linalg/linalg.py:2363(norm)
174152,0.191,0.000,8.156,0.000,<__array_function__ internals>:2(clip)
203538,0.256,0.000,7.766,0.000,/home/harry/.local/lib/python3.6/site-packages/numpy/core/fromnumeric.py:52(_wrapfunc)
3064984,2.426,0.000,7.629,0.000,{built-in method builtins.isinstance}
174152,0.237,0.000,7.628,0.000,/home/harry/.local/lib/python3.6/site-packages/numpy/core/fromnumeric.py:2033(clip)
173980,0.601,0.000,6.237,0.000,/home/harry/.local/lib/python3.6/site-packages/numpy/core/_methods.py:106(_clip)
1693538,5.872,0.000,6.226,0.000,/home/harry/.local/lib/python3.6/site-packages/highway_env/road/lane.py:61(on_lane)
29085,0.559,0.000,6.184,0.000,/home/harry/.local/lib/python3.6/site-packages/highway_env/vehicle/controller.py:113(steering_control)
28477,0.073,0.000,5.153,0.000,/home/harry/.local/lib/python3.6/site-packages/highway_env/vehicle/behavior.py:198(change_lane_policy)
2505128,3.160,0.000,5.129,0.000,/usr/lib/python3.6/abc.py:180(__instancecheck__)
2649,0.019,0.000,4.866,0.002,/home/harry/.local/lib/python3.6/site-packages/highway_env/vehicle/behavior.py:237(mobil)
115759,0.242,0.000,4.399,0.000,{method 'clip' of 'numpy.generic' objects}
347960,1.632,0.000,4.388,0.000,/home/harry/.local/lib/python3.6/site-packages/numpy/core/_methods.py:72(_clip_dep_is_scalar_nan)
29070,0.805,0.000,4.185,0.000,/home/harry/.local/lib/python3.6/site-packages/highway_env/vehicle/kinematics.py:121(step)
28500,0.056,0.000,4.150,0.000,/home/harry/.local/lib/python3.6/site-packages/highway_env/vehicle/behavior.py:112(step)
41247,0.625,0.000,3.518,0.000,/home/harry/.local/lib/python3.6/site-packages/highway_env/vehicle/behavior.py:123(acceleration)
29070,0.088,0.000,3.234,0.000,/home/harry/.local/lib/python3.6/site-packages/highway_env/vehicle/kinematics.py:156(on_state_update)
29325,0.283,0.000,3.176,0.000,/home/harry/.local/lib/python3.6/site-packages/highway_env/road/road.py:49(get_closest_lane_index)
87559,0.235,0.000,2.739,0.000,/home/harry/.local/lib/python3.6/site-packages/numpy/core/fromnumeric.py:39(_wrapit)
117300,0.870,0.000,2.391,0.000,/home/harry/.local/lib/python3.6/site-packages/highway_env/road/lane.py:102(distance_with_heading)
347970,0.322,0.000,2.156,0.000,<__array_function__ internals>:2(ndim)
58221,0.058,0.000,2.137,0.000,{method 'clip' of 'numpy.ndarray' objects}
4199425,1.969,0.000,1.969,0.000,/usr/lib/python3.6/_weakrefset.py:70(__contains__)
39474,0.365,0.000,1.965,0.000,/home/harry/.local/lib/python3.6/site-packages/highway_env/vehicle/behavior.py:153(desired_gap)
1172545,0.488,0.000,1.685,0.000,/home/harry/.local/lib/python3.6/site-packages/numpy/core/_asarray.py:14(asarray)
1341574,1.675,0.000,1.675,0.000,{built-in method numpy.array}
347970,0.739,0.000,1.533,0.000,/home/harry/.local/lib/python3.6/site-packages/numpy/core/fromnumeric.py:3075(ndim)
121948,0.929,0.000,1.277,0.000,/home/harry/.local/lib/python3.6/site-packages/highway_env/vehicle/objects.py:71(direction)
81700,0.251,0.000,1.132,0.000,/home/harry/.local/lib/python3.6/site-packages/highway_env/vehicle/kinematics.py:202(velocity)
726583,1.035,0.000,1.035,0.000,{built-in method numpy.zeros}
43,0.003,0.000,1.016,0.024,/home/harry/.local/lib/python3.6/site-packages/highway_env/envs/common/observation.py:187(observe)
173980,0.920,0.000,0.920,0.000,/home/harry/.local/lib/python3.6/site-packages/numpy/core/_methods.py:87(_clip_dep_invoke_with_casting)
40259,0.106,0.000,0.854,0.000,/home/harry/.local/lib/python3.6/site-packages/highway_env/vehicle/objects.py:94(lane_distance_to)
4756446,0.753,0.000,0.753,0.000,/home/harry/.local/lib/python3.6/site-packages/numpy/core/multiarray.py:706(dot)
732959,0.706,0.000,0.706,0.000,{method 'ravel' of 'numpy.ndarray' objects}
355836,0.178,0.000,0.616,0.000,<frozen importlib._bootstrap>:997(_handle_fromlist)
43,0.002,0.000,0.506,0.012,/home/harry/.local/lib/python3.6/site-packages/highway_env/envs/common/observation.py:165(normalize_obs)
29325,0.028,0.000,0.465,0.000,<__array_function__ internals>:2(argmin)
382036,0.445,0.000,0.446,0.000,{built-in method builtins.hasattr}
29085,0.049,0.000,0.433,0.000,/home/harry/.local/lib/python3.6/site-packages/highway_env/vehicle/controller.py:105(follow_road)
29325,0.033,0.000,0.407,0.000,/home/harry/.local/lib/python3.6/site-packages/numpy/core/fromnumeric.py:1195(argmin)
732094,0.261,0.000,0.401,0.000,/home/harry/.local/lib/python3.6/site-packages/numpy/linalg/linalg.py:112(isComplexType)
29085,0.064,0.000,0.367,0.000,/home/harry/.local/lib/python3.6/site-packages/highway_env/road/lane.py:92(after_end)
1696206,0.355,0.000,0.355,0.000,/home/harry/.local/lib/python3.6/site-packages/highway_env/road/lane.py:161(width_at)
347960,0.248,0.000,0.327,0.000,/home/harry/.local/lib/python3.6/site-packages/numpy/core/_methods.py:82(_clip_dep_is_byte_swapped)
5,0.000,0.000,0.300,0.060,/home/harry/.local/lib/python3.6/site-packages/rl_agents/trainer/evaluation.py:361(reset)
5,0.000,0.000,0.300,0.060,/home/harry/.local/lib/python3.6/site-packages/gym/wrappers/monitor.py:36(reset)
5,0.000,0.000,0.299,0.060,/home/harry/.local/lib/python3.6/site-packages/highway_env/envs/common/abstract.py:175(reset)
1514455,0.298,0.000,0.298,0.000,{built-in method builtins.issubclass}
172,0.002,0.000,0.254,0.001,/home/harry/.local/lib/python3.6/site-packages/pandas/core/generic.py:7248(clip)
989,0.064,0.000,0.248,0.000,/home/harry/.local/lib/python3.6/site-packages/highway_env/utils.py:142(are_polygons_intersecting)
172,0.004,0.000,0.240,0.001,/home/harry/.local/lib/python3.6/site-packages/pandas/core/generic.py:7200(_clip_with_scalar)
479822/479806,0.238,0.000,0.240,0.000,{built-in method builtins.getattr}
146385,0.218,0.000,0.218,0.000,/home/harry/.local/lib/python3.6/site-packages/highway_env/utils.py:39(wrap_to_pi)
344,0.001,0.000,0.213,0.001,/home/harry/.local/lib/python3.6/site-packages/pandas/core/generic.py:8878(where)
344,0.007,0.000,0.212,0.001,/home/harry/.local/lib/python3.6/site-packages/pandas/core/generic.py:8731(_where)
276087,0.203,0.000,0.203,0.000,{built-in method builtins.max}
86,0.001,0.000,0.194,0.002,/home/harry/.local/lib/python3.6/site-packages/pandas/core/frame.py:1660(from_records)
473,0.004,0.000,0.190,0.000,/home/harry/.local/lib/python3.6/site-packages/pandas/core/frame.py:2869(__getitem__)
608,0.001,0.000,0.187,0.000,/home/harry/.local/lib/python3.6/site-packages/highway_env/vehicle/controller.py:220(act)
608,0.004,0.000,0.185,0.000,/home/harry/.local/lib/python3.6/site-packages/highway_env/vehicle/controller.py:75(act)
248,0.002,0.000,0.180,0.001,/home/harry/.local/lib/python3.6/site-packages/highway_env/utils.py:15(lmap)
