ncalls,tottime,percall,cumtime,percall,filename:lineno(function)
1,0.000,0.000,117.266,117.266,/home/harry/.local/lib/python3.6/site-packages/rl_agents/trainer/evaluation.py:105(train)
1,0.000,0.000,117.258,117.258,/home/harry/.local/lib/python3.6/site-packages/rl_agents/trainer/evaluation.py:129(run_episodes)
59,0.001,0.000,116.930,1.982,/home/harry/.local/lib/python3.6/site-packages/rl_agents/trainer/evaluation.py:152(step)
59,0.000,0.000,116.793,1.980,/home/harry/.local/lib/python3.6/site-packages/gym/wrappers/monitor.py:29(step)
59,0.001,0.000,116.791,1.980,/home/harry/.local/lib/python3.6/site-packages/highway_env/envs/common/abstract.py:197(step)
59,0.005,0.000,115.053,1.950,/home/harry/.local/lib/python3.6/site-packages/highway_env/envs/common/abstract.py:220(_simulate)
885,0.037,0.000,77.152,0.087,/home/harry/.local/lib/python3.6/site-packages/highway_env/road/road.py:288(act)
44250,0.450,0.000,76.804,0.002,/home/harry/.local/lib/python3.6/site-packages/highway_env/vehicle/behavior.py:77(act)
52193,6.781,0.000,54.212,0.001,/home/harry/.local/lib/python3.6/site-packages/highway_env/road/road.py:307(neighbour_vehicles)
9352348/7661147,16.408,0.000,42.095,0.000,{built-in method numpy.core._multiarray_umath.implement_array_function}
885,1.150,0.001,37.870,0.043,/home/harry/.local/lib/python3.6/site-packages/highway_env/road/road.py:293(step)
3066412,12.777,0.000,31.104,0.000,/home/harry/.local/lib/python3.6/site-packages/highway_env/road/lane.py:164(local_coordinates)
1128375,1.510,0.000,29.241,0.000,/home/harry/.local/lib/python3.6/site-packages/highway_env/vehicle/kinematics.py:163(check_collision)
1128375,5.073,0.000,24.905,0.000,/home/harry/.local/lib/python3.6/site-packages/highway_env/vehicle/kinematics.py:195(_is_colliding)
7331940,6.675,0.000,22.031,0.000,<__array_function__ internals>:2(dot)
1139326,1.149,0.000,17.066,0.000,<__array_function__ internals>:2(norm)
1139326,7.665,0.000,14.390,0.000,/home/harry/.local/lib/python3.6/site-packages/numpy/linalg/linalg.py:2363(norm)
270440,0.337,0.000,14.077,0.000,<__array_function__ internals>:2(clip)
315992,0.432,0.000,13.408,0.000,/home/harry/.local/lib/python3.6/site-packages/numpy/core/fromnumeric.py:52(_wrapfunc)
4745577,4.271,0.000,13.228,0.000,{built-in method builtins.isinstance}
270440,0.409,0.000,13.159,0.000,/home/harry/.local/lib/python3.6/site-packages/numpy/core/fromnumeric.py:2033(clip)
2609709,10.257,0.000,10.866,0.000,/home/harry/.local/lib/python3.6/site-packages/highway_env/road/lane.py:61(on_lane)
270184,1.057,0.000,10.778,0.000,/home/harry/.local/lib/python3.6/site-packages/numpy/core/_methods.py:106(_clip)
45166,0.977,0.000,10.698,0.000,/home/harry/.local/lib/python3.6/site-packages/highway_env/vehicle/controller.py:113(steering_control)
3856952,5.371,0.000,8.819,0.000,/usr/lib/python3.6/abc.py:180(__instancecheck__)
44222,0.112,0.000,8.673,0.000,/home/harry/.local/lib/python3.6/site-packages/highway_env/vehicle/behavior.py:198(change_lane_policy)
4075,0.031,0.000,8.296,0.002,/home/harry/.local/lib/python3.6/site-packages/highway_env/vehicle/behavior.py:237(mobil)
540368,2.796,0.000,7.649,0.000,/home/harry/.local/lib/python3.6/site-packages/numpy/core/_methods.py:72(_clip_dep_is_scalar_nan)
179764,0.410,0.000,7.601,0.000,{method 'clip' of 'numpy.generic' objects}
45135,1.415,0.000,7.386,0.000,/home/harry/.local/lib/python3.6/site-packages/highway_env/vehicle/kinematics.py:121(step)
44250,0.093,0.000,7.327,0.000,/home/harry/.local/lib/python3.6/site-packages/highway_env/vehicle/behavior.py:112(step)
63621,1.043,0.000,5.981,0.000,/home/harry/.local/lib/python3.6/site-packages/highway_env/vehicle/behavior.py:123(acceleration)
45135,0.153,0.000,5.725,0.000,/home/harry/.local/lib/python3.6/site-packages/highway_env/vehicle/kinematics.py:156(on_state_update)
45390,0.502,0.000,5.585,0.000,/home/harry/.local/lib/python3.6/site-packages/highway_env/road/road.py:49(get_closest_lane_index)
135839,0.422,0.000,4.748,0.000,/home/harry/.local/lib/python3.6/site-packages/numpy/core/fromnumeric.py:39(_wrapit)
181560,1.550,0.000,4.198,0.000,/home/harry/.local/lib/python3.6/site-packages/highway_env/road/lane.py:102(distance_with_heading)
540378,0.528,0.000,3.787,0.000,<__array_function__ internals>:2(ndim)
90420,0.099,0.000,3.687,0.000,{method 'clip' of 'numpy.ndarray' objects}
6467834,3.448,0.000,3.448,0.000,/usr/lib/python3.6/_weakrefset.py:70(__contains__)
59790,0.615,0.000,3.313,0.000,/home/harry/.local/lib/python3.6/site-packages/highway_env/vehicle/behavior.py:153(desired_gap)
2099953,2.954,0.000,2.954,0.000,{built-in method numpy.array}
1823499,0.792,0.000,2.895,0.000,/home/harry/.local/lib/python3.6/site-packages/numpy/core/_asarray.py:14(asarray)
540378,1.345,0.000,2.725,0.000,/home/harry/.local/lib/python3.6/site-packages/numpy/core/fromnumeric.py:3075(ndim)
189206,1.609,0.000,2.198,0.000,/home/harry/.local/lib/python3.6/site-packages/highway_env/vehicle/objects.py:71(direction)
126992,0.440,0.000,1.955,0.000,/home/harry/.local/lib/python3.6/site-packages/highway_env/vehicle/kinematics.py:202(velocity)
64,0.006,0.000,1.863,0.029,/home/harry/.local/lib/python3.6/site-packages/highway_env/envs/common/observation.py:187(observe)
1128374,1.793,0.000,1.793,0.000,{built-in method numpy.zeros}
270184,1.558,0.000,1.558,0.000,/home/harry/.local/lib/python3.6/site-packages/numpy/core/_methods.py:87(_clip_dep_invoke_with_casting)
61074,0.174,0.000,1.422,0.000,/home/harry/.local/lib/python3.6/site-packages/highway_env/vehicle/objects.py:94(lane_distance_to)
7331940,1.300,0.000,1.300,0.000,/home/harry/.local/lib/python3.6/site-packages/numpy/core/multiarray.py:706(dot)
1141187,1.256,0.000,1.256,0.000,{method 'ravel' of 'numpy.ndarray' objects}
553559,0.303,0.000,1.095,0.000,<frozen importlib._bootstrap>:997(_handle_fromlist)
64,0.003,0.000,0.839,0.013,/home/harry/.local/lib/python3.6/site-packages/highway_env/envs/common/observation.py:165(normalize_obs)
45390,0.052,0.000,0.819,0.000,<__array_function__ internals>:2(argmin)
594923,0.803,0.000,0.805,0.000,{built-in method builtins.hasattr}
45166,0.083,0.000,0.742,0.000,/home/harry/.local/lib/python3.6/site-packages/highway_env/vehicle/controller.py:105(follow_road)
45390,0.057,0.000,0.714,0.000,/home/harry/.local/lib/python3.6/site-packages/numpy/core/fromnumeric.py:1195(argmin)
1139326,0.455,0.000,0.703,0.000,/home/harry/.local/lib/python3.6/site-packages/numpy/linalg/linalg.py:112(isComplexType)
2494,0.173,0.000,0.663,0.000,/home/harry/.local/lib/python3.6/site-packages/highway_env/utils.py:142(are_polygons_intersecting)
45166,0.113,0.000,0.630,0.000,/home/harry/.local/lib/python3.6/site-packages/highway_env/road/lane.py:92(after_end)
2613804,0.609,0.000,0.609,0.000,/home/harry/.local/lib/python3.6/site-packages/highway_env/road/lane.py:161(width_at)
2363410,0.527,0.000,0.527,0.000,{built-in method builtins.issubclass}
540368,0.382,0.000,0.515,0.000,/home/harry/.local/lib/python3.6/site-packages/numpy/core/_methods.py:82(_clip_dep_is_byte_swapped)
755437/755413,0.426,0.000,0.430,0.000,{built-in method builtins.getattr}
256,0.003,0.000,0.413,0.002,/home/harry/.local/lib/python3.6/site-packages/pandas/core/generic.py:7248(clip)
4988,0.138,0.000,0.407,0.000,/home/harry/.local/lib/python3.6/site-packages/highway_env/vehicle/objects.py:79(polygon)
256,0.007,0.000,0.391,0.002,/home/harry/.local/lib/python3.6/site-packages/pandas/core/generic.py:7200(_clip_with_scalar)
226726,0.385,0.000,0.385,0.000,/home/harry/.local/lib/python3.6/site-packages/highway_env/utils.py:39(wrap_to_pi)
427289,0.356,0.000,0.356,0.000,{built-in method builtins.max}
512,0.002,0.000,0.346,0.001,/home/harry/.local/lib/python3.6/site-packages/pandas/core/generic.py:8878(where)
512,0.012,0.000,0.344,0.001,/home/harry/.local/lib/python3.6/site-packages/pandas/core/generic.py:8731(_where)
128,0.001,0.000,0.339,0.003,/home/harry/.local/lib/python3.6/site-packages/pandas/core/frame.py:1660(from_records)
944,0.002,0.000,0.336,0.000,/home/harry/.local/lib/python3.6/site-packages/highway_env/vehicle/controller.py:220(act)
