ncalls,tottime,percall,cumtime,percall,filename:lineno(function)
1,0.000,0.000,682.422,682.422,/home/harry/individual_project/.venv/lib/python3.8/site-packages/rl_agents/trainer/evaluation.py:105(train)
1,0.003,0.003,682.406,682.406,/home/harry/individual_project/.venv/lib/python3.8/site-packages/rl_agents/trainer/evaluation.py:129(run_episodes)
811,0.017,0.000,679.240,0.838,/home/harry/individual_project/.venv/lib/python3.8/site-packages/rl_agents/trainer/evaluation.py:152(step)
811,0.002,0.000,676.514,0.834,/home/harry/individual_project/.venv/lib/python3.8/site-packages/gym/wrappers/monitor.py:29(step)
811,0.007,0.000,676.496,0.834,/home/harry/individual_project/.venv/lib/python3.8/site-packages/highway_env/envs/common/abstract.py:197(step)
811,0.039,0.000,665.334,0.820,/home/harry/individual_project/.venv/lib/python3.8/site-packages/highway_env/envs/common/abstract.py:220(_simulate)
12165,0.250,0.000,442.686,0.036,/home/harry/individual_project/.venv/lib/python3.8/site-packages/highway_env/road/road.py:288(act)
608250,3.523,0.000,440.598,0.001,/home/harry/individual_project/.venv/lib/python3.8/site-packages/highway_env/vehicle/behavior.py:77(act)
723182,34.078,0.000,300.937,0.000,/home/harry/individual_project/.venv/lib/python3.8/site-packages/highway_env/road/road.py:307(neighbour_vehicles)
129217489/106038354,118.327,0.000,273.868,0.000,{built-in method numpy.core._multiarray_umath.implement_array_function}
12165,5.843,0.000,222.416,0.018,/home/harry/individual_project/.venv/lib/python3.8/site-packages/highway_env/road/road.py:293(step)
42529118,73.217,0.000,204.373,0.000,/home/harry/individual_project/.venv/lib/python3.8/site-packages/highway_env/road/lane.py:164(local_coordinates)
15510375,9.209,0.000,172.644,0.000,/home/harry/individual_project/.venv/lib/python3.8/site-packages/highway_env/vehicle/kinematics.py:163(check_collision)
101535492,43.082,0.000,158.732,0.000,<__array_function__ internals>:2(dot)
15510375,28.322,0.000,151.952,0.000,/home/harry/individual_project/.venv/lib/python3.8/site-packages/highway_env/vehicle/kinematics.py:195(_is_colliding)
15635352,7.395,0.000,107.330,0.000,<__array_function__ internals>:2(norm)
15635352,44.010,0.000,90.676,0.000,/home/harry/individual_project/.venv/lib/python3.8/site-packages/numpy/linalg/linalg.py:2362(norm)
3715923,2.088,0.000,85.061,0.000,<__array_function__ internals>:2(clip)
4342899,3.043,0.000,79.649,0.000,/home/harry/individual_project/.venv/lib/python3.8/site-packages/numpy/core/fromnumeric.py:52(_wrapfunc)
