ncalls,tottime,percall,cumtime,percall,filename:lineno(function)
1,0.000,0.000,659.858,659.858,/home/harry/individual_project/.venv/lib/python3.8/site-packages/rl_agents/trainer/evaluation.py:105(train)
1,0.003,0.003,659.839,659.839,/home/harry/individual_project/.venv/lib/python3.8/site-packages/rl_agents/trainer/evaluation.py:129(run_episodes)
784,0.018,0.000,656.666,0.838,/home/harry/individual_project/.venv/lib/python3.8/site-packages/rl_agents/trainer/evaluation.py:152(step)
784,0.002,0.000,652.590,0.832,/home/harry/individual_project/.venv/lib/python3.8/site-packages/gym/wrappers/monitor.py:29(step)
784,0.006,0.000,652.573,0.832,/home/harry/individual_project/.venv/lib/python3.8/site-packages/highway_env/envs/common/abstract.py:197(step)
784,0.038,0.000,641.783,0.819,/home/harry/individual_project/.venv/lib/python3.8/site-packages/highway_env/envs/common/abstract.py:220(_simulate)
11760,0.247,0.000,426.410,0.036,/home/harry/individual_project/.venv/lib/python3.8/site-packages/highway_env/road/road.py:288(act)
588000,3.429,0.000,424.375,0.001,/home/harry/individual_project/.venv/lib/python3.8/site-packages/highway_env/vehicle/behavior.py:77(act)
699472,33.195,0.000,289.000,0.000,/home/harry/individual_project/.venv/lib/python3.8/site-packages/highway_env/road/road.py:307(neighbour_vehicles)
124958543/102556381,111.838,0.000,262.856,0.000,{built-in method numpy.core._multiarray_umath.implement_array_function}
11760,5.758,0.000,215.150,0.018,/home/harry/individual_project/.venv/lib/python3.8/site-packages/highway_env/road/road.py:293(step)
41138697,70.587,0.000,195.071,0.000,/home/harry/individual_project/.venv/lib/python3.8/site-packages/highway_env/road/lane.py:164(local_coordinates)
14994000,8.891,0.000,166.987,0.000,/home/harry/individual_project/.venv/lib/python3.8/site-packages/highway_env/vehicle/kinematics.py:163(check_collision)
98205501,41.680,0.000,150.925,0.000,<__array_function__ internals>:2(dot)
14994000,27.429,0.000,146.960,0.000,/home/harry/individual_project/.venv/lib/python3.8/site-packages/highway_env/vehicle/kinematics.py:195(_is_colliding)
15113011,7.257,0.000,103.884,0.000,<__array_function__ internals>:2(norm)
15113011,42.629,0.000,87.667,0.000,/home/harry/individual_project/.venv/lib/python3.8/site-packages/numpy/linalg/linalg.py:2362(norm)
3591916,2.041,0.000,82.662,0.000,<__array_function__ internals>:2(clip)
4198175,3.019,0.000,77.410,0.000,/home/harry/individual_project/.venv/lib/python3.8/site-packages/numpy/core/fromnumeric.py:52(_wrapfunc)
3591916,3.090,0.000,77.095,0.000,/home/harry/individual_project/.venv/lib/python3.8/site-packages/numpy/core/fromnumeric.py:2044(clip)
34974384,58.115,0.000,62.408,0.000,/home/harry/individual_project/.venv/lib/python3.8/site-packages/highway_env/road/lane.py:61(on_lane)
599850,6.093,0.000,62.087,0.000,/home/harry/individual_project/.venv/lib/python3.8/site-packages/highway_env/vehicle/controller.py:113(steering_control)
3588380,6.750,0.000,60.571,0.000,/home/harry/individual_project/.venv/lib/python3.8/site-packages/numpy/core/_methods.py:124(_clip)
587306,0.892,0.000,48.402,0.000,/home/harry/individual_project/.venv/lib/python3.8/site-packages/highway_env/vehicle/behavior.py:198(change_lane_policy)
54541,0.264,0.000,45.520,0.001,/home/harry/individual_project/.venv/lib/python3.8/site-packages/highway_env/vehicle/behavior.py:237(mobil)
2387490,2.845,0.000,43.246,0.000,{method 'clip' of 'numpy.generic' objects}
599760,8.029,0.000,41.787,0.000,/home/harry/individual_project/.venv/lib/python3.8/site-packages/highway_env/vehicle/kinematics.py:121(step)
588000,0.617,0.000,41.450,0.000,/home/harry/individual_project/.venv/lib/python3.8/site-packages/highway_env/vehicle/behavior.py:112(step)
7176760,18.364,0.000,39.419,0.000,/home/harry/individual_project/.venv/lib/python3.8/site-packages/numpy/core/_methods.py:90(_clip_dep_is_scalar_nan)
62905959,17.496,0.000,39.413,0.000,{built-in method builtins.isinstance}
853238,7.162,0.000,35.717,0.000,/home/harry/individual_project/.venv/lib/python3.8/site-packages/highway_env/vehicle/behavior.py:123(acceleration)
599760,0.951,0.000,32.708,0.000,/home/harry/individual_project/.venv/lib/python3.8/site-packages/highway_env/vehicle/kinematics.py:156(on_state_update)
604860,2.919,0.000,31.878,0.000,/home/harry/individual_project/.venv/lib/python3.8/site-packages/highway_env/road/road.py:49(get_closest_lane_index)
1806165,2.695,0.000,27.116,0.000,/home/harry/individual_project/.venv/lib/python3.8/site-packages/numpy/core/fromnumeric.py:39(_wrapit)
2419440,7.981,0.000,23.951,0.000,/home/harry/individual_project/.venv/lib/python3.8/site-packages/highway_env/road/lane.py:102(distance_with_heading)
51751927,10.372,0.000,21.484,0.000,/usr/lib/python3.8/abc.py:96(__instancecheck__)
7176960,3.273,0.000,21.076,0.000,<__array_function__ internals>:2(ndim)
1200890,0.757,0.000,20.926,0.000,{method 'clip' of 'numpy.ndarray' objects}
815096,3.820,0.000,18.913,0.000,/home/harry/individual_project/.venv/lib/python3.8/site-packages/highway_env/vehicle/behavior.py:153(desired_gap)
24217644,6.165,0.000,17.773,0.000,/home/harry/individual_project/.venv/lib/python3.8/site-packages/numpy/core/_asarray.py:23(asarray)
27737010,15.114,0.000,15.114,0.000,{built-in method numpy.array}
7176960,6.563,0.000,14.453,0.000,/home/harry/individual_project/.venv/lib/python3.8/site-packages/numpy/core/fromnumeric.py:3106(ndim)
884,0.031,0.000,12.097,0.014,/home/harry/individual_project/.venv/lib/python3.8/site-packages/highway_env/envs/common/observation.py:187(observe)
2523518,8.883,0.000,11.396,0.000,/home/harry/individual_project/.venv/lib/python3.8/site-packages/highway_env/vehicle/objects.py:71(direction)
51751927,11.112,0.000,11.112,0.000,{built-in method _abc._abc_instancecheck}
3588380,11.073,0.000,11.073,0.000,/home/harry/individual_project/.venv/lib/python3.8/site-packages/numpy/core/_methods.py:105(_clip_dep_invoke_with_casting)
14987693,10.925,0.000,10.925,0.000,{built-in method numpy.zeros}
1692510,2.754,0.000,10.816,0.000,/home/harry/individual_project/.venv/lib/python3.8/site-packages/highway_env/vehicle/kinematics.py:202(velocity)
98205501,10.441,0.000,10.441,0.000,/home/harry/individual_project/.venv/lib/python3.8/site-packages/numpy/core/multiarray.py:716(dot)
831675,0.926,0.000,8.878,0.000,/home/harry/individual_project/.venv/lib/python3.8/site-packages/highway_env/vehicle/objects.py:94(lane_distance_to)
884,0.025,0.000,6.654,0.008,/home/harry/individual_project/.venv/lib/python3.8/site-packages/highway_env/envs/common/observation.py:165(normalize_obs)
15130791,6.419,0.000,6.419,0.000,{method 'ravel' of 'numpy.ndarray' objects}
599850,0.626,0.000,4.952,0.000,/home/harry/individual_project/.venv/lib/python3.8/site-packages/highway_env/vehicle/controller.py:105(follow_road)
15113011,3.180,0.000,4.590,0.000,/home/harry/individual_project/.venv/lib/python3.8/site-packages/numpy/linalg/linalg.py:112(isComplexType)
604860,0.335,0.000,4.538,0.000,<__array_function__ internals>:2(argmin)
35029235,4.295,0.000,4.295,0.000,/home/harry/individual_project/.venv/lib/python3.8/site-packages/highway_env/road/lane.py:161(width_at)
599850,0.678,0.000,4.075,0.000,/home/harry/individual_project/.venv/lib/python3.8/site-packages/highway_env/road/lane.py:92(after_end)
604860,0.415,0.000,3.811,0.000,/home/harry/individual_project/.venv/lib/python3.8/site-packages/numpy/core/fromnumeric.py:1200(argmin)
784,0.007,0.000,3.447,0.004,/home/harry/individual_project/.venv/lib/python3.8/site-packages/rl_agents/agents/deep_q_network/abstract.py:37(record)
23203,0.785,0.000,3.387,0.000,/home/harry/individual_project/.venv/lib/python3.8/site-packages/highway_env/utils.py:142(are_polygons_intersecting)
31267209,3.344,0.000,3.344,0.000,{built-in method builtins.issubclass}
7176760,2.428,0.000,3.328,0.000,/home/harry/individual_project/.venv/lib/python3.8/site-packages/numpy/core/_methods.py:100(_clip_dep_is_byte_swapped)
3536,0.024,0.000,3.315,0.001,/home/harry/individual_project/.venv/lib/python3.8/site-packages/pandas/core/generic.py:7600(clip)
3536,0.059,0.000,3.141,0.001,/home/harry/individual_project/.venv/lib/python3.8/site-packages/pandas/core/generic.py:7550(_clip_with_scalar)
100,0.000,0.000,2.913,0.029,/home/harry/individual_project/.venv/lib/python3.8/site-packages/rl_agents/trainer/evaluation.py:361(reset)
100,0.000,0.000,2.913,0.029,/home/harry/individual_project/.venv/lib/python3.8/site-packages/gym/wrappers/monitor.py:36(reset)
100,0.001,0.000,2.909,0.029,/home/harry/individual_project/.venv/lib/python3.8/site-packages/highway_env/envs/common/abstract.py:175(reset)
