ncalls,tottime,percall,cumtime,percall,filename:lineno(function)
1,0.000,0.000,30.489,30.489,/home/harry/individual_project/.venv/lib/python3.8/site-packages/rl_agents/trainer/evaluation.py:105(train)
1,0.002,0.002,30.473,30.473,/home/harry/individual_project/.venv/lib/python3.8/site-packages/rl_agents/trainer/evaluation.py:129(run_episodes)
573,0.019,0.000,28.706,0.050,/home/harry/individual_project/.venv/lib/python3.8/site-packages/rl_agents/trainer/evaluation.py:152(step)
573,0.001,0.000,25.821,0.045,/home/harry/individual_project/.venv/lib/python3.8/site-packages/gym/wrappers/monitor.py:29(step)
573,0.004,0.000,25.809,0.045,/home/harry/individual_project/.venv/lib/python3.8/site-packages/highway_env/envs/common/abstract.py:197(step)
573,0.025,0.000,18.134,0.032,/home/harry/individual_project/.venv/lib/python3.8/site-packages/highway_env/envs/common/abstract.py:220(_simulate)
8595,0.027,0.000,12.624,0.001,/home/harry/individual_project/.venv/lib/python3.8/site-packages/highway_env/road/road.py:288(act)
42975,0.060,0.000,11.319,0.000,/home/harry/individual_project/.venv/lib/python3.8/site-packages/highway_env/vehicle/behavior.py:329(act)
2925841/2486455,3.127,0.000,10.017,0.000,{built-in method numpy.core._multiarray_umath.implement_array_function}
673,0.024,0.000,8.956,0.013,/home/harry/individual_project/.venv/lib/python3.8/site-packages/highway_env/envs/common/observation.py:187(observe)
42975,0.231,0.000,6.872,0.000,/home/harry/individual_project/.venv/lib/python3.8/site-packages/highway_env/vehicle/behavior.py:77(act)
134466,0.084,0.000,5.866,0.000,<__array_function__ internals>:2(clip)
187881,0.182,0.000,5.834,0.000,/home/harry/individual_project/.venv/lib/python3.8/site-packages/numpy/core/fromnumeric.py:52(_wrapfunc)
134466,0.140,0.000,5.667,0.000,/home/harry/individual_project/.venv/lib/python3.8/site-packages/numpy/core/fromnumeric.py:2044(clip)
8595,0.108,0.000,5.349,0.001,/home/harry/individual_project/.venv/lib/python3.8/site-packages/highway_env/road/road.py:293(step)
673,0.019,0.000,5.050,0.008,/home/harry/individual_project/.venv/lib/python3.8/site-packages/highway_env/envs/common/observation.py:165(normalize_obs)
