ncalls,tottime,percall,cumtime,percall,filename:lineno(function)
1,0.000,0.000,192.260,192.260,/home/harry/individual_project/.venv/lib/python3.8/site-packages/rl_agents/trainer/evaluation.py:105(train)
1,0.003,0.003,192.240,192.240,/home/harry/individual_project/.venv/lib/python3.8/site-packages/rl_agents/trainer/evaluation.py:129(run_episodes)
898,0.021,0.000,190.070,0.212,/home/harry/individual_project/.venv/lib/python3.8/site-packages/rl_agents/trainer/evaluation.py:152(step)
898,0.002,0.000,185.446,0.207,/home/harry/individual_project/.venv/lib/python3.8/site-packages/gym/wrappers/monitor.py:29(step)
898,0.007,0.000,185.427,0.206,/home/harry/individual_project/.venv/lib/python3.8/site-packages/highway_env/envs/common/abstract.py:197(step)
898,0.042,0.000,173.339,0.193,/home/harry/individual_project/.venv/lib/python3.8/site-packages/highway_env/envs/common/abstract.py:220(_simulate)
13470,0.121,0.000,117.184,0.009,/home/harry/individual_project/.venv/lib/python3.8/site-packages/highway_env/road/road.py:288(act)
269400,1.547,0.000,115.046,0.000,/home/harry/individual_project/.venv/lib/python3.8/site-packages/highway_env/vehicle/behavior.py:77(act)
29830747/23494842,27.107,0.000,80.427,0.000,{built-in method numpy.core._multiarray_umath.implement_array_function}
13470,1.260,0.000,55.901,0.004,/home/harry/individual_project/.venv/lib/python3.8/site-packages/highway_env/road/road.py:293(step)
318171,6.706,0.000,55.831,0.000,/home/harry/individual_project/.venv/lib/python3.8/site-packages/highway_env/road/road.py:307(neighbour_vehicles)
9105529,16.007,0.000,44.772,0.000,/home/harry/individual_project/.venv/lib/python3.8/site-packages/highway_env/road/lane.py:164(local_coordinates)
1690168,0.947,0.000,40.728,0.000,<__array_function__ internals>:2(clip)
1976691,1.412,0.000,38.348,0.000,/home/harry/individual_project/.venv/lib/python3.8/site-packages/numpy/core/fromnumeric.py:52(_wrapfunc)
1690168,1.436,0.000,38.121,0.000,/home/harry/individual_project/.venv/lib/python3.8/site-packages/numpy/core/fromnumeric.py:2044(clip)
21418758,9.274,0.000,34.384,0.000,<__array_function__ internals>:2(dot)
2828700,1.715,0.000,34.352,0.000,/home/harry/individual_project/.venv/lib/python3.8/site-packages/highway_env/vehicle/kinematics.py:163(check_collision)
