ncalls,tottime,percall,cumtime,percall,filename:lineno(function)
1,0.000,0.000,678.869,678.869,/home/harry/individual_project/.venv/lib/python3.8/site-packages/rl_agents/trainer/evaluation.py:105(train)
1,0.003,0.003,678.830,678.830,/home/harry/individual_project/.venv/lib/python3.8/site-packages/rl_agents/trainer/evaluation.py:129(run_episodes)
755,0.029,0.000,672.824,0.891,/home/harry/individual_project/.venv/lib/python3.8/site-packages/rl_agents/trainer/evaluation.py:152(step)
755,0.002,0.000,667.302,0.884,/home/harry/individual_project/.venv/lib/python3.8/site-packages/gym/wrappers/monitor.py:29(step)
755,0.005,0.000,667.286,0.884,/home/harry/individual_project/.venv/lib/python3.8/site-packages/highway_env/envs/common/abstract.py:197(step)
755,0.037,0.000,636.503,0.843,/home/harry/individual_project/.venv/lib/python3.8/site-packages/highway_env/envs/common/abstract.py:220(_simulate)
11325,0.253,0.000,414.660,0.037,/home/harry/individual_project/.venv/lib/python3.8/site-packages/highway_env/road/road.py:288(act)
566250,3.241,0.000,409.606,0.001,/home/harry/individual_project/.venv/lib/python3.8/site-packages/highway_env/vehicle/behavior.py:77(act)
664734,32.503,0.000,282.705,0.000,/home/harry/individual_project/.venv/lib/python3.8/site-packages/highway_env/road/road.py:307(neighbour_vehicles)
125451532/102389397,109.224,0.000,267.139,0.000,{built-in method numpy.core._multiarray_umath.implement_array_function}
11325,5.905,0.001,221.283,0.020,/home/harry/individual_project/.venv/lib/python3.8/site-packages/highway_env/road/road.py:293(step)
40692296,69.117,0.000,190.155,0.000,/home/harry/individual_project/.venv/lib/python3.8/site-packages/highway_env/road/lane.py:164(local_coordinates)
15605850,9.221,0.000,173.468,0.000,/home/harry/individual_project/.venv/lib/python3.8/site-packages/highway_env/vehicle/kinematics.py:163(check_collision)
15605850,28.336,0.000,152.649,0.000,/home/harry/individual_project/.venv/lib/python3.8/site-packages/highway_env/vehicle/kinematics.py:195(_is_colliding)
98011948,41.580,0.000,147.895,0.000,<__array_function__ internals>:2(dot)
15850446,7.511,0.000,107.465,0.000,<__array_function__ internals>:2(norm)
15850446,44.237,0.000,90.627,0.000,/home/harry/individual_project/.venv/lib/python3.8/site-packages/numpy/linalg/linalg.py:2362(norm)
3533256,1.990,0.000,86.397,0.000,<__array_function__ internals>:2(clip)
4142454,2.922,0.000,81.324,0.000,/home/harry/individual_project/.venv/lib/python3.8/site-packages/numpy/core/fromnumeric.py:52(_wrapfunc)
3533256,2.999,0.000,80.962,0.000,/home/harry/individual_project/.venv/lib/python3.8/site-packages/numpy/core/fromnumeric.py:2044(clip)
34566923,57.364,0.000,61.596,0.000,/home/harry/individual_project/.venv/lib/python3.8/site-packages/highway_env/road/lane.py:61(on_lane)
592578,5.916,0.000,60.442,0.000,/home/harry/individual_project/.venv/lib/python3.8/site-packages/highway_env/vehicle/controller.py:113(steering_control)
3522996,6.564,0.000,58.683,0.000,/home/harry/individual_project/.venv/lib/python3.8/site-packages/numpy/core/_methods.py:124(_clip)
556338,0.890,0.000,47.222,0.000,/home/harry/individual_project/.venv/lib/python3.8/site-packages/highway_env/vehicle/behavior.py:198(change_lane_policy)
51786,0.251,0.000,44.346,0.001,/home/harry/individual_project/.venv/lib/python3.8/site-packages/highway_env/vehicle/behavior.py:237(mobil)
70497828,19.068,0.000,42.028,0.000,{built-in method builtins.isinstance}
2335905,2.708,0.000,41.708,0.000,{method 'clip' of 'numpy.generic' objects}
600225,7.984,0.000,41.313,0.000,/home/harry/individual_project/.venv/lib/python3.8/site-packages/highway_env/vehicle/kinematics.py:121(step)
566250,0.596,0.000,39.439,0.000,/home/harry/individual_project/.venv/lib/python3.8/site-packages/highway_env/vehicle/behavior.py:112(step)
7045992,17.687,0.000,38.169,0.000,/home/harry/individual_project/.venv/lib/python3.8/site-packages/numpy/core/_methods.py:90(_clip_dep_is_scalar_nan)
855,0.002,0.000,34.797,0.041,/home/harry/individual_project/.venv/lib/python3.8/site-packages/highway_env/envs/common/observation.py:373(observe)
